Symbol,20191023,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
COST_112219C272.5,0.0,0:297.05,0:296.5,0:298.94,0:295.86,0:299.68,0:297.11,0.0,0:296.82,0:299.18,0:301.57,0:305.21:2399347:0.0:0,0:302.62:1492559:0.0:0,0:300.84:1110020:0.0:0,0:300.5:1439161:0.0:0,0:302.9:1514298:0.0:0,0:304.59:1255483:0.0:0,0:303.66:1613590:0.0:0,0:304.54:1241527:0.0:0,0:302.24:1760759:0.0:0,0:300.66:1153090:0.0:0,0:300.27:1302385:0.0:0,0:299.31:1277135:0.0:0
COST_112219C275,0.0,0:297.05,0:296.5,0:298.94,0:295.86,5:299.68,5:297.11,5.0,5:296.82,5:299.18,5:301.57,5:305.21:2399347:23.04:0,5:302.62:1492559:23.04:0,5:300.84:1110020:23.04:0,5:300.5:1439161:23.04:0,5:302.9:1514298:23.04:0,5:304.59:1255483:23.04:0,5:303.66:1613590:28.84:4,9:304.54:1241527:28.84:0,9:302.24:1760759:28.84:0,9:300.66:1153090:27.31:5,4:300.27:1302385:27.31:0,[4:299.31:1277135:23.16:4
COST_112219C277.5,0.0,0:297.05,0:296.5,0:298.94,0:295.86,0:299.68,0:297.11,0.0,0:296.82,0:299.18,0:301.57,0:305.21:2399347:0.0:0,0:302.62:1492559:0.0:0,0:300.84:1110020:0.0:0,0:300.5:1439161:0.0:0,0:302.9:1514298:0.0:0,0:304.59:1255483:0.0:0,0:303.66:1613590:0.0:0,U:304.54:1241527::,0:302.24:1760759:0.0:0,0:300.66:1153090:0.0:0,0:300.27:1302385:0.0:0,[0:299.31:1277135:0.0:0
COST_112219C280,23.0,23:297.05,23:296.5,23:298.94,23:295.86,30:299.68,30:297.11,30.0,30:296.82,30:299.18,30:301.57,30:305.21:2399347:17.15:0,30:302.62:1492559:17.15:0,30:300.84:1110020:17.15:0,30:300.5:1439161:19.31:2,28:302.9:1514298:19.31:0,28:304.59:1255483:19.31:0,28:303.66:1613590:19.31:0,28:304.54:1241527:26.0:1,28:302.24:1760759:26.0:0,28:300.66:1153090:22.39:5,28:300.27:1302385:20.31:2,[26:299.31:1277135:18.15:10
COST_112219C282.5,9.0,9:297.05,9:296.5,9:298.94,9:295.86,9:299.68,9:297.11,9.0,9:296.82,9:299.18,9:301.57,9:305.21:2399347:16.1:0,9:302.62:1492559:16.1:0,9:300.84:1110020:19.27:2,9:300.5:1439161:19.27:0,9:302.9:1514298:19.27:0,9:304.59:1255483:19.27:0,9:303.66:1613590:19.27:0,9:304.54:1241527:19.27:0,9:302.24:1760759:19.27:0,9:300.66:1153090:15.33:2,7:300.27:1302385:17.9:1,[7:299.31:1277135:15.59:6
COST_112219C285,26.0,26:297.05,26:296.5,28:298.94,28:295.86,28:299.73,25:297.11,25.0,25:296.82,25:299.18,25:301.57,25:305.21:2399347:19.29:2,24:302.62:1492559:18.1:2,26:300.84:1110020:16.35:5,31:300.5:1439161:16.35:0,31:302.9:1514298:16.35:0,31:304.59:1255483:16.35:0,31:303.66:1613590:18.3:2,33:304.54:1241527:20.0:2,33:302.24:1760759:20.0:0,33:300.66:1153090:20.0:0,33:300.27:1302385:20.0:0,[33:299.31:1277135:13.07:8
COST_112219C287.5,1.0,1:297.05,1:296.5,1:298.94,1:295.86,2:299.73,2:297.11,2.0,4:296.82,9:299.18,9:301.57,9:305.21:2399347:19.25:7,8:302.62:1492559:19.25:0,8:300.84:1110020:13.18:1,8:300.5:1439161:13.18:0,8:302.9:1514298:13.18:0,8:304.59:1255483:13.18:0,8:303.66:1613590:13.18:0,8:304.54:1241527:13.18:0,8:302.24:1760759:13.18:0,8:300.66:1153090:13.18:0,8:300.27:1302385:13.18:0,[8:299.31:1277135:13.18:0
COST_112219C290,21.0,23:297.05,42:296.5,47:298.94,47:295.86,47:299.73,57:297.11,67.0,69:296.82,82:299.18,82:301.57,78:305.21:2399347:12.5:0,78:302.62:1492559:13.45:4,78:300.84:1110020:11.75:15,89:300.5:1439161:12.45:1,89:302.9:1514298:13.85:2,89:304.59:1255483:14.32:4,92:303.66:1613590:14.4:5,94:304.54:1241527:14.4:0,94:302.24:1760759:13.0:2,94:300.66:1153090:8.8:8,94:300.27:1302385:9.95:9,[98:299.31:1277135:7.94:15
COST_112219C292.5,20.0,53:297.05,55:296.5,53:298.94,53:295.86,53:299.73,53:297.11,55.0,55:296.82,55:299.18,56:301.57,51:305.21:2399347:13.6:4,51:302.62:1492559:10.85:1,51:300.84:1110020:10.07:2,49:300.5:1439161:10.0:1,49:302.9:1514298:10.4:5,49:304.59:1255483:10.87:5,46:303.66:1613590:11.0:2,47:304.54:1241527:14.0:2,47:302.24:1760759:10.99:1,47:300.66:1153090:10.99:0,47:300.27:1302385:10.99:0,[47:299.31:1277135:5.74:12
COST_112219C295,28.0,31:297.05,142:296.5,151:298.94,152:295.86,150:299.73,149:297.11,147.0,146:296.82,153:299.18,149:301.57,188:305.21:2399347:10.98:48,181:302.62:1492559:9.1:16,182:300.84:1110020:7.4:32,198:300.5:1439161:6.94:7,197:302.9:1514298:9.4:21,195:304.59:1255483:9.7:34,195:303.66:1613590:9.0:35,192:304.54:1241527:9.85:21,202:302.24:1760759:7.55:39,202:300.66:1153090:5.15:46,198:300.27:1302385:5.22:16,[192:299.31:1277135:3.7:93
