Symbol,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
COST_112219P272.5,36.0,36:296.5,36:298.94,36:295.86,36:299.84,36:297.11,33.0,34:296.82,34:299.18,34:301.57,34:305.21:2399347:0.07:2,33:302.62:1492559:0.25:1,32:300.84:1110020:0.05:2,32:300.5:1439161:0.06:24,29:302.9:1514298:0.06:0,29:304.59:1255483:0.06:0,29:303.66:1613590:0.06:0,29:304.54:1241527:0.01:5,27:302.24:1760759:0.01:0,27:300.72:1153529:0.01:0,U:300.27:1302385:U:U,27:299.31:1277135:0.01:0
COST_112219P275,51.0,49:296.5,47:298.94,45:295.86,48:299.8201,48:297.11,58.0,59:296.82,79:299.18,85:301.57,85:305.21:2399347:0.11:11,81:302.62:1492559:0.18:6,82:300.84:1110020:0.18:0,82:300.5:1439161:0.08:2,80:302.9:1514298:0.08:0,80:304.59:1255483:0.05:4,76:303.66:1613590:0.04:11,65:304.54:1241527:0.03:1,65:302.24:1760759:0.03:0,65:300.72:1153529:0.01:8,61:300.27:1302385:0.01:0,[61:299.31:1277135:0.01:5
COST_112219P277.5,42.0,42:296.5,50:298.94,50:295.86,52:299.8201,55:297.11,66.0,70:296.82,70:299.18,69:301.57,77:305.21:2399347:0.12:21,72:302.62:1492559:0.12:0,72:300.84:1110020:0.11:108,162:300.5:1439161:0.11:17,162:302.9:1514298:0.05:2,162:304.59:1255483:0.05:3,163:303.66:1613590:0.04:1,163:304.54:1241527:0.02:21,175:302.24:1760759:0.02:0,175:300.72:1153529:0.02:70,224:300.27:1302385:0.03:1,[224:299.31:1277135:0.03:0
COST_112219P280,116.0,115:296.5,116:298.94,118:295.86,117:299.8201,119:297.11,131.0,133:296.82,133:299.18,146:301.57,146:305.21:2399347:0.2:23,141:302.62:1492559:0.27:27,156:300.84:1110020:0.15:107,215:300.5:1439161:0.17:70,247:302.9:1514298:0.07:30,247:304.59:1255483:0.07:4,246:303.66:1613590:0.03:26,245:304.54:1241527:0.01:33,250:302.24:1760759:0.02:11,249:300.72:1153529:0.04:10,248:300.27:1302385:0.01:1,[248:299.31:1277135:0.01:0
COST_112219P282.5,190.0,190:296.5,208:298.94,243:295.86,251:299.8201,249:297.11,269.0,273:296.82,281:299.18,294:301.57,295:305.21:2399347:0.23:52,273:302.62:1492559:0.39:11,284:300.84:1110020:0.21:57,331:300.5:1439161:0.21:6,331:302.9:1514298:0.1:11,324:304.59:1255483:0.06:5,323:303.66:1613590:0.04:178,U:304.54:1241527::,458:302.24:1760759:0.04:16,468:300.72:1153529:0.06:122,510:300.27:1302385:0.02:4,[510:299.31:1277135:0.01:2
COST_112219P285,153.0,153:296.5,168:298.94,166:295.86,166:299.84,168:297.11,185.0,206:296.82,315:299.18,370:301.57,380:305.21:2399347:0.26:32,373:302.62:1492559:0.42:75,419:300.84:1110020:0.3:281,588:300.5:1439161:0.3:67,602:302.9:1514298:0.17:6,603:304.59:1255483:0.11:50,643:303.66:1613590:0.1:141,637:304.54:1241527:0.03:15,637:302.24:1760759:0.04:230,713:300.72:1153529:0.02:212,702:300.27:1302385:0.02:0,[702:299.31:1277135:0.01:6
COST_112219P287.5,50.0,51:296.5,62:298.94,63:295.86,64:299.86,63:297.11,86.0,100:296.82,175:299.18,234:301.57,244:305.21:2399347:0.42:34,245:302.62:1492559:0.56:40,245:300.84:1110020:0.5:52,270:300.5:1439161:0.51:30,290:302.9:1514298:0.24:62,334:304.59:1255483:0.18:292,585:303.66:1613590:0.11:43,U:304.54:1241527::,654:302.24:1760759:0.07:143,738:300.72:1153529:0.09:27,735:300.27:1302385:0.02:19,[718:299.31:1277135:0.01:54
COST_112219P290,132.0,135:296.5,129:298.94,135:295.86,135:299.86,138:297.11,145.0,153:296.82,200:299.18,255:301.57,255:305.21:2399347:0.46:93,242:302.62:1492559:0.72:131,266:300.84:1110020:0.63:241,373:300.5:1439161:0.71:82,417:302.9:1514298:0.37:107,448:304.59:1255483:0.25:93,449:303.66:1613590:0.19:161,511:304.54:1241527:0.09:345,621:302.24:1760759:0.11:457,924:300.72:1153529:0.12:163,981:300.27:1302385:0.04:40,[963:299.31:1277135:0.01:89
COST_112219P292.5,68.0,71:296.5,71:298.94,76:295.86,80:299.86,80:297.11,113.0,118:296.82,119:299.18,129:301.57,131:305.21:2399347:0.86:106,145:302.62:1492559:0.97:38,172:300.84:1110020:0.93:150,260:300.5:1439161:1.03:92,319:302.9:1514298:0.42:49,316:304.59:1255483:0.28:326,518:303.66:1613590:0.34:288,556:304.54:1241527:0.12:148,628:302.24:1760759:0.19:134,724:300.72:1153529:0.15:171,784:300.27:1302385:0.06:68,[801:299.31:1277135:0.01:448
COST_112219P295,50.0,51:296.5,55:298.94,54:295.86,58:299.87,58:297.11,59.0,60:296.82,65:299.18,73:301.57,79:305.21:2399347:1.09:73,119:302.62:1492559:1.48:60,146:300.84:1110020:1.36:344,462:300.5:1439161:1.45:200,525:302.9:1514298:0.82:253,540:304.59:1255483:0.47:121,603:303.66:1613590:0.55:387,U:304.54:1241527::,908:302.24:1760759:0.32:527,1036:300.72:1153529:0.33:447,885:300.27:1302385:0.11:285,[952:299.31:1277135:0.03:565
