Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120
CRM_112219C145,65:161.11:3265029:13.63:0,65:161.78:3536960:13.63:0,65:162.86:3697018:13.63:0,65:162.6:5383958:17.74:2,65:163.05:3705452:17.74:0,65:163.21:3653186:18.12:3,65:162.77:5557347:17.75:81,101:163.96:4950800:17.75:0,101:300.72:1153529:17.75:0
CRM_112219C146,212:161.11:3265029:13.22:0,212:161.78:3536960:16.3:8,211:162.86:3697018:16.3:0,211:162.6:5383958:16.3:0,211:163.05:3705452:16.3:0,211:163.21:3653186:16.3:0,211:162.77:5557347:16.5:1,211:163.96:4950800:16.5:0,211:300.72:1153529:16.5:0
CRM_112219C147,420:161.11:3265029:14.42:1,419:161.78:3536960:15.35:1,419:162.86:3697018:16.93:7,415:162.6:5383958:16.41:3,412:163.05:3705452:16.41:0,412:163.21:3653186:16.41:0,412:162.77:5557347:16.41:0,412:163.96:4950800:16.41:0,412:300.72:1153529:16.41:0
CRM_112219C148,120:161.11:3265029:11.47:0,120:161.78:3536960:14.46:6,117:162.86:3697018:14.76:7,120:162.6:5383958:14.76:0,120:163.05:3705452:14.76:0,120:163.21:3653186:14.76:0,120:162.77:5557347:14.76:0,120:163.96:4950800:17.0:1,119:300.72:1153529:16.03:2
CRM_112219C149,136:161.11:3265029:8.7:0,136:161.78:3536960:8.7:0,136:162.86:3697018:8.7:0,136:162.6:5383958:8.7:0,136:163.05:3705452:8.7:0,136:163.21:3653186:8.7:0,136:162.77:5557347:8.7:0,136:163.96:4950800:8.7:0,U:300.72:1153529:U:U
CRM_112219C150,219:161.11:3265029:11.7:7,215:161.78:3536960:12.27:4,214:162.86:3697018:12.62:12,221:162.6:5383958:12.92:9,225:163.05:3705452:13.27:1,225:163.21:3653186:13.2:2,226:162.77:5557347:13.35:2,226:163.96:4950800:14.27:4,222:300.72:1153529:14.0:25
CRM_112219C152.5,333:161.11:3265029:9.41:87,406:161.78:3536960:9.41:0,406:162.86:3697018:11.42:22,398:162.6:5383958:10.35:7,391:163.05:3705452:11.08:34,364:163.21:3653186:10.35:6,365:162.77:5557347:10.78:4,363:163.96:4950800:11.66:4,361:300.72:1153529:10.87:14
CRM_112219C155,1181:161.11:3265029:7.44:28,1177:161.78:3536960:8.1:24,1190:162.86:3697018:8.65:42,1181:162.6:5383958:8.1:17,1167:163.05:3705452:8.75:60,1138:163.21:3653186:8.49:50,1150:162.77:5557347:8.3:11,1147:163.96:4950800:9.4:198,U:300.72:1153529:U:U
CRM_112219C157.5,540:161.11:3265029:5.66:55,512:161.78:3536960:5.89:28,516:162.86:3697018:6.21:24,523:162.6:5383958:6.27:9,517:163.05:3705452:6.45:26,521:163.21:3653186:6.03:35,529:162.77:5557347:6.3:123,526:163.96:4950800:7.27:79,550:300.72:1153529:6.92:90
CRM_112219C160,1682:161.11:3265029:4.15:274,1877:161.78:3536960:4.1:220,2023:162.86:3697018:4.85:229,1994:162.6:5383958:4.55:167,1982:163.05:3705452:4.7:61,1982:163.21:3653186:4.2:189,1955:162.77:5557347:4.5:479,2079:163.96:4950800:5.2:932,U:300.72:1153529:U:U
