Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120
CRM_112219P145,1179:161.11:3265029:0.17:28,1168:161.78:3536960:0.12:246,1212:162.86:3697018:0.08:29,1204:162.6:5383958:0.06:218,1203:163.05:3705452:0.05:111,1241:163.21:3653186:0.08:32,1239:162.77:5557347:0.08:0,:163.96:4950808:U:U,1239:300.72:1153529:0.09:3
CRM_112219P146,15:161.11:3265029:0.31:1,15:161.78:3536960:0.23:30,36:162.86:3697018:0.09:7,41:162.6:5383958:0.09:0,41:163.05:3705452:0.09:0,41:163.21:3653186:0.09:0,41:162.77:5557347:0.08:25,54:163.96:4950808:0.06:2,U:300.72:1153529:U:U
CRM_112219P147,137:161.11:3265029:0.26:5,141:161.78:3536960:0.16:113,243:162.86:3697018:0.11:5,244:162.6:5383958:0.09:2,242:163.05:3705452:0.05:11,242:163.21:3653186:0.08:31,233:162.77:5557347:0.1:35,250:163.96:4950808:0.04:3,247:300.72:1153529:0.04:2
CRM_112219P148,143:161.11:3265029:0.32:4,143:161.78:3536960:0.23:44,157:162.86:3697018:0.15:53,151:162.6:5383958:0.11:37,160:163.05:3705452:0.1:24,164:163.21:3653186:0.09:6,170:162.77:5557347:0.1:15,180:163.96:4950808:0.1:0,180:300.72:1153529:0.08:3
CRM_112219P149,71:161.11:3265029:0.39:4,75:161.78:3536960:0.28:60,128:162.86:3697018:0.18:28,154:162.6:5383958:0.13:2,153:163.05:3705452:0.11:7,151:163.21:3653186:0.11:12,150:162.77:5557347:0.13:172,306:163.96:4950808:0.13:30,U:300.72:1153529:U:U
CRM_112219P150,406:161.11:3265029:0.5:7,406:161.78:3536960:0.37:63,460:162.86:3697018:0.21:89,443:162.6:5383958:0.19:31,451:163.05:3705452:0.11:37,470:163.21:3653186:0.12:166,594:162.77:5557347:0.18:134,639:163.96:4950808:0.07:50,637:300.72:1153529:0.03:31
CRM_112219P152.5,879:161.11:3265029:0.75:81,928:161.78:3536960:0.59:121,911:162.86:3697018:0.4:27,917:162.6:5383958:0.35:54,941:163.05:3705452:0.21:38,941:163.21:3653186:0.22:75,966:162.77:5557347:0.33:215,1019:163.96:4950808:0.13:199,U:300.72:1153529:U:U
CRM_112219P155,954:161.11:3265029:1.32:23,957:161.78:3536960:1.08:139,1023:162.86:3697018:0.81:99,1029:162.6:5383958:0.67:111,1030:163.05:3705452:0.43:168,1072:163.21:3653186:0.37:155,1053:162.77:5557347:0.58:533,1430:163.96:4950808:0.28:386,U:300.72:1153529:U:U:300.72:1153529:U:U
CRM_112219P157.5,409:161.11:3265029:2.02:110,487:161.78:3536960:1.69:92,523:162.86:3697018:1.22:103,570:162.6:5383958:1.1:52,596:163.05:3705452:0.76:373,909:163.21:3653186:0.68:341,1032:162.77:5557347:1.06:463,1305:163.96:4950808:0.58:490,1738:300.72:1153529:0.12:668
CRM_112219P160,307:161.11:3265029:2.97:364,565:161.78:3536960:2.66:293,668:162.86:3697018:1.8:468,907:162.6:5383958:1.79:357,1069:163.05:3705452:1.32:338,1240:163.21:3653186:1.19:386,1449:162.77:5557347:1.75:872,1944:163.96:4950808:1.07:300,2168:300.72:1153529:0.36:1012
CRM_112219P162.5,37:161.11:3265029:4.05:103,101:161.78:3536960:3.9:225,274:162.86:3697018:2.78:235,440:162.6:5383958:3.08:313,698:163.05:3705452:2.35:590,1167:163.21:3653186:2.05:358,1375:162.77:5557347:2.8:2209,2119:163.96:4950808:1.91:485,2352:300.72:1153529:0.96:2314
CRM_112219P165,62:161.11:3265029:5.45:9,70:161.78:3536960:5.0:19,83:162.86:3697018:4.36:89,128:162.6:5383958:4.3:139,217:163.05:3705452:3.7:47,229:163.21:3653186:3.47:706,564:162.77:5557347:4.0:195,647:163.96:4950808:3.06:95,669:300.72:1153529:2.18:928
CRM_112219P167.5,0:161.11:3265029:8.45:0,0:161.78:3536960:7.2:50,48:162.86:3697018:5.72:5,50:162.6:5383958:6.05:7,53:163.05:3705452:5.05:5,52:163.21:3653186:5.3:91,112:162.77:5557347:5.8:12,115:163.96:4950808:6.0:11,116:300.72:1153529:3.9:63
