Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CRUS_112219C53.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:0.0:0,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:163.96:4950808:0.0:0,0:70.78:308777:0.0:0,0:0:0:0.0:0,0:69.57:345367:0.0:0
CRUS_112219C54,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:0.0:0,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,U:72.24:505756::,0:163.96:4950808:0.0:0,0:70.78:308777:0.0:0,U:0:0:U:U,0:69.57:345367:0.0:0
CRUS_112219C54.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:0.0:0,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,U:72.24:505756::,0:163.96:4950808:0.0:0,0:70.78:308777:0.0:0,0:0:0:0.0:0,0:69.57:345367:0.0:0
CRUS_112219C55,3:58.03,3:58.49,3:67.96,3.0,3:68.01,3:70.22,3:68.56,3:68.75:1120692:3.5:0,3:71.13:627201:3.5:0,3:70.74:534027:3.5:0,3:71.98:819582:3.5:0,3:71.95:554855:3.5:0,3:72.26:551754:3.5:0,3:72.71:707095:3.5:0,3:72.24:505756:3.5:0,3:163.96:4950808:3.5:0,3:70.78:308777:3.5:0,3:0:0:3.5:0,3:69.57:345367:3.5:0
CRUS_112219C55.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:0.0:0,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:163.96:4950808:0.0:0,0:70.78:308777:0.0:0,U:0:0:U:U,U:69.57:345367:U:U
CRUS_112219C56,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:0.0:0,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:163.96:4950808:0.0:0,0:70.78:308777:0.0:0,0:0:0:0.0:0,0:69.57:345367:0.0:0
CRUS_112219C56.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:0.0:0,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:163.96:4950808:0.0:0,0:70.78:308777:0.0:0,0:0:0:0.0:0,0:69.57:345367:0.0:0
CRUS_112219C57,4:58.03,4:58.49,4:67.96,4.0,4:68.01,4:70.22,4:68.56,4:68.75:1120692:2.39:0,4:71.13:627201:2.39:0,4:70.74:534027:2.39:0,4:71.98:819582:2.39:0,4:71.95:554855:2.39:0,4:72.26:551754:2.39:0,4:72.71:707095:2.39:0,U:72.24:505756::,4:163.96:4950808:2.39:0,4:70.78:308777:2.39:0,4:0:0:2.39:0,4:69.57:345367:2.39:0
CRUS_112219C57.5,2:58.03,2:58.49,2:67.96,2.0,2:68.01,2:70.22,2:68.56,2:68.75:1120692:9.0:0,2:71.13:627201:9.0:0,2:70.74:534027:9.0:0,2:71.98:819582:9.0:0,2:71.95:554855:9.0:0,2:72.26:551754:9.0:0,2:72.71:707095:9.0:0,U:72.24:505756::,2:163.96:4950808:9.0:0,2:70.78:308777:9.0:0,2:0:0:9.0:0,2:69.57:345367:9.0:0
CRUS_112219C58,6:58.03,6:58.49,6:67.96,6.0,6:68.01,6:70.22,6:68.56,6:68.75:1120692:1.7:0,6:71.13:627201:1.7:0,6:70.74:534027:1.7:0,6:71.98:819582:1.7:0,6:71.95:554855:1.7:0,6:72.26:551754:1.7:0,6:72.71:707095:1.7:0,U:72.24:505756::,:163.96:4950808:U:U,6:70.78:308777:1.7:0,6:0:0:1.7:0,6:69.57:345367:1.7:0
CRUS_112219C58.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:0.0:0,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,U:72.24:505756::,0:163.96:4950808:0.0:0,0:70.78:308777:0.0:0,0:0:0:0.0:0,0:69.57:345367:0.0:0
CRUS_112219C59,4:58.03,4:58.49,4:67.96,4.0,4:68.01,4:70.22,4:68.56,4:68.75:1120692:1.4:0,4:71.13:627201:1.4:0,4:70.74:534027:1.4:0,4:71.98:819582:1.4:0,4:71.95:554855:1.4:0,4:72.26:551754:1.4:0,4:72.71:707095:1.4:0,4:72.24:505756:1.4:0,4:163.96:4950808:1.4:0,4:70.78:308777:1.4:0,3:0:0:1.4:0,3:69.57:345367:1.4:0
CRUS_112219C60,10:58.03,10:58.49,11:67.96,11.0,11:68.01,9:70.22,9:68.56,9:68.75:1120692:10.45:0,9:71.13:627201:10.45:0,9:70.74:534027:10.45:0,9:71.98:819582:10.45:0,9:71.95:554855:10.45:0,9:72.26:551754:10.45:0,9:72.71:707095:10.45:0,9:72.24:505756:10.45:0,9:163.96:4950808:10.45:0,9:70.78:308777:10.45:0,9:0:0:10.45:0,9:69.57:345367:10.45:0
CRUS_112219C60.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:0.0:0,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:163.96:4950808:0.0:0,0:70.78:308777:0.0:0,0:0:0:0.0:0,U:69.57:345367:U:U
CRUS_112219C61,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:0.0:0,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:163.96:4950808:0.0:0,0:70.78:308777:0.0:0,0:0:0:0.0:0,0:69.57:345367:0.0:0
CRUS_112219C62,0:58.03,0:58.49,1:67.96,1.0,1:68.01,1:70.22,1:68.56,1:68.75:1120692:3.7:0,1:71.13:627201:3.7:0,1:70.74:534027:3.7:0,1:71.98:819582:3.7:0,1:71.95:554855:3.7:0,1:72.26:551754:3.7:0,1:72.71:707095:3.7:0,1:72.24:505756:3.7:0,1:163.96:4950808:3.7:0,1:70.78:308777:3.7:0,1:0:0:3.7:0,1:69.57:345367:3.7:0
CRUS_112219C62.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:0.0:0,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,U:72.24:505756::,0:163.96:4950808:0.0:0,0:70.78:308777:0.0:0,0:0:0:0.0:0,0:69.57:345367:0.0:0
CRUS_112219C63,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:0.0:0,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:163.96:4950808:0.0:0,0:70.78:308777:0.0:0,0:0:0:0.0:0,0:69.57:345367:0.0:0
CRUS_112219C65,0:58.03,0:58.49,0:67.96,2.0,2:68.01,2:70.22,2:68.56,2:68.75:1120692:5.2:0,2:71.13:627201:5.2:0,2:70.74:534027:5.2:0,2:71.98:819582:5.2:0,2:71.95:554855:7.12:4,6:72.26:551754:7.12:0,6:72.71:707095:7.76:1,U:72.24:505756::,:163.96:4950808:U:U,7:70.78:308777:7.76:0,5:0:0:5.0:1,[5:69.57:345367:5.0:0
CRUS_112219C70,0:58.03,0:58.49,0:67.96,1.0,11:68.01,11:70.22,16:68.56,16:68.75:1120692:1.7:0,16:71.13:627201:2.52:24,31:70.74:534027:1.8:11,32:71.98:819582:2.65:26,28:71.95:554855:1.95:2,28:72.26:551754:3.2:2,30:72.71:707095:3.47:15,40:72.24:505756:2.45:2,41:163.96:4950808:2.45:0,41:70.78:308777:0.9:2,39:0:0:0.43:1,[39:69.57:345367:0.25:5
CRUS_112919C53.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:0.0:0,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:163.96:4950808:0.0:0,0:70.78:308777:0.0:0,0:0:0:0.0:0,0:69.57:345367:0.0:0
CRUS_112919C54,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:0.0:0,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:163.96:4950808:0.0:0,0:70.78:308777:0.0:0,0:0:0:0.0:0,0:69.57:345367:0.0:0
CRUS_112919C54.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:0.0:0,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:163.96:4950808:0.0:0,0:70.78:308777:0.0:0,0:0:0:0.0:0,U:69.57:345367:U:U
CRUS_112919C55,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:0.0:0,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:163.96:4950808:0.0:0,0:70.78:308777:0.0:0,0:0:0:0.0:0,0:69.57:345367:0.0:0
CRUS_112919C55.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:0.0:0,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:163.96:4950808:0.0:0,0:70.78:308777:0.0:0,0:0:0:0.0:0,U:69.57:345367:U:U
CRUS_112919C56,3:58.03,3:58.49,3:67.96,2.0,2:68.01,2:70.22,2:68.56,2:68.75:1120692:11.7:0,2:71.13:627201:14.0:1,1:70.74:534027:14.0:0,1:71.98:819582:14.0:0,1:71.95:554855:14.0:0,1:72.26:551754:14.0:0,1:72.71:707095:14.0:0,1:72.24:505756:14.0:0,1:163.96:4950808:14.0:0,1:70.78:308777:14.0:0,1:0:0:14.0:0,1:69.57:345367:14.0:0
CRUS_112919C56.5,1:58.03,1:58.49,1:67.96,1.0,1:68.01,1:70.22,1:68.56,1:68.75:1120692:2.95:0,1:71.13:627201:2.95:0,1:70.74:534027:2.95:0,1:71.98:819582:2.95:0,1:71.95:554855:2.95:0,1:72.26:551754:2.95:0,1:72.71:707095:2.95:0,1:72.24:505756:2.95:0,:163.96:4950808:U:U,1:70.78:308777:2.95:0,U:0:0:U:U,1:69.57:345367:2.95:0
CRUS_112919C57,3:58.03,3:58.49,3:67.96,0.0,0:68.01,0:70.22,0:68.56,0:68.75:1120692:11.7:0,0:71.13:627201:11.7:0,0:70.74:534027:11.7:0,0:71.98:819582:11.7:0,0:71.95:554855:11.7:0,0:72.26:551754:11.7:0,0:72.71:707095:11.7:0,U:72.24:505756:.:,0:163.96:4950808:11.7:0,0:70.78:308777:11.7:0,U:0:0:U:U,0:69.57:345367:11.7:0
