Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CRUS_112219P53.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:71.79:372736:0.0:0,0:70.78:308927:0.0:0,0:69.64:601524:0.0:0,0:69.57:345367:0.0:0
CRUS_112219P54,6:58.03,6:58.49,6:67.96,6.0,6:68.01,6:70.22,6:68.56,6:71.13:627201:1.95:0,6:70.74:534027:1.95:0,6:71.98:819582:1.95:0,6:71.95:554855:1.95:0,6:72.26:551754:1.95:0,6:72.71:707095:1.95:0,6:72.24:505756:1.95:0,6:71.79:372736:1.95:0,6:70.78:308927:1.95:0,6:69.64:601524:1.95:0,6:69.57:345367:1.95:0
CRUS_112219P54.5,0:58.03,0:58.49,1:67.96,1.0,1:68.01,1:70.22,1:68.56,1:71.13:627201:0.05:0,1:70.74:534027:0.05:0,1:71.98:819582:0.05:0,1:71.95:554855:0.05:0,1:72.26:551754:0.05:0,1:72.71:707095:0.05:0,1:72.24:505756:0.05:0,:71.79:372736:U:U,1:70.78:308927:0.05:0,U:69.64:601524:U:U,1:69.57:345367:0.05:0
CRUS_112219P55,0:58.03,0:58.49,0:67.96,0.0,U:68.01,0:70.22,0:68.56,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,U:72.24:505756::,0:71.79:372736:0.0:0,0:70.78:308927:0.0:0,U:69.64:601524:U:U,0:69.57:345367:0.0:0
CRUS_112219P55.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,U:72.24:505756::,0:71.79:372736:0.0:0,U:70.78:308927:U:U,0:69.64:601524:0.0:0,0:69.57:345367:0.0:0
CRUS_112219P56,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,U:72.24:505756::,0:71.79:372736:0.0:0,0:70.78:308927:0.0:0,0:69.64:601524:0.0:0,0:69.57:345367:0.0:0
CRUS_112219P56.5,0:58.03,0:58.49,0:67.96,0.0,U:68.01,0:70.22,0:68.56,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,U:72.24:505756::,0:71.79:372736:0.0:0,U:70.78:308927:U:U,0:69.64:601524:0.0:0,0:69.57:345367:0.0:0
CRUS_112219P57,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,U:72.24:505756::,:71.79:372736:U:U,0:70.78:308927:0.0:0,0:69.64:601524:0.0:0,0:69.57:345367:0.0:0
CRUS_112219P57.5,2:58.03,2:58.49,2:67.96,2.0,U:68.01,0:70.22,0:68.56,0:71.13:627201:0.1:0,0:70.74:534027:0.1:0,0:71.98:819582:0.1:0,0:71.95:554855:0.1:0,0:72.26:551754:0.1:0,0:72.71:707095:0.1:0,U:72.24:505756::,0:71.79:372736:0.1:0,0:70.78:308927:0.1:0,0:69.64:601524:0.1:0,0:69.57:345367:0.1:0
CRUS_112219P58,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,U:72.24:505756::,0:71.79:372736:0.0:0,0:70.78:308927:0.0:0,0:69.64:601524:0.0:0,0:69.57:345367:0.0:0
CRUS_112219P58.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,U:72.24:505756::,:71.79:372736:U:U,0:70.78:308927:0.0:0,0:69.64:601524:0.0:0,0:69.57:345367:0.0:0
CRUS_112219P59,0:58.03,0:58.49,0:67.96,0.0,1:68.01,1:70.22,2:68.56,2:71.13:627201:0.05:0,2:70.74:534027:0.05:0,2:71.98:819582:0.05:0,2:71.95:554855:0.05:0,2:72.26:551754:0.05:0,2:72.71:707095:0.05:0,2:72.24:505756:0.05:0,:71.79:372736:U:U,2:70.78:308927:0.05:0,U:69.64:601524:U:U,2:69.57:345367:0.05:0
CRUS_112219P60,1:58.03,1:58.49,1:67.96,1.0,1:68.01,1:70.22,1:68.56,1:71.13:627201:0.0:0,1:70.74:534027:0.0:0,1:71.98:819582:0.0:0,1:71.95:554855:0.0:0,1:72.26:551754:0.0:0,1:72.71:707095:0.0:0,U:72.24:505756::,1:71.79:372736:0.0:0,1:70.78:308927:0.0:0,U:69.64:601524:U:U,1:69.57:345367:0.0:0
CRUS_112219P60.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:71.79:372736:0.0:0,0:70.78:308927:0.0:0,0:69.64:601524:0.0:0,0:69.57:345367:0.0:0
CRUS_112219P61,0:58.03,0:58.49,0:67.96,0.0,U:68.01,0:70.22,0:68.56,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:71.79:372736:0.0:0,0:70.78:308927:0.0:0,0:69.64:601524:0.0:0,0:69.57:345367:0.0:0
CRUS_112219P62,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:71.79:372736:0.0:0,0:70.78:308927:0.0:0,U:69.64:601524:U:U,0:69.57:345367:0.0:0
CRUS_112219P62.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:71.79:372736:0.0:0,0:70.78:308927:0.0:0,0:69.64:601524:0.0:0,0:69.57:345367:0.0:0
CRUS_112219P63,0:58.03,0:58.49,61:67.96,61.0,61:68.01,61:70.22,61:68.56,61:71.13:627201:6.0:0,61:70.74:534027:0.2:63,124:71.98:819582:0.2:0,124:71.95:554855:0.2:0,124:72.26:551754:0.2:0,124:72.71:707095:0.2:0,124:72.24:505756:0.2:0,:71.79:372736:U:U,124:70.78:308927:0.2:0,U:69.64:601524:U:U,124:69.57:345367:0.2:0
CRUS_112219P65,0:58.03,0:58.49,0:67.96,138.0,139:68.01,128:70.22,100:68.56,100:71.13:627201:0.5:0,100:70.74:534027:0.34:20,120:71.98:819582:0.34:0,120:71.95:554855:0.34:0,120:72.26:551754:0.34:0,120:72.71:707095:0.34:0,120:72.24:505756:0.34:0,120:71.79:372736:0.34:0,120:70.78:308927:0.34:0,120:69.64:601524:0.34:0,[120:69.57:345367:0.34:0
CRUS_112219P70,0:58.03,0:58.49,0:67.96,3.0,3:68.01,3:70.22,3:68.56,3:71.13:627201:1.35:5,6:70.74:534027:1.25:21,20:71.98:819582:0.85:6,21:71.95:554855:0.65:28,49:72.26:551754:0.67:2,50:72.71:707095:0.3:12,59:72.24:505756:0.3:0,59:71.79:372736:0.3:0,59:70.78:308927:0.5:29,86:69.64:601524:0.5:0,[86:69.57:345367:0.64:18
CRUS_112919P53.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,:71.79:372736:U:U,0:70.78:308927:0.0:0,U:69.64:601524:U:U,0:69.57:345367:0.0:0
CRUS_112919P54,7:58.03,7:58.49,7:67.96,7.0,7:68.01,7:70.22,7:68.56,7:71.13:627201:0.0:0,7:70.74:534027:0.0:0,7:71.98:819582:0.0:0,7:71.95:554855:0.0:0,7:72.26:551754:0.0:0,7:72.71:707095:0.0:0,U:72.24:505756::,:71.79:372736:U:U,7:70.78:308927:0.0:0,U:69.64:601524:U:U,7:69.57:345367:0.0:0
CRUS_112919P54.5,0:58.03,0:58.49,0:67.96,0.0,0:68.01,0:70.22,0:68.56,0:71.13:627201:0.0:0,0:70.74:534027:0.0:0,0:71.98:819582:0.0:0,0:71.95:554855:0.0:0,0:72.26:551754:0.0:0,0:72.71:707095:0.0:0,0:72.24:505756:0.0:0,0:71.79:372736:0.0:0,0:70.78:308927:0.0:0,0:69.64:601524:0.0:0,0:69.57:345367:0.0:0
