Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CTSH_112219C55.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,U:63.63:2812820::,0:63.92:2107570:0.0:0,U:63.36:1808339:U:U,0:63.4:2296130:0.0:0,0:63.19:3046940:0.0:0
CTSH_112219C56,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,U:63.63:2812820::,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,0:63.4:2296130:0.0:0,0:63.19:3046940:0.0:0
CTSH_112219C56.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,0:63.63:2812820:0.0:0,0:63.92:2107570:0.0:0,U:63.36:1808339:.:U,0:63.4:2296130:0.0:0,U:63.19:3046940:U:U
CTSH_112219C57,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,U:63.63:2812820::,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,0:63.4:2296130:0.0:0,0:63.19:3046940:0.0:0
CTSH_112219C57.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,U:63.63:2812820::,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,0:63.4:2296130:0.0:0,0:63.19:3046940:0.0:0
CTSH_112219C58,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,0:63.63:2812820:0.0:0,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,0:63.4:2296130:0.0:0,0:63.19:3046940:0.0:0
CTSH_112219C58.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,U:63.63:2812820::,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,0:63.4:2296130:0.0:0,[0:63.19:3046940:0.0:0
CTSH_112219C59,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,0:63.63:2812820:0.0:0,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,0:63.4:2296130:0.0:0,[0:63.19:3046940:0.0:0
CTSH_112219C59.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,0:63.63:2812820:0.0:0,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,0:63.4:2296130:0.0:0,[0:63.19:3046940:0.0:0
CTSH_112219C60,1:60.45,1:59.89,1:60.94,1.0,1:62.07,1:61.92,1:62.26,1:63.03:2663642:2.26:0,1:62.86:1788590:2.26:0,1:62.64:1533892:2.26:0,1:62.84:2724744:2.7:5,5:62.51:1730996:2.7:0,5:63.11:2557225:2.7:0,5:63.38:2533648:2.7:0,0:63.63:2812820:2.7:0,0:63.92:2107570:2.7:0,0:63.36:1808339:2.7:0,0:63.4:2296130:2.7:0,[0:63.19:3046940:2.7:0
CTSH_112219C60.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:2.2:0,0:62.86:1788590:2.2:0,0:62.64:1533892:2.2:0,0:62.84:2724744:2.2:0,0:62.51:1730996:2.2:0,0:63.11:2557225:2.2:0,0:63.38:2533648:2.2:0,0:63.63:2812820:2.2:0,0:63.92:2107570:2.2:0,0:63.36:1808339:2.2:0,0:63.4:2296130:2.2:0,[0:63.19:3046940:2.2:0
CTSH_112219C61,26:60.45,26:59.89,26:60.94,26.0,26:62.07,26:61.92,26:62.26,26:63.03:2663642:1.1:0,26:62.86:1788590:1.1:0,26:62.64:1533892:1.1:0,26:62.84:2724744:1.1:0,26:62.51:1730996:1.1:0,26:63.11:2557225:1.1:0,26:63.38:2533648:1.1:0,0:63.63:2812820:1.1:0,0:63.92:2107570:1.1:0,0:63.36:1808339:1.1:0,0:63.4:2296130:1.1:0,[0:63.19:3046940:1.1:0
CTSH_112219C61.5,342:60.45,342:59.89,342:60.94,342.0,343:62.07,343:61.92,343:62.26,343:63.03:2663642:1.05:0,343:62.86:1788590:1.55:1,342:62.64:1533892:1.55:0,342:62.84:2724744:1.55:0,342:62.51:1730996:1.55:0,342:63.11:2557225:1.45:3,342:63.38:2533648:1.45:0,21:63.63:2812820:1.45:0,21:63.92:2107570:1.45:0,21:63.36:1808339:1.45:0,21:63.4:2296130:1.95:3,[21:63.19:3046940:1.17:5
CTSH_112219C62,174:60.45,174:59.89,174:60.94,174.0,174:62.07,176:61.92,175:62.26,175:63.03:2663642:0.85:0,175:62.86:1788590:0.85:0,175:62.64:1533892:0.85:0,175:62.84:2724744:1.0:12,175:62.51:1730996:0.85:1,175:63.11:2557225:0.85:0,175:63.38:2533648:1.25:4,101:63.63:2812820:1.6:1,101:63.92:2107570:1.6:0,101:63.36:1808339:1.6:0,101:63.4:2296130:1.6:0,[101:63.19:3046940:1.1:25
CTSH_112219C62.5,512:60.45,512:59.89,514:60.94,519.0,519:62.07,520:61.92,520:62.26,520:63.03:2663642:1.02:14,527:62.86:1788590:0.83:8,529:62.64:1533892:0.83:0,529:62.84:2724744:0.73:1,530:62.51:1730996:0.73:0,530:63.11:2557225:0.6:16,529:63.38:2533648:0.7:2,531:63.63:2812820:0.7:0,531:63.92:2107570:0.7:0,531:63.36:1808339:0.7:0,531:63.4:2296130:0.7:0,[531:63.19:3046940:0.57:502
CTSH_112219C63,6:60.45,6:59.89,6:60.94,6.0,8:62.07,8:61.92,11:62.26,13:63.03:2663642:0.8:1,13:62.86:1788590:0.8:0,13:62.64:1533892:0.5:13,20:62.84:2724744:0.45:14,30:62.51:1730996:0.34:11,32:63.11:2557225:0.6:3,35:63.38:2533648:0.46:16,50:63.63:2812820:0.8:25,45:63.92:2107570:1.0:20,33:63.36:1808339:0.82:2,33:63.4:2296130:0.82:0,[33:63.19:3046940:0.05:21
CTSH_112219C63.5,529:60.45,529:59.89,529:60.94,529.0,529:62.07,535:61.92,535:62.26,535:63.03:2663642:0.2:0,535:62.86:1788590:0.2:0,535:62.64:1533892:0.2:0,535:62.84:2724744:0.2:0,535:62.51:1730996:0.2:0,535:63.11:2557225:0.25:1,536:63.38:2533648:0.25:0,536:63.63:2812820:0.52:76,550:63.92:2107570:0.65:29,543:63.36:1808339:0.65:0,543:63.4:2296130:0.65:0,[543:63.19:3046940:0.02:477
CTSH_112219C64,0:60.45,0:59.89,0:60.94,5.0,5:62.07,5:61.92,5:62.26,5:63.03:2663642:0.1:0,5:62.86:1788590:0.1:0,5:62.64:1533892:0.1:0,5:62.84:2724744:0.1:0,5:62.51:1730996:0.13:2,7:63.11:2557225:0.16:2,9:63.38:2533648:0.17:3,12:63.63:2812820:0.35:2493,1739:63.92:2107570:0.37:536,1348:63.36:1808339:0.1:101,1318:63.4:2296130:0.07:39,[1290:63.19:3046940:0.05:3
CTSH_112219C64.5,4:60.45,4:59.89,4:60.94,4.0,4:62.07,4:61.92,4:62.26,4:63.03:2663642:0.1:0,4:62.86:1788590:0.1:0,4:62.64:1533892:0.1:0,4:62.84:2724744:0.1:1,4:62.51:1730996:0.1:0,4:63.11:2557225:0.1:0,4:63.38:2533648:0.1:0,4:63.63:2812820:0.15:4,7:63.92:2107570:0.15:1,7:63.36:1808339:0.05:8,15:63.4:2296130:0.05:0,[15:63.19:3046940:0.05:0
CTSH_112219C65,0:60.45,0:59.89,2:60.94,2.0,2:62.07,2:61.92,2:62.26,2:63.03:2663642:0.25:0,2:62.86:1788590:0.25:0,2:62.64:1533892:0.25:0,2:62.84:2724744:0.25:0,2:62.51:1730996:0.25:0,2:63.11:2557225:0.25:0,2:63.38:2533648:0.25:0,2:63.63:2812820:0.06:2,4:63.92:2107570:0.06:0,4:63.36:1808339:0.06:0,4:63.4:2296130:0.06:0,[4:63.19:3046940:0.06:0
CTSH_112919C55.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,0:63.63:2812820:0.0:0,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,0:63.4:2296130:0.0:0,0:63.19:3046940:0.0:0
CTSH_112919C56,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,U:63.63:2812820::,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,0:63.4:2296130:0.0:0,0:63.19:3046940:0.0:0
CTSH_112919C56.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,U:63.63:2812820::,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,0:63.4:2296130:0.0:0,U:63.19:3046940:U:U
CTSH_112919C57,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,U:63.63:2812820::,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,0:63.4:2296130:0.0:0,0:63.19:3046940:0.0:0
CTSH_112919C57.5,0:60.45,4:59.89,4:60.94,4.0,4:62.07,4:61.92,4:62.26,4:63.03:2663642:4.1:0,4:62.86:1788590:4.1:0,4:62.64:1533892:4.1:0,4:62.84:2724744:4.1:0,4:62.51:1730996:4.1:0,4:63.11:2557225:4.1:0,4:63.38:2533648:4.1:0,0:63.63:2812820:4.1:0,0:63.92:2107570:4.1:0,U:63.36:1808339:U:U,0:63.4:2296130:4.1:0,0:63.19:3046940:4.1:0
CTSH_112919C58,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,U:63.63:2812820::,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,0:63.4:2296130:0.0:0,0:63.19:3046940:0.0:0
CTSH_112919C58.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,0:63.63:2812820:0.0:0,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,0:63.4:2296130:0.0:0,[0:63.19:3046940:0.0:0
CTSH_112919C59,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,0:63.63:2812820:0.0:0,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,0:63.4:2296130:0.0:0,[0:63.19:3046940:0.0:0
CTSH_112919C59.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,11:62.26,11:63.03:2663642:2.6:0,11:62.86:1788590:2.6:0,11:62.64:1533892:2.6:0,11:62.84:2724744:2.6:0,11:62.51:1730996:2.6:0,11:63.11:2557225:2.6:0,11:63.38:2533648:2.6:0,0:63.63:2812820:2.6:0,0:63.92:2107570:2.6:0,0:63.36:1808339:2.6:0,0:63.4:2296130:2.6:0,[0:63.19:3046940:2.6:0
CTSH_112919C60,4:60.45,4:59.89,4:60.94,5.0,5:62.07,8:61.92,8:62.26,8:63.03:2663642:2.5:0,8:62.86:1788590:2.5:0,8:62.64:1533892:2.5:0,8:62.84:2724744:2.5:0,8:62.51:1730996:2.5:0,8:63.11:2557225:2.5:0,8:63.38:2533648:2.5:0,0:63.63:2812820:2.5:0,0:63.92:2107570:2.5:0,0:63.36:1808339:2.5:0,0:63.4:2296130:2.5:0,[0:63.19:3046940:2.5:10
CTSH_112919C60.5,0:60.45,0:59.89,0:60.94,0.0,3:62.07,3:61.92,3:62.26,3:63.03:2663642:1.92:0,3:62.86:1788590:1.92:0,3:62.64:1533892:1.92:0,3:62.84:2724744:1.92:0,3:62.51:1730996:1.92:0,3:63.11:2557225:1.92:0,3:63.38:2533648:2.77:1,0:63.63:2812820:2.77:0,0:63.92:2107570:3.5:2,2:63.36:1808339:3.5:0,2:63.4:2296130:3.5:0,[2:63.19:3046940:3.5:0
CTSH_112919C61,94:60.45,97:59.89,97:60.94,97.0,97:62.07,97:61.92,97:62.26,97:63.03:2663642:2.25:5,97:62.86:1788590:2.25:0,97:62.64:1533892:2.25:0,97:62.84:2724744:2.25:0,97:62.51:1730996:2.25:0,97:63.11:2557225:2.25:0,97:63.38:2533648:2.25:0,15:63.63:2812820:2.25:0,15:63.92:2107570:2.25:0,15:63.36:1808339:2.25:0,15:63.4:2296130:2.25:0,[15:63.19:3046940:2.25:0
CTSH_112919C61.5,34:60.45,34:59.89,34:60.94,34.0,34:62.07,34:61.92,35:62.26,35:63.03:2663642:1.8:1,35:62.86:1788590:1.8:0,35:62.64:1533892:1.8:0,35:62.84:2724744:1.8:0,35:62.51:1730996:1.8:0,35:63.11:2557225:1.8:0,35:63.38:2533648:1.8:0,35:63.63:2812820:1.8:0,35:63.92:2107570:1.8:0,35:63.36:1808339:1.8:0,35:63.4:2296130:1.8:0,[35:63.19:3046940:1.8:0
CTSH_112919C62,54:60.45,54:59.89,54:60.94,54.0,54:62.07,54:61.92,54:62.26,54:63.03:2663642:1.3:0,54:62.86:1788590:1.3:0,54:62.64:1533892:1.3:0,54:62.84:2724744:1.3:0,54:62.51:1730996:1.3:0,54:63.11:2557225:1.0:2,54:63.38:2533648:1.0:0,54:63.63:2812820:1.0:0,54:63.92:2107570:1.0:0,54:63.36:1808339:1.0:0,54:63.4:2296130:1.0:0,[54:63.19:3046940:1.0:0
CTSH_112919C62.5,1:60.45,1:59.89,1:60.94,1.0,1:62.07,29:61.92,32:62.26,32:63.03:2663642:1.2:4,32:62.86:1788590:1.2:0,32:62.64:1533892:1.2:0,32:62.84:2724744:1.2:0,32:62.51:1730996:1.2:0,32:63.11:2557225:0.94:5,37:63.38:2533648:0.94:0,37:63.63:2812820:0.94:0,37:63.92:2107570:0.94:0,37:63.36:1808339:0.94:0,37:63.4:2296130:0.94:0,[37:63.19:3046940:0.82:2
CTSH_112919C63,50:60.45,50:59.89,50:60.94,50.0,51:62.07,56:61.92,57:62.26,57:63.03:2663642:0.98:4,56:62.86:1788590:0.98:0,56:62.64:1533892:0.98:0,56:62.84:2724744:0.65:2,56:62.51:1730996:0.55:1,56:63.11:2557225:0.55:0,56:63.38:2533648:0.8:4,55:63.63:2812820:0.8:0,55:63.92:2107570:1.05:1,56:63.36:1808339:0.95:3,56:63.4:2296130:0.8:74,[82:63.19:3046940:0.6:26
CTSH_112919C63.5,10:60.45,10:59.89,10:60.94,10.0,10:62.07,10:61.92,10:62.26,10:63.03:2663642:0.75:7,17:62.86:1788590:0.5:5,22:62.64:1533892:0.5:3,22:62.84:2724744:0.5:0,22:62.51:1730996:0.42:2,22:63.11:2557225:0.5:5,17:63.38:2533648:0.55:5,12:63.63:2812820:0.55:0,12:63.92:2107570:0.55:0,12:63.36:1808339:0.55:0,13:63.4:2296130:0.5:28,[41:63.19:3046940:0.35:16
CTSH_112919C64,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.55:2,2:62.64:1533892:0.55:0,2:62.84:2724744:0.55:0,2:62.51:1730996:0.55:0,2:63.11:2557225:0.15:2,1:63.38:2533648:0.3:7,8:63.63:2812820:0.54:91,93:63.92:2107570:0.55:62,47:63.36:1808339:0.5:6,42:63.4:2296130:0.35:27,[46:63.19:3046940:0.2:1
CTSH_112919C64.5,13:60.45,13:59.89,13:60.94,13.0,13:62.07,13:61.92,13:62.26,13:63.03:2663642:0.15:0,13:62.86:1788590:0.15:0,13:62.64:1533892:0.15:0,13:62.84:2724744:0.15:0,13:62.51:1730996:0.15:0,13:63.11:2557225:0.15:0,13:63.38:2533648:0.2:14,27:63.63:2812820:0.3:10,29:63.92:2107570:0.35:1,30:63.36:1808339:0.35:0,30:63.4:2296130:0.24:20,[45:63.19:3046940:0.24:0
CTSH_112919C65,8:60.45,8:59.89,8:60.94,8.0,8:62.07,8:61.92,8:62.26,8:63.03:2663642:0.15:5,13:62.86:1788590:0.15:0,13:62.64:1533892:0.15:0,13:62.84:2724744:0.15:0,13:62.51:1730996:0.15:0,13:63.11:2557225:0.15:0,13:63.38:2533648:0.15:0,13:63.63:2812820:0.19:1,14:63.92:2107570:0.19:0,14:63.36:1808339:0.2:1,15:63.4:2296130:0.2:0,[15:63.19:3046940:0.2:0
CTSH_120619C55.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,U:62.51:1730996:.:,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,0:63.63:2812820:0.0:0,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,0:63.4:2296130:0.0:0,0:63.19:3046940:0.0:0
