Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CTSH_112219P55.5,0:60.45,0:59.89,0:60.94,0.0,U:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,0:63.63:2812820:0.0:0,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,U:63.4:2296130:U:U,0:63.19:3046940:0.0:0
CTSH_112219P56,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,0:63.63:2812820:0.0:0,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,U:63.4:2296130:U:U,0:63.19:3046940:0.0:0
CTSH_112219P56.5,0:60.45,0:59.89,0:60.94,0.0,U:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,0:63.63:2812820:0.0:0,:63.92:2107570:.:U,0:63.36:1808339:0.0:0,U:63.4:2296130:U:U,0:63.19:3046940:0.0:0
CTSH_112219P57,0:60.45,0:59.89,2:60.94,2.0,2:62.07,2:61.92,2:62.26,2:63.03:2663642:0.79:0,2:62.86:1788590:0.79:0,2:62.64:1533892:0.79:0,2:62.84:2724744:0.79:0,2:62.51:1730996:0.79:0,2:63.11:2557225:0.79:0,2:63.38:2533648:0.79:0,2:63.63:2812820:0.79:0,2:63.92:2107570:0.79:0,2:63.36:1808339:0.79:0,U:63.4:2296130:U:U,2:63.19:3046940:0.79:0
CTSH_112219P57.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,0:63.63:2812820:0.0:0,0:63.92:2107570:0.0:0,0:63.36:1808339:0.0:0,0:63.4:2296130:0.0:0,0:63.19:3046940:0.0:0
CTSH_112219P58,14:60.45,14:59.89,14:60.94,14.0,14:62.07,14:61.92,14:62.26,14:63.03:2663642:1.1:0,14:62.86:1788590:1.1:0,14:62.64:1533892:1.1:0,14:62.84:2724744:1.1:0,14:62.51:1730996:1.1:0,14:63.11:2557225:1.1:0,14:63.38:2533648:1.1:0,14:63.63:2812820:1.1:0,14:63.92:2107570:1.1:0,14:63.36:1808339:1.1:0,U:63.4:2296130:U:U,14:63.19:3046940:1.1:0
CTSH_112219P58.5,0:60.45,0:59.89,1:60.94,1.0,1:62.07,1:61.92,11:62.26,11:63.03:2663642:0.2:0,11:62.86:1788590:0.2:0,11:62.64:1533892:0.2:0,11:62.84:2724744:0.2:0,11:62.51:1730996:0.2:0,11:63.11:2557225:0.2:0,11:63.38:2533648:0.2:0,11:63.63:2812820:0.2:0,11:63.92:2107570:0.2:0,11:63.36:1808339:0.2:0,11:63.4:2296130:0.2:0,[11:63.19:3046940:0.2:0
CTSH_112219P59,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,0:63.63:2812820:0.0:0,0:63.92:2107570:0.0:0,U:63.36:1808339:U:U,0:63.4:2296130:0.0:0,[0:63.19:3046940:0.0:0
CTSH_112219P59.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.05:2,2:63.38:2533648:0.05:0,2:63.63:2812820:0.05:0,2:63.92:2107570:0.05:0,2:63.36:1808339:0.05:0,2:63.4:2296130:0.05:0,[2:63.19:3046940:0.05:0
CTSH_112219P60,10:60.45,10:59.89,10:60.94,10.0,10:62.07,10:61.92,10:62.26,10:63.03:2663642:0.5:0,10:62.86:1788590:0.5:0,10:62.64:1533892:0.12:4,14:62.84:2724744:0.12:0,14:62.51:1730996:0.12:0,14:63.11:2557225:0.12:0,14:63.38:2533648:0.12:0,14:63.63:2812820:0.12:0,14:63.92:2107570:0.12:0,14:63.36:1808339:0.12:0,14:63.4:2296130:0.12:0,[14:63.19:3046940:0.12:0
CTSH_112219P60.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.15:2,2:63.38:2533648:0.15:0,2:63.63:2812820:0.15:0,2:63.92:2107570:0.15:0,U:63.36:1808339:U:U,2:63.4:2296130:0.15:0,[2:63.19:3046940:0.15:0
CTSH_112219P61,0:60.45,0:59.89,1:60.94,1.0,1:62.07,1:61.92,6:62.26,6:63.03:2663642:0.65:0,6:62.86:1788590:0.65:0,6:62.64:1533892:0.65:0,6:62.84:2724744:0.65:0,6:62.51:1730996:0.2:10,16:63.11:2557225:0.2:0,16:63.38:2533648:0.2:0,16:63.63:2812820:0.2:0,16:63.92:2107570:0.65:0,16:63.36:1808339:0.65:0,16:63.4:2296130:0.65:0,[16:63.19:3046940:0.65:0
CTSH_112219P61.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,6:62.26,6:63.03:2663642:0.85:0,6:62.86:1788590:0.85:0,6:62.64:1533892:0.85:0,6:62.84:2724744:0.85:0,6:62.51:1730996:0.85:0,6:63.11:2557225:0.85:0,6:63.38:2533648:0.85:0,6:63.63:2812820:0.85:0,6:63.92:2107570:0.85:0,6:63.36:1808339:0.85:0,6:63.4:2296130:0.85:0,[6:63.19:3046940:0.85:0
CTSH_112219P62,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,8:63.03:2663642:0.95:0,8:62.86:1788590:0.95:0,8:62.64:1533892:0.46:260,258:62.84:2724744:0.46:0,258:62.51:1730996:0.46:0,258:63.11:2557225:0.46:0,258:63.38:2533648:0.46:0,258:63.63:2812820:0.12:45,264:63.92:2107570:0.12:0,264:63.36:1808339:0.12:0,264:63.4:2296130:0.05:14,[256:63.19:3046940:0.03:56
CTSH_112219P62.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,27:61.92,27:62.26,27:63.03:2663642:0.65:9,27:62.86:1788590:0.65:0,27:62.64:1533892:0.65:0,27:62.84:2724744:0.65:0,27:62.51:1730996:0.65:1,28:63.11:2557225:0.65:7,35:63.38:2533648:0.65:0,35:63.63:2812820:0.25:60,69:63.92:2107570:0.25:0,69:63.36:1808339:0.25:0,69:63.4:2296130:0.25:0,[69:63.19:3046940:0.25:0
CTSH_112219P63,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,11:62.26,11:63.03:2663642:1.65:0,11:62.86:1788590:1.65:0,11:62.64:1533892:1.65:0,11:62.84:2724744:1.65:0,11:62.51:1730996:0.95:4,14:63.11:2557225:0.95:0,14:63.38:2533648:0.5:196,183:63.63:2812820:0.3:79,195:63.92:2107570:0.3:0,195:63.36:1808339:0.15:7,197:63.4:2296130:0.14:7,[197:63.19:3046940:0.08:148
CTSH_112219P63.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:1.25:2,1:62.86:1788590:1.25:0,1:62.64:1533892:1.25:0,1:62.84:2724744:1.25:0,1:62.51:1730996:1.25:0,1:63.11:2557225:1.25:0,1:63.38:2533648:0.75:11,U:63.63:2812820::,72:63.92:2107570:0.5:0,72:63.36:1808339:0.5:0,72:63.4:2296130:0.5:0,[72:63.19:3046940:0.5:10
CTSH_112219P64,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,0:63.63:2812820:0.0:0,0:63.92:2107570:0.45:2,2:63.36:1808339:0.95:1,2:63.4:2296130:0.95:0,[2:63.19:3046940:0.95:0
CTSH_112219P64.5,0:60.45,0:59.89,0:60.94,0.0,0:62.07,0:61.92,0:62.26,0:63.03:2663642:0.0:0,0:62.86:1788590:0.0:0,0:62.64:1533892:0.0:0,0:62.84:2724744:0.0:0,0:62.51:1730996:0.0:0,0:63.11:2557225:0.0:0,0:63.38:2533648:0.0:0,0:63.63:2812820:0.0:0,0:63.92:2107570:0.0:0,U:63.36:1808339:U:U,0:63.4:2296130:0.0:0,[0:63.19:3046940:0.0:0
