Symbol,20191029,20191030,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CY_122019P14,143:23.28,143:23.29,143.0,143:23.29,143:23.29,143:23.2995,143:23.34:3292673:0.05:0,143:23.31:1509546:0.05:0,143:23.31:2200734:0.05:0,143:23.37:3226108:0.05:0,143:23.415:3218619:0.05:0,143:23.44:1199386:0.05:0,143:23.44:2676496:0.05:0,143:23.44:3138774:0.05:0,143:23.38:5192630:0.05:0,143:23.395:1622948:0.05:0,143:23.37:3938046:0.05:0,[143:23.41:3238689:0.05:0
CY_122019P15,226:23.28,226:23.29,226.0,226:23.29,226:23.29,226:23.2995,226:23.34:3292673:0.06:0,226:23.31:1509546:0.06:0,226:23.31:2200734:0.06:0,226:23.37:3226108:0.06:0,226:23.415:3218619:0.06:0,226:23.44:1199386:0.06:0,226:23.44:2676496:0.06:0,226:23.44:3138774:0.06:0,226:23.38:5192630:0.06:0,226:23.395:1622948:0.06:0,226:23.37:3938046:0.06:0,[226:23.41:3238689:0.06:0
CY_122019P16,123:23.28,123:23.29,123.0,123:23.29,123:23.29,123:23.2995,123:23.34:3292673:0.04:0,123:23.31:1509546:0.04:0,123:23.31:2200734:0.04:0,123:23.37:3226108:0.04:0,123:23.415:3218619:0.04:0,123:23.44:1199386:0.04:0,123:23.44:2676496:0.04:0,123:23.44:3138774:0.04:0,123:23.38:5192630:0.04:0,123:23.395:1622948:0.04:0,123:23.37:3938046:0.04:0,[123:23.41:3238689:0.04:0
CY_122019P17,927:23.28,927:23.29,927.0,927:23.29,927:23.29,927:23.2995,927:23.34:3292673:0.05:0,927:23.31:1509546:0.05:0,927:23.31:2200734:0.05:0,927:23.37:3226108:0.05:0,927:23.415:3218619:0.05:0,927:23.44:1199386:0.05:0,927:23.44:2676496:0.05:0,927:23.44:3138774:0.05:0,927:23.38:5192630:0.05:0,927:23.395:1622948:0.05:0,927:23.37:3938046:0.05:0,[927:23.41:3238689:0.05:0
CY_122019P18,264:23.28,264:23.29,264.0,264:23.29,264:23.29,264:23.2995,264:23.34:3292673:0.1:0,264:23.31:1509546:0.1:0,264:23.31:2200734:0.1:0,264:23.37:3226108:0.1:0,264:23.415:3218619:0.1:0,264:23.44:1199386:0.1:0,264:23.44:2676496:0.1:0,264:23.44:3138774:0.1:0,264:23.38:5192630:0.1:0,264:23.395:1622948:0.1:0,264:23.37:3938046:0.1:0,[264:23.41:3238689:0.1:0
CY_122019P19,77:23.28,77:23.29,77.0,77:23.29,77:23.29,77:23.2995,77:23.34:3292673:0.05:0,77:23.31:1509546:0.05:0,77:23.31:2200734:0.05:0,77:23.37:3226108:0.05:0,77:23.415:3218619:0.05:0,77:23.44:1199386:0.05:0,77:23.44:2676496:0.05:0,77:23.44:3138774:0.05:0,77:23.38:5192630:0.05:0,77:23.395:1622948:0.05:0,77:23.37:3938046:0.05:0,[77:23.41:3238689:0.05:0
CY_122019P20,1162:23.28,1162:23.29,1162.0,1162:23.29,1162:23.29,1162:23.2995,1162:23.34:3292673:0.1:0,1162:23.31:1509546:0.1:0,1162:23.31:2200734:0.1:0,1162:23.37:3226108:0.1:0,1162:23.415:3218619:0.1:0,1162:23.44:1199386:0.1:0,1162:23.44:2676496:0.1:0,1162:23.44:3138774:0.1:0,1162:23.38:5192630:0.1:0,1162:23.395:1622948:0.1:0,1162:23.37:3938046:0.1:0,[1162:23.41:3238689:0.1:0
CY_122019P21,15:23.28,15:23.29,15.0,15:23.29,15:23.29,15:23.2995,15:23.34:3292673:0.1:0,15:23.31:1509546:0.1:0,15:23.31:2200734:0.1:0,15:23.37:3226108:0.1:0,15:23.415:3218619:0.1:0,15:23.44:1199386:0.1:0,15:23.44:2676496:0.1:0,15:23.44:3138774:0.1:0,15:23.38:5192630:0.1:0,15:23.395:1622948:0.1:0,15:23.37:3938046:0.1:0,[15:23.41:3238689:0.1:0
CY_122019P22,2907:23.28,2928:23.29,2928.0,2928:23.29,2928:23.29,2928:23.2995,2928:23.34:3292673:0.15:1,2929:23.31:1509546:0.05:1,2928:23.31:2200734:0.05:0,2928:23.37:3226108:0.05:0,2928:23.415:3218619:0.05:0,2928:23.44:1199386:0.1:2,2928:23.44:2676496:0.1:0,2928:23.44:3138774:0.05:5,2928:23.38:5192630:0.05:0,2928:23.395:1622948:0.05:0,2928:23.37:3938046:0.05:0,[2928:23.41:3238689:0.1:1
CY_122019P23,514:23.28,514:23.29,520.0,520:23.29,520:23.29,520:23.2995,520:23.34:3292673:0.3:0,520:23.31:1509546:0.3:0,520:23.31:2200734:0.3:0,520:23.37:3226108:0.3:0,520:23.415:3218619:0.3:0,520:23.44:1199386:0.3:0,520:23.44:2676496:0.3:0,520:23.44:3138774:0.05:2,520:23.38:5192630:0.05:0,520:23.395:1622948:0.05:0,520:23.37:3938046:0.05:0,[520:23.41:3238689:0.2:1
CY_122019P24,0:23.28,0:23.29,0.0,0:23.29,0:23.29,0:23.2995,0:23.34:3292673:0.5:0,0:23.31:1509546:0.5:0,0:23.31:2200734:0.5:0,0:23.37:3226108:0.5:0,0:23.415:3218619:0.5:0,0:23.44:1199386:0.5:0,0:23.44:2676496:0.5:0,0:23.44:3138774:0.5:0,0:23.38:5192630:0.5:0,0:23.395:1622948:0.5:0,0:23.37:3938046:0.5:0,[0:23.41:3238689:0.5:0
CY_122019P25,1:23.28,1:23.29,1.0,1:23.29,1:23.29,1:23.2995,1:23.34:3292673:1.54:0,1:23.31:1509546:1.54:0,1:23.31:2200734:1.54:0,1:23.37:3226108:1.54:0,1:23.415:3218619:1.54:0,1:23.44:1199386:1.54:0,1:23.44:2676496:1.54:0,1:23.44:3138774:1.54:0,1:23.38:5192630:1.54:0,1:23.395:1622948:1.54:0,1:23.37:3938046:1.54:0,[1:23.41:3238689:1.54:0
CY_122019P26,0:23.28,0:23.29,0.0,0:23.29,0:23.29,0:23.2995,0:23.34:3292673:2.64:0,0:23.31:1509546:2.64:0,0:23.31:2200734:2.64:0,0:23.37:3226108:2.64:0,0:23.415:3218619:2.64:0,0:23.44:1199386:2.64:0,0:23.44:2676496:2.64:0,0:23.44:3138774:2.64:0,0:23.38:5192630:2.64:0,0:23.395:1622948:2.64:0,0:23.37:3938046:2.64:0,[0:23.41:3238689:2.64:0
CY_122019P27,0:23.28,0:23.29,0.0,0:23.29,0:23.29,0:23.2995,0:23.34:3292673:0.0:0,0:23.31:1509546:0.0:0,0:23.31:2200734:0.0:0,0:23.37:3226108:0.0:0,0:23.415:3218619:0.0:0,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:23.38:5192630:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_122019P28,0:23.28,0:23.29,0.0,0:23.29,0:23.29,0:23.2995,0:23.34:3292673:0.0:0,0:23.31:1509546:0.0:0,0:23.31:2200734:0.0:0,0:23.37:3226108:0.0:0,0:23.415:3218619:0.0:0,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:23.38:5192630:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_122019P29,0:23.28,0:23.29,0.0,0:23.29,0:23.29,0:23.2995,0:23.34:3292673:0.0:0,0:23.31:1509546:0.0:0,0:23.31:2200734:0.0:0,0:23.37:3226108:0.0:0,0:23.415:3218619:0.0:0,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:23.38:5192630:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_122019P30,0:23.28,0:23.29,0.0,0:23.29,0:23.29,0:23.2995,0:23.34:3292673:0.0:0,0:23.31:1509546:0.0:0,0:23.31:2200734:0.0:0,0:23.37:3226108:0.0:0,0:23.415:3218619:0.0:0,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:23.38:5192630:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_122019P31,0:23.28,0:23.29,0.0,0:23.29,0:23.29,0:23.2995,0:23.34:3292673:0.0:0,0:23.31:1509546:0.0:0,0:23.31:2200734:0.0:0,0:23.37:3226108:0.0:0,0:23.415:3218619:0.0:0,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:23.38:5192630:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_122019P32,0:23.28,0:23.29,0.0,0:23.29,0:23.29,0:23.2995,0:23.34:3292673:0.0:0,0:23.31:1509546:0.0:0,0:23.31:2200734:0.0:0,0:23.37:3226108:0.0:0,0:23.415:3218619:0.0:0,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:23.38:5192630:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_122019P33,0:23.28,0:23.29,0.0,0:23.29,0:23.29,0:23.2995,0:23.34:3292673:0.0:0,0:23.31:1509546:0.0:0,0:23.31:2200734:0.0:0,0:23.37:3226108:0.0:0,0:23.415:3218619:0.0:0,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:23.38:5192630:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_011720P14,U,U,U,U,U,U,U,U,U,U,U,36:23.44:1199386:0.1:0,36:23.44:2676496:0.1:0,36:23.44:3138774:0.1:0,36:23.38:5192630:0.1:0,36:23.395:1622948:0.1:0,36:23.37:3938046:0.1:0,[36:23.41:3238689:0.1:0
CY_011720P15,U,U,U,U,U,U,U,U,U,U,U,539:23.44:1199386:0.1:0,539:23.44:2676496:0.1:0,539:23.44:3138774:0.1:0,539:23.38:5192630:0.1:0,539:23.395:1622948:0.1:0,539:23.37:3938046:0.1:0,[539:23.41:3238689:0.1:0
CY_011720P16,U,U,U,U,U,U,U,U,U,U,U,518:23.44:1199386:0.23:0,518:23.44:2676496:0.23:0,518:23.44:3138774:0.23:0,518:23.38:5192630:0.23:0,518:23.395:1622948:0.23:0,518:23.37:3938046:0.23:0,[518:23.41:3238689:0.23:0
CY_011720P17,U,U,U,U,U,U,U,U,U,U,U,781:23.44:1199386:0.1:0,781:23.44:2676496:0.1:0,781:23.44:3138774:0.1:0,781:23.38:5192630:0.1:0,781:23.395:1622948:0.1:0,781:23.37:3938046:0.1:0,[781:23.41:3238689:0.1:0
CY_011720P18,U,U,U,U,U,U,U,U,U,U,U,398:23.44:1199386:0.15:0,398:23.44:2676496:0.15:0,398:23.44:3138774:0.15:0,398:23.38:5192630:0.15:0,398:23.395:1622948:0.15:0,398:23.37:3938046:0.15:0,[398:23.41:3238689:0.15:0
CY_011720P19,U,U,U,U,U,U,U,U,U,U,U,665:23.44:1199386:0.05:0,665:23.44:2676496:0.05:0,665:23.44:3138774:0.05:0,665:23.38:5192630:0.05:0,665:23.395:1622948:0.05:0,665:23.37:3938046:0.05:0,[665:23.41:3238689:0.05:0
CY_011720P20,U,U,U,U,U,U,U,U,U,U,U,5783:23.44:1199386:0.15:0,5783:23.44:2676496:0.15:0,5783:23.44:3138774:0.1:22,5805:23.38:5192630:0.1:0,5805:23.395:1622948:0.2:1036,6830:23.37:3938046:0.2:0,[6830:23.41:3238689:0.2:0
CY_011720P21,U,U,U,U,U,U,U,U,U,U,U,1586:23.44:1199386:0.2:0,1586:23.44:2676496:0.2:0,1586:23.44:3138774:0.2:0,1586:23.38:5192630:0.2:0,1586:23.395:1622948:0.2:0,1586:23.37:3938046:0.2:0,[1586:23.41:3238689:0.2:0
CY_011720P22,U,U,U,U,U,U,U,U,U,U,U,804:23.44:1199386:0.21:0,804:23.44:2676496:0.21:0,804:23.44:3138774:0.21:0,804:23.38:5192630:0.21:0,804:23.395:1622948:0.21:0,804:23.37:3938046:0.21:0,[804:23.41:3238689:0.21:0
CY_011720P23,U,U,U,U,U,U,U,U,U,U,U,1053:23.44:1199386:0.3:0,1053:23.44:2676496:0.3:0,1053:23.44:3138774:0.3:0,1053:23.38:5192630:0.3:0,1053:23.395:1622948:0.3:0,1053:23.37:3938046:0.3:0,[1053:23.41:3238689:0.3:0
CY_011720P24,U,U,U,U,U,U,U,U,U,U,U,22:23.44:1199386:0.71:0,22:23.44:2676496:0.71:0,22:23.44:3138774:0.71:0,22:23.38:5192630:0.71:0,22:23.395:1622948:0.71:0,22:23.37:3938046:0.71:0,[22:23.41:3238689:0.71:0
CY_011720P25,U,U,U,U,U,U,U,U,U,U,U,2:23.44:1199386:3.01:0,2:23.44:2676496:3.01:0,2:23.44:3138774:3.01:0,2:23.38:5192630:3.01:0,2:23.395:1622948:3.01:0,2:23.37:3938046:3.01:0,[2:23.41:3238689:3.01:0
CY_011720P26,U,U,U,U,U,U,U,U,U,U,U,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:23.38:5192630:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_011720P27,U,U,U,U,U,U,U,U,U,U,U,9:23.44:1199386:4.01:0,9:23.44:2676496:4.01:0,9:23.44:3138774:4.01:0,9:23.38:5192630:4.01:0,9:23.395:1622948:4.01:0,9:23.37:3938046:4.01:0,[9:23.41:3238689:4.01:0
CY_011720P28,U,U,U,U,U,U,U,U,U,U,U,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:23.38:5192630:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_011720P29,U,U,U,U,U,U,U,U,U,U,U,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:23.38:5192630:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_011720P30,U,U,U,U,U,U,U,U,U,U,U,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:23.38:5192630:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_011720P31,U,U,U,U,U,U,U,U,U,U,U,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:23.38:5192630:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_011720P32,U,U,U,U,U,U,U,U,U,U,U,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:23.38:5192630:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_011720P33,U,U,U,U,U,U,U,U,U,U,U,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:23.38:5192630:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
