Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
DGX_122019C60,0:100.39,0:100.96,0:101.72,0:101.25,0.0,0:101.14,0:100.82,0:101.11,0:101.61:936601:0.0:0,0:101.57:831284:0.0:0,0:100.82:494319:0.0:0,0:101.92:724934:0.0:0,0:102.33:616218:0.0:0,0:102.8:500269:0.0:0,0:104.22:930302:0.0:0,0:159.98:1230255:0.0:0,0:104.48:777997:0.0:0,0:104.68:354325:0.0:0,0:104.85:792236:0.0:0,[0:105.91:982671:0.0:0
DGX_122019C65,0:100.39,0:100.96,0:101.72,0:101.25,0.0,0:101.14,0:100.82,0:101.11,0:101.61:936601:0.0:0,0:101.57:831284:0.0:0,0:100.82:494319:0.0:0,0:101.92:724934:0.0:0,0:102.33:616218:0.0:0,0:102.8:500269:0.0:0,0:104.22:930302:0.0:0,0:159.98:1230255:0.0:0,0:104.48:777997:0.0:0,0:104.68:354325:0.0:0,0:104.85:792236:0.0:0,[0:105.91:982671:0.0:0
DGX_122019C70,0:100.39,0:100.96,0:101.72,0:101.25,0.0,0:101.14,0:100.82,0:101.11,0:101.61:936601:0.0:0,0:101.57:831284:0.0:0,0:100.82:494319:0.0:0,0:101.92:724934:0.0:0,0:102.33:616218:0.0:0,0:102.8:500269:0.0:0,0:104.22:930302:0.0:0,U:159.98:1230255::,0:104.48:777997:0.0:0,0:104.68:354325:0.0:0,0:104.85:792236:0.0:0,[0:105.91:982671:0.0:0
DGX_122019C75,0:100.39,0:100.96,0:101.72,0:101.25,0.0,0:101.14,0:100.82,0:101.11,0:101.61:936601:0.0:0,0:101.57:831284:0.0:0,0:100.82:494319:0.0:0,0:101.92:724934:0.0:0,0:102.33:616218:0.0:0,0:102.8:500269:0.0:0,0:104.22:930302:0.0:0,0:159.98:1230255:0.0:0,0:104.48:777997:0.0:0,0:104.68:354325:0.0:0,0:104.85:792236:0.0:0,[0:105.91:982671:0.0:0
DGX_122019C80,0:100.39,0:100.96,0:101.72,0:101.25,0.0,0:101.14,0:100.82,0:101.11,0:101.61:936601:0.0:0,0:101.57:831284:0.0:0,0:100.82:494319:0.0:0,0:101.92:724934:0.0:0,0:102.33:616218:0.0:0,0:102.8:500269:0.0:0,0:104.22:930302:0.0:0,0:159.98:1230255:0.0:0,0:104.48:777997:0.0:0,0:104.68:354325:0.0:0,0:104.85:792236:0.0:0,[0:105.91:982671:0.0:0
DGX_122019C85,0:100.39,0:100.96,0:101.72,0:101.25,0.0,0:101.14,0:100.82,0:101.11,0:101.61:936601:0.0:0,0:101.57:831284:0.0:0,0:100.82:494319:0.0:0,0:101.92:724934:0.0:0,0:102.33:616218:0.0:0,0:102.8:500269:0.0:0,0:104.22:930302:0.0:0,U:159.98:1230255::,0:104.48:777997:0.0:0,0:104.68:354325:0.0:0,0:104.85:792236:0.0:0,[0:105.91:982671:0.0:0
DGX_122019C90,0:100.39,0:100.96,0:101.72,0:101.25,0.0,0:101.14,0:100.82,0:101.11,0:101.61:936601:0.0:0,0:101.57:831284:0.0:0,0:100.82:494319:0.0:0,0:101.92:724934:0.0:0,0:102.33:616218:0.0:0,0:102.8:500269:0.0:0,0:104.22:930302:0.0:0,U:159.98:1230255::,0:104.48:777997:0.0:0,0:104.68:354325:0.0:0,0:104.85:792236:0.0:0,[0:105.91:982671:0.0:0
DGX_122019C95,0:100.39,0:100.96,0:101.72,0:101.25,0.0,4:101.14,4:100.82,4:101.11,4:101.61:936601:8.0:0,4:101.57:831284:8.0:0,4:100.82:494319:6.9:3,7:101.92:724934:6.9:0,7:102.33:616218:6.9:0,7:102.8:500269:6.9:0,7:104.22:930302:6.9:0,7:159.98:1230255:6.9:0,7:104.48:777997:6.9:0,7:104.68:354325:6.9:0,7:104.85:792236:6.9:0,[7:105.91:982671:6.9:0
DGX_122019C100,8:100.39,8:100.96,8:101.72,10:101.25,10.0,10:101.14,10:100.82,11:101.11,11:101.61:936601:3.0:5,14:101.57:831284:3.0:0,14:100.82:494319:3.0:0,14:101.92:724934:3.0:0,14:102.33:616218:3.6:1,13:102.8:500269:3.6:0,13:104.22:930302:5.3:5,16:159.98:1230255:5.0:4,14:104.48:777997:5.0:0,14:104.68:354325:5.0:0,14:104.85:792236:5.0:0,[14:105.91:982671:6.28:1
DGX_122019C105,218:100.39,221:100.96,221:101.72,221:101.25,221.0,222:101.14,228:100.82,228:101.11,238:101.61:936601:0.8:2,238:101.57:831284:1.0:5,240:100.82:494319:1.0:0,240:101.92:724934:0.95:1,240:102.33:616218:1.05:14,252:102.8:500269:1.11:5,256:104.22:930302:1.64:34,U:159.98:1230255:0.0:0:159.98:1230255:.:,255:104.48:777997:1.7:16,267:104.68:354325:1.87:35,298:104.85:792236:1.95:11,[304:105.91:982671:2.5:36
