Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
DGX_122019P60,0:100.39,0:100.96,0:101.72,10:31:2019,0.0,0:101.14,0:100.82,0:101.11,0:101.61:936601:0.0:0,0:101.57:831284:0.0:0,0:100.82:494319:0.0:0,0:101.92:724934:0.0:0,0:102.33:616218:0.0:0,0:102.8:500269:0.0:0,0:104.22:930302:0.0:0,0:159.98:1230255:0.0:0,0:104.48:777997:0.0:0,0:104.68:354325:0.0:0,0:104.85:792236:0.0:0,[0:105.91:982671:0.0:0
DGX_122019P65,0:100.39,0:100.96,0:101.72,10:31:2019,0.0,0:101.14,0:100.82,0:101.11,0:101.61:936601:0.0:0,0:101.57:831284:0.0:0,0:100.82:494319:0.0:0,0:101.92:724934:0.0:0,0:102.33:616218:0.0:0,0:102.8:500269:0.0:0,0:104.22:930302:0.0:0,0:159.98:1230255:0.0:0,0:104.48:777997:0.0:0,0:104.68:354325:0.0:0,0:104.85:792236:0.0:0,[0:105.91:982671:0.0:0
DGX_122019P70,0:100.39,0:100.96,0:101.72,10:31:2019,0.0,0:101.14,0:100.82,0:101.11,0:101.61:936601:0.0:0,0:101.57:831284:0.0:0,0:100.82:494319:0.0:0,0:101.92:724934:0.0:0,0:102.33:616218:0.0:0,0:102.8:500269:0.0:0,0:104.22:930302:0.0:0,0:159.98:1230255:0.0:0,0:104.48:777997:0.0:0,0:104.68:354325:0.0:0,0:104.85:792236:0.0:0,[0:105.91:982671:0.0:0
DGX_122019P75,0:100.39,0:100.96,0:101.72,10:31:2019,0.0,0:101.14,0:100.82,0:101.11,0:101.61:936601:0.0:0,0:101.57:831284:0.0:0,0:100.82:494319:0.0:0,0:101.92:724934:0.0:0,0:102.33:616218:0.0:0,0:102.8:500269:0.0:0,0:104.22:930302:0.0:0,0:159.98:1230255:0.0:0,0:104.48:777997:0.0:0,0:104.68:354325:0.0:0,0:104.85:792236:0.0:0,[0:105.91:982671:0.0:0
DGX_122019P80,0:100.39,0:100.96,0:101.72,10:31:2019,0.0,0:101.14,0:100.82,0:101.11,0:101.61:936601:0.0:0,0:101.57:831284:0.0:0,0:100.82:494319:0.0:0,0:101.92:724934:0.0:0,0:102.33:616218:0.0:0,0:102.8:500269:0.0:0,0:104.22:930302:0.0:0,0:159.98:1230255:0.0:0,0:104.48:777997:0.0:0,0:104.68:354325:0.0:0,0:104.85:792236:0.0:0,[0:105.91:982671:0.0:0
DGX_122019P85,1:100.39,1:100.96,1:101.72,10:31:2019,1.0,1:101.14,1:100.82,1:101.11,1:101.61:936601:0.16:4,5:101.57:831284:0.16:0,5:100.82:494319:0.16:0,5:101.92:724934:0.16:0,5:102.33:616218:0.16:0,5:102.8:500269:0.16:0,5:104.22:930302:0.16:0,5:159.98:1230255:0.16:0,5:104.48:777997:0.16:0,5:104.68:354325:0.16:0,5:104.85:792236:0.16:0,[5:105.91:982671:0.16:0
DGX_122019P90,1:100.39,11:100.96,11:101.72,10:31:2019,13.0,13:101.14,13:100.82,13:101.11,13:101.61:936601:0.35:0,13:101.57:831284:0.35:0,13:100.82:494319:0.35:0,13:101.92:724934:0.35:0,13:102.33:616218:0.35:0,13:102.8:500269:0.35:0,13:104.22:930302:0.35:0,13:159.98:1230255:0.35:0,13:104.48:777997:0.35:0,13:104.68:354325:0.35:0,13:104.85:792236:0.35:0,[13:105.91:982671:0.35:0
DGX_122019P95,5:100.39,6:100.96,6:101.72,10:31:2019,7.0,8:101.14,12:100.82,12:101.11,13:101.61:936601:0.7:0,13:101.57:831284:0.7:0,13:100.82:494319:0.55:1,13:101.92:724934:0.55:0,13:102.33:616218:0.37:2,14:102.8:500269:0.35:1,15:104.22:930302:0.22:5,19:159.98:1230255:0.2:20,39:104.48:777997:0.2:0,39:104.68:354325:0.2:0,39:104.85:792236:0.15:1,[38:105.91:982671:0.15:0
DGX_122019P100,14:100.39,22:100.96,22:101.72,10:31:2019,23.0,28:101.14,28:100.82,28:101.11,28:101.61:936601:1.95:0,28:101.57:831284:1.68:5,33:100.82:494319:1.75:12,45:101.92:724934:1.51:2,45:102.33:616218:1.22:3,47:102.8:500269:1.2:1,47:104.22:930302:0.77:6,52:159.98:1230255:0.68:28,79:104.48:777997:0.68:0,79:104.68:354325:0.65:1,79:104.85:792236:0.65:0,[79:105.91:982671:0.36:4
DGX_122019P105,4:100.39,4:100.96,2:101.72,10:31:2019,3.0,3:101.14,3:100.82,3:101.11,3:101.61:936601:5.1:10,13:101.57:831284:4.27:1,13:100.82:494319:4.27:0,13:101.92:724934:4.1:2,13:102.33:616218:3.52:1,14:102.8:500269:3.52:0,14:104.22:930302:2.69:4,16:159.98:1230255:2.3:16,15:104.48:777997:2.0:11,24:104.68:354325:2.31:1,24:104.85:792236:2.31:0,[24:105.91:982671:1.25:21
