Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
DG_112219C145,0:160.62,0:161.63,0:160.34,0.0,0:158.21,0:159.69,0:159.61,0:159.23:1211986:0.0:0,0:157.86:1311618:0.0:0,0:157.0:995375:11.9:120,43:156.98:1343394:11.9:0,43:157.99:2192799:11.9:0,43:159.49:1489147:11.9:0,43:160.14:1958730:11.9:0,43:159.98:1230255:11.9:0,43:158.43:1618982:11.9:0,43:160.68:1086203:11.9:0,43:160.78:1258917:11.9:0,[43:159.79:1230651:11.9:0
DG_112219C146,0:160.62,0:161.63,0:160.34,0.0,0:158.21,0:159.69,0:159.61,0:159.23:1211986:0.0:0,0:157.86:1311618:0.0:0,0:157.0:995375:0.0:0,0:156.98:1343394:0.0:0,0:157.99:2192799:0.0:0,0:159.49:1489147:0.0:0,0:160.14:1958730:0.0:0,0:159.98:1230255:0.0:0,0:158.43:1618982:0.0:0,0:160.68:1086203:0.0:0,0:160.78:1258917:0.0:0,[0:159.79:1230651:0.0:0
DG_112219C147,0:160.62,0:161.63,0:160.34,0.0,0:158.21,0:159.69,0:159.61,0:159.23:1211986:0.0:0,0:157.86:1311618:0.0:0,0:157.0:995375:0.0:0,0:156.98:1343394:0.0:0,0:157.99:2192799:0.0:0,0:159.49:1489147:0.0:0,0:160.14:1958730:0.0:0,0:159.98:1230255:0.0:0,0:158.43:1618982:0.0:0,0:160.68:1086203:0.0:0,0:160.78:1258917:0.0:0,[0:159.79:1230651:0.0:0
DG_112219C148,0:160.62,0:161.63,0:160.34,0.0,0:158.21,0:159.69,0:159.61,0:159.23:1211986:0.0:0,0:157.86:1311618:0.0:0,0:157.0:995375:0.0:0,0:156.98:1343394:0.0:0,0:157.99:2192799:0.0:0,0:159.49:1489147:0.0:0,0:160.14:1958730:0.0:0,0:159.98:1230255:0.0:0,0:158.43:1618982:0.0:0,0:160.68:1086203:0.0:0,0:160.78:1258917:0.0:0,[0:159.79:1230651:0.0:0
DG_112219C149,0:160.62,0:161.63,0:160.34,0.0,0:158.21,0:159.69,0:159.61,0:159.23:1211986:0.0:0,0:157.86:1311618:0.0:0,0:157.0:995375:0.0:0,0:156.98:1343394:0.0:0,0:157.99:2192799:0.0:0,0:159.49:1489147:0.0:0,0:160.14:1958730:0.0:0,0:159.98:1230255:0.0:0,0:158.43:1618982:0.0:0,0:160.68:1086203:0.0:0,0:160.78:1258917:0.0:0,[0:159.79:1230651:0.0:0
DG_112219C150,0:160.62,0:161.63,0:160.34,0.0,0:158.21,0:159.69,0:159.61,0:159.23:1211986:0.0:0,0:157.86:1311618:0.0:0,0:157.0:995375:0.0:0,0:156.98:1343394:0.0:0,0:157.99:2192799:7.09:1,1:159.49:1489147:7.09:0,1:160.14:1958730:7.09:0,1:159.98:1230255:7.09:0,1:158.43:1618982:7.09:0,1:160.68:1086203:7.09:0,1:160.78:1258917:7.09:0,[1:159.79:1230651:10.64:1
DG_112219C152.5,0:160.62,0:161.63,0:160.34,0.0,0:158.21,0:159.69,0:159.61,0:159.23:1211986:0.0:0,0:157.86:1311618:0.0:0,0:157.0:995375:0.0:0,0:156.98:1343394:0.0:0,0:157.99:2192799:5.1:9,9:159.49:1489147:5.1:0,9:160.14:1958730:5.1:0,9:159.98:1230255:5.1:0,9:158.43:1618982:5.1:0,9:160.68:1086203:5.1:0,9:160.78:1258917:5.1:0,[9:159.79:1230651:5.1:0
DG_112219C155,5:160.62,5:161.63,5:160.34,5.0,5:158.21,5:159.69,5:159.61,5:159.23:1211986:5.3:2,7:157.86:1311618:3.9:2,9:157.0:995375:3.3:13,16:156.98:1343394:3.3:0,16:157.99:2192799:3.2:20,18:159.49:1489147:4.52:4,18:160.14:1958730:4.52:0,18:159.98:1230255:4.52:0,18:158.43:1618982:3.3:1,17:160.68:1086203:6.0:2,16:160.78:1258917:6.0:0,[16:159.79:1230651:6.0:0
DG_112219C157.5,37:160.62,37:161.63,37:160.34,38.0,38:158.21,40:159.69,41:159.61,40:159.23:1211986:4.4:17,47:157.86:1311618:2.3:62,86:157.0:995375:1.86:59,114:156.98:1343394:1.75:78,173:157.99:2192799:2.11:80,210:159.49:1489147:2.85:71,217:160.14:1958730:3.3:3722,677:159.98:1230255:3.4:52,627:158.43:1618982:2.0:55,609:160.68:1086203:3.1:46,599:160.78:1258917:2.99:3,[598:159.79:1230651:2.55:15
DG_112219C160,6:160.62,6:161.63,6:160.34,6.0,11:158.21,123:159.69,129:159.61,129:159.23:1211986:2.25:2,130:157.86:1311618:0.95:13,134:157.0:995375:0.77:19,139:156.98:1343394:0.76:24,158:157.99:2192799:0.95:52,168:159.49:1489147:1.65:2000,848:160.14:1958730:1.68:641,809:159.98:1230255:1.65:1933,1915:158.43:1618982:0.8:605,1930:160.68:1086203:1.65:1423,1446:160.78:1258917:1.35:67,[1409:159.79:1230651:0.1:232
DG_112219C162.5,55:160.62,81:161.63,81:160.34,94.0,99:158.21,110:159.69,108:159.61,108:159.23:1211986:1.35:0,108:157.86:1311618:0.43:71,178:157.0:995375:0.28:18,189:156.98:1343394:0.3:39,171:157.99:2192799:0.2:41,146:159.49:1489147:0.65:109,128:160.14:1958730:0.62:375,372:159.98:1230255:0.62:168,475:158.43:1618982:0.15:49,481:160.68:1086203:0.45:253,450:160.78:1258917:0.25:18,[448:159.79:1230651:0.05:117
DG_112219C165,75:160.62,73:161.63,73:160.34,73.0,72:158.21,74:159.69,74:159.61,74:159.23:1211986:0.4:8,74:157.86:1311618:0.1:10,74:157.0:995375:0.05:6,74:156.98:1343394:0.15:5,79:157.99:2192799:0.1:12,77:159.49:1489147:0.22:1511,1518:160.14:1958730:0.22:1507,3012:159.98:1230255:0.17:1021,4019:158.43:1618982:0.05:40,4034:160.68:1086203:0.05:54,4033:160.78:1258917:0.05:0,[4033:159.79:1230651:0.02:5
DG_112219C167.5,65:160.62,65:161.63,65:160.34,65.0,64:158.21,64:159.69,70:159.61,70:159.23:1211986:0.2:2,72:157.86:1311618:0.2:0,72:157.0:995375:0.2:0,72:156.98:1343394:0.2:0,72:157.99:2192799:0.05:2,74:159.49:1489147:0.1:5,73:160.14:1958730:0.1:20,93:159.98:1230255:0.1:0,93:158.43:1618982:0.1:0,93:160.68:1086203:0.05:1,94:160.78:1258917:0.05:0,[94:159.79:1230651:0.05:0
