Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
DG_112219P145,2:160.62,2:161.63,2:160.34,2.0,12:158.21,14:159.69,14:159.61,14:159.23:1211986:0.4:0,14:157.86:1311618:0.2:3,16:157.0:995375:0.14:258,210:156.98:1343394:0.14:0,210:157.99:2192799:0.14:0,210:159.49:1489147:0.14:0,210:160.14:1958730:0.14:0,210:159.98:1230255:0.04:17,213:158.43:1618982:0.04:0,213:160.68:1086203:0.04:0,213:160.78:1258917:0.04:0,[213:159.79:1230651:0.04:0
DG_112219P146,0:160.62,0:161.63,0:160.34,0.0,0:158.21,0:159.69,0:159.61,0:159.23:1211986:0.0:0,0:157.86:1311618:0.0:0,0:157.0:995375:0.0:0,0:156.98:1343394:0.0:0,0:157.99:2192799:0.0:0,0:159.49:1489147:0.0:0,0:160.14:1958730:0.0:0,0:159.98:1230255:0.0:0,0:158.43:1618982:0.0:0,0:160.68:1086203:0.0:0,0:160.78:1258917:0.0:0,[0:159.79:1230651:0.0:0
DG_112219P147,19:160.62,19:161.63,19:160.34,19.0,19:158.21,19:159.69,19:159.61,21:159.23:1211986:0.34:0,21:157.86:1311618:0.34:0,21:157.0:995375:0.34:0,21:156.98:1343394:0.34:0,21:157.99:2192799:0.34:0,21:159.49:1489147:0.34:0,21:160.14:1958730:0.05:2,21:159.98:1230255:0.05:0,21:158.43:1618982:0.05:0,21:160.68:1086203:0.05:0,21:160.78:1258917:0.05:0,[21:159.79:1230651:0.05:0
DG_112219P148,165:160.62,165:161.63,165:160.34,259.0,259:158.21,259:159.69,259:159.61,259:159.23:1211986:0.57:0,259:157.86:1311618:0.57:0,259:157.0:995375:0.35:12,259:156.98:1343394:0.16:22,269:157.99:2192799:0.16:0,269:159.49:1489147:0.15:162,249:160.14:1958730:0.15:1,248:159.98:1230255:0.15:0,248:158.43:1618982:0.15:0,248:160.68:1086203:0.15:0,248:160.78:1258917:0.15:0,[248:159.79:1230651:0.15:0
DG_112219P149,0:160.62,0:161.63,0:160.34,0.0,100:158.21,100:159.69,100:159.61,100:159.23:1211986:0.4:0,100:157.86:1311618:0.39:1,101:157.0:995375:0.39:0,101:156.98:1343394:0.39:0,101:157.99:2192799:0.39:0,104:159.49:1489147:0.39:0,104:160.14:1958730:0.39:0,104:159.98:1230255:0.39:0,104:158.43:1618982:0.25:0,104:160.68:1086203:0.25:0,104:160.78:1258917:0.25:0,[104:159.79:1230651:0.25:0
DG_112219P150,25:160.62,30:161.63,30:160.34,29.0,29:158.21,31:159.69,32:159.61,31:159.23:1211986:0.3:18,49:157.86:1311618:0.3:0,49:157.0:995375:0.42:1,48:156.98:1343394:0.42:0,48:157.99:2192799:0.42:0,48:159.49:1489147:0.42:0,48:160.14:1958730:0.42:0,48:159.98:1230255:0.11:15,33:158.43:1618982:0.11:0,33:160.68:1086203:0.11:0,33:160.78:1258917:0.11:0,[33:159.79:1230651:0.11:0
DG_112219P152.5,5:160.62,9:161.63,9:160.34,9.0,9:158.21,11:159.69,11:159.61,11:159.23:1211986:0.55:1,11:157.86:1311618:0.95:6,14:157.0:995375:0.85:10,19:156.98:1343394:0.62:19,31:157.99:2192799:0.65:16,43:159.49:1489147:0.4:15,54:160.14:1958730:0.19:14,64:159.98:1230255:0.13:1,65:158.43:1618982:0.2:20,71:160.68:1086203:0.1:10,70:160.78:1258917:0.1:0,[70:159.79:1230651:0.1:0
DG_112219P155,184:160.62,194:161.63,194:160.34,194.0,199:158.21,197:159.69,198:159.61,198:159.23:1211986:1.25:0,198:157.86:1311618:1.3:31,211:157.0:995375:1.55:41,236:156.98:1343394:1.15:18,236:157.99:2192799:0.95:27,240:159.49:1489147:0.6:17,243:160.14:1958730:0.39:3,244:159.98:1230255:0.4:21,250:158.43:1618982:0.36:116,292:160.68:1086203:0.1:23,282:160.78:1258917:0.01:11,[271:159.79:1230651:0.03:6
DG_112219P157.5,204:160.62,227:161.63,227:160.34,217.0,218:158.21,221:159.69,221:159.61,223:159.23:1211986:1.34:8,229:157.86:1311618:2.2:38,235:157.0:995375:2.66:28,233:156.98:1343394:2.2:66,253:157.99:2192799:1.85:56,287:159.49:1489147:1.15:57,306:160.14:1958730:0.75:95,345:159.98:1230255:0.78:76,395:158.43:1618982:1.05:116,393:160.68:1086203:0.42:53,375:160.78:1258917:0.13:24,[361:159.79:1230651:0.03:26
DG_112219P160,25:160.62,25:161.63,25:160.34,25.0,25:158.21,125:159.69,125:159.61,125:159.23:1211986:2.4:8,131:157.86:1311618:3.87:1,130:157.0:995375:4.1:1,130:156.98:1343394:4.1:0,130:157.99:2192799:3.13:3,127:159.49:1489147:2.8:73,140:160.14:1958730:1.5:135,199:159.98:1230255:1.55:117,238:158.43:1618982:1.95:25,258:160.68:1086203:0.85:56,251:160.78:1258917:0.55:22,[269:159.79:1230651:0.1:35
DG_112219P162.5,5:160.62,5:161.63,5:160.34,5.0,5:158.21,5:159.69,5:159.61,5:159.23:1211986:4.2:0,5:157.86:1311618:4.2:0,5:157.0:995375:4.2:0,5:156.98:1343394:5.79:13,13:157.99:2192799:7.2:4,13:159.49:1489147:3.6:10,13:160.14:1958730:3.09:2,14:159.98:1230255:3.1:20,24:158.43:1618982:3.1:0,24:160.68:1086203:2.71:30,39:160.78:1258917:1.76:13,[41:159.79:1230651:1.78:18
DG_112219P165,5:160.62,5:161.63,5:160.34,5.0,5:158.21,5:159.69,5:159.61,5:159.23:1211986:4.4:0,5:157.86:1311618:4.4:0,5:157.0:995375:4.4:0,5:156.98:1343394:4.4:0,5:157.99:2192799:4.4:0,5:159.49:1489147:4.4:0,5:160.14:1958730:4.97:1,5:159.98:1230255:4.97:0,5:158.43:1618982:4.97:0,4:160.68:1086203:4.97:0,4:160.78:1258917:4.97:0,[4:159.79:1230651:4.97:0
