Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
DIOD_122019C20,0:46.58,0:47.3,0:46.65,0.0,0:48.87,0:46.55,0:45.93,0:45.34:485015:0.0:0,0:45.715:206422:0.0:0,0:45.94:241005:0.0:0,0:46.1:228548:0.0:0,0:45.85:217043:0.0:0,0:46.19:369301:0.0:0,0:46.01:426856:0.0:0,0:44.97:366890:0.0:0,0:45.425:342896:0.0:0,0:44.97:199512:0.0:0,0:44.93:344402:0.0:0,[0:44.9:270323:0.0:0
DIOD_122019C22.5,0:46.58,0:47.3,0:46.65,0.0,0:48.87,0:46.55,0:45.93,0:45.34:485015:0.0:0,0:45.715:206422:0.0:0,0:45.94:241005:0.0:0,0:46.1:228548:0.0:0,0:45.85:217043:0.0:0,0:46.19:369301:0.0:0,0:46.01:426856:0.0:0,0:44.97:366890:0.0:0,0:45.425:342896:0.0:0,0:44.97:199512:0.0:0,0:44.93:344402:0.0:0,[0:44.9:270323:0.0:0
DIOD_122019C25,7:46.58,7:47.3,7:46.65,7.0,7:48.87,7:46.55,7:45.93,7:45.34:485015:24.2:0,7:45.715:206422:24.2:0,7:45.94:241005:24.2:0,7:46.1:228548:24.2:0,7:45.85:217043:24.2:0,7:46.19:369301:24.2:0,7:46.01:426856:24.2:0,7:44.97:366890:24.2:0,7:45.425:342896:24.2:0,7:44.97:199512:24.2:0,7:44.93:344402:24.2:0,[7:44.9:270323:24.2:0
DIOD_122019C30,31:46.58,31:47.3,31:46.65,31.0,31:48.87,31:46.55,31:45.93,31:45.34:485015:10.8:0,31:45.715:206422:10.8:0,31:45.94:241005:10.8:0,31:46.1:228548:10.8:0,31:45.85:217043:10.8:0,31:46.19:369301:10.8:0,31:46.01:426856:10.8:0,31:44.97:366890:10.8:0,31:45.425:342896:10.8:0,31:44.97:199512:10.8:0,31:44.93:344402:10.8:0,[31:44.9:270323:10.8:0
DIOD_122019C35,3:46.58,3:47.3,3:46.65,3.0,3:48.87,3:46.55,3:45.93,3:45.34:485015:14.6:0,3:45.715:206422:14.6:0,3:45.94:241005:14.6:0,3:46.1:228548:14.6:0,3:45.85:217043:14.6:0,3:46.19:369301:14.6:0,3:46.01:426856:14.6:0,3:44.97:366890:14.6:0,3:45.425:342896:14.6:0,3:44.97:199512:14.6:0,3:44.93:344402:14.6:0,[3:44.9:270323:14.6:0
DIOD_122019C40,353:46.58,353:47.3,315:46.65,315.0,315:48.87,315:46.55,315:45.93,315:45.34:485015:9.8:0,315:45.715:206422:9.8:0,315:45.94:241005:6.1:2,314:46.1:228548:7.0:12,314:45.85:217043:7.0:0,314:46.19:369301:7.0:0,314:46.01:426856:6.7:5,319:44.97:366890:6.7:0,319:45.425:342896:5.8:50,311:44.97:199512:5.11:1,310:44.93:344402:5.0:1,[310:44.9:270323:5.0:0
DIOD_122019C45,237:46.58,232:47.3,233:46.65,180.0,181:48.87,181:46.55,113:45.93,99:45.34:485015:3.2:6,100:45.715:206422:3.2:0,100:45.94:241005:3.2:0,100:46.1:228548:2.9:1,100:45.85:217043:2.3:5,98:46.19:369301:2.85:13,103:46.01:426856:2.85:0,103:44.97:366890:1.8:45,143:45.425:342896:2.09:17,148:44.97:199512:1.74:4,220:44.93:344402:1.7:0,[220:44.9:270323:1.65:94
DIOD_122019C50,84:46.58,84:47.3,84:46.65,80.0,80:48.87,82:46.55,80:45.93,82:45.34:485015:0.95:9,90:45.715:206422:0.95:0,90:45.94:241005:0.7:16,103:46.1:228548:0.7:0,103:45.85:217043:0.7:0,103:46.19:369301:0.7:0,103:46.01:426856:0.6:1,103:44.97:366890:0.25:17,105:45.425:342896:0.45:10,113:44.97:199512:0.25:3,112:44.93:344402:0.25:9,[104:44.9:270323:0.2:7
DIOD_122019C55,15:46.58,15:47.3,15:46.65,15.0,15:48.87,70:46.55,65:45.93,64:45.34:485015:0.2:0,64:45.715:206422:0.2:0,64:45.94:241005:0.2:0,64:46.1:228548:0.2:0,64:45.85:217043:0.2:0,64:46.19:369301:0.2:0,64:46.01:426856:0.2:0,64:44.97:366890:0.2:0,64:45.425:342896:0.2:0,64:44.97:199512:0.2:0,64:44.93:344402:0.2:0,[64:44.9:270323:0.2:0
DIOD_122019C60,0,0:47.3,0:46.65,0.0,0:48.87,0:46.55,0:45.93,0:45.34:485015:0.0:0,0:45.715:206422:0.0:0,0:45.94:241005:0.0:0,0:46.1:228548:0.0:0,0:45.85:217043:0.0:0,0:46.19:369301:0.0:0,0:46.01:426856:0.0:0,0:44.97:366890:0.0:0,0:45.425:342896:0.0:0,0:44.97:199512:0.0:0,0:44.93:344402:0.0:0,[0:44.9:270323:0.0:0
