Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
DIOD_122019P20,0:46.58,0:47.3,0:46.65,0.0,0:48.87,0:46.55,0:45.93,0:45.34:485015:0.0:0,0:45.715:206422:0.0:0,0:45.94:241005:0.0:0,0:46.1:228548:0.0:0,0:45.85:217043:0.0:0,0:46.19:369301:0.0:0,0:46.01:426856:0.0:0,0:44.97:366890:0.0:0,0:45.425:342896:0.0:0,0:44.97:199512:0.0:0,0:44.93:344402:0.0:0,[0:44.9:270323:0.0:0
DIOD_122019P22.5,0:46.58,0:47.3,0:46.65,0.0,0:48.87,0:46.55,0:45.93,0:45.34:485015:0.0:0,0:45.715:206422:0.0:0,0:45.94:241005:0.0:0,0:46.1:228548:0.0:0,0:45.85:217043:0.0:0,0:46.19:369301:0.0:0,0:46.01:426856:0.0:0,0:44.97:366890:0.0:0,0:45.425:342896:0.0:0,0:44.97:199512:0.0:0,0:44.93:344402:0.0:0,[0:44.9:270323:0.0:0
DIOD_122019P25,5:46.58,5:47.3,5:46.65,5.0,5:48.87,5:46.55,5:45.93,5:45.34:485015:0.17:0,5:45.715:206422:0.17:0,5:45.94:241005:0.17:0,5:46.1:228548:0.17:0,5:45.85:217043:0.17:0,5:46.19:369301:0.17:0,5:46.01:426856:0.17:0,5:44.97:366890:0.17:0,5:45.425:342896:0.17:0,5:44.97:199512:0.17:0,5:44.93:344402:0.17:0,[5:44.9:270323:0.17:0
DIOD_122019P30,10035:46.58,10035:47.3,10035:46.65,10035.0,10035:48.87,10035:46.55,10030:45.93,10030:45.34:485015:0.05:0,10030:45.715:206422:0.05:0,10030:45.94:241005:0.05:0,10030:46.1:228548:0.05:0,10030:45.85:217043:0.05:0,10030:46.19:369301:0.05:0,10030:46.01:426856:0.05:0,10030:44.97:366890:0.05:0,10030:45.425:342896:0.05:0,10030:44.97:199512:0.05:0,10030:44.93:344402:0.05:0,[10030:44.9:270323:0.05:0
DIOD_122019P35,9420:46.58,9420:47.3,9420:46.65,9420.0,9422:48.87,9422:46.55,9422:45.93,9420:45.34:485015:0.14:0,9420:45.715:206422:0.14:0,9420:45.94:241005:0.14:0,9420:46.1:228548:0.14:0,9420:45.85:217043:0.14:0,9420:46.19:369301:0.14:0,9420:46.01:426856:0.14:0,9420:44.97:366890:0.14:0,9420:45.425:342896:0.14:0,9420:44.97:199512:0.14:0,9420:44.93:344402:0.14:0,[9420:44.9:270323:0.14:0
DIOD_122019P40,520:46.58,521:47.3,521:46.65,521.0,520:48.87,583:46.55,2068:45.93,2038:45.34:485015:0.65:0,2038:45.715:206422:0.65:0,2038:45.94:241005:0.5:40,2038:46.1:228548:0.5:0,2038:45.85:217043:0.5:0,2038:46.19:369301:0.5:0,2038:46.01:426856:0.5:0,2038:44.97:366890:0.37:70,2065:45.425:342896:0.34:1,2065:44.97:199512:0.4:1675,726:44.93:344402:0.3:24,[728:44.9:270323:0.32:3
DIOD_122019P45,0:46.58,2:47.3,2:46.65,6.0,4:48.87,4:46.55,6:45.93,5:45.34:485015:1.6:1,5:45.715:206422:1.6:0,5:45.94:241005:1.6:0,5:46.1:228548:1.6:5,10:45.85:217043:1.6:0,10:46.19:369301:1.43:2,12:46.01:426856:1.43:0,12:44.97:366890:1.9:43,52:45.425:342896:1.45:2,54:44.97:199512:1.9:5,185:44.93:344402:1.65:0,[185:44.9:270323:1.62:3
DIOD_122019P50,0:46.58,0:47.3,0:46.65,0.0,0:48.87,11:46.55,11:45.93,11:45.34:485015:5.0:0,11:45.715:206422:5.0:0,11:45.94:241005:5.0:0,11:46.1:228548:5.0:0,11:45.85:217043:5.0:0,11:46.19:369301:5.0:0,11:46.01:426856:5.0:0,11:44.97:366890:4.5:6,17:45.425:342896:4.5:1,17:44.97:199512:5.2:1,17:44.93:344402:5.2:0,[17:44.9:270323:5.2:0
DIOD_122019P55,0:46.58,0:47.3,0:46.65,0.0,0:48.87,0:46.55,0:45.93,0:45.34:485015:0.0:0,0:45.715:206422:0.0:0,0:45.94:241005:0.0:0,0:46.1:228548:0.0:0,0:45.85:217043:0.0:0,0:46.19:369301:0.0:0,0:46.01:426856:9.1:1,1:44.97:366890:9.4:1,0:45.425:342896:9.4:0,0:44.97:199512:9.4:0,0:44.93:344402:9.4:0,[0:44.9:270323:9.4:0
DIOD_122019P60,0,0:47.3,0:46.65,0.0,0:48.87,0:46.55,0:45.93,0:45.34:485015:0.0:0,0:45.715:206422:0.0:0,0:45.94:241005:0.0:0,0:46.1:228548:0.0:0,0:45.85:217043:0.0:0,0:46.19:369301:0.0:0,0:46.01:426856:0.0:0,0:44.97:366890:0.0:0,0:45.425:342896:0.0:0,0:44.97:199512:0.0:0,0:44.93:344402:0.0:0,[0:44.9:270323:0.0:0
DIOD_011720P22.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:44.97:366890:0.0:0,0:45.425:342896:0.0:0,0:44.97:199512:0.0:0,0:44.93:344402:0.0:0,[0:44.9:270323:0.0:0
DIOD_011720P25,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:44.97:366890:0.0:0,0:45.425:342896:0.0:0,0:44.97:199512:0.0:0,0:44.93:344402:0.0:0,[0:44.9:270323:0.0:0
DIOD_011720P30,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:44.97:366890:0.0:0,0:45.425:342896:0.0:0,0:44.97:199512:0.0:0,0:44.93:344402:0.0:0,[0:44.9:270323:0.0:0
DIOD_011720P35,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:44.97:366890:0.0:0,0:45.425:342896:0.0:0,0:44.97:199512:0.0:0,0:44.93:344402:0.0:0,[0:44.9:270323:0.0:0
DIOD_011720P40,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:44.97:366890:0.0:0,0:45.425:342896:0.0:0,0:44.97:199512:0.0:0,0:44.93:344402:0.0:0,[0:44.9:270323:0.7:3
DIOD_011720P45,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:44.97:366890:0.0:0,0:45.425:342896:0.0:0,0:44.97:199512:0.0:0,0:44.93:344402:0.0:0,[0:44.9:270323:2.25:3
DIOD_011720P50,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:44.97:366890:0.0:0,0:45.425:342896:0.0:0,0:44.97:199512:0.0:0,0:44.93:344402:0.0:0,[0:44.9:270323:0.0:0
DIOD_011720P55,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:44.97:366890:0.0:0,0:45.425:342896:0.0:0,0:44.97:199512:0.0:0,0:44.93:344402:0.0:0,[0:44.9:270323:0.0:0
DIOD_011720P60,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:44.97:366890:0.0:0,0:45.425:342896:0.0:0,0:44.97:199512:0.0:0,0:44.93:344402:0.0:0,[0:44.9:270323:0.0:0
DIOD_011720P65,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:44.97:366890:0.0:0,0:45.425:342896:0.0:0,0:44.97:199512:0.0:0,0:44.93:344402:0.0:0,[0:44.9:270323:0.0:0
