Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
DIS_112219C120,12:129.48,412:129.6,412:129.92,431.0,431:132.92,431:131.45,431:131.27,434:132.96:18014779:13.5:5,432:137.96:24058222:17.25:403,432:136.74:9047442:16.67:167,558:138.58:16199665:16.67:0,558:148.72:45641087:23.95:50,508:147.15:28084828:23.95:0,508:144.67:13237680:25.0:140,U:147.65:15354564::,495:148.38:11502111:28.85:1,494:146.51:5138294:28.85:0,494:146.9:6235750:28.85:0,494:148.29:9616876:28.85:0
DIS_112219C121,0:129.48,0:129.6,0:129.92,0.0,0:132.92,0:131.45,0:131.27,0:132.96:18014779:11.32:0,0:137.96:24058222:11.32:0,0:136.74:9047442:11.32:0,0:138.58:16199665:11.32:0,0:148.72:45641087:11.32:0,0:147.15:28084828:11.32:0,0:144.67:13237680:11.32:0,U:147.65:15354564::,0:148.38:11502111:11.32:0,U:146.51:5138294:U:U,0:146.9:6235750:11.32:0,0:148.29:9616876:11.32:0
DIS_112219C122,11:129.48,11:129.6,11:129.92,11.0,11:132.92,11:131.45,11:131.27,12:132.96:18014779:9.85:0,12:137.96:24058222:16.15:1,12:136.74:9047442:16.15:0,12:138.58:16199665:16.1:1,12:148.72:45641087:16.1:0,12:147.15:28084828:16.1:0,12:144.67:13237680:16.1:0,12:147.65:15354564:16.1:0,12:148.38:11502111:16.1:0,12:146.51:5138294:16.1:0,12:146.9:6235750:16.1:0,12:148.29:9616876:16.1:0
DIS_112219C123,6:129.48,7:129.6,14:129.92,14.0,14:132.92,18:131.45,18:131.27,18:132.96:18014779:10.6:5,18:137.96:24058222:15.25:1,18:136.74:9047442:14.45:1,18:138.58:16199665:14.45:0,18:148.72:45641087:14.45:0,18:147.15:28084828:14.45:0,18:144.67:13237680:14.45:0,U:147.65:15354564::,17:148.38:11502111:26.06:5,13:146.51:5138294:26.06:0,13:146.9:6235750:26.06:0,13:148.29:9616876:26.06:0
DIS_112219C124,16:129.48,16:129.6,16:129.92,16.0,16:132.92,16:131.45,16:131.27,16:132.96:18014779:8.65:0,16:137.96:24058222:8.65:0,16:136.74:9047442:8.65:0,16:138.58:16199665:8.65:0,16:148.72:45641087:25.0:4,14:147.15:28084828:26.5:3,14:144.67:13237680:26.5:0,14:147.65:15354564:26.5:0,14:148.38:11502111:26.5:0,14:146.51:5138294:26.5:0,14:146.9:6235750:26.5:0,14:148.29:9616876:26.5:0
DIS_112219C125,24:129.48,24:129.6,27:129.92,29.0,30:132.92,30:131.45,33:131.27,45:132.96:18014779:8.76:34,42:137.96:24058222:13.8:2,40:136.74:9047442:13.8:0,40:138.58:16199665:13.8:0,40:148.72:45641087:24.14:2,40:147.15:28084828:24.5:5,35:144.67:13237680:19.73:3,U:147.65:15354564::,32:148.38:11502111:23.0:5,27:146.51:5138294:23.0:0,27:146.9:6235750:23.0:0,27:148.29:9616876:23.6:3
DIS_112219C126,20:129.48,16:129.6,25:129.92,29.0,29:132.92,30:131.45,30:131.27,31:132.96:18014779:8.35:1,31:137.96:24058222:13.0:5,30:136.74:9047442:13.0:0,30:138.58:16199665:11.95:1,30:148.72:45641087:19.1:3,31:147.15:28084828:21.55:3,28:144.67:13237680:21.55:0,28:147.65:15354564:21.55:0,:148.38:11502111:U:U,28:146.51:5138294:21.55:0,28:146.9:6235750:21.55:0,28:148.29:9616876:22.3:1
DIS_112219C127,11:129.48,11:129.6,17:129.92,26.0,27:132.92,70:131.45,75:131.27,72:132.96:18014779:7.4:12,78:137.96:24058222:11.0:80,77:136.74:9047442:11.0:0,77:138.58:16199665:11.0:0,77:148.72:45641087:21.0:2,77:147.15:28084828:19.5:1,77:144.67:13237680:19.5:0,U:147.65:15354564::,:148.38:11502111:U:U,77:146.51:5138294:19.5:0,77:146.9:6235750:19.5:0,77:148.29:9616876:20.97:1
DIS_112219C128,34:129.48,37:129.6,40:129.92,38.0,37:132.92,75:131.45,112:131.27,153:132.96:18014779:6.7:137,168:137.96:24058222:9.46:119,154:136.74:9047442:8.81:3,154:138.58:16199665:11.0:30,154:148.72:45641087:21.14:5,150:147.15:28084828:19.99:10,156:144.67:13237680:18.01:2,156:147.65:15354564:18.3:6,154:148.38:11502111:20.3:10,154:146.51:5138294:19.12:1,154:146.9:6235750:18.42:11,153:148.29:9616876:20.2:1
DIS_112219C129,65:129.48,69:129.6,95:129.92,110.0,109:132.92,109:131.45,115:131.27,120:132.96:18014779:6.02:24,122:137.96:24058222:8.52:23,119:136.74:9047442:9.35:1,118:138.58:16199665:9.5:2,116:148.72:45641087:15.1:1,115:147.15:28084828:15.1:0,115:144.67:13237680:15.4:5,U:147.65:15354564::,115:148.38:11502111:20.45:1,U:146.51:5138294:U:U,119:146.9:6235750:19.25:0,119:148.29:9616876:19.8:1
DIS_112219C130,311:129.48,333:129.6,343:129.92,393.0,340:132.92,326:131.45,345:131.27,372:132.96:18014779:5.39:171,436:137.96:24058222:7.5:367,587:136.74:9047442:6.95:13,580:138.58:16199665:8.8:26,577:148.72:45641087:19.05:251,405:147.15:28084828:17.56:7,400:144.67:13237680:14.9:4,U:147.65:15354564::,:148.38:11502111:U:U,394:146.51:5138294:16.36:13,384:146.9:6235750:16.36:0,384:148.29:9616876:18.5:14
DIS_112219C131,125:129.48,160:129.6,168:129.92,168.0,188:132.92,173:131.45,221:131.27,349:132.96:18014779:4.8:195,374:137.96:24058222:6.37:122,303:136.74:9047442:6.15:4,303:138.58:16199665:7.65:9,303:148.72:45641087:18.1:99,229:147.15:28084828:16.3:219,373:144.67:13237680:14.83:2,U:147.65:15354564::,373:148.38:11502111:17.5:0,373:146.51:5138294:17.2:2,291:146.9:6235750:15.83:13,290:148.29:9616876:17.25:5
DIS_112219C132,187:129.48,211:129.6,213:129.92,210.0,260:132.92,250:131.45,318:131.27,416:132.96:18014779:4.21:1353,640:137.96:24058222:6.4:358,515:136.74:9047442:5.1:330,739:138.58:16199665:6.75:402,507:148.72:45641087:16.96:404,539:147.15:28084828:15.7:259,683:144.67:13237680:12.35:75,U:147.65:15354564::,654:148.38:11502111:16.85:2,654:146.51:5138294:14.37:2,453:146.9:6235750:14.74:2,452:148.29:9616876:16.3:25
DIS_112219C133,301:129.48,309:129.6,353:129.92,358.0,362:132.92,386:131.45,420:131.27,700:132.96:18014779:3.75:1422,1009:137.96:24058222:5.5:745,865:136.74:9047442:4.37:58,852:138.58:16199665:5.85:97,838:148.72:45641087:13.9:129,794:147.15:28084828:14.32:44,771:144.67:13237680:12.7:14,768:147.65:15354564:14.5:34,764:148.38:11502111:15.9:7,759:146.51:5138294:13.5:8,U:146.9:6235750:U:U,747:148.29:9616876:15.3:50
DIS_112219C134,162:129.48,189:129.6,215:129.92,225.0,211:132.92,344:131.45,395:131.27,534:132.96:18014779:3.26:610,747:137.96:24058222:4.6:1072,889:136.74:9047442:3.55:321,840:138.58:16199665:5.0:244,817:148.72:45641087:15.14:253,745:147.15:28084828:13.3:26,746:144.67:13237680:10.45:23,745:147.65:15354564:13.35:33,756:148.38:11502111:13.95:1,756:146.51:5138294:15.0:1,755:146.9:6235750:12.99:8,748:148.29:9616876:13.9:46
DIS_112219C135,421:129.48,472:129.6,485:129.92,505.0,509:132.92,522:131.45,516:131.27,8823:132.96:18014779:2.85:4592,10255:137.96:24058222:3.95:3237,8850:136.74:9047442:3.06:481,8730:138.58:16199665:4.25:963,8411:148.72:45641087:14.0:1181,7802:147.15:28084828:12.1:2066,6979:144.67:13237680:9.7:289,6923:147.65:15354564:12.4:65,:148.38:11502111:U:U,6068:146.51:5138294:11.75:16,6058:146.9:6235750:11.75:1372,5480:148.29:9616876:13.25:1796
