Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
DIS_112219P120,214:129.48,214:129.6,214:129.92,234.0,253:132.92,280:131.45,281:131.27,285:132.96:18014779:0.29:52,314:137.96:24058222:0.04:60,270:136.74:9047442:0.05:45,269:138.58:16199665:0.04:125,245:148.72:45641087:0.03:49,236:147.15:28084828:0.05:3,236:144.67:13237680:0.02:11,230:147.65:15354564:0.02:0,:148.38:11502152:.:U,229:146.45:5143958:0.02:0,229:146.9:6235750:0.02:0,229:148.29:9616958:0.02:0
DIS_112219P121,272:129.48,272:129.6,272:129.92,275.0,275:132.92,801:131.45,802:131.27,810:132.96:18014779:0.36:43,809:137.96:24058222:0.06:21,809:136.74:9047442:0.05:15,806:138.58:16199665:0.05:0,806:148.72:45641087:0.05:0,806:147.15:28084828:0.05:0,806:144.67:13237680:0.05:0,U:147.65:15354564::,807:148.38:11502152:0.03:0,U:146.45:5143958:U:U,U:146.9:6235750:U:U,807:148.29:9616958:0.03:0
DIS_112219P122,53:129.48,60:129.6,60:129.92,59.0,59:132.92,60:131.45,83:131.27,83:132.96:18014779:0.45:29,90:137.96:24058222:0.02:74,128:136.74:9047442:0.07:11,128:138.58:16199665:0.05:7,132:148.72:45641087:0.03:3,132:147.15:28084828:0.01:9,132:144.67:13237680:0.01:0,U:147.65:15354564::,132:148.38:11502152:0.01:0,132:146.45:5143958:0.01:0,132:146.9:6235750:0.01:0,132:148.29:9616958:0.01:0
DIS_112219P123,254:129.48,259:129.6,260:129.92,305.0,305:132.92,315:131.45,322:131.27,340:132.96:18014779:0.57:25,344:137.96:24058222:0.06:23,324:136.74:9047442:0.07:16,313:138.58:16199665:0.03:4,310:148.72:45641087:0.03:8,315:147.15:28084828:0.12:31,333:144.67:13237680:0.12:0,U:147.65:15354564::,337:148.38:11502152:0.03:0,337:146.45:5143958:0.03:0,337:146.9:6235750:0.03:0,337:148.29:9616958:0.03:0
DIS_112219P124,63:129.48,62:129.6,63:129.92,63.0,62:132.92,60:131.45,63:131.27,96:132.96:18014779:0.72:89,117:137.96:24058222:0.09:49,77:136.74:9047442:0.07:10,80:138.58:16199665:0.06:69,145:148.72:45641087:0.01:1,144:147.15:28084828:0.01:16,137:144.67:13237680:0.03:1,137:147.65:15354564:0.03:0,137:148.38:11502152:0.03:0,137:146.45:5143958:0.03:0,137:146.9:6235750:0.03:0,137:148.29:9616958:0.03:0
DIS_112219P125,245:129.48,253:129.6,255:129.92,271.0,338:132.92,354:131.45,333:131.27,447:132.96:18014779:0.86:148,490:137.96:24058222:0.06:156,418:136.74:9047442:0.09:33,413:138.58:16199665:0.06:24,400:148.72:45641087:0.03:98,466:147.15:28084828:0.02:12,466:144.67:13237680:0.03:25,462:147.65:15354564:0.01:13,463:148.38:11502152:0.01:11,U:146.45:5143958:U:U,452:146.9:6235750:0.01:1,451:148.29:9616958:0.01:0
DIS_112219P126,122:129.48,130:129.6,134:129.92,134.0,132:132.92,133:131.45,148:131.27,152:132.96:18014779:1.06:101,208:137.96:24058222:0.08:74,160:136.74:9047442:0.14:25,166:138.58:16199665:0.06:24,159:148.72:45641087:0.06:8,157:147.15:28084828:0.02:2,157:144.67:13237680:0.02:0,U:147.65:15354564::,157:148.38:11502152:0.01:1,157:146.45:5143958:0.02:15,144:146.9:6235750:0.02:0,144:148.29:9616958:0.01:2
DIS_112219P127,40:129.48,56:129.6,57:129.92,64.0,82:132.92,83:131.45,118:131.27,131:132.96:18014779:1.3:141,236:137.96:24058222:0.1:97,194:136.74:9047442:0.16:25,209:138.58:16199665:0.08:25,206:148.72:45641087:0.04:20,202:147.15:28084828:0.03:13,202:144.67:13237680:0.02:18,207:147.65:15354564:0.01:78,273:148.38:11502152:0.01:3,U:146.45:5143958:U:U,U:146.9:6235750:U:U,270:148.29:9616958:0.02:0
DIS_112219P128,292:129.48,301:129.6,309:129.92,309.0,351:132.92,341:131.45,340:131.27,289:132.96:18014779:1.54:97,326:137.96:24058222:0.13:126,290:136.74:9047442:0.19:140,296:138.58:16199665:0.07:67,314:148.72:45641087:0.04:82,342:147.15:28084828:0.04:6,345:144.67:13237680:0.03:1,U:147.65:15354564::,361:148.38:11502152:0.01:0,361:146.45:5143958:0.01:1,361:146.9:6235750:0.01:0,361:148.29:9616958:0.01:0
DIS_112219P129,151:129.48,154:129.6,155:129.92,160.0,152:132.92,152:131.45,150:131.27,148:132.96:18014779:1.88:68,164:137.96:24058222:0.19:269,262:136.74:9047442:0.25:28,262:138.58:16199665:0.1:34,270:148.72:45641087:0.06:34,288:147.15:28084828:0.03:7,283:144.67:13237680:0.03:2,281:147.65:15354564:0.03:0,281:148.38:11502152:0.01:1,282:146.45:5143958:0.01:21,261:146.9:6235750:0.02:1,261:148.29:9616958:0.02:0
DIS_112219P130,177:129.48,215:129.6,222:129.92,223.0,226:132.92,232:131.45,243:131.27,289:132.96:18014779:2.24:244,349:137.96:24058222:0.23:771,553:136.74:9047442:0.35:74,558:138.58:16199665:0.13:89,580:148.72:45641087:0.05:1648,1986:147.15:28084828:0.03:227,2000:144.67:13237680:0.04:160,U:147.65:15354564::,1933:148.38:11502152:0.02:3,1934:146.45:5143958:0.01:2,U:146.9:6235750:U:U,1929:148.29:9616958:0.01:2
DIS_112219P131,143:129.48,143:129.6,143:129.92,145.0,140:132.92,142:131.45,154:131.27,174:132.96:18014779:2.59:138,242:137.96:24058222:0.29:494,579:136.74:9047442:0.46:137,586:138.58:16199665:0.16:45,582:148.72:45641087:0.08:54,570:147.15:28084828:0.04:51,575:144.67:13237680:0.04:30,595:147.65:15354564:0.03:5,:148.38:11502152:U:U,589:146.45:5143958:0.01:10,599:146.9:6235750:0.01:0,599:148.29:9616958:0.01:1
DIS_112219P132,48:129.48,48:129.6,49:129.92,49.0,65:132.92,75:131.45,92:131.27,93:132.96:18014779:3.05:255,182:137.96:24058222:0.38:211,165:136.74:9047442:0.63:279,312:138.58:16199665:0.21:98,352:148.72:45641087:0.08:114,354:147.15:28084828:0.04:5,352:144.67:13237680:0.04:140,304:147.65:15354564:0.03:2,302:148.38:11502152:0.01:1,301:146.45:5143958:0.01:4,300:146.9:6235750:0.01:1,300:148.29:9616958:0.01:11
DIS_112219P133,14:129.48,14:129.6,22:129.92,22.0,22:132.92,31:131.45,36:131.27,35:132.96:18014779:3.55:145,134:137.96:24058222:0.58:229,139:136.74:9047442:0.74:403,367:138.58:16199665:0.3:178,457:148.72:45641087:0.09:174,440:147.15:28084828:0.05:63,401:144.67:13237680:0.05:159,333:147.65:15354564:0.03:5,333:148.38:11502152:0.01:11,334:146.45:5143958:0.01:3,U:146.9:6235750:U:U,U:148.29:9616958:U:U
DIS_112219P134,21:129.48,21:129.6,30:129.92,32.0,32:132.92,29:131.45,30:131.27,40:132.96:18014779:4.13:38,55:137.96:24058222:0.72:108,71:136.74:9047442:1.0:149,152:138.58:16199665:0.4:497,376:148.72:45641087:0.11:667,636:147.15:28084828:0.06:43,632:144.67:13237680:0.07:75,U:147.65:15354564::,1632:148.38:11502152:0.02:20,1626:146.45:5143958:0.02:14,1614:146.9:6235750:0.01:16,1599:148.29:9616958:0.01:5
DIS_112219P135,18:129.48,23:129.6,23:129.92,24.0,23:132.92,23:131.45,23:131.27,25:132.96:18014779:5.25:13,30:137.96:24058222:0.92:216,132:136.74:9047442:1.33:184,165:138.58:16199665:0.58:545,425:148.72:45641087:0.14:633,610:147.15:28084828:0.06:270,587:144.67:13237680:0.08:117,612:147.65:15354564:0.03:161,:148.38:11502152:U:U,655:146.45:5143958:0.02:37,620:146.9:6235750:0.01:86,662:148.29:9616958:0.01:11
DIS_112219P136,98:129.48,98:129.6,98:129.92,98.0,99:132.92,100:131.45,101:131.27,101:132.96:18014779:5.3:7,105:137.96:24058222:1.28:425,164:136.74:9047442:1.79:325,246:138.58:16199665:0.84:402,471:148.72:45641087:0.17:982,578:147.15:28084828:0.08:314,617:144.67:13237680:0.11:449,729:147.65:15354564:0.02:261,835:148.38:11502152:0.01:43,850:146.45:5143958:0.02:11,U:146.9:6235750:U:U,854:148.29:9616958:0.01:36
DIS_112219P137,2:129.48,20:129.6,20:129.92,20.0,20:132.92,21:131.45,60:131.27,61:132.96:18014779:6.32:11,64:137.96:24058222:1.66:327,174:136.74:9047442:2.23:990,802:138.58:16199665:1.18:1179,958:148.72:45641087:0.22:853,1241:147.15:28084828:0.11:220,1200:144.67:13237680:0.16:654,U:147.65:15354564::,1466:148.38:11502152:0.01:48,1445:146.45:5143958:0.02:102,1393:146.9:6235750:0.01:24,1397:148.29:9616958:0.01:26
DIS_112219P138,26:129.48,34:129.6,34:129.92,34.0,44:132.92,44:131.45,44:131.27,44:132.96:18014779:6.66:2,45:137.96:24058222:2.16:292,208:136.74:9047442:2.79:280,304:138.58:16199665:1.61:887,900:148.72:45641087:2.27:1482,908:147.15:28084828:0.13:294,916:144.67:13237680:0.22:959,1281:147.65:15354564:0.04:606,1414:148.38:11502152:0.03:307,1514:146.45:5143958:0.02:111,1503:146.9:6235750:0.01:325,1660:148.29:9616958:0.01:26
DIS_112219P139,35:129.48,35:129.6,35:129.92,26.0,26:132.92,24:131.45,27:131.27,27:132.96:18014779:7.4:3,28:137.96:24058222:2.72:162,93:136.74:9047442:3.6:112,133:138.58:16199665:2.05:3064,2061:148.72:45641087:0.36:3711,1704:147.15:28084828:0.17:659,1411:144.67:13237680:0.3:634,1638:147.65:15354564:0.06:538,1612:148.38:11502152:0.02:196,1655:146.45:5143958:0.04:64,1630:146.9:6235750:0.02:256,[1738:148.29:9616958:0.01:24
DIS_112919P120,74:129.48,80:129.6,80:129.92,80.0,90:132.92,76:131.45,76:131.27,88:132.96:18014779:0.35:66,117:137.96:24058222:0.05:43,114:136.74:9047442:0.05:13,116:138.58:16199665:0.05:10,116:148.72:45641087:0.03:29,125:147.15:28084828:0.03:0,125:144.67:13237680:0.04:10,117:147.65:15354564:0.02:13,105:148.38:11502152:0.04:1,106:146.45:5143958:0.01:1,U:146.9:6235750:U:U,106:148.29:9616958:0.01:1
