Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
DLTR_112219C103,0:112.58,0:112.06,0:110.4,0.0,0:112.21,0:113.28,0:112.8,0:110.35:1270598:0.0:0,0:108.93:1388632:0.0:0,0:107.69:1694730:0.0:0,0:108.4:1573421:0.0:0,0:108.75:1226118:0.0:0,0:108.85:1137034:0.0:0,0:147.65:15354564:0.0:0,0:106.88:1261460:0.0:0,0:107.0762:604971:0.0:0,0:107.995:1540812:0.0:0,[0:109.04:2025910:0.0:0
DLTR_112219C104,0:112.58,0:112.06,0:110.4,0.0,0:112.21,0:113.28,0:112.8,0:110.35:1270598:0.0:0,0:108.93:1388632:0.0:0,0:107.69:1694730:0.0:0,0:108.4:1573421:0.0:0,0:108.75:1226118:0.0:0,0:108.85:1137034:5.6:6,6:147.65:15354564:4.6:6,6:106.88:1261460:4.6:0,6:107.0762:604971:4.6:0,6:107.995:1540812:4.6:0,[6:109.04:2025910:4.6:0
DLTR_112219C105,0:112.58,0:112.06,0:110.4,0.0,0:112.21,0:113.28,0:112.8,1:110.35:1270598:8.2:0,1:108.93:1388632:8.2:0,1:107.69:1694730:4.08:5,6:108.4:1573421:4.08:0,6:108.75:1226118:4.36:5,11:108.85:1137034:4.36:0,U:147.65:15354564::,11:106.88:1261460:2.4:5,11:107.0762:604971:2.4:0,11:107.995:1540812:2.4:0,[11:109.04:2025910:3.86:2
DLTR_112219C106,0:112.58,0:112.06,0:110.4,0.0,0:112.21,0:113.28,0:112.8,0:110.35:1270598:0.0:0,0:108.93:1388632:0.0:0,0:107.69:1694730:0.0:0,0:108.4:1573421:2.85:14,11:108.75:1226118:2.85:0,11:108.85:1137034:3.4:9,U:147.65:15354564::,11:106.88:1261460:1.85:12,12:107.0762:604971:2.2:5,12:107.995:1540812:1.9:11,[13:109.04:2025910:2.83:2
DLTR_112219C107,0:112.58,0:112.06,0:110.4,0.0,0:112.21,0:113.28,0:112.8,0:110.35:1270598:0.0:0,0:108.93:1388632:0.0:0,0:107.69:1694730:0.0:0,0:108.4:1573421:1.7:2,1:108.75:1226118:2.0:7,8:108.85:1137034:2.0:0,8:147.65:15354564:2.0:0,8:106.88:1261460:0.9:3,9:107.0762:604971:1.57:1,9:107.995:1540812:1.1:1,[10:109.04:2025910:1.5:7
DLTR_112219C108,2:112.58,2:112.06,2:110.4,2.0,2:112.21,2:113.28,2:112.8,2:110.35:1270598:9.1:0,2:108.93:1388632:2.31:5,7:107.69:1694730:1.6:3,8:108.4:1573421:1.8:21,22:108.75:1226118:2.05:15,17:108.85:1137034:1.7:16,U:147.65:15354564::,35:106.88:1261460:0.46:50,44:107.0762:604971:0.38:45,82:107.995:1540812:0.52:64,[84:109.04:2025910:0.95:36
DLTR_112219C109,10:112.58,10:112.06,10:110.4,10.0,14:112.21,14:113.28,14:112.8,14:110.35:1270598:5.8:0,14:108.93:1388632:5.8:0,14:107.69:1694730:1.1:2,16:108.4:1573421:1.1:4,19:108.75:1226118:1.31:11,19:108.85:1137034:1.25:43,U:147.65:15354564::,54:106.88:1261460:0.9:0,54:107.0762:604971:0.3:20,62:107.995:1540812:0.3:39,[59:109.04:2025910:0.05:49
DLTR_112219C110,80:112.58,80:112.06,80:110.4,80.0,81:112.21,81:113.28,81:112.8,81:110.35:1270598:3.28:0,81:108.93:1388632:1.2:7,88:107.69:1694730:0.9:28,91:108.4:1573421:0.77:127,196:108.75:1226118:0.74:71,223:108.85:1137034:0.75:637,547:147.65:15354564:0.66:113,530:106.88:1261460:0.15:29,516:107.0762:604971:0.05:74,494:107.995:1540812:0.05:38,[499:109.04:2025910:0.02:112
DLTR_112219C111,0:112.58,0:112.06,0:110.4,0.0,0:112.21,0:113.28,0:112.8,0:110.35:1270598:1.5:8,8:108.93:1388632:0.72:12,18:107.69:1694730:0.45:14,27:108.4:1573421:0.43:3,28:108.75:1226118:0.35:35,42:108.85:1137034:0.5:132,U:147.65:15354564::,200:106.88:1261460:0.05:6,196:107.0762:604971:0.06:31,192:107.995:1540812:0.05:5,[193:109.04:2025910:0.04:22
DLTR_112219C112,1:112.58,1:112.06,16:110.4,31.0,35:112.21,18:113.28,18:112.8,14:110.35:1270598:2.8:0,14:108.93:1388632:0.5:1,14:107.69:1694730:0.3:80,93:108.4:1573421:0.05:3,91:108.75:1226118:0.4:1,92:108.85:1137034:0.15:3,U:147.65:15354564::,91:106.88:1261460:0.15:0,91:107.0762:604971:0.05:1,90:107.995:1540812:0.06:10,[100:109.04:2025910:0.01:16
