Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
DLTR_112219P103,10:112.58,10:112.06,10:110.4,10.0,10:112.21,10:113.28,10:112.8,10:110.35:1270598:0.9:0,10:108.93:1388632:0.9:0,10:107.69:1694730:0.9:0,10:108.4:1573421:0.35:2,11:108.75:1226118:0.25:1,12:108.85:1137034:0.25:0,12:147.65:15354564:0.25:0,12:106.88:1261460:0.25:0,12:107.11:606012:0.07:1,12:107.995:1540812:0.07:0,[12:109.04:2025910:0.07:0
DLTR_112219P104,0:112.58,0:112.06,0:110.4,0.0,0:112.21,0:113.28,0:112.8,0:110.35:1270598:0.0:0,0:108.93:1388632:0.45:10,10:107.69:1694730:0.4:3,13:108.4:1573421:0.7:6,19:108.75:1226118:0.3:11,20:108.85:1137034:0.2:22,42:147.65:15354564:0.2:0,42:106.88:1261460:0.25:12,42:107.11:606012:0.12:25,53:107.995:1540812:0.12:0,[53:109.04:2025910:0.12:0
DLTR_112219P105,7:112.58,9:112.06,9:110.4,9.0,9:112.21,9:113.28,9:112.8,9:110.35:1270598:0.45:0,9:108.93:1388632:0.65:2,11:107.69:1694730:0.59:107,118:108.4:1573421:0.5:10,125:108.75:1226118:0.5:3,126:108.85:1137034:0.31:5,125:147.65:15354564:0.22:5,120:106.88:1261460:0.5:24,127:107.11:606012:0.4:2,132:107.995:1540812:0.05:2,[132:109.04:2025910:0.01:26
DLTR_112219P106,74:112.58,74:112.06,74:110.4,76.0,76:112.21,76:113.28,76:112.8,76:110.35:1270598:0.59:1,77:108.93:1388632:0.7:1,77:107.69:1694730:0.8:12,79:108.4:1573421:0.72:120,142:108.75:1226118:0.53:8,149:108.85:1137034:0.43:69,175:147.65:15354564:0.3:10,182:106.88:1261460:0.8:30,202:107.11:606012:0.61:172,310:107.995:1540812:0.13:16,[309:109.04:2025910:0.02:108
DLTR_112219P107,121:112.58,121:112.06,121:110.4,121.0,121:112.21,121:113.28,121:112.8,121:110.35:1270598:0.8:0,121:108.93:1388632:1.2:12,127:107.69:1694730:1.15:13,130:108.4:1573421:1.0:14,129:108.75:1226118:0.79:22,151:108.85:1137034:0.59:33,168:147.65:15354564:0.6:25,186:106.88:1261460:1.1:62,216:107.11:606012:0.95:240,343:107.995:1540812:0.25:11,[343:109.04:2025910:0.03:19
DLTR_112219P108,12:112.58,12:112.06,22:110.4,24.0,24:112.21,24:113.28,24:112.8,24:110.35:1270598:0.95:1,25:108.93:1388632:1.35:29,31:107.69:1694730:1.67:42,51:108.4:1573421:1.37:26,51:108.75:1226118:1.19:41,61:108.85:1137034:0.9:40,80:147.65:15354564:0.87:24,83:106.88:1261460:1.49:23,74:107.11:606012:1.03:9,78:107.995:1540812:0.76:10,[80:109.04:2025910:0.05:10
DLTR_112219P109,88:112.58,88:112.06,84:110.4,81.0,81:112.21,81:113.28,81:112.8,81:110.35:1270598:1.4:1,81:108.93:1388632:2.85:11,89:107.69:1694730:2.19:3,90:108.4:1573421:1.85:6,88:108.75:1226118:1.37:11,95:108.85:1137034:1.3:70,122:147.65:15354564:1.45:4,123:106.88:1261460:2.5:19,123:107.11:606012:1.75:14,126:107.995:1540812:1.4:14,[132:109.04:2025910:0.1:57
DLTR_112219P110,38:112.58,38:112.06,50:110.4,53.0,54:112.21,54:113.28,52:112.8,52:110.35:1270598:1.6:1,52:108.93:1388632:2.56:5,52:107.69:1694730:2.55:1,52:108.4:1573421:2.35:4,49:108.75:1226118:1.95:4,53:108.85:1137034:1.55:26,77:147.65:15354564:1.7:3,75:106.88:1261460:3.2:6,71:107.11:606012:2.3:16,71:107.995:1540812:1.5:1,[70:109.04:2025910:1.74:27
DLTR_112219P111,25:112.58,25:112.06,25:110.4,29.0,28:112.21,28:113.28,30:112.8,31:110.35:1270598:2.18:11,32:108.93:1388632:3.33:10,37:107.69:1694730:3.28:11,46:108.4:1573421:3.06:11,46:108.75:1226118:3.4:2,46:108.85:1137034:2.2:1,46:147.65:15354564:2.5:1,45:106.88:1261460:2.5:0,45:107.11:606012:3.27:8,19:107.995:1540812:2.86:2,[19:109.04:2025910:1.25:11
DLTR_112219P112,40:112.58,40:112.06,41:110.4,41.0,41:112.21,41:113.28,42:112.8,48:110.35:1270598:1.5:0,48:108.93:1388632:3.9:1,47:107.69:1694730:3.9:0,47:108.4:1573421:4.55:1,47:108.75:1226118:4.55:0,47:108.85:1137034:4.55:0,47:147.65:15354564:4.55:0,47:106.88:1261460:4.55:0,37:107.11:606012:4.55:0,12:107.995:1540812:4.55:0,[9:109.04:2025910:4.55:0
