Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
DOCU_122019C42.5,35:66.39,35:66.77,35:66.19,35.0,35:68.45,35:66.0,35:66.08,35:65.41:1209329:19.7:0,35:66.73:1326845:19.7:0,35:67.25:1330087:19.7:0,35:67.01:1255576:19.7:0,35:67.82:1110190:19.7:0,35:67.75:980461:19.7:0,35:67.78:1115651:19.7:0,35:66.66:1757070:19.7:0,35:66.57:2483692:19.7:0,35:67.55:1290372:19.7:0,35:69.94:3662087:19.7:0,35:71.12:2053527:19.7:0
DOCU_122019C45,101:66.39,101:66.77,101:66.19,101.0,101:68.45,101:66.0,101:66.08,101:65.41:1209329:22.0:0,101:66.73:1326845:22.0:0,101:67.25:1330087:22.0:0,101:67.01:1255576:22.0:0,101:67.82:1110190:21.8:6,107:67.75:980461:21.8:0,107:67.78:1115651:21.8:0,107:66.66:1757070:21.8:0,107:66.57:2483692:21.8:0,107:67.55:1290372:21.8:0,107:69.94:3662087:24.4:2,107:71.12:2053527:24.4:0
DOCU_122019C47.5,137:66.39,137:66.77,136:66.19,136.0,136:68.45,136:66.0,136:66.08,136:65.41:1209329:17.97:0,136:66.73:1326845:17.97:0,136:67.25:1330087:17.97:0,136:67.01:1255576:17.97:0,136:67.82:1110190:20.6:1,135:67.75:980461:20.6:0,135:67.78:1115651:20.6:0,135:66.66:1757070:20.6:0,135:66.57:2483692:18.73:1,135:67.55:1290372:19.98:2,135:69.94:3662087:22.8:2,[135:71.12:2053527:22.8:0
DOCU_122019C50,441:66.39,441:66.77,441:66.19,441.0,441:68.45,441:66.0,440:66.08,439:65.41:1209329:15.67:0,439:66.73:1326845:16.63:3,437:67.25:1330087:17.45:2,437:67.01:1255576:17.38:7,432:67.82:1110190:17.38:0,432:67.75:980461:17.38:0,432:67.78:1115651:18.55:1,433:66.66:1757070:18.55:0,432:66.57:2483692:18.55:0,432:67.55:1290372:17.5:2,430:69.94:3662087:17.5:0,[430:71.12:2053527:21.4:3
DOCU_122019C52.5,309:66.39,309:66.77,309:66.19,309.0,309:68.45,308:66.0,309:66.08,309:65.41:1209329:15.0:2,309:66.73:1326845:14.25:5,309:67.25:1330087:14.25:0,309:67.01:1255576:14.87:7,309:67.82:1110190:14.87:0,309:67.75:980461:14.87:0,309:67.78:1115651:14.87:0,309:66.66:1757070:14.87:0,309:66.57:2483692:14.87:0,309:67.55:1290372:15.9:1,308:69.94:3662087:15.9:0,[308:71.12:2053527:15.9:0
DOCU_122019C55,728:66.39,857:66.77,859:66.19,809.0,806:68.45,808:66.0,807:66.08,817:65.41:1209329:12.92:7,817:66.73:1326845:12.5:27,833:67.25:1330087:13.54:10,824:67.01:1255576:12.42:4,822:67.82:1110190:12.57:6,825:67.75:980461:14.0:1,825:67.78:1115651:13.55:1,826:66.66:1757070:12.44:6,826:66.57:2483692:12.3:6,824:67.55:1290372:12.9:1,823:69.94:3662087:15.18:17,[809:71.12:2053527:16.3:1
DOCU_122019C57.5,229:66.39,229:66.77,229:66.19,227.0,227:68.45,227:66.0,228:66.08,228:65.41:1209329:10.1:2,228:66.73:1326845:10.25:6,234:67.25:1330087:10.25:0,234:67.01:1255576:10.1:28,259:67.82:1110190:10.1:0,259:67.75:980461:11.4:15,267:67.78:1115651:11.4:0,267:66.66:1757070:11.4:0,267:66.57:2483692:11.4:0,267:67.55:1290372:10.5:1,267:69.94:3662087:10.5:0,[267:71.12:2053527:13.25:1
DOCU_122019C60,1076:66.39,1261:66.77,1269:66.19,1256.0,1258:68.45,1205:66.0,1196:66.08,1187:65.41:1209329:7.6:24,1182:66.73:1326845:8.25:9,1188:67.25:1330087:8.7:7,1185:67.01:1255576:8.6:4,1184:67.82:1110190:9.29:11,1181:67.75:980461:9.27:6,1181:67.78:1115651:8.9:13,1180:66.66:1757070:8.39:34,1171:66.57:2483692:8.33:14,1163:67.55:1290372:8.64:16,1157:69.94:3662087:10.8:146,[1130:71.12:2053527:11.99:24
DOCU_122019C62.5,1149:66.39,1140:66.77,1142:66.19,1141.0,1143:68.45,1125:66.0,1130:66.08,1135:65.41:1209329:6.03:8,1137:66.73:1326845:6.7:10,1142:67.25:1330087:7.0:18,1151:67.01:1255576:6.7:10,1152:67.82:1110190:7.4:36,1163:67.75:980461:7.08:526,1650:67.78:1115651:7.0:21,1656:66.66:1757070:6.93:20,1653:66.57:2483692:6.6:24,1651:67.55:1290372:7.1:10,1657:69.94:3662087:8.8:19,[1656:71.12:2053527:9.85:22
DOCU_122019C65,2039:66.39,2040:66.77,2043:66.19,2049.0,2051:68.45,2054:66.0,2057:66.08,2034:65.41:1209329:4.6:46,2041:66.73:1326845:5.1:1047,2876:67.25:1330087:5.39:22,2881:67.01:1255576:4.9:78,2917:67.82:1110190:5.7:46,2920:67.75:980461:5.6:76,2929:67.78:1115651:5.5:62,2935:66.66:1757070:4.94:2152,3392:66.57:2483692:5.08:361,3503:67.55:1290372:5.42:213,3468:69.94:3662087:7.12:1024,[3339:71.12:2053527:7.9:145
DOCU_122019C67.5,866:66.39,868:66.77,873:66.19,894.0,897:68.45,925:66.0,940:66.08,939:65.41:1209329:3.5:169,1069:66.73:1326845:3.77:38,1074:67.25:1330087:3.9:77,1118:67.01:1255576:3.77:125,1125:67.82:1110190:4.2:164,1181:67.75:980461:4.1:52,1194:67.78:1115651:4.04:96,1232:66.66:1757070:3.69:355,1427:66.57:2483692:3.76:399,1648:67.55:1290372:4.08:122,1652:69.94:3662087:5.48:317,[1660:71.12:2053527:6.2:99
