Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
DOCU_122019P42.5,317:66.39,317:66.77,316:66.19,316.0,316:68.45,316:66.0,316:66.08,316:65.41:1209329:0.12:0,316:66.73:1326845:0.12:0,316:67.25:1330087:0.12:0,316:67.01:1255576:0.12:0,316:67.82:1110190:0.12:0,316:67.75:980461:0.12:0,316:67.78:1115651:0.12:0,316:66.66:1757070:0.05:1,315:66.57:2483692:0.05:0,315:67.55:1290372:0.05:0,315:69.94:3662087:0.05:0,315:71.12:2053527:0.05:0
DOCU_122019P45,1990:66.39,1990:66.77,2012:66.19,2012.0,2197:68.45,2197:66.0,2197:66.08,2197:65.41:1209329:0.13:35,2186:66.73:1326845:0.13:0,2186:67.25:1330087:0.1:51,2136:67.01:1255576:0.08:1,2137:67.82:1110190:0.08:0,2137:67.75:980461:0.08:0,2137:67.78:1115651:0.05:2,2137:66.66:1757070:0.05:0,2137:66.57:2483692:0.05:0,2137:67.55:1290372:0.05:0,2137:69.94:3662087:0.07:2,2135:71.12:2053527:0.07:0
DOCU_122019P47.5,951:66.39,951:66.77,951:66.19,951.0,1045:68.45,1045:66.0,1045:66.08,1050:65.41:1209329:0.3:0,1050:66.73:1326845:0.16:25,1075:67.25:1330087:0.12:273,1286:67.01:1255576:0.12:1,1286:67.82:1110190:0.12:0,1286:67.75:980461:0.12:1,1286:67.78:1115651:0.1:1,1285:66.66:1757070:0.12:135,1409:66.57:2483692:0.15:8,1408:67.55:1290372:0.15:0,1408:69.94:3662087:0.15:0,[1408:71.12:2053527:0.05:1
DOCU_122019P50,610:66.39,611:66.77,612:66.19,613.0,613:68.45,613:66.0,600:66.08,600:65.41:1209329:0.4:0,600:66.73:1326845:0.35:57,632:67.25:1330087:0.23:1,633:67.01:1255576:0.24:11,643:67.82:1110190:0.24:0,643:67.75:980461:0.2:4,643:67.78:1115651:0.15:17,647:66.66:1757070:0.3:9,654:66.57:2483692:0.25:10,644:67.55:1290372:0.25:18,635:69.94:3662087:0.1:9,[628:71.12:2053527:0.1:4
DOCU_122019P52.5,388:66.39,389:66.77,390:66.19,390.0,392:68.45,404:66.0,404:66.08,404:65.41:1209329:0.5:0,404:66.73:1326845:0.5:2,405:67.25:1330087:0.4:19,401:67.01:1255576:0.39:1,401:67.82:1110190:0.4:1,401:67.75:980461:0.35:4,401:67.78:1115651:0.35:0,401:66.66:1757070:0.45:4,401:66.57:2483692:0.4:5,396:67.55:1290372:0.35:1,397:69.94:3662087:0.22:19,[392:71.12:2053527:0.2:7
DOCU_122019P55,737:66.39,736:66.77,749:66.19,750.0,755:68.45,766:66.0,832:66.08,834:65.41:1209329:0.85:4,835:66.73:1326845:0.8:1,835:67.25:1330087:0.55:6,840:67.01:1255576:0.6:7,845:67.82:1110190:0.55:5,846:67.75:980461:0.52:7,846:67.78:1115651:0.43:50,843:66.66:1757070:0.7:171,931:66.57:2483692:0.7:23,929:67.55:1290372:0.57:15,933:69.94:3662087:0.34:65,[922:71.12:2053527:0.27:76
DOCU_122019P57.5,3423:66.39,3426:66.77,3427:66.19,3427.0,3435:68.45,3433:66.0,3459:66.08,3469:65.41:1209329:1.4:84,3507:66.73:1326845:1.2:11,3506:67.25:1330087:0.96:31,3520:67.01:1255576:0.95:20,3518:67.82:1110190:0.85:123,3561:67.75:980461:0.87:1,3562:67.78:1115651:0.74:37,3553:66.66:1757070:1.05:90,3573:66.57:2483692:1.03:30,3583:67.55:1290372:0.9:37,3594:69.94:3662087:0.6:34,[3603:71.12:2053527:0.46:9
DOCU_122019P60,5205:66.39,5205:66.77,5203:66.19,5197.0,5203:68.45,5217:66.0,5258:66.08,5261:65.41:1209329:1.95:85,5263:66.73:1326845:1.72:15,5260:67.25:1330087:1.45:72,5297:67.01:1255576:1.51:46,5334:67.82:1110190:1.27:74,5345:67.75:980461:1.34:38,5362:67.78:1115651:1.13:32,5377:66.66:1757070:1.65:262,5430:66.57:2483692:1.59:60,5440:67.55:1290372:1.45:62,5478:69.94:3662087:0.95:127,[5487:71.12:2053527:0.7:93
DOCU_122019P62.5,560:66.39,574:66.77,571:66.19,576.0,578:68.45,661:66.0,690:66.08,721:65.41:1209329:2.85:129,834:66.73:1326845:2.43:5,836:67.25:1330087:2.1:169,981:67.01:1255576:2.08:74,1049:67.82:1110190:1.9:103,1121:67.75:980461:1.94:65,1168:67.78:1115651:1.69:75,1204:66.66:1757070:2.42:229,1340:66.57:2483692:2.25:58,1375:67.55:1290372:1.9:29,1362:69.94:3662087:1.39:131,[1413:71.12:2053527:1.15:86
DOCU_122019P65,4275:66.39,4286:66.77,4293:66.19,4299.0,4326:68.45,4332:66.0,4336:66.08,4338:65.41:1209329:3.74:7,4337:66.73:1326845:3.37:1032,5321:67.25:1330087:3.02:87,5341:67.01:1255576:3.0:179,5426:67.82:1110190:2.7:114,5410:67.75:980461:2.8:91,5434:67.78:1115651:2.65:47,5438:66.66:1757070:3.4:192,5466:66.57:2483692:3.22:215,5616:67.55:1290372:2.89:66,5638:69.94:3662087:2.05:221,[5639:71.12:2053527:1.55:147
DOCU_122019P67.5,124:66.39,125:66.77,127:66.19,140.0,140:68.45,156:66.0,173:66.08,176:65.41:1209329:5.06:21,193:66.73:1326845:4.8:10,183:67.25:1330087:4.1:11,185:67.01:1255576:4.3:18,186:67.82:1110190:3.7:30,200:67.75:980461:3.9:7,200:67.78:1115651:3.64:21,208:66.66:1757070:4.5:133,231:66.57:2483692:4.4:149,369:67.55:1290372:4.35:33,372:69.94:3662087:2.87:342,[512:71.12:2053527:2.35:213
DOCU_122019P70,2028:66.39,2029:66.77,2029:66.19,2028.0,2028:68.45,2038:66.0,2037:66.08,2037:65.41:1209329:6.8:0,2037:66.73:1326845:6.8:0,2037:67.25:1330087:5.4:15,2051:67.01:1255576:5.8:1,2051:67.82:1110190:5.07:5,2054:67.75:980461:5.18:1,2055:67.78:1115651:4.9:80,2071:66.66:1757070:6.0:110,2104:66.57:2483692:5.6:1,2105:67.55:1290372:5.27:9,2105:69.94:3662087:4.04:121,[2156:71.12:2053527:3.31:131
DOCU_122019P72.5,6:66.39,6:66.77,6:66.19,6.0,6:68.45,6:66.0,6:66.08,6:65.41:1209329:9.3:0,6:66.73:1326845:9.3:0,6:67.25:1330087:9.3:0,6:67.01:1255576:9.3:0,6:67.82:1110190:9.3:0,6:67.75:980461:6.53:1,6:67.78:1115651:6.5:13,16:66.66:1757070:7.3:7,23:66.57:2483692:7.3:0,23:67.55:1290372:7.3:0,23:69.94:3662087:5.4:31,[43:71.12:2053527:4.7:10
DOCU_122019P75,12:66.39,12:66.77,12:66.19,12.0,12:68.45,12:66.0,13:66.08,13:65.41:1209329:10.1:0,13:66.73:1326845:10.1:0,13:67.25:1330087:8.1:1,13:67.01:1255576:8.1:0,13:67.82:1110190:8.6:2,15:67.75:980461:8.6:0,15:67.78:1115651:8.05:2,16:66.66:1757070:9.4:1,15:66.57:2483692:9.4:0,15:67.55:1290372:9.4:0,15:69.94:3662087:7.32:9,[22:71.12:2053527:6.41:15
DOCU_122019P80,0:66.39,0:66.77,0:66.19,1.0,1:68.45,1:66.0,1:66.08,1:65.41:1209329:14.2:0,1:66.73:1326845:14.2:0,1:67.25:1330087:14.2:0,1:67.01:1255576:14.2:0,1:67.82:1110190:14.2:0,1:67.75:980461:14.2:0,1:67.78:1115651:14.2:0,1:66.66:1757070:14.2:0,1:66.57:2483692:14.2:0,1:67.55:1290372:14.2:0,1:69.94:3662087:14.2:0,[1:71.12:2053527:14.2:0
DOCU_122019P85,1:66.39,1:66.77,1:66.19,1.0,1:68.45,1:66.0,1:66.08,1:65.41:1209329:28.4:0,1:66.73:1326845:28.4:0,1:67.25:1330087:28.4:0,1:67.01:1255576:28.4:0,1:67.82:1110190:28.4:0,1:67.75:980461:28.4:0,1:67.78:1115651:28.4:0,1:66.66:1757070:28.4:0,1:66.57:2483692:28.4:0,1:67.55:1290372:28.4:0,1:69.94:3662087:28.4:0,[1:71.12:2053527:28.4:0
DOCU_122019P77.5,U,U,U,U,U,0:66.0,0:66.08,0:65.41:1209329:0.0:0,0:66.73:1326845:0.0:0,0:67.25:1330087:0.0:0,0:67.01:1255576:0.0:0,0:67.82:1110190:0.0:0,0:67.75:980461:0.0:0,0:67.78:1115651:0.0:0,0:66.66:1757070:0.0:0,0:66.57:2483692:0.0:0,0:67.55:1290372:0.0:0,0:69.94:3662087:8.9:3,[2:71.12:2053527:8.9:0
DOCU_011720P100,U,U,U,U,U,U,U,U,U,U,U,U,0:67.75:980461:34.3:0,0:67.78:1115651:34.3:0,0:66.66:1757070:34.3:0,0:66.57:2483692:34.3:0,0:67.55:1290372:34.3:0,0:69.94:3662087:34.3:0,[0:71.12:2053527:34.3:0
DOCU_011720P45,U,U,U,U,U,U,U,U,U,U,U,U,2472:67.75:980461:0.21:0,2472:67.78:1115651:0.12:2,2472:66.66:1757070:0.12:0,2472:66.57:2483692:0.17:10,2472:67.55:1290372:0.17:0,2472:69.94:3662087:0.17:0,2472:71.12:2053527:0.07:2
DOCU_011720P47.5,U,U,U,U,U,U,U,U,U,U,U,U,248:67.75:980461:0.42:0,248:67.78:1115651:0.42:0,248:66.66:1757070:0.42:0,248:66.57:2483692:0.42:0,248:67.55:1290372:0.42:0,248:69.94:3662087:0.42:0,[248:71.12:2053527:0.42:0
DOCU_011720P50,U,U,U,U,U,U,U,U,U,U,U,U,1142:67.75:980461:0.4:1,1141:67.78:1115651:0.4:0,1141:66.66:1757070:0.4:0,1141:66.57:2483692:0.45:2,1141:67.55:1290372:0.45:0,1141:69.94:3662087:0.45:0,[1141:71.12:2053527:0.17:5
DOCU_011720P52.5,U,U,U,U,U,U,U,U,U,U,U,U,497:67.75:980461:0.65:0,497:67.78:1115651:0.65:0,497:66.66:1757070:0.7:4,500:66.57:2483692:0.7:0,500:67.55:1290372:0.7:0,500:69.94:3662087:0.7:0,[500:71.12:2053527:0.3:1
DOCU_011720P55,U,U,U,U,U,U,U,U,U,U,U,U,573:67.75:980461:0.9:1,572:67.78:1115651:0.75:3,573:66.66:1757070:1.1:967,1325:66.57:2483692:1.0:49,1342:67.55:1290372:1.0:0,1342:69.94:3662087:0.55:20,[1352:71.12:2053527:0.47:1
DOCU_011720P57.5,U,U,U,U,U,U,U,U,U,U,U,U,1516:67.75:980461:1.25:0,1516:67.78:1115651:1.14:20,1517:66.66:1757070:1.42:43,1523:66.57:2483692:1.45:15,1523:67.55:1290372:1.3:2,1525:69.94:3662087:0.85:11,[1523:71.12:2053527:0.85:0
DOCU_011720P60,U,U,U,U,U,U,U,U,U,U,U,U,626:67.75:980461:1.77:1,625:67.78:1115651:1.6:36,653:66.66:1757070:2.15:216,641:66.57:2483692:2.0:31,668:67.55:1290372:1.75:1,668:69.94:3662087:1.25:55,[662:71.12:2053527:1.1:8
DOCU_011720P62.5,U,U,U,U,U,U,U,U,U,U,U,U,97:67.75:980461:2.55:8,102:67.78:1115651:2.4:6,106:66.66:1757070:2.72:43,123:66.57:2483692:2.85:17,129:67.55:1290372:2.45:7,147:69.94:3662087:1.85:6,[152:71.12:2053527:1.65:2
DOCU_011720P65,U,U,U,U,U,U,U,U,U,U,U,U,298:67.75:980461:3.4:4,297:67.78:1115651:3.2:24,280:66.66:1757070:3.95:47,264:66.57:2483692:3.65:14,274:67.55:1290372:3.3:20,282:69.94:3662087:2.6:58,[308:71.12:2053527:2.2:6
DOCU_011720P67.5,U,U,U,U,U,U,U,U,U,U,U,U,289:67.75:980461:4.6:1,290:67.78:1115651:4.4:29,318:66.66:1757070:4.9:63,308:66.57:2483692:4.9:0,308:67.55:1290372:4.6:34,314:69.94:3662087:3.5:161,[439:71.12:2053527:3.05:1
DOCU_011720P70,U,U,U,U,U,U,U,U,U,U,U,U,177:67.75:980461:5.9:1,178:67.78:1115651:5.68:12,185:66.66:1757070:6.55:18,187:66.57:2483692:6.55:0,187:67.55:1290372:5.82:1,187:69.94:3662087:4.65:724,[720:71.12:2053527:4.06:173
DOCU_011720P72.5,U,U,U,U,U,U,U,U,U,U,U,U,97:67.75:980461:7.2:0,97:67.78:1115651:7.2:0,97:66.66:1757070:7.2:0,97:66.57:2483692:7.2:0,97:67.55:1290372:7.2:0,97:69.94:3662087:5.9:18,[115:71.12:2053527:5.3:2
DOCU_011720P75,U,U,U,U,U,U,U,U,U,U,U,U,11:67.75:980461:9.6:0,11:67.78:1115651:8.84:1,12:66.66:1757070:10.1:1,11:66.57:2483692:9.7:12,28:67.55:1290372:9.1:2,30:69.94:3662087:7.62:1,[28:71.12:2053527:7.62:0
DOCU_011720P77.5,U,U,U,U,U,U,U,U,U,U,U,U,0:67.75:980461:0.0:0,0:67.78:1115651:0.0:0,0:66.66:1757070:0.0:0,0:66.57:2483692:0.0:0,0:67.55:1290372:0.0:0,0:69.94:3662087:9.1:19,[19:71.12:2053527:9.1:0
DOCU_011720P80,U,U,U,U,U,U,U,U,U,U,U,U,6:67.75:980461:14.0:0,6:67.78:1115651:14.0:0,6:66.66:1757070:14.0:0,6:66.57:2483692:14.0:0,6:67.55:1290372:14.0:0,6:69.94:3662087:14.0:0,[6:71.12:2053527:14.0:0
DOCU_011720P85,U,U,U,U,U,U,U,U,U,U,U,U,1:67.75:980461:23.0:0,1:67.78:1115651:23.0:0,1:66.66:1757070:23.0:0,1:66.57:2483692:23.0:0,1:67.55:1290372:23.0:0,1:69.94:3662087:23.0:0,[1:71.12:2053527:14.8:2
DOCU_011720P90,U,U,U,U,U,U,U,U,U,U,U,U,1:67.75:980461:25.9:0,1:67.78:1115651:25.9:0,1:66.66:1757070:25.9:0,1:66.57:2483692:25.9:0,1:67.55:1290372:25.9:0,1:69.94:3662087:25.9:0,[1:71.12:2053527:25.9:0
