Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
DPZ_112219C245,1:269.46,2:263.18,2:270.9,2:271.62,2.0,2:269.29,2:276.31,2:277.82,2:282.68:854994:37.1:1,2:280.66:671154:37.1:0,2:280.69:663860:37.1:0,2:277.88:522353:37.1:0,2:279.4:434969:37.1:0,2:278.66:509101:37.1:0,2:281.41:629498:37.1:0,2:66.66:1757070:37.1:0,2:285.74:491367:37.1:0,2:287.52:305652:37.1:0,2:284.05:1068485:37.1:0,2:285.76:392016:37.1:0
DPZ_112219C247.5,0:269.46,0:263.18,0:270.9,0:271.62,0.0,0:269.29,0:276.31,0:277.82,0:282.68:854994:0.0:0,0:280.66:671154:0.0:0,0:280.69:663860:0.0:0,0:277.88:522353:0.0:0,0:279.4:434969:0.0:0,0:278.66:509101:0.0:0,0:281.41:629498:0.0:0,U:66.66:1757070::,0:285.74:491367:0.0:0,0:287.52:305652:0.0:0,0:284.05:1068485:0.0:0,0:285.76:392016:0.0:0
DPZ_112219C250,2:269.46,2:263.18,2:270.9,2:271.62,2.0,7:269.29,7:276.31,7:277.82,7:282.68:854994:23.6:0,7:280.66:671154:23.6:0,7:280.69:663860:23.6:0,7:277.88:522353:23.6:0,7:279.4:434969:23.6:0,7:278.66:509101:23.6:0,7:281.41:629498:23.6:0,U:66.66:1757070::,7:285.74:491367:23.6:0,7:287.52:305652:23.6:0,7:284.05:1068485:23.6:0,7:285.76:392016:23.6:0
DPZ_112219C252.5,3:269.46,3:263.18,3:270.9,3:271.62,3.0,3:269.29,3:276.31,3:277.82,3:282.68:854994:10.4:0,3:280.66:671154:10.4:0,3:280.69:663860:10.4:0,3:277.88:522353:10.4:0,3:279.4:434969:10.4:0,3:278.66:509101:10.4:0,3:281.41:629498:28.0:1,U:66.66:1757070::,3:285.74:491367:28.0:0,3:287.52:305652:34.75:2,3:284.05:1068485:34.75:0,3:285.76:392016:34.75:0
DPZ_112219C255,10:269.46,12:263.18,12:270.9,12:271.62,12.0,12:269.29,12:276.31,12:277.82,12:282.68:854994:27.64:2,10:280.66:671154:27.64:0,10:280.69:663860:26.0:1,10:277.88:522353:26.0:0,10:279.4:434969:26.0:0,10:278.66:509101:23.96:2,10:281.41:629498:23.96:0,10:66.66:1757070:29.14:2,9:285.74:491367:29.14:0,9:287.52:305652:32.25:2,7:284.05:1068485:32.25:0,7:285.76:392016:31.6:10
DPZ_112219C257.5,4:269.46,6:263.18,6:270.9,6:271.62,6.0,6:269.29,6:276.31,6:277.82,6:282.68:854994:24.88:2,4:280.66:671154:22.24:5,6:280.69:663860:22.24:0,6:277.88:522353:22.24:0,6:279.4:434969:22.24:0,6:278.66:509101:22.13:1,6:281.41:629498:22.13:0,U:66.66:1757070::,6:285.74:491367:22.13:0,6:287.52:305652:29.99:1,6:284.05:1068485:29.99:0,6:285.76:392016:29.26:5
DPZ_112219C260,9:269.46,6:263.18,6:270.9,6:271.62,6.0,6:269.29,6:276.31,6:277.82,6:282.68:854994:21.35:1,6:280.66:671154:21.35:0,6:280.69:663860:21.35:0,6:277.88:522353:21.35:0,6:279.4:434969:21.35:0,6:278.66:509101:21.35:0,6:281.41:629498:21.35:0,U:66.66:1757070::,6:285.74:491367:21.35:0,6:287.52:305652:21.35:0,6:284.05:1068485:21.35:0,6:285.76:392016:26.65:2
DPZ_112219C262.5,9:269.46,9:263.18,9:270.9,9:271.62,9.0,9:269.29,9:276.31,9:277.82,8:282.68:854994:16.99:0,8:280.66:671154:16.99:0,8:280.69:663860:16.99:0,8:277.88:522353:16.99:0,8:279.4:434969:16.99:0,8:278.66:509101:16.99:0,8:281.41:629498:18.5:1,9:66.66:1757070:18.5:0,9:285.74:491367:25.0:1,9:287.52:305652:25.0:0,9:284.05:1068485:25.0:0,[9:285.76:392016:25.0:0
DPZ_112219C265,25:269.46,12:263.18,11:270.9,11:271.62,11.0,11:269.29,11:276.31,11:277.82,10:282.68:854994:14.84:0,10:280.66:671154:14.84:0,10:280.69:663860:14.84:0,10:277.88:522353:14.84:0,10:279.4:434969:14.84:0,10:278.66:509101:14.45:1,9:281.41:629498:14.45:0,U:66.66:1757070::,9:285.74:491367:19.15:0,9:287.52:305652:19.15:0,9:284.05:1068485:19.15:0,[9:285.76:392016:19.15:0
DPZ_112219C267.5,4:269.46,3:263.18,4:270.9,6:271.62,3.0,3:269.29,3:276.31,3:277.82,5:282.68:854994:11.7:0,5:280.66:671154:11.7:0,5:280.69:663860:11.7:0,5:277.88:522353:11.7:0,5:279.4:434969:11.7:0,5:278.66:509101:11.7:0,5:281.41:629498:11.7:0,5:66.66:1757070:11.7:0,5:285.74:491367:11.7:0,5:287.52:305652:11.7:0,5:284.05:1068485:11.7:0,[5:285.76:392016:11.7:0
