Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
DPZ_112219P245,5:269.46,6:263.18,6:270.9,6:271.62,6.0,6:269.29,6:276.31,6:277.82,6:282.68:854994:1.37:0,6:280.66:671154:1.37:0,6:280.69:663860:1.37:0,6:277.88:522353:1.37:0,6:279.4:434969:0.15:2,6:278.66:509101:0.15:0,6:281.41:629498:0.15:0,6:66.66:1757070:0.15:0,6:285.74:491367:0.15:0,6:287.51:306391:0.11:1,6:284.05:1068485:0.11:0,6:285.76:392016:0.11:0
DPZ_112219P247.5,48:269.46,47:263.18,48:270.9,48:271.62,48.0,48:269.29,48:276.31,48:277.82,48:282.68:854994:2.1:0,48:280.66:671154:2.1:0,48:280.69:663860:2.1:0,48:277.88:522353:2.1:0,48:279.4:434969:2.1:0,48:278.66:509101:2.1:0,48:281.41:629498:2.1:0,48:66.66:1757070:2.1:0,48:285.74:491367:2.1:0,48:287.51:306391:2.1:0,48:284.05:1068485:2.1:0,48:285.76:392016:2.1:0
DPZ_112219P250,11:269.46,11:263.18,13:270.9,13:271.62,15.0,15:269.29,17:276.31,17:277.82,17:282.68:854994:1.55:0,17:280.66:671154:1.55:0,17:280.69:663860:0.25:2,16:277.88:522353:0.16:1,17:279.4:434969:0.16:0,17:278.66:509101:0.16:0,17:281.41:629498:0.16:0,U:66.66:1757070::,17:285.74:491367:0.16:0,17:287.51:306391:0.16:0,17:284.05:1068485:0.16:0,17:285.76:392016:0.16:0
DPZ_112219P252.5,5:269.46,5:263.18,5:270.9,5:271.62,5.0,5:269.29,24:276.31,24:277.82,24:282.68:854994:1.8:0,24:280.66:671154:1.8:0,24:280.69:663860:0.29:1,25:277.88:522353:0.29:0,25:279.4:434969:0.29:0,25:278.66:509101:0.29:0,25:281.41:629498:0.29:0,25:66.66:1757070:0.29:0,25:285.74:491367:0.08:20,U:287.51:306391:U:U,24:284.05:1068485:0.08:0,24:285.76:392016:0.08:0
DPZ_112219P255,18:269.46,8:263.18,8:270.9,8:271.62,8.0,8:269.29,8:276.31,8:277.82,16:282.68:854994:1.05:0,16:280.66:671154:1.05:0,16:280.69:663860:0.39:21,34:277.88:522353:0.34:12,44:279.4:434969:0.35:10,54:278.66:509101:0.35:0,54:281.41:629498:0.35:0,54:66.66:1757070:0.05:5,54:285.74:491367:0.05:0,54:287.51:306391:0.05:0,U:284.05:1068485:U:U,54:285.76:392016:0.05:0
DPZ_112219P257.5,9:269.46,8:263.18,8:270.9,8:271.62,8.0,8:269.29,8:276.31,8:277.82,8:282.68:854994:1.5:0,8:280.66:671154:1.5:0,8:280.69:663860:1.5:0,8:277.88:522353:1.5:0,8:279.4:434969:1.5:0,8:278.66:509101:1.5:0,8:281.41:629498:0.15:10,18:66.66:1757070:0.15:0,18:285.74:491367:0.15:0,18:287.51:306391:0.15:0,U:284.05:1068485:U:U,18:285.76:392016:0.15:0
DPZ_112219P260,24:269.46,19:263.18,19:270.9,19:271.62,19.0,19:269.29,21:276.31,32:277.82,41:282.68:854994:1.6:0,41:280.66:671154:0.62:10,51:280.69:663860:0.62:0,51:277.88:522353:0.51:1,52:279.4:434969:0.51:0,52:278.66:509101:0.4:8,60:281.41:629498:0.15:20,65:66.66:1757070:0.1:1,64:285.74:491367:0.1:0,U:287.51:306391:U:U,64:284.05:1068485:0.1:0,64:285.76:392016:0.1:0
DPZ_112219P262.5,9:269.46,9:263.18,10:270.9,11:271.62,11.0,11:269.29,10:276.31,10:277.82,10:282.68:854994:3.57:0,10:280.66:671154:1.2:4,14:280.69:663860:0.9:1,15:277.88:522353:0.8:1,16:279.4:434969:0.85:3,19:278.66:509101:0.53:3,22:281.41:629498:0.25:5,19:66.66:1757070:0.25:0,19:285.74:491367:0.06:30,49:287.51:306391:0.05:2,49:284.05:1068485:0.05:0,[49:285.76:392016:0.05:0
DPZ_112219P265,2:269.46,2:263.18,252:270.9,252:271.62,252.0,252:269.29,252:276.31,252:277.82,252:282.68:854994:1.32:3,255:280.66:671154:1.55:18,269:280.69:663860:1.1:7,276:277.88:522353:1.1:0,276:279.4:434969:1.05:6,278:278.66:509101:1.05:0,278:281.41:629498:0.22:13,281:66.66:1757070:0.08:1,281:285.74:491367:0.08:0,281:287.51:306391:0.08:0,281:284.05:1068485:0.08:0,[281:285.76:392016:0.08:0
DPZ_112219P267.5,6:269.46,6:263.18,6:270.9,6:271.62,6.0,26:269.29,26:276.31,26:277.82,26:282.68:854994:5.5:0,26:280.66:671154:5.5:0,26:280.69:663860:5.5:0,26:277.88:522353:1.15:32,42:279.4:434969:1.25:2,40:278.66:509101:1.01:11,51:281.41:629498:0.35:7,56:66.66:1757070:0.2:1,55:285.74:491367:0.2:0,55:287.51:306391:0.2:0,55:284.05:1068485:0.08:1,[55:285.76:392016:0.08:0
DPZ_112219P270,1:269.46,253:263.18,253:270.9,253:271.62,253.0,260:269.29,259:276.31,260:277.82,260:282.68:854994:2.25:5,262:280.66:671154:2.45:20,255:280.69:663860:2.1:2,255:277.88:522353:1.7:19,256:279.4:434969:1.32:6,259:278.66:509101:1.04:10,259:281.41:629498:0.55:32,285:66.66:1757070:0.25:11,285:285.74:491367:0.15:5,288:287.51:306391:0.08:1,288:284.05:1068485:0.08:0,[288:285.76:392016:0.08:0
