Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
EFX_112219C127,0:136.69,0:135.84,0:135.01,0:136.71,0.0,0:134.8,0:133.25,0:135.18,0:133.89:626590:0.0:0,0:133.96:491607:0.0:0,0:134.94:666846:0.0:0,0:135.11:552508:0.0:0,0:135.96:879308:0.0:0,0:137.66:959263:0.0:0,0:138.4:860858:0.0:0,0:66.66:1757070:0.0:0,:285.74:491367:U:U,0:139.6:270211:0.0:0,0:137.99:528474:0.0:0,0:138.12:404076:0.0:0
EFX_112219C128,0:136.69,0:135.84,0:135.01,0:136.71,0.0,0:134.8,0:133.25,0:135.18,0:133.89:626590:0.0:0,0:133.96:491607:0.0:0,0:134.94:666846:0.0:0,0:135.11:552508:0.0:0,0:135.96:879308:0.0:0,0:137.66:959263:0.0:0,0:138.4:860858:0.0:0,U:66.66:1757070::,:285.74:491367:U:U,0:139.6:270211:0.0:0,0:137.99:528474:0.0:0,0:138.12:404076:0.0:0
EFX_112219C129,0:136.69,0:135.84,0:135.01,0:136.71,0.0,0:134.8,0:133.25,0:135.18,0:133.89:626590:0.0:0,0:133.96:491607:0.0:0,0:134.94:666846:0.0:0,0:135.11:552508:0.0:0,0:135.96:879308:0.0:0,0:137.66:959263:0.0:0,0:138.4:860858:0.0:0,0:66.66:1757070:0.0:0,:285.74:491367:U:U,0:139.6:270211:0.0:0,0:137.99:528474:0.0:0,[0:138.12:404076:0.0:0
EFX_112219C130,0:136.69,0:135.84,0:135.01,0:136.71,0.0,0:134.8,0:133.25,0:135.18,0:133.89:626590:0.0:0,0:133.96:491607:0.0:0,0:134.94:666846:0.0:0,0:135.11:552508:0.0:0,0:135.96:879308:0.0:0,0:137.66:959263:0.0:0,0:138.4:860858:0.0:0,0:66.66:1757070:0.0:0,0:285.74:491367:0.0:0,0:139.6:270211:0.0:0,0:137.99:528474:0.0:0,[0:138.12:404076:0.0:0
EFX_112219C131,0:136.69,0:135.84,0:135.01,0:136.71,0.0,0:134.8,0:133.25,0:135.18,0:133.89:626590:0.0:0,0:133.96:491607:0.0:0,0:134.94:666846:0.0:0,0:135.11:552508:0.0:0,0:135.96:879308:0.0:0,0:137.66:959263:0.0:0,0:138.4:860858:0.0:0,0:66.66:1757070:0.0:0,0:285.74:491367:0.0:0,0:139.6:270211:0.0:0,0:137.99:528474:0.0:0,[0:138.12:404076:0.0:0
EFX_112219C132,3:136.69,3:135.84,3:135.01,3:136.71,3.0,3:134.8,3:133.25,3:135.18,3:133.89:626590:14.05:0,3:133.96:491607:14.05:0,3:134.94:666846:14.05:0,3:135.11:552508:14.05:0,3:135.96:879308:14.05:0,3:137.66:959263:14.05:0,3:138.4:860858:14.05:0,U:66.66:1757070::,3:285.74:491367:14.05:0,3:139.6:270211:14.05:0,0:137.99:528474:14.05:0,[0:138.12:404076:14.05:0
EFX_112219C133,0:136.69,0:135.84,0:135.01,0:136.71,0.0,0:134.8,0:133.25,1:135.18,1:133.89:626590:2.6:0,1:133.96:491607:2.6:0,1:134.94:666846:2.6:0,1:135.11:552508:2.6:0,1:135.96:879308:2.6:0,1:137.66:959263:3.7:5,6:138.4:860858:3.7:0,6:66.66:1757070:3.7:0,6:285.74:491367:3.7:0,6:139.6:270211:7.52:5,0:137.99:528474:7.52:0,[0:138.12:404076:7.52:0
EFX_112219C134,0:136.69,0:135.84,0:135.01,0:136.71,0.0,0:134.8,0:133.25,0:135.18,0:133.89:626590:0.0:0,0:133.96:491607:0.0:0,0:134.94:666846:2.15:2,1:135.11:552508:2.4:1,1:135.96:879308:2.4:0,1:137.66:959263:2.4:0,1:138.4:860858:2.4:0,1:66.66:1757070:2.4:0,1:285.74:491367:2.4:0,1:139.6:270211:2.4:0,0:137.99:528474:2.4:0,[0:138.12:404076:2.4:0
EFX_112219C135,1:136.69,1:135.84,1:135.01,2:136.71,2.0,2:134.8,2:133.25,2:135.18,2:133.89:626590:2.4:0,2:133.96:491607:2.4:0,2:134.94:666846:1.92:3,4:135.11:552508:1.92:0,4:135.96:879308:1.92:0,4:137.66:959263:1.92:0,4:138.4:860858:4.1:3,2:66.66:1757070:4.1:0,2:285.74:491367:4.1:0,2:139.6:270211:4.1:0,0:137.99:528474:4.1:0,[0:138.12:404076:4.1:0
EFX_112219C136,0:136.69,0:135.84,0:135.01,0:136.71,2.0,7:134.8,7:133.25,7:135.18,7:133.89:626590:1.01:5,12:133.96:491607:1.01:0,12:134.94:666846:1.01:0,12:135.11:552508:1.01:0,12:135.96:879308:1.01:0,12:137.66:959263:1.01:0,12:138.4:860858:1.01:0,U:66.66:1757070::,12:285.74:491367:6.1:7,10:139.6:270211:6.1:0,0:137.99:528474:6.1:0,[0:138.12:404076:6.1:0
EFX_112219C137,0:136.69,0:135.84,0:135.01,0:136.71,0.0,5:134.8,5:133.25,5:135.18,5:133.89:626590:2.6:0,5:133.96:491607:2.6:0,5:134.94:666846:2.6:0,5:135.11:552508:2.6:0,5:135.96:879308:2.6:0,5:137.66:959263:1.75:2,6:138.4:860858:1.7:1,7:66.66:1757070:3.2:1,:285.74:491367:U:U,2:139.6:270211:3.0:0,0:137.99:528474:3.0:0,[0:138.12:404076:3.0:0
EFX_112219C138,0:136.69,1:135.84,1:135.01,1:136.71,1.0,1:134.8,1:133.25,1:135.18,11:133.89:626590:1.0:0,11:133.96:491607:1.0:0,11:134.94:666846:1.0:0,11:135.11:552508:1.0:0,11:135.96:879308:1.0:0,11:137.66:959263:1.05:1,12:138.4:860858:1.05:0,12:66.66:1757070:1.05:0,:285.74:491367:U:U,12:139.6:270211:1.05:0,12:137.99:528474:1.05:0,[12:138.12:404076:0.25:10
EFX_112219C139,0:136.69,2:135.84,2:135.01,2:136.71,2.0,2:134.8,2:133.25,2:135.18,2:133.89:626590:3.0:0,2:133.96:491607:3.0:0,2:134.94:666846:3.0:0,2:135.11:552508:3.0:0,2:135.96:879308:3.0:0,2:137.66:959263:3.0:0,2:138.4:860858:0.95:1,3:66.66:1757070:0.95:0,3:285.74:491367:3.15:1,3:139.6:270211:3.15:0,3:137.99:528474:3.15:0,[3:138.12:404076:3.15:0
