Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
EFX_112219P127,0:136.69,0:135.84,0:135.01,0:136.71,0.0,0:134.8,0:133.25,2:135.18,2:133.89:626590:1.15:0,2:133.96:491607:1.15:0,2:134.94:666846:1.15:0,2:135.11:552508:1.15:0,2:135.96:879308:1.15:0,2:137.66:959263:1.15:0,2:138.4:860858:0.09:2,1:66.66:1757070:0.09:0,1:285.74:491367:0.09:0,1:139.55:270311:0.09:0,1:137.99:528474:0.09:0,1:138.12:404076:0.09:0
EFX_112219P128,0:136.69,0:135.84,0:135.01,0:136.71,0.0,17:134.8,17:133.25,17:135.18,17:133.89:626590:0.65:0,17:133.96:491607:0.8:2,19:134.94:666846:0.8:0,19:135.11:552508:0.8:0,19:135.96:879308:0.8:0,19:137.66:959263:0.8:0,19:138.4:860858:0.8:0,19:66.66:1757070:0.03:14,8:285.74:491367:0.03:0,8:139.55:270311:0.03:0,8:137.99:528474:0.03:0,8:138.12:404076:0.03:0
EFX_112219P129,0:136.69,0:135.84,0:135.01,0:136.71,0.0,9:134.8,9:133.25,9:135.18,9:133.89:626590:0.8:0,9:133.96:491607:0.8:0,9:134.94:666846:0.8:0,9:135.11:552508:0.8:0,9:135.96:879308:0.8:0,9:137.66:959263:0.8:0,9:138.4:860858:0.8:0,9:66.66:1757070:0.06:3,6:285.74:491367:0.06:0,6:139.55:270311:0.06:0,6:137.99:528474:0.06:0,[6:138.12:404076:0.06:0
EFX_112219P130,10:136.69,6:135.84,6:135.01,6:136.71,6.0,401:134.8,542:133.25,549:135.18,538:133.89:626590:1.18:13,543:133.96:491607:1.1:4,543:134.94:666846:0.55:26,545:135.11:552508:0.55:17,550:135.96:879308:0.6:16,546:137.66:959263:0.15:94,484:138.4:860858:0.05:61,455:66.66:1757070:0.05:60,:285.74:491367:U:U,334:139.55:270311:0.01:17,330:137.99:528474:0.01:12,[319:138.12:404076:0.03:42
EFX_112219P131,0:136.69,1:135.84,1:135.01,1:136.71,1.0,15:134.8,39:133.25,39:135.18,39:133.89:626590:1.7:4,37:133.96:491607:1.7:0,37:134.94:666846:1.7:0,37:135.11:552508:1.7:0,37:135.96:879308:0.92:5,42:137.66:959263:0.46:1,42:138.4:860858:0.46:0,42:66.66:1757070:0.12:2,42:285.74:491367:0.12:32,40:139.55:270311:0.12:0,40:137.99:528474:0.12:0,[40:138.12:404076:0.12:0
EFX_112219P132,1:136.69,1:135.84,1:135.01,1:136.71,1.0,31:134.8,53:133.25,54:135.18,53:133.89:626590:1.55:0,53:133.96:491607:1.55:0,53:134.94:666846:1.63:1,54:135.11:552508:0.95:1,54:135.96:879308:1.14:5,54:137.66:959263:0.38:1,53:138.4:860858:0.37:2,53:66.66:1757070:0.12:6,48:285.74:491367:0.01:32,21:139.55:270311:0.01:0,21:137.99:528474:0.01:0,[21:138.12:404076:0.01:0
EFX_112219P133,0:136.69,0:135.84,0:135.01,0:136.71,0.0,17:134.8,17:133.25,17:135.18,17:133.89:626590:1.73:1,18:133.96:491607:2.05:2,20:134.94:666846:2.05:0,20:135.11:552508:1.15:1,20:135.96:879308:1.15:0,20:137.66:959263:0.6:1,20:138.4:860858:0.6:0,20:66.66:1757070:0.18:14,8:285.74:491367:0.18:0,8:139.55:270311:0.18:0,8:137.99:528474:0.18:0,[8:138.12:404076:0.18:0
EFX_112219P134,0:136.69,2:135.84,2:135.01,2:136.71,2.0,12:134.8,12:133.25,12:135.18,12:133.89:626590:1.75:0,12:133.96:491607:1.75:0,12:134.94:666846:1.75:0,13:135.11:552508:1.75:0,13:135.96:879308:1.75:0,13:137.66:959263:1.75:0,13:138.4:860858:0.39:1,13:66.66:1757070:0.23:4,9:285.74:491367:0.23:0,9:139.55:270311:0.23:0,9:137.99:528474:0.23:0,[9:138.12:404076:0.23:0
EFX_112219P135,0:136.69,0:135.84,0:135.01,0:136.71,0.0,410:134.8,544:133.25,544:135.18,528:133.89:626590:2.9:13,541:133.96:491607:3.0:3,541:134.94:666846:1.93:27,538:135.11:552508:1.74:7,533:135.96:879308:1.87:16,522:137.66:959263:0.84:85,479:138.4:860858:0.45:60,457:66.66:1757070:0.3:71,444:285.74:491367:0.1:117,338:139.55:270311:0.16:46,325:137.99:528474:0.12:22,[318:138.12:404076:0.06:42
EFX_112219P136,0:136.69,0:135.84,0:135.01,0:136.71,0.0,17:134.8,41:133.25,41:135.18,41:133.89:626590:4.21:4,39:133.96:491607:4.21:0,39:134.94:666846:4.21:0,39:135.11:552508:4.21:0,39:135.96:879308:4.21:0,39:137.66:959263:1.05:1,40:138.4:860858:1.05:0,40:66.66:1757070:0.44:2,39:285.74:491367:0.34:32,37:139.55:270311:0.34:0,37:137.99:528474:0.34:0,[37:138.12:404076:0.34:0
EFX_112219P137,1:136.69,1:135.84,1:135.01,1:136.71,1.0,18:134.8,40:133.25,40:135.18,40:133.89:626590:3.84:0,40:133.96:491607:3.84:0,40:134.94:666846:3.84:0,40:135.11:552508:3.84:0,40:135.96:879308:3.84:0,40:137.66:959263:3.84:0,40:138.4:860858:0.95:1,40:66.66:1757070:0.9:7,:285.74:491367:U:U,20:139.55:270311:0.14:0,20:137.99:528474:0.75:2,[20:138.12:404076:0.15:1
EFX_112219P138,0:136.69,2:135.84,2:135.01,2:136.71,2.0,2:134.8,2:133.25,2:135.18,2:133.89:626590:3.2:0,2:133.96:491607:3.2:0,2:134.94:666846:3.2:0,2:135.11:552508:3.2:0,2:135.96:879308:3.2:0,2:137.66:959263:2.12:1,3:138.4:860858:2.12:0,3:66.66:1757070:1.2:7,10:285.74:491367:0.21:1,9:139.55:270311:0.21:0,9:137.99:528474:0.21:0,[9:138.12:404076:0.21:0
EFX_112219P139,0:136.69,0:135.84,0:135.01,0:136.71,0.0,0:134.8,0:133.25,0:135.18,0:133.89:626590:0.0:0,0:133.96:491607:0.0:0,0:134.94:666846:0.0:0,0:135.11:552508:0.0:0,0:135.96:879308:0.0:0,0:137.66:959263:0.0:0,0:138.4:860858:0.0:0,0:66.66:1757070:0.0:0,0:285.74:491367:0.0:0,0:139.55:270311:1.05:2,4:137.99:528474:1.05:4,[1:138.12:404076:1.05:0
EFX_112219P140,0:136.69,0:135.84,0:135.01,0:136.71,0.0,0:134.8,3:133.25,3:135.18,3:133.89:626590:3.73:0,3:133.96:491607:3.73:0,3:134.94:666846:3.73:0,3:135.11:552508:3.73:0,3:135.96:879308:4.7:3,3:137.66:959263:4.7:0,3:138.4:860858:4.7:0,3:66.66:1757070:4.7:0,3:285.74:491367:4.7:0,3:139.55:270311:0.75:1,4:137.99:528474:0.75:0,[4:138.12:404076:0.75:0
EFX_112219P141,0:136.69,0:135.84,0:135.01,0:136.71,0.0,0:134.8,0:133.25,0:135.18,0:133.89:626590:0.0:0,0:133.96:491607:0.0:0,0:134.94:666846:0.0:0,0:135.11:552508:0.0:0,0:135.96:879308:0.0:0,0:137.66:959263:0.0:0,0:138.4:860858:0.0:0,0:66.66:1757070:0.0:0,0:285.74:491367:0.0:0,0:139.55:270311:0.0:0,0:137.99:528474:0.0:0,[0:138.12:404076:0.0:0
