Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ESE_122019C40,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,0:84.78:111137:0.0:0,[0:85.76:113324:0.0:0
ESE_122019C45,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,0:84.78:111137:0.0:0,[0:85.76:113324:0.0:0
ESE_122019C50,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,0:84.78:111137:0.0:0,[0:85.76:113324:0.0:0
ESE_122019C55,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070:0.0:0:66.66:1757070:.:,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,0:84.78:111137:0.0:0,[0:85.76:113324:0.0:0
ESE_122019C60,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,0:84.78:111137:0.0:0,[0:85.76:113324:0.0:0
ESE_122019C65,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,0:84.78:111137:0.0:0,[0:85.76:113324:0.0:0
ESE_122019C70,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,0:84.78:111137:0.0:0,[0:85.76:113324:0.0:0
ESE_122019C75,0:84.21,0:85.14,0:84.79,0:85.42:100551:9.1:0,0:85.12:90778:9.1:0,0:85.7:158818:9.1:0,0:85.47:83240:9.1:0,0:85.37:56468:9.1:0,0:85.14:52423:9.1:0,0:85.33:150708:9.1:0,U:66.66:1757070::,0:86.59:130803:9.1:0,0:85.71:207060:9.1:0,0:84.78:111137:9.1:0,[0:85.76:113324:9.1:0
ESE_122019C80,1:84.21,1:85.14,1:84.79,1:85.42:100551:7.4:0,1:85.12:90778:7.4:0,1:85.7:158818:7.4:0,1:85.47:83240:7.4:0,1:85.37:56468:7.4:0,1:85.14:52423:7.4:0,1:85.33:150708:7.4:0,U:66.66:1757070::,1:86.59:130803:7.4:0,1:85.71:207060:7.4:0,1:84.78:111137:6.0:1,[2:85.76:113324:6.0:0
ESE_122019C85,20:84.21,20:85.14,20:84.79,20:85.42:100551:2.1:0,20:85.12:90778:2.1:0,20:85.7:158818:2.1:0,20:85.47:83240:2.1:0,20:85.37:56468:2.1:0,20:85.14:52423:3.11:2,22:85.33:150708:2.45:30,U:66.66:1757070::,69:86.59:130803:5.0:27,63:85.71:207060:3.7:20,43:84.78:111137:2.3:5,[43:85.76:113324:2.3:0
ESE_122019C90,21:84.21,21:85.14,21:84.79,21:85.42:100551:1.6:0,21:85.12:90778:1.6:0,21:85.7:158818:1.6:0,21:85.47:83240:1.6:0,21:85.37:56468:1.6:0,21:85.14:52423:1.07:2,23:85.33:150708:0.8:2,U:66.66:1757070::,23:86.59:130803:2.8:59,51:85.71:207060:1.0:13,51:84.78:111137:0.81:3,[51:85.76:113324:0.7:1
ESE_122019C95,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,1:86.59:130803:1.5:47,39:85.71:207060:0.43:4,39:84.78:111137:0.2:4,[36:85.76:113324:0.2:0
ESE_122019C100,120:84.21,120:85.14,120:84.79,120:85.42:100551:0.15:0,120:85.12:90778:0.15:0,120:85.7:158818:0.15:0,120:85.47:83240:0.15:0,120:85.37:56468:0.15:0,120:85.14:52423:0.15:0,120:85.33:150708:0.15:0,U:66.66:1757070::,120:86.59:130803:0.7:85,145:85.71:207060:0.1:12,155:84.78:111137:0.1:0,[155:85.76:113324:0.1:0
ESE_011720C80,U,U,U,U,U,U,U,U,U,U,U,0:86.59:130803:8.6:2,2:85.71:207060:8.6:0,2:84.78:111137:6.6:1,[2:85.76:113324:6.6:0
ESE_011720C85,U,U,U,U,U,U,U,U,U,U,U,5:86.59:130803:5.1:2,3:85.71:207060:2.6:2,1:84.78:111137:4.2:1,[0:85.76:113324:4.2:0
ESE_011720C60,U,U,U,U,U,U,U,U,U,U,U,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,0:84.78:111137:0.0:0,[0:85.76:113324:0.0:0
