Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ESE_122019P40,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,U:0:0:U:U,[0:85.76:113324:0.0:0
ESE_122019P45,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,U:0:0:U:U,[0:85.76:113324:0.0:0
ESE_122019P50,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,U:0:0:U:U,[0:85.76:113324:0.0:0
ESE_122019P55,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,0:86.59:130803:0.05:4,4:85.71:207060:0.05:0,4:0:0:0.05:0,[4:85.76:113324:0.05:0
ESE_122019P60,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,0:86.59:130803:0.1:23,23:85.71:207060:0.05:10,U:0:0:U:U,[22:85.76:113324:0.05:0
ESE_122019P65,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,0:86.59:130803:0.2:20,20:85.71:207060:0.2:0,U:0:0:U:U,[20:85.76:113324:0.2:0
ESE_122019P70,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,0:86.59:130803:0.5:45,39:85.71:207060:0.5:0,U:0:0:U:U,[39:85.76:113324:0.17:0
ESE_122019P75,1:84.21,1:85.14,1:84.79,1:85.42:100551:2.3:0,1:85.12:90778:2.3:0,1:85.7:158818:2.3:0,1:85.47:83240:2.3:0,1:85.37:56468:2.3:0,1:85.14:52423:2.3:0,1:85.33:150708:2.3:0,U:66.66:1757070::,1:86.59:130803:0.9:30,21:85.71:207060:0.25:8,U:0:0:U:U,[22:85.76:113324:0.3:0
ESE_122019P80,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,2:86.59:130803:1.7:91,88:85.71:207060:0.9:12,U:0:0:U:U,[86:85.76:113324:0.6:0
ESE_122019P85,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:2.6:20,20:85.33:150708:2.6:0,U:66.66:1757070:::66.66:1757070::,37:86.59:130803:3.3:35,33:85.71:207060:2.61:6,U:84.78:111137:0.81:3:0:0:.8:U,[27:85.76:113324:2.55:0
ESE_122019P90,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,U:0:0:U:U,[0:85.76:113324:0.0:0
ESE_122019P95,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,U:0:0:U:U,[0:85.76:113324:0.0:0
ESE_122019P100,0:84.21,0:85.14,0:84.79,0:85.42:100551:0.0:0,0:85.12:90778:0.0:0,0:85.7:158818:0.0:0,0:85.47:83240:0.0:0,0:85.37:56468:0.0:0,0:85.14:52423:0.0:0,0:85.33:150708:0.0:0,U:66.66:1757070::,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,0:0:0:0.0:0,[0:85.76:113324:0.0:0
ESE_011720P110,U,U,U,U,U,U,U,U,U,U,U,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,U:0:0:U:U,[0:85.76:113324:0.0:0
ESE_011720P95,U,U,U,U,U,U,U,U,U,U,U,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,0:0:0:0.0:0,[0:85.76:113324:0.0:0
ESE_011720P70,U,U,U,U,U,U,U,U,U,U,U,0:86.59:130803:0.25:1,1:85.71:207060:0.25:0,U:0:0:U:U,[1:85.76:113324:0.25:0
ESE_011720P85,U,U,U,U,U,U,U,U,U,U,U,0:86.59:130803:3.1:6,6:85.71:207060:3.5:3,U:0:0:U:U,[4:85.76:113324:3.5:0
ESE_011720P60,U,U,U,U,U,U,U,U,U,U,U,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,U:0:0:U:U,[0:85.76:113324:0.0:0
ESE_011720P65,U,U,U,U,U,U,U,U,U,U,U,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,0:0:0:0.0:0,[0:85.76:113324:0.0:0
ESE_011720P105,U,U,U,U,U,U,U,U,U,U,U,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,U:0:0:U:U,[0:85.76:113324:0.0:0
ESE_011720P90,U,U,U,U,U,U,U,U,U,U,U,0:86.59:130803:5.7:5,5:85.71:207060:5.7:0,5:0:0:5.7:0,[5:85.76:113324:5.7:0
ESE_011720P55,U,U,U,U,U,U,U,U,U,U,U,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,U:0:0:U:U,[0:85.76:113324:0.0:0
ESE_011720P80,U,U,U,U,U,U,U,U,U,U,U,0:86.59:130803:1.18:1,1:85.71:207060:1.75:10,U:0:0:U:U,[11:85.76:113324:1.75:0
ESE_011720P75,U,U,U,U,U,U,U,U,U,U,U,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,4:0:0:0.5:0,[4:85.76:113324:0.5:0
ESE_011720P115,U,U,U,U,U,U,U,U,U,U,U,0:86.59:130803:0.0:0,0:85.71:207060:0.0:0,0:0:0:0.0:0,[0:85.76:113324:0.0:0
