Symbol,20191029,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
FAST_122019C22.5,0:36.73,0:35.94,0.0,0:37.3,0:37.28,0:37.15,0:37.14:4030330:0.0:0,0:37.07:2897680:0.0:0,0:36.83:1828786:0.0:0,0:36.9:2914596:0.0:0,0:36.02:3156594:0.0:0,0:36.2:2976880:0.0:0,0:36.33:4169464:0.0:0,0:66.66:1757070:0.0:0,0:35.73:3812884:0.0:0,U:85.71:207060:0.2:0:35.1:2132810:.:U,0:35.14:2654846:0.0:0,[0:35.71:2568754:0.0:0
FAST_122019C25,0:36.73,0:35.94,0.0,0:37.3,0:37.28,0:37.15,0:37.14:4030330:0.0:0,0:37.07:2897680:0.0:0,0:36.83:1828786:0.0:0,0:36.9:2914596:0.0:0,0:36.02:3156594:0.0:0,0:36.2:2976880:0.0:0,0:36.33:4169464:0.0:0,0:66.66:1757070:0.0:0,0:35.73:3812884:0.0:0,0:35.1:2132810:0.0:0,0:35.14:2654846:0.0:0,[0:35.71:2568754:0.0:0
FAST_122019C27.5,0:36.73,0:35.94,0.0,0:37.3,0:37.28,0:37.15,0:37.14:4030330:0.0:0,0:37.07:2897680:0.0:0,0:36.83:1828786:0.0:0,0:36.9:2914596:0.0:0,0:36.02:3156594:0.0:0,0:36.2:2976880:0.0:0,0:36.33:4169464:0.0:0,U:66.66:1757070:::66.66:1757070::,0:35.73:3812884:0.0:0,U:35.1:2132810:U:U,0:35.14:2654846:0.0:0,[0:35.71:2568754:0.0:0
FAST_122019C30,0:36.73,0:35.94,0.0,0:37.3,0:37.28,1:37.15,1:37.14:4030330:7.7:0,1:37.07:2897680:7.7:0,1:36.83:1828786:7.7:0,1:36.9:2914596:7.7:0,1:36.02:3156594:7.7:0,1:36.2:2976880:7.7:0,1:36.33:4169464:7.7:0,1:66.66:1757070:7.7:0,1:35.73:3812884:7.7:0,U:35.1:2132810:U:U,1:35.14:2654846:7.7:0,[1:35.71:2568754:7.7:0
FAST_122019C32.5,5:36.73,7:35.94,7.0,8:37.3,5:37.28,5:37.15,5:37.14:4030330:5.09:1,5:37.07:2897680:5.09:0,5:36.83:1828786:5.09:0,5:36.9:2914596:5.09:0,5:36.02:3156594:5.09:0,5:36.2:2976880:5.09:0,5:36.33:4169464:5.09:0,5:66.66:1757070:3.5:1,6:35.73:3812884:3.5:0,6:35.1:2132810:3.5:0,6:35.14:2654846:3.5:0,[6:35.71:2568754:3.5:0
FAST_122019C35,128:36.73,139:35.94,151.0,211:37.3,229:37.28,224:37.15,227:37.14:4030330:2.65:131,308:37.07:2897680:2.54:1,308:36.83:1828786:2.54:0,308:36.9:2914596:2.41:91,307:36.02:3156594:2.08:3,305:36.2:2976880:1.57:2,303:36.33:4169464:1.85:28,330:66.66:1757070:1.43:10,329:35.73:3812884:1.54:11,329:35.1:2132810:1.14:24,338:35.14:2654846:1.1:5,[338:35.71:2568754:1.3:5
FAST_122019C37.5,581:36.73,908:35.94,1135.0,1206:37.3,1226:37.28,1221:37.15,1237:37.14:4030330:1.1:31,1266:37.07:2897680:0.95:20,1266:36.83:1828786:0.77:8,1268:36.9:2914596:0.85:26,1266:36.02:3156594:0.5:34,1261:36.2:2976880:0.53:7,1263:36.33:4169464:0.48:187,1265:66.66:1757070:0.35:52,1306:35.73:3812884:0.35:60,1330:35.1:2132810:0.2:79,1356:35.14:2654846:0.2:8,[1348:35.71:2568754:0.25:44
FAST_122019C40,569:36.73,568:35.94,568.0,842:37.3,835:37.28,832:37.15,831:37.14:4030330:0.3:0,831:37.07:2897680:0.19:3,831:36.83:1828786:0.15:2,832:36.9:2914596:0.15:2,833:36.02:3156594:0.15:0,833:36.2:2976880:0.15:0,833:36.33:4169464:0.15:0,833:66.66:1757070:0.05:6,838:35.73:3812884:0.05:1,837:35.1:2132810:0.05:0,837:35.14:2654846:0.05:0,[837:35.71:2568754:0.05:20
FAST_122019C42.5,4:36.73,4:35.94,4.0,4:37.3,17:37.28,17:37.15,20:37.14:4030330:0.05:0,20:37.07:2897680:0.05:0,20:36.83:1828786:0.05:0,20:36.9:2914596:0.05:0,20:36.02:3156594:0.05:0,20:36.2:2976880:0.05:0,20:36.33:4169464:0.05:0,20:66.66:1757070:0.05:1,21:35.73:3812884:0.05:0,21:35.1:2132810:0.05:1,22:35.14:2654846:0.05:0,[22:35.71:2568754:0.05:0
FAST_122019C45,2:36.73,1:35.94,1.0,1:37.3,1:37.28,1:37.15,1:37.14:4030330:0.03:0,1:37.07:2897680:0.03:0,1:36.83:1828786:0.03:0,1:36.9:2914596:0.03:0,1:36.02:3156594:0.03:0,1:36.2:2976880:0.03:0,1:36.33:4169464:0.03:0,1:66.66:1757070:0.01:1,2:35.73:3812884:0.01:0,U:35.1:2132810:U:U,2:35.14:2654846:0.01:0,[2:35.71:2568754:0.01:0
