Symbol,20191029,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
FAST_122019P22.5,0:36.73,0:35.94,0.0,0:37.3,0:37.28,0:37.15,0:37.14:4030330:0.0:0,0:37.07:2897680:0.0:0,0:36.83:1828786:0.0:0,0:36.9:2914596:0.0:0,0:36.02:3156594:0.0:0,0:36.2:2976880:0.0:0,0:36.33:4169464:0.0:0,0:66.66:1757070:0.0:0,0:35.73:3812884:0.0:0,0:35.1:2133119:0.0:0,0:35.14:2654846:0.0:0,[0:35.71:2568754:0.0:0
FAST_122019P25,0:36.73,0:35.94,0.0,1:37.3,4:37.28,4:37.15,4:37.14:4030330:0.06:0,4:37.07:2897680:0.06:0,4:36.83:1828786:0.06:0,4:36.9:2914596:0.06:0,4:36.02:3156594:0.06:0,4:36.2:2976880:0.06:0,4:36.33:4169464:0.06:0,4:66.66:1757070:0.06:0,4:35.73:3812884:0.06:0,4:35.1:2133119:0.06:0,4:35.14:2654846:0.06:0,[4:35.71:2568754:0.06:0
FAST_122019P27.5,0:36.73,0:35.94,0.0,0:37.3,0:37.28,0:37.15,0:37.14:4030330:0.0:0,0:37.07:2897680:0.0:0,0:36.83:1828786:0.0:0,0:36.9:2914596:0.0:0,0:36.02:3156594:0.0:0,0:36.2:2976880:0.0:0,0:36.33:4169464:0.0:0,0:66.66:1757070:0.0:0,0:35.73:3812884:0.0:0,0:35.1:2133119:0.0:0,0:35.14:2654846:0.0:0,[0:35.71:2568754:0.0:0
FAST_122019P30,5:36.73,5:35.94,5.0,5:37.3,5:37.28,5:37.15,5:37.14:4030330:0.0:0,5:37.07:2897680:0.0:0,5:36.83:1828786:0.0:0,5:36.9:2914596:0.0:0,5:36.02:3156594:0.0:0,5:36.2:2976880:0.0:0,5:36.33:4169464:0.0:0,5:66.66:1757070:0.08:1,6:35.73:3812884:0.05:20,26:35.1:2133119:0.1:1,26:35.14:2654846:0.1:0,[26:35.71:2568754:0.1:0
FAST_122019P32.5,31:36.73,31:35.94,32.0,32:37.3,35:37.28,35:37.15,58:37.14:4030330:0.15:3,57:37.07:2897680:0.15:0,57:36.83:1828786:0.15:1,58:36.9:2914596:0.17:13,57:36.02:3156594:0.17:0,57:36.2:2976880:0.18:16,73:36.33:4169464:0.18:0,73:66.66:1757070:0.18:59,117:35.73:3812884:0.18:0,117:35.1:2133119:0.22:1001,1118:35.14:2654846:0.21:22,[1118:35.71:2568754:0.16:19
FAST_122019P35,25:36.73,55:35.94,55.0,75:37.3,76:37.28,79:37.15,128:37.14:4030330:0.4:147,268:37.07:2897680:0.53:1,269:36.83:1828786:0.55:24,271:36.9:2914596:0.45:8,272:36.02:3156594:0.65:4,276:36.2:2976880:0.63:42,281:36.33:4169464:0.5:13,290:66.66:1757070:0.7:137,365:35.73:3812884:0.65:2,367:35.1:2133119:0.9:40,373:35.14:2654846:0.85:269,[519:35.71:2568754:0.65:68
FAST_122019P37.5,1022:36.73,1054:35.94,1052.0,1048:37.3,1065:37.28,1103:37.15,1077:37.14:4030330:1.25:1015,990:37.07:2897680:1.4:1,990:36.83:1828786:1.49:17,999:36.9:2914596:1.4:7,998:36.02:3156594:1.9:25,986:36.2:2976880:1.75:21,1007:36.33:4169464:1.62:22,1022:66.66:1757070:2.0:11,1019:35.73:3812884:2.0:41,1005:35.1:2133119:2.54:3,1005:35.14:2654846:2.42:4,[1004:35.71:2568754:2.08:7
FAST_122019P40,3:36.73,2:35.94,2.0,2:37.3,2:37.28,3:37.15,3:37.14:4030330:3.09:0,3:37.07:2897680:3.09:0,3:36.83:1828786:3.09:0,3:36.9:2914596:3.09:0,3:36.02:3156594:3.09:0,3:36.2:2976880:3.09:0,4:36.33:4169464:3.81:10,14:66.66:1757070:3.81:0,14:35.73:3812884:4.2:1,13:35.1:2133119:4.7:2,10:35.14:2654846:4.7:0,[10:35.71:2568754:4.7:0
FAST_122019P42.5,0:36.73,0:35.94,0.0,0:37.3,0:37.28,0:37.15,0:37.14:4030330:0.0:0,0:37.07:2897680:0.0:0,0:36.83:1828786:0.0:0,0:36.9:2914596:0.0:0,0:36.02:3156594:0.0:0,0:36.2:2976880:0.0:0,0:36.33:4169464:0.0:0,0:66.66:1757070:0.0:0,0:35.73:3812884:0.0:0,0:35.1:2133119:0.0:0,0:35.14:2654846:0.0:0,[0:35.71:2568754:0.0:0
FAST_122019P45,0:36.73,0:35.94,0.0,0:37.3,0:37.28,0:37.15,0:37.14:4030330:7.88:0,0:37.07:2897680:7.88:0,0:36.83:1828786:7.88:0,0:36.9:2914596:7.88:0,0:36.02:3156594:7.88:0,0:36.2:2976880:7.88:0,0:36.33:4169464:7.88:0,0:66.66:1757070:7.88:0,0:35.73:3812884:7.88:0,0:35.1:2133119:7.88:0,0:35.14:2654846:7.88:0,[0:35.71:2568754:7.88:0
FAST_122019P47.5,0:36.73,0:35.94,0.0,0:37.3,0:37.28,0:37.15,0:37.14:4030330:0.0:0,0:37.07:2897680:0.0:0,0:36.83:1828786:0.0:0,0:36.9:2914596:0.0:0,0:36.02:3156594:0.0:0,0:36.2:2976880:0.0:0,0:36.33:4169464:0.0:0,0:66.66:1757070:0.0:0,0:35.73:3812884:0.0:0,0:35.1:2133119:0.0:0,0:35.14:2654846:0.0:0,[0:35.71:2568754:0.0:0
FAST_011720P23.5,U,U,U,U,U,U,U,U,U,U,U,497:36.2:2976880:0.3:0,497:36.33:4169464:0.3:0,497:66.66:1757070:0.3:0,497:35.73:3812884:0.3:0,497:35.1:2133119:0.3:0,497:35.14:2654846:0.3:0,[497:35.71:2568754:0.3:0
FAST_011720P25,U,U,U,U,U,U,U,U,U,U,U,1263:36.2:2976880:0.1:0,1263:36.33:4169464:0.1:0,1263:66.66:1757070:0.1:0,1263:35.73:3812884:0.1:0,1263:35.1:2133119:0.1:0,1263:35.14:2654846:0.1:0,[1263:35.71:2568754:0.1:0
FAST_011720P26.25,U,U,U,U,U,U,U,U,U,U,U,129:36.2:2976880:0.15:0,129:36.33:4169464:0.15:0,129:66.66:1757070:0.15:0,129:35.73:3812884:0.15:0,129:35.1:2133119:0.15:0,129:35.14:2654846:0.1:5,[129:35.71:2568754:0.1:0
FAST_011720P27.5,U,U,U,U,U,U,U,U,U,U,U,353:36.2:2976880:0.19:0,353:36.33:4169464:0.19:0,353:66.66:1757070:0.19:0,353:35.73:3812884:0.19:0,353:35.1:2133119:0.19:0,353:35.14:2654846:0.2:5,[353:35.71:2568754:0.2:0
FAST_011720P28.75,U,U,U,U,U,U,U,U,U,U,U,317:36.2:2976880:0.15:0,317:36.33:4169464:0.15:0,317:66.66:1757070:0.15:0,317:35.73:3812884:0.15:0,317:35.1:2133119:0.15:0,317:35.14:2654846:0.15:0,[317:35.71:2568754:0.15:0
FAST_011720P30,U,U,U,U,U,U,U,U,U,U,U,961:36.2:2976880:0.25:0,961:36.33:4169464:0.25:14,975:66.66:1757070:0.25:0,975:35.73:3812884:0.24:1,975:35.1:2133119:0.24:0,975:35.14:2654846:0.29:0,[975:35.71:2568754:0.29:0
FAST_011720P31.25,U,U,U,U,U,U,U,U,U,U,U,2852:36.2:2976880:0.3:0,2852:36.33:4169464:0.3:0,2852:66.66:1757070:0.4:2,2854:35.73:3812884:0.4:0,2854:35.1:2133119:0.51:12,2855:35.14:2654846:0.45:1,[2855:35.71:2568754:0.45:0
FAST_011720P32.5,U,U,U,U,U,U,U,U,U,U,U,271:36.2:2976880:0.51:1,272:36.33:4169464:0.51:0,272:66.66:1757070:0.57:1,272:35.73:3812884:0.55:2,273:35.1:2133119:0.73:6,274:35.14:2654846:0.7:4,[278:35.71:2568754:0.7:1
FAST_011720P33.75,U,U,U,U,U,U,U,U,U,U,U,330:36.2:2976880:0.8:0,330:36.33:4169464:0.8:0,330:66.66:1757070:0.84:11,330:35.73:3812884:0.82:12,335:35.1:2133119:1.07:3,337:35.14:2654846:1.0:9,[343:35.71:2568754:0.84:47
FAST_011720P35,U,U,U,U,U,U,U,U,U,U,U,409:36.2:2976880:1.19:19,409:36.33:4169464:1.1:8,410:66.66:1757070:1.3:30,406:35.73:3812884:0.85:3,403:35.1:2133119:1.54:24,403:35.14:2654846:1.5:17,[408:35.71:2568754:1.25:31
FAST_011720P36.25,U,U,U,U,U,U,U,U,U,U,U,162:36.2:2976880:1.75:0,162:36.33:4169464:1.6:3,161:66.66:1757070:1.6:0,161:35.73:3812884:1.8:1,161:35.1:2133119:2.09:5,161:35.14:2654846:2.25:20,[173:35.71:2568754:2.25:0
FAST_011720P37.5,U,U,U,U,U,U,U,U,U,U,U,63:36.2:2976880:2.5:1,62:36.33:4169464:2.5:0,62:66.66:1757070:2.5:0,62:35.73:3812884:2.5:0,62:35.1:2133119:3.1:4,63:35.14:2654846:2.97:10,[63:35.71:2568754:2.97:0
FAST_011720P38.75,U,U,U,U,U,U,U,U,U,U,U,19:36.2:2976880:3.2:3,20:36.33:4169464:3.2:0,20:66.66:1757070:3.2:0,20:35.73:3812884:3.2:0,20:35.1:2133119:3.2:0,20:35.14:2654846:3.2:0,[20:35.71:2568754:3.2:0
FAST_011720P40,U,U,U,U,U,U,U,U,U,U,U,6:36.2:2976880:3.89:0,6:36.33:4169464:3.89:0,6:66.66:1757070:3.89:0,6:35.73:3812884:3.89:0,6:35.1:2133119:3.89:0,6:35.14:2654846:5.0:2,[4:35.71:2568754:5.0:0
FAST_011720P42.5,U,U,U,U,U,U,U,U,U,U,U,0:36.2:2976880:10.8:0,0:36.33:4169464:10.8:0,0:66.66:1757070:10.8:0,0:35.73:3812884:10.8:0,0:35.1:2133119:10.8:0,0:35.14:2654846:10.8:0,[0:35.71:2568754:10.8:0
FAST_011720P45,U,U,U,U,U,U,U,U,U,U,U,0:36.2:2976880:8.2:0,0:36.33:4169464:8.2:0,0:66.66:1757070:8.2:0,0:35.73:3812884:8.2:0,0:35.1:2133119:8.2:0,0:35.14:2654846:8.2:0,[0:35.71:2568754:8.2:0
FAST_011720P47.5,U,U,U,U,U,U,U,U,U,U,U,U,U,0:66.66:1757070:0.0:0,0:35.73:3812884:0.0:0,0:35.1:2133119:0.0:0,0:35.14:2654846:0.0:0,[0:35.71:2568754:0.0:0
