Symbol,20191029,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
FB_112219C165,15:189.31,15:191.65,16.0,18:194.72,18:194.32,18:191.55,20:190.42:13457662:27.1:0,20:190.84:10699151:27.1:0,20:189.61:8294973:27.1:0,20:194.47:17147000:29.75:15,20:193.19:10835199:29.75:0,20:193.15:8701600:29.75:0,20:195.1:11152427:30.02:3,17:197.4:16173621:28.95:1,17:199.32:19053471:28.95:0,17:196.765:8949327:33.2:2,15:197.93:11843418:33.2:0,15:198.82:9951062:33.2:0
FB_112219C167.5,197:189.31,195:191.65,195.0,195:194.72,195:194.32,195:191.55,195:190.42:13457662:27.75:0,195:190.84:10699151:27.75:0,195:189.61:8294973:27.75:0,195:194.47:17147000:27.75:0,195:193.19:10835199:27.75:0,195:193.15:8701600:27.75:0,195:195.1:11152427:27.4:1,195:197.4:16173621:27.4:0,195:199.32:19053471:31.55:8,190:196.765:8949327:31.55:0,190:197.93:11843418:31.55:0,190:198.82:9951062:31.55:0
FB_112219C170,43:189.31,243:191.65,242.0,242:194.72,240:194.32,240:191.55,240:190.42:13457662:25.4:0,240:190.84:10699151:21.5:200,89:189.61:8294973:21.5:0,89:194.47:17147000:21.5:0,89:193.19:10835199:23.35:1,90:193.15:8701600:23.0:3,92:195.1:11152427:25.1:23,100:197.4:16173621:25.1:0,100:199.32:19053471:25.1:0,100:196.765:8949327:26.14:3,97:197.93:11843418:28.5:1,96:198.82:9951062:28.7:12
FB_112219C172.5,16:189.31,17:191.65,17.0,18:194.72,18:194.32,18:191.55,18:190.42:13457662:17.98:17,29:190.84:10699151:18.45:3,32:189.61:8294973:18.45:0,32:194.47:17147000:21.89:7,25:193.19:10835199:21.89:0,25:193.15:8701600:19.65:10,25:195.1:11152427:22.52:9,31:197.4:16173621:24.47:2,31:199.32:19053471:26.67:1,30:196.765:8949327:26.67:0,30:197.93:11843418:26.67:0,30:198.82:9951062:26.7:6
FB_112219C175,12:189.31,74:191.65,66.0,66:194.72,66:194.32,66:191.55,66:190.42:13457662:17.9:4,65:190.84:10699151:17.9:0,65:189.61:8294973:17.9:0,65:194.47:17147000:17.9:0,65:193.19:10835199:17.9:0,65:193.15:8701600:18.02:4,69:195.1:11152427:20.08:33,42:197.4:16173621:22.34:16,38:199.32:19053471:24.33:10,34:196.765:8949327:24.39:3,31:197.93:11843418:22.15:4,[30:198.82:9951062:22.15:0
FB_112219C177.5,113:189.31,137:191.65,126.0,126:194.72,126:194.32,126:191.55,126:190.42:13457662:14.22:70,123:190.84:10699151:14.22:0,123:189.61:8294973:12.44:4,123:194.47:17147000:12.44:0,123:193.19:10835199:12.44:0,123:193.15:8701600:12.44:0,123:195.1:11152427:12.44:0,123:197.4:16173621:16.75:2,123:199.32:19053471:21.68:3,120:196.765:8949327:19.39:1,119:197.93:11843418:21.1:30,[115:198.82:9951062:21.1:0
FB_112219C180,175:189.31,180:191.65,208.0,234:194.72,228:194.32,230:191.55,230:190.42:13457662:12.82:149,232:190.84:10699151:11.3:14,230:189.61:8294973:9.8:4,234:194.47:17147000:15.29:49,251:193.19:10835199:14.48:1,251:193.15:8701600:14.0:43,284:195.1:11152427:15.04:8,289:197.4:16173621:18.14:26,294:199.32:19053471:19.65:4,293:196.765:8949327:19.47:2,292:197.93:11843418:18.3:7,[286:198.82:9951062:18.43:94
FB_112219C182.5,117:189.31,118:191.65,107.0,107:194.72,117:194.32,117:191.55,118:190.42:13457662:10.69:0,118:190.84:10699151:9.13:10,121:189.61:8294973:7.71:17,132:194.47:17147000:10.8:10,131:193.19:10835199:11.0:22,130:193.15:8701600:11.51:12,137:195.1:11152427:12.38:16,140:197.4:16173621:14.85:10,137:199.32:19053471:16.8:21,137:196.765:8949327:15.35:1,136:197.93:11843418:15.35:12,[135:198.82:9951062:15.86:22
FB_112219C185,438:189.31,454:191.65,439.0,396:194.72,429:194.32,450:191.55,449:190.42:13457662:7.1:62,473:190.84:10699151:6.94:106,543:189.61:8294973:5.9:17,541:194.47:17147000:10.0:83,548:193.19:10835199:9.87:4,551:193.15:8701600:8.57:66,551:195.1:11152427:10.25:150,592:197.4:16173621:12.33:229,638:199.32:19053471:14.02:47,628:196.765:8949327:11.72:121,528:197.93:11843418:14.05:35,[525:198.82:9951062:13.66:157
FB_112219C187.5,205:189.31,290:191.65,246.0,236:194.72,209:194.32,209:191.55,229:190.42:13457662:5.27:123,273:190.84:10699151:5.09:16,270:189.61:8294973:4.2:193,361:194.47:17147000:8.04:264,379:193.19:10835199:6.8:52,379:193.15:8701600:6.48:151,440:195.1:11152427:7.85:505,592:197.4:16173621:9.78:750,916:199.32:19053471:12.5:140,846:196.765:8949327:8.19:26,828:197.93:11843418:10.2:510,[609:198.82:9951062:11.16:214
