Symbol,20191029,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
FB_112219P165,705:189.31,730:191.65,727.0,765:194.72,762:194.32,760:191.55,760:190.42:13457662:0.09:8,758:190.84:10699151:0.09:2,758:189.61:8294973:0.07:7,753:194.47:17147000:0.03:2,753:193.19:10835199:0.03:0,753:193.15:8701600:0.06:5,748:195.1:11152427:0.06:0,U:197.4:16173621::,748:199.32:19053471:0.03:0,748:196.755:8950148:0.01:1,747:197.93:11843419:0.01:0,747:198.82:9951062:0.01:0
FB_112219P167.5,199:189.31,172:191.65,167.0,163:194.72,162:194.32,162:191.55,165:190.42:13457662:0.13:4,165:190.84:10699151:0.11:28,164:189.61:8294973:0.1:1,164:194.47:17147000:0.02:17,155:193.19:10835199:0.05:7,155:193.15:8701600:0.05:0,155:195.1:11152427:0.02:11,U:197.4:16173621::,164:199.32:19053471:0.02:0,164:196.755:8950148:0.02:1,164:197.93:11843419:0.02:0,164:198.82:9951062:0.02:0
FB_112219P170,6142:189.31,6085:191.65,6095.0,6087:194.72,6081:194.32,6085:191.55,6380:190.42:13457662:0.22:185,6531:190.84:10699151:0.16:11,6530:189.61:8294973:0.11:49,6552:194.47:17147000:0.05:19,6560:193.19:10835199:0.04:84,6586:193.15:8701600:0.04:3,6586:195.1:11152427:0.03:103,U:197.4:16173621::,6628:199.32:19053471:0.01:1,6629:196.755:8950148:0.01:0,6629:197.93:11843419:0.01:0,6629:198.82:9951062:0.01:2
FB_112219P172.5,231:189.31,247:191.65,212.0,223:194.72,254:194.32,235:191.55,248:190.42:13457662:0.28:44,261:190.84:10699151:0.2:13,264:189.61:8294973:0.14:88,298:194.47:17147000:0.08:3,299:193.19:10835199:0.06:22,306:193.15:8701600:0.05:2,305:195.1:11152427:0.03:55,U:197.4:16173621::,657:199.32:19053471:0.01:1,656:196.755:8950148:0.01:11,646:197.93:11843419:0.01:0,646:198.82:9951062:0.01:5
FB_112219P175,413:189.31,546:191.65,552.0,558:194.72,543:194.32,418:191.55,460:190.42:13457662:0.27:29,477:190.84:10699151:0.27:74,483:189.61:8294973:0.21:342,664:194.47:17147000:0.09:528,634:193.19:10835199:0.1:9,634:193.15:8701600:0.07:34,641:195.1:11152427:0.05:60,U:197.4:16173621::,669:199.32:19053471:0.01:7,672:196.755:8950148:0.02:3,672:197.93:11843419:0.02:0,[672:198.82:9951062:0.01:3
FB_112219P177.5,322:189.31,368:191.65,364.0,363:194.72,348:194.32,353:191.55,352:190.42:13457662:0.64:61,399:190.84:10699151:0.38:86,461:189.61:8294973:0.32:41,469:194.47:17147000:0.12:49,451:193.19:10835199:0.12:346,707:193.15:8701600:0.12:227,741:195.1:11152427:0.06:64,U:197.4:16173621::,825:199.32:19053471:0.01:8,825:196.755:8950148:0.01:6,820:197.93:11843419:0.01:0,[820:198.82:9951062:0.01:1
FB_112219P180,178:189.31,191:191.65,208.0,273:194.72,290:194.32,309:191.55,311:190.42:13457662:0.82:216,416:190.84:10699151:0.57:194,478:189.61:8294973:0.49:498,788:194.47:17147000:0.19:424,692:193.19:10835199:0.19:400,935:193.15:8701600:0.17:96,1009:195.1:11152427:0.08:347,1045:197.4:16173621:0.02:248,961:199.32:19053471:0.01:69,928:196.755:8950148:0.02:575,1243:197.93:11843419:0.01:12,[1242:198.82:9951062:0.01:19
FB_112219P182.5,234:189.31,248:191.65,287.0,371:194.72,380:194.32,390:191.55,349:190.42:13457662:1.14:62,387:190.84:10699151:0.87:81,424:189.61:8294973:0.81:484,739:194.47:17147000:0.29:760,677:193.19:10835199:0.29:355,768:193.15:8701600:0.28:165,774:195.1:11152427:0.13:326,849:197.4:16173621:0.02:867,831:199.32:19053471:0.01:1709,2080:196.755:8950148:0.03:599,2212:197.93:11843419:0.01:169,[2216:198.82:9951062:0.01:9
FB_112219P185,856:189.31,800:191.65,905.0,998:194.72,1002:194.32,1015:191.55,1154:190.42:13457662:1.67:172,1242:190.84:10699151:1.29:278,1229:189.61:8294973:1.27:603,1442:194.47:17147000:0.48:1305,1356:193.19:10835199:0.5:602,1394:193.15:8701600:0.41:523,1431:195.1:11152427:0.19:685,1652:197.4:16173621:0.06:2191,1619:199.32:19053471:0.02:498,1537:196.755:8950148:0.04:580,1797:197.93:11843419:0.01:84,[1778:198.82:9951062:0.01:133
FB_112219P187.5,252:189.31,268:191.65,314.0,468:194.72,482:194.32,501:191.55,546:190.42:13457662:2.52:176,561:190.84:10699151:1.91:60,568:189.61:8294973:2.01:587,857:194.47:17147000:0.82:1304,1153:193.19:10835199:0.85:1171,1453:193.15:8701600:0.8:854,1617:195.1:11152427:0.34:524,U:197.4:16173621::,2438:199.32:19053471:0.04:1264,2584:196.755:8950148:0.06:387,2579:197.93:11843419:0.02:249,[2455:198.82:9951062:0.01:236
FB_112219P190,392:189.31,413:191.65,767.0,1205:194.72,1470:194.32,1515:191.55,1566:190.42:13457662:3.53:296,1665:190.84:10699151:2.91:227,1686:189.61:8294973:3.1:335,1805:194.47:17147000:1.33:1447,2144:193.19:10835199:1.43:1789,2791:193.15:8701600:1.31:1843,3056:195.1:11152427:0.62:2175,3664:197.4:16173621:0.21:7036,4396:199.32:19053471:0.07:3474,4299:196.755:8950148:0.13:2196,3928:197.93:11843419:0.04:1040,[4010:198.82:9951062:0.01:382
FB_112219P192.5,116:189.31,116:191.65,308.0,432:194.72,1847:194.32,2236:191.55,2723:190.42:13457662:4.95:714,2555:190.84:10699151:4.1:2279,2967:189.61:8294973:4.57:762,3529:194.47:17147000:2.05:6393,2736:193.19:10835199:2.34:1067,2633:193.15:8701600:2.27:840,2757:195.1:11152427:1.14:2498,U:197.4:16173621::,3519:199.32:19053471:0.13:5256,3666:196.755:8950148:0.29:2437,3886:197.93:11843419:0.06:1611,[3786:198.82:9951062:0.01:487
