Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
FICO_122019C210,10:301.85,10:301.85,10:302.24,10:304.04,10.0,10:300.82,10:331.37,10:329.93,10:328.78:199471:74.5:0,10:331.59:194340:74.5:0,10:336.11:177956:74.5:0,10:334.42:214699:74.5:0,10:338.03:200499:74.5:0,10:342.82:206969:74.5:0,10:348.11:178939:74.5:0,10:354.25:263609:74.5:0,10:199.32:19053471:74.5:0,10:355.97:117273:74.5:0,10:355.36:179664:74.5:0,10:355.69:126060:74.5:0
FICO_122019C220,0:301.85,0:301.85,0:302.24,0:304.04,0.0,0:300.82,0:331.37,0:329.93,0:328.78:199471:0.0:0,0:331.59:194340:0.0:0,0:336.11:177956:0.0:0,0:334.42:214699:0.0:0,0:338.03:200499:0.0:0,0:342.82:206969:0.0:0,0:348.11:178939:0.0:0,0:354.25:263609:0.0:0,:199.32:19053471:U:U,0:355.97:117273:0.0:0,0:355.36:179664:0.0:0,0:355.69:126060:0.0:0
FICO_122019C230,1:301.85,1:301.85,1:302.24,1:304.04,1.0,1:300.82,1:331.37,1:329.93,1:328.78:199471:61.65:0,1:331.59:194340:61.65:0,1:336.11:177956:61.65:0,1:334.42:214699:61.65:0,1:338.03:200499:61.65:0,1:342.82:206969:61.65:0,1:348.11:178939:61.65:0,1:354.25:263609:61.65:0,:199.32:19053471:U:U,1:355.97:117273:61.65:0,1:355.36:179664:61.65:0,1:355.69:126060:61.65:0
FICO_122019C240,5:301.85,5:301.85,5:302.24,5:304.04,5.0,5:300.82,5:331.37,5:329.93,5:328.78:199471:83.9:0,5:331.59:194340:83.9:0,5:336.11:177956:83.9:0,5:334.42:214699:83.9:0,5:338.03:200499:83.9:0,5:342.82:206969:83.9:0,5:348.11:178939:83.9:0,5:354.25:263609:83.9:0,5:199.32:19053471:83.9:0,5:355.97:117273:83.9:0,5:355.36:179664:83.9:0,5:355.69:126060:83.9:0
FICO_122019C250,1:301.85,1:301.85,1:302.24,1:304.04,1.0,1:300.82,1:331.37,1:329.93,1:328.78:199471:30.0:0,1:331.59:194340:30.0:0,1:336.11:177956:30.0:0,1:334.42:214699:30.0:0,1:338.03:200499:30.0:0,1:342.82:206969:30.0:0,1:348.11:178939:30.0:0,1:354.25:263609:30.0:0,1:199.32:19053471:30.0:0,1:355.97:117273:30.0:0,1:355.36:179664:30.0:0,1:355.69:126060:30.0:0
FICO_122019C260,5:301.85,5:301.85,5:302.24,5:304.04,5.0,5:300.82,5:331.37,5:329.93,5:328.78:199471:28.65:0,5:331.59:194340:28.65:0,5:336.11:177956:77.65:1,6:334.42:214699:77.65:0,6:338.03:200499:77.65:0,6:342.82:206969:77.65:0,6:348.11:178939:77.65:0,6:354.25:263609:77.65:0,:199.32:19053471:U:U,6:355.97:117273:77.65:0,6:355.36:179664:77.65:0,[6:355.69:126060:77.65:0
FICO_122019C270,2:301.85,2:301.85,2:302.24,2:304.04,2.0,2:300.82,2:331.37,2:329.93,2:328.78:199471:35.4:0,2:331.59:194340:35.4:0,2:336.11:177956:35.4:0,2:334.42:214699:35.4:0,2:338.03:200499:35.4:0,2:342.82:206969:35.4:0,2:348.11:178939:35.4:0,2:354.25:263609:35.4:0,:199.32:19053471:U:U,2:355.97:117273:35.4:0,2:355.36:179664:35.4:0,[2:355.69:126060:35.4:0
FICO_122019C280,82:301.85,82:301.85,82:302.24,82:304.04,82.0,82:300.82,82:331.37,82:329.93,82:328.78:199471:19.6:0,82:331.59:194340:19.6:0,82:336.11:177956:19.6:0,82:334.42:214699:19.6:0,82:338.03:200499:19.6:0,82:342.82:206969:19.6:0,82:348.11:178939:19.6:0,82:354.25:263609:19.6:0,:199.32:19053471:U:U,82:355.97:117273:19.6:0,82:355.36:179664:19.6:0,[82:355.69:126060:19.6:0
FICO_122019C290,12:301.85,12:301.85,12:302.24,12:304.04,12.0,12:300.82,12:331.37,12:329.93,12:328.78:199471:25.5:0,12:331.59:194340:25.5:0,12:336.11:177956:25.5:0,12:334.42:214699:25.5:0,12:338.03:200499:25.5:0,12:342.82:206969:25.5:0,12:348.11:178939:25.5:0,12:354.25:263609:25.5:0,:199.32:19053471:U:U,12:355.97:117273:25.5:0,12:355.36:179664:25.5:0,[12:355.69:126060:25.5:0
FICO_122019C300,73:301.85,73:301.85,73:302.24,73:304.04,73.0,73:300.82,78:331.37,78:329.93,78:328.78:199471:28.57:0,78:331.59:194340:28.57:0,78:336.11:177956:28.57:0,78:334.42:214699:28.57:0,78:338.03:200499:28.57:0,78:342.82:206969:28.57:0,78:348.11:178939:28.57:0,78:354.25:263609:28.57:0,78:199.32:19053471:28.57:0,78:355.97:117273:28.57:0,78:355.36:179664:28.57:0,[78:355.69:126060:28.57:0
FICO_122019C310,42:301.85,42:301.85,42:302.24,42:304.04,42.0,42:300.82,57:331.37,51:329.93,50:328.78:199471:29.94:3,49:331.59:194340:26.41:5,46:336.11:177956:30.8:1,46:334.42:214699:30.8:0,46:338.03:200499:30.8:0,46:342.82:206969:34.73:4,45:348.11:178939:35.5:1,45:354.25:263609:35.5:0,45:199.32:19053471:35.5:0,45:355.97:117273:35.5:0,45:355.36:179664:35.5:0,[45:355.69:126060:35.5:0
FICO_122019C320,28:301.85,28:301.85,28:302.24,28:304.04,28.0,149:300.82,148:331.37,164:329.93,164:328.78:199471:21.2:0,164:331.59:194340:21.2:0,164:336.11:177956:21.2:0,164:334.42:214699:21.2:0,164:338.03:200499:20.54:1,164:342.82:206969:20.54:0,164:348.11:178939:20.54:0,164:354.25:263609:20.54:0,164:199.32:19053471:20.54:0,164:355.97:117273:20.54:0,164:355.36:179664:20.54:0,[164:355.69:126060:20.54:0
FICO_122019C330,20:301.85,20:301.85,20:302.24,20:304.04,21.0,22:300.82,113:331.37,114:329.93,116:328.78:199471:15.96:3,114:331.59:194340:15.96:0,114:336.11:177956:16.0:3,112:334.42:214699:16.0:0,112:338.03:200499:13.05:2,112:342.82:206969:19.04:6,112:348.11:178939:19.04:0,112:354.25:263609:27.7:6,111:199.32:19053471:30.0:10,111:355.97:117273:30.0:0,111:355.36:179664:30.0:0,[111:355.69:126060:30.0:0
