Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
FISV_122019C60,99:105.35,99:106.3,99:106.14,99.0,99:105.29,99:104.0,99:104.91,99:109.65:8463634:29.4:0,99:110.61:4176189:29.4:0,99:110.25:3497720:29.4:0,99:110.65:2437300:29.4:0,99:111.33:3378789:29.4:0,99:114.1:3622824:29.4:0,99:113.91:3224231:29.4:0,99:114.5:2221690:29.4:0,99:116.04:2181156:29.4:0,99:115.47:1211452:29.4:0,U:114.08:2608053:U:U,99:113.92:2486717:29.4:0
FISV_122019C65,11:105.35,11:106.3,11:106.14,11.0,11:105.29,11:104.0,11:104.91,11:109.65:8463634:21.8:0,11:110.61:4176189:21.8:0,11:110.25:3497720:21.8:0,11:110.65:2437300:21.8:0,11:111.33:3378789:21.8:0,11:114.1:3622824:21.8:0,11:113.91:3224231:21.8:0,11:114.5:2221690:21.8:0,11:116.04:2181156:21.8:0,11:115.47:1211452:21.8:0,U:114.08:2608053:.2:U,[11:113.92:2486717:21.8:0
FISV_122019C70,149:105.35,149:106.3,149:106.14,149.0,149:105.29,149:104.0,149:104.91,149:109.65:8463634:34.7:0,149:110.61:4176189:34.7:0,149:110.25:3497720:34.7:0,149:110.65:2437300:34.7:0,149:111.33:3378789:34.7:0,149:114.1:3622824:34.7:0,149:113.91:3224231:34.7:0,149:114.5:2221690:34.7:0,149:116.04:2181156:34.7:0,149:115.47:1211452:34.7:0,U:114.08:2608053:U:U,[149:113.92:2486717:34.7:0
FISV_122019C75,16:105.35,16:106.3,16:106.14,16.0,16:105.29,16:104.0,16:104.91,16:109.65:8463634:18.7:0,16:110.61:4176189:18.7:0,16:110.25:3497720:18.7:0,16:110.65:2437300:18.7:0,16:111.33:3378789:18.7:0,16:114.1:3622824:18.7:0,16:113.91:3224231:18.7:0,16:114.5:2221690:18.7:0,16:116.04:2181156:18.7:0,16:115.47:1211452:18.7:0,U:114.08:2608053:U:U,[16:113.92:2486717:18.7:0
FISV_122019C80,32:105.35,32:106.3,32:106.14,32.0,32:105.29,32:104.0,32:104.91,32:109.65:8463634:21.17:0,32:110.61:4176189:21.17:0,32:110.25:3497720:21.17:0,32:110.65:2437300:21.17:0,32:111.33:3378789:21.17:0,32:114.1:3622824:21.17:0,32:113.91:3224231:21.17:0,32:114.5:2221690:34.4:1,32:116.04:2181156:34.4:0,32:115.47:1211452:34.4:0,32:114.08:2608053:34.4:0,[32:113.92:2486717:34.4:0
FISV_122019C85,307:105.35,307:106.3,307:106.14,307.0,307:105.29,307:104.0,307:104.91,307:109.65:8463634:21.15:0,307:110.61:4176189:21.15:0,307:110.25:3497720:21.15:0,307:110.65:2437300:21.15:0,307:111.33:3378789:21.15:0,307:114.1:3622824:21.15:0,307:113.91:3224231:21.15:0,307:114.5:2221690:21.15:0,307:116.04:2181156:21.15:0,307:115.47:1211452:21.15:0,307:114.08:2608053:21.15:0,[307:113.92:2486717:21.15:0
FISV_122019C90,1866:105.35,1866:106.3,1866:106.14,1866.0,1866:105.29,1866:104.0,1866:104.91,1866:109.65:8463634:19.7:2,1864:110.61:4176189:19.7:0,1864:110.25:3497720:20.87:1,1864:110.65:2437300:20.93:101,1812:111.33:3378789:21.8:3,1809:114.1:3622824:21.8:0,1809:113.91:3224231:21.8:0,1809:114.5:2221690:24.79:387,1422:116.04:2181156:24.79:0,1422:115.47:1211452:25.42:124,1350:114.08:2608053:25.42:0,[1350:113.92:2486717:23.34:8
FISV_122019C95,3747:105.35,3747:106.3,3747:106.14,3747.0,3747:105.29,3747:104.0,3747:104.91,3747:109.65:8463634:15.4:6,3748:110.61:4176189:15.4:0,3748:110.25:3497720:15.4:0,3748:110.65:2437300:15.4:0,3748:111.33:3378789:16.83:1,3748:114.1:3622824:16.83:0,3748:113.91:3224231:19.9:2,3748:114.5:2221690:19.9:0,3748:116.04:2181156:19.9:0,3748:115.47:1211452:21.5:4,U:114.08:2608053:U:U,[3741:113.92:2486717:18.9:2
FISV_122019C100,1828:105.35,1826:106.3,1826:106.14,1826.0,1829:105.29,1827:104.0,1838:104.91,1839:109.65:8463634:10.94:74,1818:110.61:4176189:11.02:6,1809:110.25:3497720:10.77:4,1809:110.65:2437300:11.0:1,1808:111.33:3378789:12.0:22,1791:114.1:3622824:12.7:2,1791:113.91:3224231:14.5:6,1795:114.5:2221690:14.68:7,1789:116.04:2181156:16.2:1,1789:115.47:1211452:15.8:4,1789:114.08:2608053:14.45:1,[1786:113.92:2486717:13.64:5
FISV_122019C105,2652:105.35,2652:106.3,2655:106.14,2637.0,2631:105.29,2630:104.0,2186:104.91,3389:109.65:8463634:6.65:94,3368:110.61:4176189:7.1:21,3367:110.25:3497720:6.6:25,3343:110.65:2437300:6.92:15,3342:111.33:3378789:7.82:21,3324:114.1:3622824:10.0:21,3319:113.91:3224231:9.37:7,3319:114.5:2221690:10.0:19,3318:116.04:2181156:11.57:5,3318:115.47:1211452:11.57:0,3318:114.08:2608053:9.75:11,[3318:113.92:2486717:8.38:5
