Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
FISV_122019P60,183:105.35,183:106.3,183:106.14,183.0,183:105.29,183:104.0,183:104.91,183:109.65:8463634:0.25:0,183:110.61:4176189:0.25:0,183:110.25:3497720:0.25:0,183:110.65:2437300:0.25:0,183:111.33:3378789:0.25:0,183:114.1:3622824:0.25:0,183:113.91:3224231:0.25:0,183:114.5:2221690:0.25:0,183:116.04:2181156:0.25:0,183:115.47:1211952:0.25:0,183:114.08:2608053:0.25:0,183:113.92:2486717:0.25:0
FISV_122019P65,670:105.35,670:106.3,670:106.14,670.0,670:105.29,670:104.0,670:104.91,670:109.65:8463634:0.05:0,670:110.61:4176189:0.05:0,670:110.25:3497720:0.05:0,670:110.65:2437300:0.05:0,670:111.33:3378789:0.05:0,670:114.1:3622824:0.05:0,670:113.91:3224231:0.05:0,670:114.5:2221690:0.05:0,670:116.04:2181156:0.05:0,670:115.47:1211952:0.05:0,670:114.08:2608053:0.05:0,[670:113.92:2486717:0.05:0
FISV_122019P70,1642:105.35,1642:106.3,1642:106.14,1642.0,1642:105.29,1642:104.0,1642:104.91,1642:109.65:8463634:0.09:0,1642:110.61:4176189:0.09:0,1642:110.25:3497720:0.09:0,1642:110.65:2437300:0.09:0,1642:111.33:3378789:0.09:0,1642:114.1:3622824:0.09:0,1642:113.91:3224231:0.09:0,1642:114.5:2221690:0.09:0,1642:116.04:2181156:0.09:0,1642:115.47:1211952:0.09:0,1642:114.08:2608053:0.09:0,[1642:113.92:2486717:0.09:0
FISV_122019P75,1229:105.35,1229:106.3,1229:106.14,1229.0,1229:105.29,1229:104.0,1229:104.91,1229:109.65:8463634:0.24:2,1229:110.61:4176189:0.24:0,1229:110.25:3497720:0.05:10,1219:110.65:2437300:0.05:0,1219:111.33:3378789:0.05:0,1219:114.1:3622824:0.05:0,1219:113.91:3224231:0.05:0,1219:114.5:2221690:0.05:0,1219:116.04:2181156:0.05:0,1219:115.47:1211952:0.05:0,1219:114.08:2608053:0.05:0,[1219:113.92:2486717:0.05:0
FISV_122019P80,875:105.35,875:106.3,875:106.14,875.0,875:105.29,875:104.0,875:104.91,875:109.65:8463634:0.1:0,875:110.61:4176189:0.1:0,875:110.25:3497720:0.1:0,875:110.65:2437300:0.1:0,875:111.33:3378789:0.1:0,875:114.1:3622824:0.1:0,875:113.91:3224231:0.1:0,875:114.5:2221690:0.1:0,875:116.04:2181156:0.1:0,875:115.47:1211952:0.1:0,875:114.08:2608053:0.1:0,[875:113.92:2486717:0.1:0
FISV_122019P85,1362:105.35,1362:106.3,1362:106.14,1362.0,1365:105.29,1365:104.0,1363:104.91,1368:109.65:8463634:0.13:1,1367:110.61:4176189:0.13:0,1367:110.25:3497720:0.07:10,1357:110.65:2437300:0.07:0,1357:111.33:3378789:0.1:4,1353:114.1:3622824:0.1:0,1353:113.91:3224231:0.1:0,1353:114.5:2221690:0.1:0,1353:116.04:2181156:0.03:2,1351:115.47:1211952:0.03:0,1351:114.08:2608053:0.03:0,[1351:113.92:2486717:0.06:5
FISV_122019P90,508:105.35,508:106.3,508:106.14,508.0,507:105.29,502:104.0,517:104.91,534:109.65:8463634:0.28:53,488:110.61:4176189:0.28:0,488:110.25:3497720:0.12:6,483:110.65:2437300:0.14:12,473:111.33:3378789:0.08:2,471:114.1:3622824:0.15:1,470:113.91:3224231:0.06:8,462:114.5:2221690:0.06:0,462:116.04:2181156:0.08:1,461:115.47:1211952:0.05:4,457:114.08:2608053:0.05:0,[457:113.92:2486717:0.05:0
FISV_122019P95,2207:105.35,2207:106.3,2207:106.14,2207.0,2208:105.29,2217:104.0,2299:104.91,2399:109.65:8463634:0.45:4,2398:110.61:4176189:0.35:2,2398:110.25:3497720:0.3:12,2398:110.65:2437300:0.27:1,2399:111.33:3378789:0.1:16,2390:114.1:3622824:0.1:0,2390:113.91:3224231:0.14:15,2390:114.5:2221690:0.07:1,2390:116.04:2181156:0.09:3,2387:115.47:1211952:0.08:1,2387:114.08:2608053:0.08:0,[2387:113.92:2486717:0.1:1
FISV_122019P100,4623:105.35,4625:106.3,4625:106.14,4625.0,4627:105.29,4634:104.0,4634:104.91,4621:109.65:8463634:0.9:290,4609:110.61:4176189:0.7:14,4616:110.25:3497720:0.62:1,4616:110.65:2437300:0.54:9,4616:111.33:3378789:0.55:15,4616:114.1:3622824:0.45:19,4620:113.91:3224231:0.23:3,4620:114.5:2221690:0.25:6,4622:116.04:2181156:0.19:132,4617:115.47:1211952:0.17:1,4617:114.08:2608053:0.22:1,[4617:113.92:2486717:0.22:9
FISV_122019P105,1666:105.35,1674:106.3,1674:106.14,1817.0,1800:105.29,1797:104.0,1810:104.91,1889:109.65:8463634:1.95:94,1872:110.61:4176189:1.56:24,1873:110.25:3497720:1.45:68,1833:110.65:2437300:1.23:3,1833:111.33:3378789:1.06:37,1835:114.1:3622824:0.65:62,1829:113.91:3224231:0.6:292,1988:114.5:2221690:0.55:25,1992:116.04:2181156:0.5:250,1997:115.47:1211952:0.5:8,2005:114.08:2608053:0.52:4,[2009:113.92:2486717:0.45:3
