Symbol,20191028,20191029,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
GIB_122019C40,0:78.29,0:77.38,0:77.72,0.0,0:77.95,0:77.68,0:79.44,0:79.58:157047:0.0:0,0:80.26:175214:0.0:0,0:80.14:175506:0.0:0,0:80.03:105817:0.0:0,0:79.79:244936:0.0:0,0:80.84:132660:0.0:0,0:81.6:178139:0.0:0,0:81.75:121791:0.0:0,0:82.43:124200:0.0:0,0:81.79:79506:0.0:0,0:81.82:130898:0.0:0,[0:81.45:104175:0.0:0
GIB_122019C45,0:78.29,0:77.38,0:77.72,0.0,0:77.95,0:77.68,0:79.44,0:79.58:157047:0.0:0,0:80.26:175214:0.0:0,0:80.14:175506:0.0:0,0:80.03:105817:0.0:0,0:79.79:244936:0.0:0,0:80.84:132660:0.0:0,0:81.6:178139:0.0:0,0:81.75:121791:0.0:0,0:82.43:124200:0.0:0,0:81.79:79506:0.0:0,0:81.82:130898:0.0:0,[0:81.45:104175:0.0:0
GIB_122019C50,0:78.29,0:77.38,0:77.72,0.0,0:77.95,0:77.68,0:79.44,0:79.58:157047:0.0:0,0:80.26:175214:0.0:0,0:80.14:175506:0.0:0,0:80.03:105817:0.0:0,0:79.79:244936:0.0:0,0:80.84:132660:0.0:0,0:81.6:178139:0.0:0,0:81.75:121791:0.0:0,0:82.43:124200:0.0:0,0:81.79:79506:0.0:0,0:81.82:130898:0.0:0,[0:81.45:104175:0.0:0
GIB_122019C55,0:78.29,0:77.38,0:77.72,0.0,0:77.95,0:77.68,0:79.44,0:79.58:157047:0.0:0,0:80.26:175214:0.0:0,0:80.14:175506:0.0:0,0:80.03:105817:0.0:0,0:79.79:244936:0.0:0,0:80.84:132660:0.0:0,0:81.6:178139:0.0:0,0:81.75:121791:0.0:0,0:82.43:124200:0.0:0,0:81.79:79506:0.0:0,0:81.82:130898:0.0:0,[0:81.45:104175:0.0:0
GIB_122019C60,0:78.29,0:77.38,0:77.72,0.0,0:77.95,0:77.68,0:79.44,0:79.58:157047:0.0:0,0:80.26:175214:0.0:0,0:80.14:175506:0.0:0,0:80.03:105817:0.0:0,0:79.79:244936:0.0:0,0:80.84:132660:0.0:0,0:81.6:178139:0.0:0,0:81.75:121791:0.0:0,0:82.43:124200:0.0:0,0:81.79:79506:0.0:0,0:81.82:130898:0.0:0,[0:81.45:104175:0.0:0
GIB_122019C65,0:78.29,0:77.38,0:77.72,0.0,0:77.95,0:77.68,0:79.44,0:79.58:157047:0.0:0,0:80.26:175214:0.0:0,0:80.14:175506:0.0:0,0:80.03:105817:0.0:0,0:79.79:244936:0.0:0,0:80.84:132660:0.0:0,0:81.6:178139:0.0:0,0:81.75:121791:0.0:0,0:82.43:124200:0.0:0,0:81.79:79506:0.0:0,0:81.82:130898:0.0:0,[0:81.45:104175:0.0:0
GIB_122019C70,0:78.29,0:77.38,0:77.72,0.0,0:77.95,0:77.68,0:79.44,0:79.58:157047:0.0:0,0:80.26:175214:0.0:0,0:80.14:175506:0.0:0,0:80.03:105817:0.0:0,0:79.79:244936:0.0:0,0:80.84:132660:0.0:0,0:81.6:178139:0.0:0,0:81.75:121791:0.0:0,0:82.43:124200:0.0:0,0:81.79:79506:0.0:0,0:81.82:130898:0.0:0,[0:81.45:104175:0.0:0
GIB_122019C75,0:78.29,0:77.38,0:77.72,0.0,0:77.95,0:77.68,1:79.44,1:79.58:157047:4.8:0,1:80.26:175214:4.8:0,1:80.14:175506:4.8:0,1:80.03:105817:4.8:0,1:79.79:244936:4.8:0,1:80.84:132660:4.8:0,1:81.6:178139:4.8:0,1:81.75:121791:4.8:0,1:82.43:124200:4.8:0,1:81.79:79506:4.8:0,1:81.82:130898:4.8:0,[1:81.45:104175:4.8:0
GIB_122019C80,0:78.29,0:77.38,0:77.72,0.0,0:77.95,0:77.68,4:79.44,5:79.58:157047:1.8:0,5:80.26:175214:1.8:0,5:80.14:175506:1.73:1,6:80.03:105817:1.85:4,10:79.79:244936:1.85:0,10:80.84:132660:1.95:5,10:81.6:178139:1.95:0,10:81.75:121791:2.5:10,20:82.43:124200:3.03:2,20:81.79:79506:3.03:0,20:81.82:130898:3.03:0,[20:81.45:104175:3.03:0
GIB_122019C85,0:78.29,0:77.38,0:77.72,0.0,0:77.95,0:77.68,0:79.44,9:79.58:157047:0.25:0,9:80.26:175214:0.25:0,9:80.14:175506:0.2:6,14:80.03:105817:0.2:0,14:79.79:244936:0.2:0,14:80.84:132660:0.2:0,14:81.6:178139:0.3:10,24:81.75:121791:0.3:0,24:82.43:124200:0.44:4,20:81.79:79506:0.27:4,18:81.82:130898:0.27:0,[18:81.45:104175:0.27:0
