Symbol,20191028,20191029,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
GIB_122019P40,0:78.29,0:77.38,10:31:2019,0.0,0:77.95,0:77.68,0:79.44,0:79.58:157047:0.0:0,0:80.26:175214:0.0:0,0:80.14:175506:0.0:0,0:80.03:105817:0.0:0,0:79.79:244936:0.0:0,0:80.84:132660:0.0:0,0:81.6:178139:0.0:0,U:81.75:121791:0.0:0:81.75:121791:.:,0:82.43:124200:0.0:0,0:81.79:79506:0.0:0,0:81.82:130898:0.0:0,[0:81.45:104175:0.0:0
GIB_122019P45,0:78.29,0:77.38,10:31:2019,0.0,0:77.95,0:77.68,0:79.44,0:79.58:157047:0.0:0,0:80.26:175214:0.0:0,0:80.14:175506:0.0:0,0:80.03:105817:0.0:0,0:79.79:244936:0.0:0,0:80.84:132660:0.0:0,0:81.6:178139:0.0:0,U:81.75:121791::,0:82.43:124200:0.0:0,0:81.79:79506:0.0:0,0:81.82:130898:0.0:0,[0:81.45:104175:0.0:0
GIB_122019P50,0:78.29,10:29:2019,10:31:2019,0.0,0:77.95,0:77.68,0:79.44,0:79.58:157047:0.0:0,0:80.26:175214:0.0:0,0:80.14:175506:0.0:0,0:80.03:105817:0.0:0,0:79.79:244936:0.0:0,0:80.84:132660:0.0:0,0:81.6:178139:0.0:0,U:81.75:121791::,0:82.43:124200:0.0:0,0:81.79:79506:0.0:0,0:81.82:130898:0.0:0,[0:81.45:104175:0.0:0
GIB_122019P55,0:78.29,10:29:2019,10:31:2019,0.0,0:77.95,0:77.68,0:79.44,0:79.58:157047:0.0:0,0:80.26:175214:0.0:0,0:80.14:175506:0.0:0,0:80.03:105817:0.0:0,0:79.79:244936:0.0:0,0:80.84:132660:0.0:0,0:81.6:178139:0.0:0,U:81.75:121791::,0:82.43:124200:0.0:0,0:81.79:79506:0.0:0,0:81.82:130898:0.0:0,[0:81.45:104175:0.0:0
GIB_122019P60,0:78.29,10:29:2019,10:31:2019,0.0,0:77.95,0:77.68,0:79.44,0:79.58:157047:0.0:0,0:80.26:175214:0.0:0,0:80.14:175506:0.0:0,0:80.03:105817:0.0:0,0:79.79:244936:0.0:0,0:80.84:132660:0.0:0,0:81.6:178139:0.0:0,U:81.75:121791::,0:82.43:124200:0.0:0,0:81.79:79506:0.0:0,0:81.82:130898:0.0:0,[0:81.45:104175:0.0:0
GIB_122019P65,0:78.29,10:29:2019,10:31:2019,0.0,0:77.95,0:77.68,0:79.44,0:79.58:157047:0.0:0,0:80.26:175214:0.0:0,0:80.14:175506:0.0:0,0:80.03:105817:0.0:0,0:79.79:244936:0.0:0,0:80.84:132660:0.0:0,0:81.6:178139:0.0:0,U:81.75:121791::,0:82.43:124200:0.0:0,0:81.79:79506:0.0:0,0:81.82:130898:0.0:0,[0:81.45:104175:0.0:0
GIB_122019P70,0:78.29,10:29:2019,10:31:2019,0.0,0:77.95,0:77.68,0:79.44,0:79.58:157047:0.0:0,0:80.26:175214:0.0:0,0:80.14:175506:0.0:0,0:80.03:105817:0.0:0,0:79.79:244936:0.0:0,0:80.84:132660:0.0:0,0:81.6:178139:0.0:0,U:81.75:121791::,0:82.43:124200:0.0:0,0:81.79:79506:0.0:0,0:81.82:130898:0.0:0,[0:81.45:104175:0.0:0
GIB_122019P75,0:78.29,10:29:2019,10:31:2019,0.0,0:77.95,0:77.68,1:79.44,1:79.58:157047:1.0:0,1:80.26:175214:1.0:0,1:80.14:175506:1.0:0,1:80.03:105817:1.0:0,1:79.79:244936:1.0:0,1:80.84:132660:1.0:0,1:81.6:178139:1.0:0,U:81.75:121791::,1:82.43:124200:1.0:0,1:81.79:79506:1.0:0,1:81.82:130898:1.0:0,[1:81.45:104175:1.0:0
GIB_122019P80,0:78.29,10:29:2019,10:31:2019,0.0,0:77.95,0:77.68,0:79.44,0:79.58:157047:0.0:0,0:80.26:175214:0.0:0,0:80.14:175506:0.0:0,0:80.03:105817:0.0:0,0:79.79:244936:0.0:0,0:80.84:132660:0.0:0,0:81.6:178139:0.0:0,U:81.75:121791::,0:82.43:124200:0.0:0,0:81.79:79506:0.0:0,0:81.82:130898:0.0:0,[0:81.45:104175:0.0:0
GIB_122019P85,0:78.29,10:29:2019,10:31:2019,0.0,0:77.95,0:77.68,0:79.44,0:79.58:157047:0.0:0,0:80.26:175214:0.0:0,0:80.14:175506:0.0:0,0:80.03:105817:0.0:0,0:79.79:244936:0.0:0,0:80.84:132660:0.0:0,0:81.6:178139:0.0:0,U:81.75:121791::,0:82.43:124200:0.0:0,0:81.79:79506:0.0:0,0:81.82:130898:0.0:0,[0:81.45:104175:0.0:0
