Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
GLD_112219C132.5,0:137.06:7038053:0.0:0,0:137.43:6431697:5.1:6,3:137.98:8779770:5.8:4,4:138.56:5194061:5.8:0,4:138.21:9545221:5.69:1,5:138.62:5722188:5.69:0,5:138.76:4963627:5.69:0,5:138.0:4196689:5.69:0,5:137.74:3620276:5.69:0
GLD_112219C133,27:137.06:7038053:3.95:2,28:137.43:6431697:4.55:5,31:137.98:8779770:4.9:3,34:138.56:5194061:4.9:0,34:138.21:9545221:4.9:0,34:138.62:5722188:4.9:0,34:138.76:4963627:5.9:50,9:138.0:4196689:5.9:0,[9:137.74:3620276:5.9:0
GLD_112219C133.5,17:137.06:7038053:4.35:0,15:137.43:6431697:3.65:30,41:137.98:8779770:4.6:19,40:138.56:5194061:4.6:0,40:138.21:9545221:4.6:0,40:138.62:5722188:5.15:2,40:138.76:4963627:5.15:0,40:138.0:4196689:5.15:0,[40:137.74:3620276:5.15:0
GLD_112219C134,29:137.06:7038053:3.31:20,57:137.43:6431697:3.4:9,63:137.98:8779770:4.23:20,49:138.56:5194061:4.65:2,48:138.21:9545221:4.3:245,265:138.62:5722188:4.7:1,267:138.76:4963627:4.74:0,267:138.0:4196689:4.74:0,[267:137.74:3620276:3.87:140
GLD_112219C134.5,0:137.06:7038053:2.9:14,14:137.43:6431697:2.71:33,32:137.98:8779770:3.6:1,31:138.56:5194061:4.45:5,36:138.21:9545221:3.97:2,38:138.62:5722188:4.2:2,38:138.76:4963627:4.2:0,38:138.0:4196689:4.2:0,[38:137.74:3620276:4.2:0
GLD_112219C135,111:137.06:7038053:3.15:100,212:137.43:6431697:2.74:135,277:137.98:8779770:2.98:5,278:138.56:5194061:3.62:133,327:138.21:9545221:3.26:161,458:138.62:5722188:3.46:4,458:138.76:4963627:3.77:52,463:138.0:4196689:3.0:111,[353:137.74:3620276:2.83:44
GLD_112219C135.5,195:137.06:7038053:2.28:260,392:137.43:6431697:2.38:198,488:137.98:8779770:2.76:2,486:138.56:5194061:3.0:1,485:138.21:9545221:2.79:24,472:138.62:5722188:3.3:2,470:138.76:4963627:3.3:64,474:138.0:4196689:2.57:13,[461:137.74:3620276:2.36:5
GLD_112219C136,403:137.06:7038053:1.9:384,676:137.43:6431697:1.8:308,905:137.98:8779770:2.3:114,800:138.56:5194061:3.1:135,803:138.21:9545221:2.44:80,798:138.62:5722188:2.7:38,790:138.76:4963627:2.8:65,792:138.0:4196689:1.99:22,[784:137.74:3620276:1.76:14
GLD_112219C136.5,254:137.06:7038053:1.56:460,496:137.43:6431697:1.62:367,725:137.98:8779770:2.07:217,710:138.56:5194061:2.33:67,688:138.21:9545221:1.89:520,1021:138.62:5722188:2.29:311,989:138.76:4963627:2.31:156,989:138.0:4196689:1.51:33,[996:137.74:3620276:1.3:78
GLD_112219C137,342:137.06:7038053:1.26:1523,1149:137.43:6431697:1.26:2547,2154:137.98:8779770:1.5:403,2154:138.56:5194061:1.88:337,2092:138.21:9545221:1.48:437,2096:138.62:5722188:1.82:160,2089:138.76:4963627:1.84:109,2101:138.0:4196689:1.08:102,[2100:137.74:3620276:0.83:245
GLD_112219C137.5,313:137.06:7038053:1.02:893,704:137.43:6431697:1.01:1531,1088:137.98:8779770:1.18:692,1117:138.56:5194061:1.47:203,998:138.21:9545221:1.12:382,1178:138.62:5722188:1.41:619,937:138.76:4963627:1.37:310,860:138.0:4196689:0.68:502,[801:137.74:3620276:0.27:440
GLD_112219C138,693:137.06:7038053:0.81:347,924:137.43:6431697:0.77:1004,934:137.98:8779770:0.91:3664,2267:138.56:5194061:1.16:1187,1893:138.21:9545221:0.81:783,2190:138.62:5722188:1.02:486,2054:138.76:4963627:0.98:1211,2073:138.0:4196689:0.34:2484,[1901:137.74:3620276:0.02:1328
GLD_112219C138.5,678:137.06:7038053:0.64:88,719:137.43:6431697:0.59:240,689:137.98:8779770:0.68:377,829:138.56:5194061:0.9:558,972:138.21:9545221:0.59:3677,1767:138.62:5722188:0.7:1408,1872:138.76:4963627:0.64:3630,1896:138.0:4196689:0.17:1348,[2195:137.74:3620276:0.01:1054
GLD_112219C139,1233:137.06:7038053:0.52:264,1306:137.43:6431697:0.45:732,1446:137.98:8779770:0.53:928,1961:138.56:5194061:0.69:651,2162:138.21:9545221:0.39:2581,2741:138.62:5722188:0.49:1481,3826:138.76:4963627:0.4:2878,3809:138.0:4196689:0.07:2386,[4193:137.74:3620276:0.01:1695
GLD_112219C139.5,1634:137.06:7038053:0.42:163,1758:137.43:6431697:0.34:913,2246:137.98:8779770:0.4:606,2298:138.56:5194061:0.51:1483,2979:138.21:9545221:0.28:1811,3116:138.62:5722188:0.32:925,3148:138.76:4963627:0.24:1438,3067:138.0:4196689:0.04:1070,[2514:137.74:3620276:0.01:279
GLD_112219C140,2024:137.06:7038053:0.32:358,2145:137.43:6431697:0.25:384,2248:137.98:8779770:0.3:1775,3114:138.56:5194061:0.37:889,3267:138.21:9545221:0.19:1272,3611:138.62:5722188:0.21:1063,4233:138.76:4963627:0.15:1826,3960:138.0:4196689:0.02:922,[4278:137.74:3620276:0.01:333
GLD_112219C140.5,1025:137.06:7038053:0.26:149,1075:137.43:6431697:0.2:67,1122:137.98:8779770:0.23:30,1113:138.56:5194061:0.33:1118,1485:138.21:9545221:0.13:204,1581:138.62:5722188:0.14:726,2040:138.76:4963627:0.08:200,2176:138.0:4196689:0.01:189,[2268:137.74:3620276:0.01:221
GLD_112219C141,731:137.06:7038053:0.22:68,821:137.43:6431697:0.15:93,843:137.98:8779770:0.18:101,893:138.56:5194061:0.21:903,1268:138.21:9545221:0.09:249,1313:138.62:5722188:0.09:377,1417:138.76:4963627:0.06:106,1472:138.0:4196689:0.02:247,[1364:137.74:3620276:0.01:161
GLD_112219C141.5,588:137.06:7038053:0.16:57,832:137.43:6431697:0.12:111,920:137.98:8779770:0.12:36,930:138.56:5194061:0.16:195,1104:138.21:9545221:0.07:15,1107:138.62:5722188:0.05:504,1597:138.76:4963627:0.04:72,1580:138.0:4196689:0.01:153,[1580:137.74:3620276:0.01:273
GLD_112219C142,947:137.06:7038053:0.12:60,954:137.43:6431697:0.08:103,926:137.98:8779770:0.11:59,913:138.56:5194061:0.15:103,934:138.21:9545221:0.05:370,1164:138.62:5722188:0.04:100,1226:138.76:4963627:0.03:71,1177:138.0:4196689:0.01:59,[1197:137.74:3620276:0.01:22
GLD_112919C131,15:137.06:7038053:7.64:0,15:137.43:6431697:7.64:0,15:137.98:8779770:7.64:0,15:138.56:5194061:7.64:0,15:138.21:9545221:7.64:0,15:138.62:5722188:7.64:0,10:138.76:4963627:7.76:2,12:138.0:4196689:7.27:10,4:137.74:3620276:7.27:0
GLD_112919C132,82:137.06:7038053:5.2:3,85:137.43:6431697:5.2:0,85:137.98:8779770:5.2:0,85:138.56:5194061:5.2:0,85:138.21:9545221:5.2:0,85:138.62:5722188:6.77:2,83:138.76:4963627:6.95:0,83:138.0:4196689:6.95:0,83:137.74:3620276:6.95:0
