Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
GLD_112219P132.5,0:137.06:7038053:0.14:114,114:137.43:6431697:0.09:259,344:137.98:8779770:0.09:0,344:138.56:5194061:0.09:0,344:138.21:9545221:0.09:0,344:138.62:5722188:0.09:0,344:138.76:4963627:0.09:0,344:138.0:4196689:0.09:0,344:137.74:3620276:0.09:0
GLD_112219P133,258:137.06:7038053:0.22:679,918:137.43:6431697:0.11:618,1254:137.98:8779770:0.06:103,1342:138.56:5194061:0.03:56,1397:138.21:9545221:0.03:7,1399:138.62:5722188:0.03:0,1399:138.76:4963627:0.01:5,1404:138.0:4196689:0.01:0,[1404:137.74:3620276:0.01:1
GLD_112219P133.5,61:137.06:7038053:0.19:17,152:137.43:6431697:0.14:100,176:137.98:8779770:0.06:212,320:138.56:5194061:0.03:200,278:138.21:9545221:0.02:50,243:138.62:5722188:0.02:0,515:138.76:4963627:0.01:0,515:138.0:4196689:0.01:0,[515:137.74:3620276:0.01:0
GLD_112219P134,886:137.06:7038053:0.31:299,977:137.43:6431697:0.16:267,1061:137.98:8779770:0.07:81,1118:138.56:5194061:0.05:105,1083:138.21:9545221:0.03:52,1116:138.62:5722188:0.02:628,1573:138.76:4963627:0.01:35,1574:138.0:4196689:0.01:0,[1574:137.74:3620276:0.01:0
GLD_112219P134.5,0:137.06:7038053:0.32:125,123:137.43:6431697:0.23:235,197:137.98:8779770:0.1:72,235:138.56:5194061:0.08:2,235:138.21:9545221:0.04:58,269:138.62:5722188:0.03:250,442:138.76:4963627:0.01:0,442:138.0:4196689:0.01:1,[442:137.74:3620276:0.01:21
GLD_112219P135,3278:137.06:7038053:0.43:4580,3534:137.43:6431697:0.27:1565,3171:137.98:8779770:0.14:965,3287:138.56:5194061:0.08:415,3578:138.21:9545221:0.05:157,3641:138.62:5722188:0.02:684,3699:138.76:4963627:0.02:206,3812:138.0:4196689:0.01:321,[3813:137.74:3620276:0.01:16
GLD_112219P135.5,476:137.06:7038053:0.53:76,501:137.43:6431697:0.36:928,986:137.98:8779770:0.19:501,1131:138.56:5194061:0.1:21,1124:138.21:9545221:0.07:665,778:138.62:5722188:0.05:90,792:138.76:4963627:0.02:101,749:138.0:4196689:0.02:76,[749:137.74:3620276:0.02:0
GLD_112219P136,744:137.06:7038053:0.69:634,976:137.43:6431697:0.47:5378,5011:137.98:8779770:0.26:1133,5553:138.56:5194061:0.15:67,5585:138.21:9545221:0.1:1079,5088:138.62:5722188:0.05:194,5056:138.76:4963627:0.03:281,5309:138.0:4196689:0.03:107,[5231:137.74:3620276:0.01:11
GLD_112219P136.5,585:137.06:7038053:0.86:471,671:137.43:6431697:0.59:449,749:137.98:8779770:0.36:649,1099:138.56:5194061:0.2:211,1055:138.21:9545221:0.17:625,666:138.62:5722188:0.08:2146,2042:138.76:4963627:0.04:373,2191:138.0:4196689:0.05:333,[2413:137.74:3620276:0.01:450
GLD_112219P137,2885:137.06:7038053:1.08:3809,3974:137.43:6431697:0.78:4018,3171:137.98:8779770:0.49:855,3661:138.56:5194061:0.28:1220,3590:138.21:9545221:0.25:396,3701:138.62:5722188:0.12:1206,3811:138.76:4963627:0.05:4932,6334:138.0:4196689:0.07:1182,[6806:137.74:3620276:0.01:1512
GLD_112219P137.5,1711:137.06:7038053:1.27:485,1999:137.43:6431697:1.03:990,2404:137.98:8779770:0.69:575,2925:138.56:5194061:0.41:2300,2388:138.21:9545221:0.4:2372,2101:138.62:5722188:0.23:491,1925:138.76:4963627:0.11:1148,1649:138.0:4196689:0.15:684,[1701:137.74:3620276:0.01:1124
GLD_112219P138,2142:137.06:7038053:1.52:468,2315:137.43:6431697:1.33:386,2048:137.98:8779770:0.94:294,2012:138.56:5194061:0.57:1150,2706:138.21:9545221:0.58:2131,2647:138.62:5722188:0.34:282,2609:138.76:4963627:0.2:1368,2517:138.0:4196689:0.33:1792,[2497:137.74:3620276:0.23:2811
