Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
HCKT_122019C2.5,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791:::81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_122019C5,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_122019C7.5,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_122019C10,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_122019C12.5,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_122019C15,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.75:5,5:15.33:86717:0.68:4,5:15.38:75085:0.68:0,5:15.35:88121:0.68:0,U:81.75:121791::,5:15.35:149714:0.68:0,5:15.35:55099:0.68:0,5:15.28:71087:0.68:0,[5:15.26:86438:0.68:0
HCKT_122019C17.5,1:15.3:69453:0.2:0,1:15.36:116994:0.2:0,1:15.35:89211:0.2:0,1:15.33:86717:0.2:0,1:15.38:75085:0.2:0,1:15.35:88121:0.2:0,U:81.75:121791::,1:15.35:149714:0.2:0,1:15.35:55099:0.2:0,1:15.28:71087:0.2:0,[1:15.26:86438:0.2:0
HCKT_122019C20,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_122019C22.5,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_122019C25,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_122019C30,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720C2.5,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720C7.5,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720C10,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720C15,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720C17.5,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720C20,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720C22.5,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720C25,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720C30,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720C12.5,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720C5,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
