Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
HCKT_122019P2.5,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_122019P5,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_122019P7.5,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791:::81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_122019P10,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_122019P12.5,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_122019P15,10:15.3:69453:0.25:0,10:15.36:116994:0.25:0,10:15.35:89211:0.25:0,10:15.33:86717:0.25:0,10:15.38:75085:0.25:0,10:15.35:88121:0.3:1,U:81.75:121791::,11:15.35:149714:0.35:1,12:15.35:55099:0.35:0,12:15.28:71087:0.35:0,[12:15.26:86438:0.35:0
HCKT_122019P17.5,1:15.3:69453:1.7:0,1:15.36:116994:1.7:0,1:15.35:89211:2.05:1,1:15.33:86717:2.05:0,1:15.38:75085:2.05:0,1:15.35:88121:2.05:0,U:81.75:121791::,1:15.35:149714:2.05:0,1:15.35:55099:2.05:0,1:15.28:71087:2.05:0,[1:15.26:86438:2.05:0
HCKT_122019P20,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_122019P22.5,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_122019P25,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_122019P30,0:15.3:69453:0.0:0,0:15.36:116994:0.0:0,0:15.35:89211:0.0:0,0:15.33:86717:0.0:0,0:15.38:75085:0.0:0,0:15.35:88121:0.0:0,U:81.75:121791::,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720P20,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720P10,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720P2.5,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720P12.5,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720P17.5,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720P30,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720P25,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720P22.5,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720P5,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720P15,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
HCKT_011720P7.5,U,U,U,U,U,U,U,0:15.35:149714:0.0:0,0:15.35:55099:0.0:0,0:15.28:71087:0.0:0,[0:15.26:86438:0.0:0
