Symbol,20191023,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
HD_112219C210,15.0,15:233.89,15:234.38,16:236.8,16:234.14,16:236.1,16:234.58,16.0,16:234.92,16:232.2,49:234.01,49:232.94:2832532:22.0:0,49:232.84:2086474:22.0:0,49:231.8:2269738:22.0:0,49:233.12:2712655:22.0:0,49:234.8:2392138:24.21:42,33:236.55:2276413:24.21:0,33:237.29:3473888:24.21:0,33:81.75:121791:29.2:3,33:225.86:14970938:16.25:336,137:221.41:6974466:11.85:231,344:218.54:7633694:9.39:245,[238:218.03:5774296:8.12:7
HD_112219C212.5,11.0,11:233.89,11:234.38,11:236.8,11:234.14,11:236.11,11:234.58,11.0,11:234.92,11:232.2,11:234.01,11:232.94:2832532:16.45:0,11:232.84:2086474:16.45:0,11:231.8:2269738:16.45:0,11:233.12:2712655:16.45:0,11:234.8:2392138:16.45:0,11:236.55:2276413:16.45:0,11:237.29:3473888:16.45:0,11:81.75:121791:25.17:1,12:225.86:14970938:15.8:5,12:221.41:6974466:15.8:0,12:218.54:7633694:8.8:5,[15:218.03:5774296:5.7:4
HD_112219C215,8.0,8:233.89,8:234.38,8:236.8,8:234.14,8:236.12,8:234.58,8.0,8:234.92,9:232.2,25:234.01,29:232.94:2832532:19.0:0,29:232.84:2086474:19.0:0,29:231.8:2269738:19.0:0,29:233.12:2712655:19.0:0,29:234.8:2392138:19.0:0,29:236.55:2276413:21.5:4,29:237.29:3473888:22.02:1,30:81.75:121791:22.02:0,30:225.86:14970938:10.9:155,92:221.41:6974466:6.55:43,89:218.54:7633694:4.25:166,[165:218.03:5774296:3.03:135
HD_112219C217.5,10.0,11:233.89,11:234.38,11:236.8,11:234.14,11:236.13,11:234.58,11.0,11:234.92,11:232.2,11:234.01,11:232.94:2832532:19.5:0,11:232.84:2086474:19.5:0,11:231.8:2269738:19.5:0,11:233.12:2712655:19.5:0,11:234.8:2392138:19.5:0,11:236.55:2276413:19.5:0,11:237.29:3473888:19.5:0,11:81.75:121791:21.65:6,11:225.86:14970938:8.8:77,67:221.41:6974466:4.09:182,331:218.54:7633694:1.58:777,[519:218.03:5774296:0.54:1267
HD_112219C220,6.0,6:233.89,6:234.38,16:236.8,16:234.14,16:236.11,17:234.58,17.0,17:234.92,25:232.2,35:234.01,35:232.94:2832532:13.25:5,37:232.84:2086474:13.14:20,50:231.8:2269738:12.5:17,64:233.12:2712655:14.65:3,64:234.8:2392138:14.8:15,72:236.55:2276413:16.47:7,72:237.29:3473888:17.92:35,83:81.75:121791:19.0:43,79:225.86:14970938:6.59:865,567:221.41:6974466:2.11:2070,1092:218.54:7633694:0.41:3634,[1905:218.03:5774296:0.01:3515
HD_112219C222.5,15.0,15:233.89,16:234.38,17:236.8,17:234.14,17:236.11,17:234.58,17.0,17:234.92,17:232.2,18:234.01,12:232.94:2832532:11.71:0,12:232.84:2086474:11.71:0,12:231.8:2269738:10.2:31,41:233.12:2712655:11.89:2,41:234.8:2392138:11.89:0,41:236.55:2276413:13.55:1,40:237.29:3473888:14.9:34,71:81.75:121791:16.95:179,192:225.86:14970938:4.06:517,299:221.41:6974466:0.84:3930,1557:218.54:7633694:0.12:9701,[3387:218.03:5774296:0.01:1215
HD_112219C225,7.0,7:233.89,7:234.38,8:236.8,8:234.14,8:236.09,7:234.58,7.0,8:234.92,9:232.2,11:234.01,22:232.94:2832532:9.65:43,57:232.84:2086474:9.12:34,91:231.8:2269738:8.5:30,115:233.12:2712655:9.95:40,142:234.8:2392138:10.15:3,144:236.55:2276413:12.3:3,144:237.29:3473888:12.43:19,145:81.75:121791:14.4:374,345:225.86:14970938:2.4:1749,760:221.41:6974466:0.26:5007,2317:218.54:7633694:0.05:2025,[2479:218.03:5774296:0.01:705
HD_112219C227.5,11.0,11:233.89,11:234.38,11:236.8,11:234.14,24:236.07,25:234.58,29.0,29:234.92,73:232.2,83:234.01,91:232.94:2832532:7.4:14,98:232.84:2086474:7.5:10,108:231.8:2269738:6.32:8,110:233.12:2712655:7.9:43,133:234.8:2392138:8.25:24,139:236.55:2276413:10.41:12,148:237.29:3473888:10.3:34,174:81.75:121791:12.16:594,625:225.86:14970938:1.22:5525,3026:221.41:6974466:0.1:3884,2827:218.54:7633694:0.03:1254,[2991:218.03:5774296:0.01:461
HD_112219C230,63.0,63:233.89,63:234.38,64:236.8,64:234.14,70:236.07,72:234.58,76.0,75:234.92,77:232.2,89:234.01,93:232.94:2832532:5.67:28,108:232.84:2086474:5.4:59,154:231.8:2269738:4.8:86,172:233.12:2712655:6.13:34,167:234.8:2392138:7.0:38,178:236.55:2276413:8.5:121,220:237.29:3473888:8.36:81,208:81.75:121791:9.88:996,1038:225.86:14970938:0.59:7117,3017:221.41:6974466:0.06:2767,2688:218.54:7633694:0.03:708,[2551:218.03:5774296:0.01:74
HD_112219C232.5,69.0,69:233.89,74:234.38,74:236.8,74:234.14,74:236.01,24:234.58,25.0,25:234.92,27:232.2,211:234.01,235:232.94:2832532:4.61:70,284:232.84:2086474:4.25:93,356:231.8:2269738:3.71:124,408:233.12:2712655:4.55:77,430:234.8:2392138:5.25:178,451:236.55:2276413:6.6:99,430:237.29:3473888:6.5:136,397:81.75:121791:7.84:495,668:225.86:14970938:0.27:5408,2574:221.41:6974466:0.04:1489,2101:218.54:7633694:0.03:537,[1738:218.03:5774296:0.01:112
HD_112219C235,289.0,292:233.89,290:234.38,286:236.8,285:234.14,282:236.0,183:234.58,179.0,175:234.92,245:232.2,262:234.01,301:232.94:2832532:3.1:121,336:232.84:2086474:2.99:39,344:231.8:2269738:2.63:110,398:233.12:2712655:3.22:115,445:234.8:2392138:4.0:909,1152:236.55:2276413:5.1:288,1237:237.29:3473888:5.1:442,1224:81.75:121791:6.05:945,1332:225.86:14970938:0.14:5420,2869:221.41:6974466:0.04:919,2967:218.54:7633694:0.04:162,[2915:218.03:5774296:0.01:104
HD_112219C237.5,114.0,119:233.89,119:234.38,184:236.8,303:234.14,320:235.96,296:234.58,308.0,310:234.92,684:232.2,682:234.01,692:232.94:2832532:2.31:474,721:232.84:2086474:2.14:50,732:231.8:2269738:1.74:239,674:233.12:2712655:2.38:236,578:234.8:2392138:2.94:287,692:236.55:2276413:3.65:277,733:237.29:3473888:3.75:816,1107:81.75:121791:4.54:2248,1618:225.86:14970938:0.08:2683,2065:221.41:6974466:0.03:274,1981:218.54:7633694:0.01:156,[1926:218.03:5774296:0.01:78
HD_112219C240,112.0,115:233.89,116:234.38,133:236.8,313:234.14,316:235.96,314:234.58,319.0,319:234.92,520:232.2,573:234.01,570:232.94:2832532:1.53:65,564:232.84:2086474:1.36:69,593:231.8:2269738:1.12:148,626:233.12:2712655:1.51:68,637:234.8:2392138:2.0:431,925:236.55:2276413:2.7:294,967:237.29:3473888:2.6:746,1259:81.75:121791:3.25:4799,3736:225.86:14970938:0.07:2827,4421:221.41:6974466:0.03:405,4209:218.54:7633694:0.01:248,[4065:218.03:5774296:0.01:94
HD_112219C242.5,40.0,22:233.89,24:234.38,26:236.8,85:234.14,140:235.98,140:234.58,141.0,153:234.92,157:232.2,160:234.01,163:232.94:2832532:1.01:61,206:232.84:2086474:0.82:60,252:231.8:2269738:0.72:25,253:233.12:2712655:0.99:109,335:234.8:2392138:1.23:144,365:236.55:2276413:1.8:96,388:237.29:3473888:1.64:366,459:81.75:121791:2.18:2613,1959:225.86:14970938:0.05:1027,1935:221.41:6974466:0.02:255,1891:218.54:7633694:0.02:201,[1803:218.03:5774296:0.01:91
