Symbol,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
HD_112219P210,26.0,32:234.38,32:236.8,30:234.14,30:236.24,30:234.58,31.0,31:234.92,30:232.2,130:234.01,130:232.94:2832532:0.19:41,169:232.84:2086474:0.19:0,169:231.8:2269738:0.18:13,170:233.12:2712655:0.18:0,170:234.8:2392138:0.18:0,170:236.55:2276413:0.09:17,170:237.29:3473888:0.09:0,170:81.75:121791:0.03:277,332:225.86:14970938:0.02:502,706:221.43:6980255:0.04:45,712:218.54:7633694:0.03:210,[751:218.03:5774301:0.02:18
HD_112219P212.5,17.0,17:234.38,17:236.8,16:234.14,16:236.24,16:234.58,16.0,16:234.92,16:232.2,81:234.01,97:232.94:2832532:0.2:15,111:232.84:2086474:0.3:1,112:231.8:2269738:0.25:9,114:233.12:2712655:0.25:0,114:234.8:2392138:0.19:3,114:236.55:2276413:0.19:0,114:237.29:3473888:0.15:60,174:81.75:121791:0.03:437,456:225.86:14970938:0.02:686,874:221.43:6980255:0.03:360,1107:218.54:7633694:0.03:580,[1281:218.03:5774301:0.02:42
HD_112219P215,141.0,144:234.38,156:236.8,143:234.14,146:236.24,145:234.58,149.0,310:234.92,310:232.2,310:234.01,310:232.94:2832532:0.36:2,310:232.84:2086474:0.34:1,310:231.8:2269738:0.38:38,316:233.12:2712655:0.28:35,317:234.8:2392138:0.24:1,317:236.55:2276413:0.19:30,338:237.29:3473888:0.14:59,364:81.75:121791:0.05:405,582:225.86:14970938:0.04:1751,1389:221.43:6980255:0.08:1325,1740:218.54:7633694:0.13:1601,[2586:218.03:5774301:0.01:680
HD_112219P217.5,358.0,358:234.38,369:236.8,372:234.14,372:236.24,372:234.58,387.0,376:234.92,484:232.2,508:234.01,509:232.94:2832532:0.45:13,512:232.84:2086474:0.53:3,514:231.8:2269738:0.53:82,583:233.12:2712655:0.42:31,584:234.8:2392138:0.37:20,587:236.55:2276413:0.26:9,590:237.29:3473888:0.18:35,614:81.75:121791:0.07:712,1007:225.86:14970938:0.13:1856,1912:221.43:6980255:0.23:1748,2285:218.54:7633694:0.46:3330,[2926:218.03:5774301:0.01:4594
HD_112219P220,103.0,140:234.38,136:236.8,146:234.14,151:236.24,154:234.58,166.0,159:234.92,278:232.2,489:234.01,492:232.94:2832532:0.86:60,477:232.84:2086474:0.7:33,493:231.8:2269738:0.8:167,613:233.12:2712655:0.6:56,644:234.8:2392138:0.54:32,657:236.55:2276413:0.39:99,681:237.29:3473888:0.28:773,1083:81.75:121791:0.1:2313,2513:225.86:14970938:0.28:5842,3750:221.43:6980255:0.77:4638,3494:218.54:7633694:1.73:4163,[4523:218.03:5774301:1.95:3096
HD_112219P222.5,237.0,243:234.38,244:236.8,346:234.14,297:236.24,294:234.58,299.0,300:234.92,323:232.2,377:234.01,391:232.94:2832532:1.16:16,401:232.84:2086474:0.97:69,396:231.8:2269738:1.13:188,528:233.12:2712655:0.88:38,544:234.8:2392138:0.77:76,564:236.55:2276413:0.64:27,568:237.29:3473888:0.42:114,609:81.75:121791:0.16:2220,1924:225.86:14970938:0.65:4030,3216:221.43:6980255:1.92:3785,3610:218.54:7633694:3.95:770,[3178:218.03:5774301:4.5:1262
HD_112219P225,138.0,143:234.38,167:236.8,180:234.14,207:236.24,206:234.58,218.0,305:234.92,278:232.2,285:234.01,293:232.94:2832532:1.69:22,309:232.84:2086474:1.6:17,312:231.8:2269738:1.74:216,484:233.12:2712655:1.32:147,587:234.8:2392138:1.15:128,616:236.55:2276413:0.84:103,675:237.29:3473888:0.66:382,749:81.75:121791:0.29:3601,3051:225.86:14970938:1.49:9738,4794:221.43:6980255:4.0:2569,3840:218.54:7633694:6.48:1783,[2780:218.03:5774301:7.0:914
HD_112219P227.5,23.0,23:234.38,25:236.8,97:234.14,109:236.24,109:234.58,126.0,130:234.92,153:232.2,155:234.01,160:232.94:2832532:2.41:10,165:232.84:2086474:2.24:24,166:231.8:2269738:2.4:19,174:233.12:2712655:1.9:39,165:234.8:2392138:1.59:85,204:236.55:2276413:1.2:100,251:237.29:3473888:0.94:303,295:81.75:121791:0.45:2677,1962:225.86:14970938:2.81:4341,2674:221.43:6980255:6.3:1047,2049:218.54:7633694:8.95:550,[656:218.03:5774301:9.45:209
HD_112219P230,152.0,163:234.38,171:236.8,183:234.14,204:236.24,220:234.58,280.0,291:234.92,357:232.2,332:234.01,349:232.94:2832532:3.04:87,365:232.84:2086474:2.87:99,414:231.8:2269738:3.22:189,495:233.12:2712655:2.67:251,714:234.8:2392138:2.25:152,755:236.55:2276413:1.73:277,778:237.29:3473888:1.43:622,1015:81.75:121791:0.79:5895,3938:225.86:14970938:4.68:4085,3275:221.43:6980255:8.63:1012,1962:218.54:7633694:11.33:788,[1292:218.03:5774301:12.05:417
HD_112219P232.5,48.0,43:234.38,46:236.8,66:234.14,66:236.24,132:234.58,81.0,114:234.92,123:232.2,203:234.01,214:232.94:2832532:4.26:226,306:232.84:2086474:4.15:116,382:231.8:2269738:4.45:35,396:233.12:2712655:3.7:236,585:234.8:2392138:3.25:204,709:236.55:2276413:2.48:99,703:237.29:3473888:2.02:398,902:81.75:121791:1.22:2446,1701:225.86:14970938:6.7:889,1363:221.43:6980255:11.35:299,839:218.54:7633694:13.87:193,[505:218.03:5774301:14.51:226
