Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
HUBS_122019C95,15:141.33:606512:106.9:0,15:141.09:865180:106.9:0,15:143.58:701176:106.9:0,15:141.73:701291:106.9:0,15:143.69:639313:106.9:0,15:145.74:968033:106.9:0,15:148.86:733363:106.9:0,15:151.11:650076:106.9:0,15:146.38:685151:106.9:0,15:144.59:637546:106.9:0,[15:144.66:461544:106.9:0
HUBS_122019C100,22:141.33:606512:53.5:0,22:141.09:865180:53.5:0,22:143.58:701176:53.5:0,22:141.73:701291:53.5:0,22:143.69:639313:53.5:0,22:145.74:968033:53.5:0,22:148.86:733363:53.5:0,22:151.11:650076:53.5:0,22:146.38:685151:53.5:0,22:144.59:637546:53.5:0,[22:144.66:461544:53.5:0
HUBS_122019C105,12:141.33:606512:73.64:0,12:141.09:865180:73.64:0,12:143.58:701176:73.64:0,12:141.73:701291:73.64:0,12:143.69:639313:73.64:0,12:145.74:968033:73.64:0,12:148.86:733363:73.64:0,12:151.11:650076:73.64:0,12:146.38:685151:73.64:0,12:144.59:637546:73.64:0,[12:144.66:461544:73.64:0
HUBS_122019C110,11:141.33:606512:69.25:0,11:141.09:865180:69.25:0,11:143.58:701176:69.25:0,11:141.73:701291:69.25:0,11:143.69:639313:69.25:0,11:145.74:968033:69.25:0,11:148.86:733363:69.25:0,11:151.11:650076:69.25:0,11:146.38:685151:69.25:0,11:144.59:637546:69.25:0,[11:144.66:461544:69.25:0
HUBS_122019C115,14:141.33:606512:76.5:0,14:141.09:865180:76.5:0,14:143.58:701176:76.5:0,14:141.73:701291:76.5:0,14:143.69:639313:76.5:0,14:145.74:968033:76.5:0,14:148.86:733363:76.5:0,14:151.11:650076:76.5:0,14:146.38:685151:76.5:0,14:144.59:637546:76.5:0,[14:144.66:461544:29.89:2
HUBS_122019C120,20:141.33:606512:23.1:15,22:141.09:865180:23.1:0,22:143.58:701176:23.1:0,22:141.73:701291:23.1:0,22:143.69:639313:23.1:0,22:145.74:968033:23.1:0,22:148.86:733363:23.1:0,22:151.11:650076:23.1:0,22:146.38:685151:23.1:0,22:144.59:637546:23.1:0,[22:144.66:461544:23.1:0
HUBS_122019C125,23:141.33:606512:50.8:0,23:141.09:865180:50.8:0,23:143.58:701176:50.8:0,23:141.73:701291:50.8:0,23:143.69:639313:50.8:0,23:145.74:968033:50.8:0,23:148.86:733363:50.8:0,23:151.11:650076:50.8:0,23:146.38:685151:50.8:0,23:144.59:637546:50.8:0,[23:144.66:461544:50.8:0
HUBS_122019C130,310:141.33:606512:16.48:0,310:141.09:865180:16.48:0,310:143.58:701176:16.48:0,310:141.73:701291:16.48:0,310:143.69:639313:16.0:1,310:145.74:968033:16.0:0,310:148.86:733363:16.0:0,310:151.11:650076:16.0:0,310:146.38:685151:16.0:0,310:144.59:637546:16.0:0,[310:144.66:461544:16.0:0
HUBS_122019C135,19:141.33:606512:11.35:2,21:141.09:865180:11.35:0,21:143.58:701176:13.1:2,21:141.73:701291:10.7:5,26:143.69:639313:10.7:0,26:145.74:968033:10.7:0,26:148.86:733363:15.7:1,26:151.11:650076:17.6:1,26:146.38:685151:17.6:0,26:144.59:637546:17.6:0,[26:144.66:461544:17.6:0
HUBS_122019C140,197:141.33:606512:8.76:7,198:141.09:865180:7.4:21,208:143.58:701176:7.4:0,208:141.73:701291:6.6:10,213:143.69:639313:10.22:6,209:145.74:968033:9.24:6,210:148.86:733363:13.0:45,182:151.11:650076:14.05:12,181:146.38:685151:14.05:0,181:144.59:637546:14.05:0,[181:144.66:461544:14.05:0
HUBS_122019C145,114:141.33:606512:6.12:13,116:141.09:865180:5.4:13,116:143.58:701176:5.7:26,129:141.73:701291:4.83:62,120:143.69:639313:6.12:21,118:145.74:968033:5.8:17,125:148.86:733363:8.9:3,126:151.11:650076:10.4:27,122:146.38:685151:5.7:191,278:144.59:637546:6.1:23,[280:144.66:461544:5.68:4
HUBS_122019C150,169:141.33:606512:4.14:39,197:141.09:865180:3.24:14,206:143.58:701176:3.8:18,210:141.73:701291:2.84:12,221:143.69:639313:3.8:37,220:145.74:968033:4.17:19,221:148.86:733363:6.4:121,295:151.11:650076:6.65:101,221:146.38:685151:3.68:61,225:144.59:637546:3.8:45,[245:144.66:461544:2.95:13
HUBS_122019C155,409:141.33:606512:2.75:29,415:141.09:865180:2.75:0,415:143.58:701176:2.25:41,455:141.73:701291:1.57:37,469:143.69:639313:2.48:60,456:145.74:968033:2.46:506,870:148.86:733363:3.99:103,822:151.11:650076:4.7:36,826:146.38:685151:2.48:29,814:144.59:637546:1.85:63,[797:144.66:461544:1.8:16
HUBS_122019C160,200:141.33:606512:1.4:24,221:141.09:865180:1.0:62,257:143.58:701176:1.3:25,264:141.73:701291:0.9:14,275:143.69:639313:1.25:23,285:145.74:968033:0.95:13,293:148.86:733363:2.3:30,282:151.11:650076:2.75:48,290:146.38:685151:1.22:61,296:144.59:637546:1.15:25,[305:144.66:461544:1.0:22
HUBS_122019C165,132:141.33:606512:0.84:5,134:141.09:865180:0.75:1,133:143.58:701176:0.7:5,131:141.73:701291:0.5:2,130:143.69:639313:0.85:7,130:145.74:968033:0.5:4,130:148.86:733363:1.0:113,223:151.11:650076:1.54:69,270:146.38:685151:0.53:34,276:144.59:637546:0.65:7,[272:144.66:461544:0.45:1
HUBS_122019C170,240:141.33:606512:0.63:0,240:141.09:865180:0.63:0,240:143.58:701176:0.35:1,240:141.73:701291:0.3:5,235:143.69:639313:0.4:2,233:145.74:968033:0.15:13,228:148.86:733363:0.4:9,237:151.11:650076:0.73:11,248:146.38:685151:0.41:1,247:144.59:637546:0.35:0,[247:144.66:461544:0.25:1
HUBS_122019C175,89:141.33:606512:0.31:2,88:141.09:865180:0.05:1,88:143.58:701176:0.24:2,88:141.73:701291:0.24:0,88:143.69:639313:0.26:2,88:145.74:968033:0.26:0,88:148.86:733363:0.35:6,88:151.11:650076:0.35:0,88:146.38:685151:0.35:0,88:144.59:637546:0.35:0,[88:144.66:461544:0.15:3
HUBS_122019C180,137:141.33:606512:0.1:1,137:141.09:865180:0.1:0,137:143.58:701176:0.08:3,137:141.73:701291:0.08:0,137:143.69:639313:0.08:0,137:145.74:968033:0.09:1,136:148.86:733363:0.1:2,136:151.11:650076:0.1:0,136:146.38:685151:0.1:1,135:144.59:637546:0.1:0,[135:144.66:461544:0.1:0
HUBS_122019C185,233:141.33:606512:0.3:0,233:141.09:865180:0.3:0,233:143.58:701176:0.3:0,233:141.73:701291:0.3:0,233:143.69:639313:0.3:0,233:145.74:968033:0.3:0,233:148.86:733363:0.3:0,233:151.11:650076:0.3:0,233:146.38:685151:0.14:1,233:144.59:637546:0.14:0,[233:144.66:461544:0.14:0
HUBS_122019C190,284:141.33:606512:0.24:0,284:141.09:865180:0.24:0,284:143.58:701176:0.24:0,284:141.73:701291:0.24:0,284:143.69:639313:0.24:0,284:145.74:968033:0.24:0,284:148.86:733363:0.24:0,284:151.11:650076:0.53:3,283:146.38:685151:0.53:0,283:144.59:637546:0.53:0,[283:144.66:461544:0.53:0
HUBS_122019C195,U,U,U,U,U,92:145.74:968033:0.56:0,92:148.86:733363:0.56:0,92:151.11:650076:0.04:4,89:146.38:685151:0.04:0,89:144.59:637546:0.04:0,89:144.66:461544:0.04:0
HUBS_011720C100,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_011720C105,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_011720C110,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_011720C115,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:35.0:1,1:144.59:637546:35.0:0,[1:144.66:461544:35.0:0
HUBS_011720C120,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_011720C125,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_011720C130,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_011720C135,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_011720C140,U,U,U,U,U,U,0:148.86:733363:13.77:1,1:151.11:650076:13.77:0,1:146.38:685151:11.3:1,2:144.59:637546:13.3:1,[2:144.66:461544:13.3:0
HUBS_011720C145,U,U,U,U,U,U,0:148.86:733363:10.56:1,1:151.11:650076:11.6:3,4:146.38:685151:7.98:5,3:144.59:637546:10.4:1,[3:144.66:461544:10.4:0
HUBS_011720C150,U,U,U,U,U,U,0:148.86:733363:8.55:2,1:151.11:650076:7.1:2,3:146.38:685151:6.6:21,21:144.59:637546:6.6:0,[21:144.66:461544:5.8:24
HUBS_011720C155,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:6.2:11,11:144.59:637546:6.2:0,[11:144.66:461544:6.2:0
HUBS_011720C160,U,U,U,U,U,U,0:148.86:733363:4.17:1,1:151.11:650076:4.8:139,130:146.38:685151:2.65:7,133:144.59:637546:3.1:0,[133:144.66:461544:2.61:3
HUBS_011720C165,U,U,U,U,U,U,0:148.86:733363:2.6:1,1:151.11:650076:2.6:0,1:146.38:685151:2.25:3,3:144.59:637546:2.25:0,[3:144.66:461544:2.25:0
HUBS_011720C170,U,U,U,U,U,U,0:148.86:733363:2.02:1,1:151.11:650076:2.02:0,1:146.38:685151:1.4:4,4:144.59:637546:1.1:1,[4:144.66:461544:1.1:0
HUBS_011720C175,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:1.12:3,3:146.38:685151:1.35:3,5:144.59:637546:1.35:0,[5:144.66:461544:1.35:0
HUBS_011720C180,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_011720C185,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_122019C200,U,U,U,U,U,U,U,196:151.11:650076:0.08:3,195:146.38:685151:0.08:1,194:144.59:637546:0.08:0,194:144.66:461544:0.08:0
HUBS_011720C95,U,U,U,U,U,U,U,U,U,3:144.59:637546:55.0:0,[3:144.66:461544:55.0:0
