Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
HUBS_122019P95,34:141.33:606512:0.35:0,34:141.09:865180:0.35:0,34:143.58:701176:0.35:0,34:141.73:701291:0.35:0,34:143.69:639313:0.35:0,34:145.74:968033:0.35:0,34:148.86:733363:0.35:0,34:151.11:650076:0.35:0,34:146.38:685151:0.35:0,34:144.59:637546:0.35:0,[34:144.66:461544:0.35:0
HUBS_122019P100,119:141.33:606512:0.25:0,119:141.09:865180:0.25:0,119:143.58:701176:0.25:0,119:141.73:701291:0.25:0,119:143.69:639313:0.25:0,119:145.74:968033:0.25:0,119:148.86:733363:0.25:0,119:151.11:650076:0.25:0,119:146.38:685151:0.25:0,119:144.59:637546:0.25:0,[119:144.66:461544:0.25:0
HUBS_122019P105,818:141.33:606512:0.58:0,818:141.09:865180:0.58:0,818:143.58:701176:0.58:0,818:141.73:701291:0.58:0,818:143.69:639313:0.58:0,818:145.74:968033:0.58:0,818:148.86:733363:0.58:0,818:151.11:650076:0.58:0,818:146.38:685151:0.58:0,818:144.59:637546:0.58:0,[818:144.66:461544:0.58:0
HUBS_122019P110,81:141.33:606512:0.5:0,81:141.09:865180:0.5:0,81:143.58:701176:0.5:0,81:141.73:701291:0.5:0,81:143.69:639313:0.5:0,81:145.74:968033:0.5:0,81:148.86:733363:0.12:1,81:151.11:650076:0.1:1,81:146.38:685151:0.1:0,81:144.59:637546:0.1:0,[81:144.66:461544:0.1:0
HUBS_122019P115,65:141.33:606512:0.7:0,65:141.09:865180:0.7:0,65:143.58:701176:0.37:1,65:141.73:701291:0.37:0,65:143.69:639313:0.37:0,65:145.74:968033:0.37:0,65:148.86:733363:0.37:0,65:151.11:650076:0.37:0,65:146.38:685151:0.37:0,65:144.59:637546:0.37:0,[65:144.66:461544:0.37:0
HUBS_122019P120,277:141.33:606512:1.17:0,277:141.09:865180:1.15:32,276:143.58:701176:0.65:3,275:141.73:701291:0.8:20,275:143.69:639313:0.55:2,274:145.74:968033:0.55:0,274:148.86:733363:0.55:0,274:151.11:650076:0.46:3,272:146.38:685151:0.4:7,271:144.59:637546:0.4:0,[271:144.66:461544:0.4:0
HUBS_122019P125,83:141.33:606512:1.95:6,88:141.09:865180:1.58:1,88:143.58:701176:1.1:1,88:141.73:701291:1.5:8,94:143.69:639313:1.12:14,100:145.74:968033:0.92:32,119:148.86:733363:0.6:22,131:151.11:650076:0.45:5,131:146.38:685151:0.7:6,140:144.59:637546:0.81:0,[140:144.66:461544:0.81:0
HUBS_122019P130,194:141.33:606512:3.08:11,194:141.09:865180:2.6:5,189:143.58:701176:1.75:7,189:141.73:701291:2.43:18,205:143.69:639313:1.79:13,211:145.74:968033:1.49:8,219:148.86:733363:1.05:21,230:151.11:650076:0.85:4,230:146.38:685151:1.33:1005,1080:144.59:637546:1.3:1,[1081:144.66:461544:1.3:5
HUBS_122019P135,123:141.33:606512:4.26:1,123:141.09:865180:4.26:0,123:143.58:701176:2.85:15,124:141.73:701291:4.0:1,125:143.69:639313:3.05:6,126:145.74:968033:2.4:66,101:148.86:733363:1.5:6,102:151.11:650076:1.5:0,102:146.38:685151:2.13:1012,1110:144.59:637546:2.2:1,[1111:144.66:461544:2.2:0
HUBS_122019P140,264:141.33:606512:6.32:69,269:141.09:865180:6.0:95,279:143.58:701176:5.0:13,290:141.73:701291:6.1:26,291:143.69:639313:4.67:7,292:145.74:968033:3.88:233,397:148.86:733363:2.45:59,395:151.11:650076:2.3:138,405:146.38:685151:4.0:40,419:144.59:637546:3.7:8,[426:144.66:461544:3.67:3
