Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
IAA_122019C20,0:37.54,0:37.94,0:38.41,0:38.15,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,0:43.06:1439900:0.0:0,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_122019C22.5,0:37.54,0:37.94,0:38.41,0:38.15,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,0:43.06:1439900:0.0:0,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_122019C25,0:37.54,0:37.94,0:38.41,0:38.15,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,0:43.06:1439900:0.0:0,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_122019C30,0:37.54,0:37.94,0:38.41,0:38.15,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,0:43.06:1439900:0.0:0,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_122019C35,0:37.54,0:37.94,0:38.41,0:38.15,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,0:43.06:1439900:0.0:0,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_122019C40,0:37.54,0:37.94,0:38.41,0:38.15,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,0:43.06:1439900:0.0:0,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_122019C45,0:37.54,0:37.94,0:38.41,0:38.15,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.65:17,17:43.1:4066164:0.65:0,17:42.12:1664316:0.65:0,17:42.45:1093233:0.65:0,17:42.28:716888:0.65:0,17:43.06:1439900:0.65:0,17:44.08:1202764:0.65:0,17:44.06:1066347:1.7:1,18:44.36:1337205:1.5:1,[18:44.35:1228069:1.5:0
IAA_122019C50,0:37.54,0:37.94,0:38.41,0:38.15,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,0:43.06:1439900:0.0:0,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_122019C55,0:37.54,0:37.94,0:38.41,0:38.15,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,0:43.06:1439900:0.0:0,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_011720C35,U,U,U,U,U,U,U,U,U,U,U,U,U,7:42.45:1093233:8.2:0,7:42.28:716888:8.2:0,7:43.06:1439900:8.2:0,7:44.08:1202764:8.9:7,7:44.06:1066347:8.9:0,7:44.36:1337205:8.9:0,[7:44.35:1228069:8.9:0
