Symbol,20191028,20191029,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
IAA_122019P20,0:37.54,0:37.94,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,U:43.06:1439900::,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_122019P22.5,0:37.54,0:37.94,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,U:43.06:1439900::,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_122019P25,0:37.54,0:37.94,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,U:43.06:1439900::,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_122019P30,0:37.54,0:37.94,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,U:43.06:1439900::,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_122019P35,0:37.54,0:37.94,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,U:43.06:1439900:0.0:0:43.06:1439900:.:,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_122019P40,0:37.54,0:37.94,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,U:43.06:1439900::,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_122019P45,0:37.54,0:37.94,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,U:43.06:1439900::,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_122019P50,0:37.54,0:37.94,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,U:43.06:1439900::,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_122019P55,0:37.54,0:37.94,0.0,0:38.7,0:39.2,0:38.2,0:38.11:1161156:0.0:0,0:38.24:893197:0.0:0,0:38.9:1348568:0.0:0,0:43.1:4066164:0.0:0,0:42.12:1664316:0.0:0,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,U:43.06:1439900::,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_011720P35,U,U,U,U,U,U,U,U,U,U,U,66:42.45:1093233:1.3:0,66:42.28:716888:1.3:0,U:43.06:1439900::,66:44.08:1202764:1.3:0,66:44.06:1066347:1.3:0,66:44.36:1337205:1.3:0,[66:44.35:1228069:1.3:0
IAA_011720P40,U,U,U,U,U,U,U,U,U,U,U,372:42.45:1093233:1.8:0,372:42.28:716888:1.8:0,U:43.06:1439900::,372:44.08:1202764:1.25:1,372:44.06:1066347:1.25:0,372:44.36:1337205:1.25:0,[372:44.35:1228069:1.25:0
IAA_011720P45,U,U,U,U,U,U,U,U,U,U,U,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,U:43.06:1439900::,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
IAA_011720P50,U,U,U,U,U,U,U,U,U,U,U,0:42.45:1093233:0.0:0,0:42.28:716888:0.0:0,U:43.06:1439900::,0:44.08:1202764:0.0:0,0:44.06:1066347:0.0:0,0:44.36:1337205:0.0:0,[0:44.35:1228069:0.0:0
