Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
IBM_112219P126,5:135.97,22:133.82,26:135.25,27:133.73,27.0,30:137.67,30:137.89,30:138.78,176:137.69:4073697:0.13:0,176:137.61:2272349:0.13:0,176:135.47:2553120:0.09:13,189:135.59:3016837:0.09:0,189:134.48:2911077:0.1:10,198:134.0:4216812:0.1:0,198:134.4:3244907:0.05:1,197:43.06:1439900:0.06:5,197:134.52:2995004:0.06:0,U:133.12:1967068:U:U,197:133.84:3322158:0.03:0,[197:134.34:3297396:0.03:0
IBM_112219P127,2:135.97,2:133.82,3:135.25,3:133.73,1.0,1:137.67,21:137.89,21:138.78,478:137.69:4073697:0.15:0,478:137.61:2272349:0.15:0,478:135.47:2553120:0.15:0,478:135.59:3016837:0.15:0,478:134.48:2911077:0.15:0,478:134.0:4216812:0.11:4,481:134.4:3244907:0.05:14,495:43.06:1439900:0.04:33,520:134.52:2995004:0.03:1,519:133.12:1967068:0.03:0,519:133.84:3322158:0.03:0,[519:134.34:3297396:0.03:0
IBM_112219P128,139:135.97,149:133.82,160:135.25,160:133.73,180.0,180:137.67,173:137.89,172:138.78,172:137.69:4073697:0.1:27,145:137.61:2272349:0.1:0,145:135.47:2553120:0.17:5,144:135.59:3016837:0.14:4,143:134.48:2911077:0.19:22,157:134.0:4216812:0.15:13,167:134.4:3244907:0.08:49,206:43.06:1439900:0.07:76,211:134.52:2995004:0.01:3,210:133.12:1967068:0.05:2,211:133.84:3322158:0.05:0,[211:134.34:3297396:0.05:0
IBM_112219P129,73:135.97,65:133.82,65:135.25,65:133.73,65.0,72:137.67,69:137.89,69:138.78,69:137.69:4073697:0.14:24,66:137.61:2272349:0.14:0,66:135.47:2553120:0.2:40,93:135.59:3016837:0.15:3,94:134.48:2911077:0.26:28,106:134.0:4216812:0.2:2,106:134.4:3244907:0.11:80,151:43.06:1439900:0.07:91,172:134.52:2995004:0.05:6,U:133.12:1967068:U:U,201:133.84:3322158:0.03:29,[192:134.34:3297396:0.01:2
IBM_112219P130,290:135.97,344:133.82,358:135.25,370:133.73,387.0,367:137.67,364:137.89,362:138.78,358:137.69:4073697:0.17:52,343:137.61:2272349:0.19:10,344:135.47:2553120:0.27:11,352:135.59:3016837:0.23:56,386:134.48:2911077:0.36:419,777:134.0:4216812:0.29:25,798:134.4:3244907:0.16:139,851:43.06:1439900:0.09:163,954:134.52:2995004:0.04:14,951:133.12:1967068:0.14:147,987:133.84:3322158:0.02:27,[990:134.34:3297396:0.01:20
IBM_112219P131,86:135.97,89:133.82,74:135.25,76:133.73,69.0,71:137.67,75:137.89,74:138.78,74:137.69:4073697:0.25:2,75:137.61:2272349:0.25:15,75:135.47:2553120:0.38:7,78:135.59:3016837:0.27:2,78:134.48:2911077:0.38:400,412:134.0:4216812:0.4:35,426:134.4:3244907:0.26:75,445:43.06:1439900:0.16:63,496:134.52:2995004:0.08:118,U:133.12:1967068:U:U,499:133.84:3322158:0.05:34,[503:134.34:3297396:0.05:0
IBM_112219P132,149:135.97,191:133.82,169:135.25,180:133.73,193.0,196:137.67,198:137.89,201:138.78,199:137.69:4073697:0.28:8,190:137.61:2272349:0.34:7,189:135.47:2553120:0.51:18,195:135.59:3016837:0.46:6,199:134.48:2911077:0.55:198,339:134.0:4216812:0.6:54,345:134.4:3244907:0.4:94,402:43.06:1439900:0.28:591,778:134.52:2995004:0.16:2964,1092:133.12:1967068:0.45:110,1089:133.84:3322158:0.07:94,[1084:134.34:3297396:0.01:19
IBM_112219P133,148:135.97,148:133.82,151:135.25,147:133.73,147.0,154:137.67,149:137.89,161:138.78,159:137.69:4073697:0.41:3,160:137.61:2272349:0.44:10,158:135.47:2553120:0.66:142,226:135.59:3016837:0.52:11,226:134.48:2911077:0.81:164,253:134.0:4216812:0.98:535,474:134.4:3244907:0.62:206,561:43.06:1439900:0.49:288,672:134.52:2995004:0.27:97,660:133.12:1967068:0.85:199,659:133.84:3322158:0.24:150,[621:134.34:3297396:0.01:168
IBM_112219P134,63:135.97,89:133.82,90:135.25,90:133.73,102.0,104:137.67,103:137.89,103:138.78,102:137.69:4073697:0.48:30,118:137.61:2272349:0.59:27,128:135.47:2553120:1.01:132,231:135.59:3016837:0.8:360,523:134.48:2911077:1.17:705,644:134.0:4216812:1.36:209,744:134.4:3244907:0.94:186,852:43.06:1439900:0.84:279,970:134.52:2995004:0.5:108,989:133.12:1967068:1.28:159,1007:133.84:3322158:0.47:141,[993:134.34:3297396:0.02:485
IBM_112219P135,26:135.97,24:133.82,33:135.25,47:133.73,58.0,61:137.67,119:137.89,104:138.78,105:137.69:4073697:0.74:51,108:137.61:2272349:0.82:123,165:135.47:2553120:1.36:222,312:135.59:3016837:1.18:68,352:134.48:2911077:1.7:146,374:134.0:4216812:1.72:126,377:134.4:3244907:1.46:60,407:43.06:1439900:1.36:21,420:134.52:2995004:0.93:656,801:133.12:1967068:2.09:85,796:133.84:3322158:1.27:620,[1230:134.34:3297396:0.85:201
