Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
INTC_112219C51.5,0:56.34,0:56.6,0:56.53,0.0,0:57.61,0:57.55,0:57.6,0:58.05:16961165:0.0:0,0:58.27:11755678:0.0:0,0:58.35:10859579:0.0:0,0:58.2:11917500:0.0:0,0:57.89:15290446:0.0:0,0:57.81:12104227:0.0:0,0:57.96:15435865:0.0:0,0:43.06:1439900:0.0:0,:134.52:2995004:U:U,0:57.78:10831822:0.0:0,0:0:0:0.0:0,0:57.61:15677201:0.0:0
INTC_112219C52,267:56.34,241:56.6,237:56.53,237.0,237:57.61,235:57.55,6:57.6,6:58.05:16961165:6.5:25,31:58.27:11755678:6.5:0,31:58.35:10859579:6.5:0,31:58.2:11917500:6.5:0,31:57.89:15290446:5.7:10,41:57.81:12104227:5.7:0,41:57.96:15435865:5.7:0,U:43.06:1439900::,41:134.52:2995004:5.7:0,41:57.78:10831822:5.7:0,41:0:0:6.16:10,36:57.61:15677201:5.65:25
INTC_112219C52.5,1:56.34,1:56.6,1:56.53,2.0,2:57.61,2:57.55,0:57.6,0:58.05:16961165:5.55:0,0:58.27:11755678:5.55:0,0:58.35:10859579:5.55:0,0:58.2:11917500:5.55:0,0:57.89:15290446:5.55:0,0:57.81:12104227:5.55:0,0:57.96:15435865:5.55:0,0:43.06:1439900:5.55:0,0:134.52:2995004:5.55:0,0:57.78:10831822:5.55:0,U:0:0:U:U,0:57.61:15677201:5.55:0
INTC_112219C53,378:56.34,369:56.6,379:56.53,389.0,388:57.61,384:57.55,32:57.6,33:58.05:16961165:5.45:25,30:58.27:11755678:5.45:0,30:58.35:10859579:5.45:0,30:58.2:11917500:5.45:0,30:57.89:15290446:5.45:0,30:57.81:12104227:5.45:0,30:57.96:15435865:5.45:0,U:43.06:1439900::,30:134.52:2995004:5.45:0,30:57.78:10831822:5.15:40,37:0:0:5.15:0,[37:57.61:15677201:5.15:0
INTC_112219C53.5,2:56.34,40:56.6,40:56.53,52.0,52:57.61,52:57.55,0:57.6,0:58.05:16961165:4.04:0,0:58.27:11755678:4.04:0,0:58.35:10859579:4.04:0,0:58.2:11917500:4.04:0,0:57.89:15290446:4.04:0,0:57.81:12104227:4.04:0,0:57.96:15435865:4.04:0,0:43.06:1439900:4.04:0,0:134.52:2995004:4.04:0,0:57.78:10831822:4.04:0,0:0:0:4.5:13,[13:57.61:15677201:4.5:0
INTC_112219C54,170:56.34,170:56.6,173:56.53,179.0,177:57.61,174:57.55,12:57.6,12:58.05:16961165:4.5:30,37:58.27:11755678:4.5:0,37:58.35:10859579:4.5:0,37:58.2:11917500:4.4:2,37:57.89:15290446:3.8:9,46:57.81:12104227:3.8:0,46:57.96:15435865:3.9:1,47:43.06:1439900:4.3:1,47:134.52:2995004:4.3:0,47:57.78:10831822:3.75:66,U:0:0:U:U,[111:57.61:15677201:3.64:30
INTC_112219C54.5,10:56.34,56:56.6,104:56.53,104.0,104:57.61,104:57.55,103:57.6,103:58.05:16961165:3.27:0,103:58.27:11755678:3.27:0,103:58.35:10859579:3.27:0,103:58.2:11917500:3.88:3,104:57.89:15290446:3.88:0,104:57.81:12104227:3.88:0,104:57.96:15435865:3.88:0,U:43.06:1439900::,103:134.52:2995004:4.05:13,103:57.78:10831822:3.7:32,115:0:0:3.55:66,[163:57.61:15677201:3.3:2
INTC_112219C55,894:56.34,896:56.6,899:56.53,906.0,908:57.61,746:57.55,703:57.6,703:58.05:16961165:3.1:34,700:58.27:11755678:3.15:3,699:58.35:10859579:3.5:1,699:58.2:11917500:3.27:52,691:57.89:15290446:2.62:7,691:57.81:12104227:2.88:8,697:57.96:15435865:3.08:12,693:43.06:1439900:3.52:34,695:134.52:2995004:3.45:9,690:57.78:10831822:2.73:51,U:0:0:U:U,[553:57.61:15677201:2.64:134
INTC_112219C55.5,54:56.34,54:56.6,54:56.53,54.0,81:57.61,87:57.55,98:57.6,86:58.05:16961165:2.39:0,86:58.27:11755678:2.9:3,86:58.35:10859579:2.68:12,92:58.2:11917500:3.1:4,92:57.89:15290446:2.3:20,107:57.81:12104227:2.3:0,107:57.96:15435865:2.3:0,U:43.06:1439900::,91:134.52:2995004:2.48:20,79:57.78:10831822:2.24:45,95:0:0:2.72:71,[92:57.61:15677201:2.13:435
INTC_112219C56,392:56.34,397:56.6,412:56.53,422.0,420:57.61,420:57.55,401:57.6,412:58.05:16961165:2.64:3,411:58.27:11755678:2.27:6,405:58.35:10859579:2.57:1,405:58.2:11917500:2.42:8,404:57.89:15290446:2.0:15,402:57.81:12104227:1.99:23,399:57.96:15435865:1.9:16,394:43.06:1439900:2.48:18,389:134.52:2995004:2.37:153,434:57.78:10831822:1.7:67,423:0:0:2.25:72,[443:57.61:15677201:1.52:375
INTC_112219C56.5,310:56.34,246:56.6,287:56.53,321.0,408:57.61,400:57.55,367:57.6,367:58.05:16961165:2.25:5,367:58.27:11755678:1.96:8,365:58.35:10859579:2.12:16,369:58.2:11917500:2.38:4,365:57.89:15290446:1.35:15,365:57.81:12104227:1.56:16,366:57.96:15435865:1.4:301,U:43.06:1439900::,580:134.52:2995004:1.6:17,567:57.78:10831822:1.35:185,U:0:0:U:U,[471:57.61:15677201:1.12:287
INTC_112219C57,255:56.34,307:56.6,403:56.53,466.0,444:57.61,592:57.55,597:57.6,617:58.05:16961165:1.65:56,584:58.27:11755678:1.59:45,585:58.35:10859579:1.8:21,592:58.2:11917500:1.56:67,562:57.89:15290446:1.15:102,549:57.81:12104227:1.22:50,565:57.96:15435865:1.19:162,642:43.06:1439900:1.54:187,716:134.52:2995004:1.36:118,711:57.78:10831822:0.93:233,722:0:0:1.28:272,[650:57.61:15677201:0.63:726
INTC_112219C57.5,445:56.34,452:56.6,454:56.53,459.0,470:57.61,508:57.55,622:57.6,711:58.05:16961165:1.26:247,625:58.27:11755678:1.35:247,610:58.35:10859579:1.38:155,611:58.2:11917500:1.58:25,610:57.89:15290446:0.99:136,643:57.81:12104227:0.89:76,684:57.96:15435865:0.89:175,U:43.06:1439900::,813:134.52:2995004:0.98:235,808:57.78:10831822:0.59:294,834:0:0:0.84:191,[806:57.61:15677201:0.05:773
INTC_112219C58,88:56.34,116:56.6,140:56.53,157.0,3027:57.61,2994:57.55,2992:57.6,3366:58.05:16961165:0.98:86,3390:58.27:11755678:1.03:94,3419:58.35:10859579:1.01:1624,2251:58.2:11917500:0.9:279,2211:57.89:15290446:0.71:103,2246:57.81:12104227:0.63:244,2247:57.96:15435865:0.59:787,2281:43.06:1439900:0.63:3615,2855:134.52:2995004:0.65:1767,3055:57.78:10831822:0.33:1024,U:133.84:3322158:0.0:0:0:0:.:U,[3392:57.61:15677201:0.02:1586
INTC_112219C58.5,762:56.34,759:56.6,759:56.53,760.0,759:57.61,764:57.55,930:57.6,890:58.05:16961165:0.79:126,978:58.27:11755678:0.73:634,728:58.35:10859579:0.76:365,784:58.2:11917500:0.67:232,839:57.89:15290446:0.49:235,934:57.81:12104227:0.4:277,1087:57.96:15435865:0.39:366,U:43.06:1439900::,2488:134.52:2995004:0.36:1749,2720:57.78:10831822:0.18:1409,U:0:0:U:U,[3345:57.61:15677201:0.01:615
INTC_112219C59,42:56.34,42:56.6,47:56.53,42.0,42:57.61,104:57.55,188:57.6,1387:58.05:16961165:0.55:79,1426:58.27:11755678:0.54:105,1472:58.35:10859579:0.54:53,1489:58.2:11917500:0.44:693,2012:57.89:15290446:0.3:738,2542:57.81:12104227:0.25:1279,2216:57.96:15435865:0.22:857,2388:43.06:1439900:0.2:1874,3030:134.52:2995004:0.2:2068,3428:57.78:10831822:0.07:1041,U:0:0:U:U,[3262:57.61:15677201:0.01:424
INTC_112219C59.5,27:56.34,27:56.6,27:56.53,27.0,27:57.61,27:57.55,52:57.6,59:58.05:16961165:0.47:114,150:58.27:11755678:0.36:9,148:58.35:10859579:0.37:14,159:58.2:11917500:0.31:75,199:57.89:15290446:0.19:153,335:57.81:12104227:0.16:31,339:57.96:15435865:0.12:225,471:43.06:1439900:0.11:1186,:134.52:2995004:U:U,1272:57.78:10831822:0.03:168,1107:0:0:0.03:113,[1079:57.61:15677201:0.01:253
INTC_112219C60,236:56.34,241:56.6,241:56.53,231.0,225:57.61,359:57.55,355:57.6,360:58.05:16961165:0.27:35,383:58.27:11755678:0.25:59,422:58.35:10859579:0.24:124,469:58.2:11917500:0.2:84,521:57.89:15290446:0.12:53,518:57.81:12104227:0.09:64,527:57.96:15435865:0.05:252,603:43.06:1439900:0.06:315,765:134.52:2995004:0.05:240,733:57.78:10831822:0.01:110,703:0:0:0.01:6,[799:57.61:15677201:0.01:40
INTC_112219C61,0:56.34,3:56.6,3:56.53,3.0,3:57.61,18:57.55,32:57.6,23:58.05:16961165:0.17:52,66:58.27:11755678:0.1:7,83:58.35:10859579:0.1:6,84:58.2:11917500:0.08:351,425:57.89:15290446:0.05:4,429:57.81:12104227:0.03:1,432:57.96:15435865:0.02:70,502:43.06:1439900:0.03:92,532:134.52:2995004:0.02:9,540:57.78:10831822:0.01:13,529:0:0:0.01:6,[535:57.61:15677201:0.01:0
INTC_112219C62,0:56.34,0:56.6,0:56.53,0.0,0:57.61,10:57.55,19:57.6,12:58.05:16961165:0.07:46,57:58.27:11755678:0.03:3,60:58.35:10859579:0.05:100,160:58.2:11917500:0.05:24,184:57.89:15290446:0.03:12,193:57.81:12104227:0.03:0,193:57.96:15435865:0.01:35,198:43.06:1439900:0.01:2,200:134.52:2995004:0.01:0,200:57.78:10831822:0.01:0,U:0:0:U:U,[200:57.61:15677201:0.01:2
INTC_112919C51.5,0:56.34,0:56.6,0:56.53,0.0,0:57.61,0:57.55,0:57.6,0:58.05:16961165:0.0:0,0:58.27:11755678:0.0:0,0:58.35:10859579:0.0:0,0:58.2:11917500:0.0:0,0:57.89:15290446:0.0:0,0:57.81:12104227:0.0:0,0:57.96:15435865:0.0:0,U:43.06:1439900::,0:134.52:2995004:0.0:0,0:57.78:10831822:0.0:0,0:0:0:0.0:0,0:57.61:15677201:0.0:0
INTC_112919C52,212:56.34,212:56.6,212:56.53,165.0,158:57.61,156:57.55,26:57.6,10:58.05:16961165:5.61:0,10:58.27:11755678:5.61:0,10:58.35:10859579:5.61:0,10:58.2:11917500:6.24:1,11:57.89:15290446:6.24:0,11:57.81:12104227:6.24:0,11:57.96:15435865:6.24:0,U:43.06:1439900::,11:134.52:2995004:6.24:0,11:57.78:10831822:6.1:2,12:0:0:6.27:4,12:57.61:15677201:6.27:0
INTC_112919C52.5,14:56.34,14:56.6,14:56.53,14.0,14:57.61,14:57.55,0:57.6,10:58.05:16961165:4.96:0,10:58.27:11755678:4.96:0,10:58.35:10859579:4.96:0,10:58.2:11917500:4.96:0,10:57.89:15290446:4.96:0,10:57.81:12104227:4.96:0,10:57.96:15435865:4.96:0,U:43.06:1439900::,10:134.52:2995004:4.96:0,10:57.78:10831822:4.96:0,10:0:0:4.96:0,10:57.61:15677201:4.96:0
INTC_112919C53,197:56.34,195:56.6,193:56.53,193.0,193:57.61,193:57.55,51:57.6,51:58.05:16961165:4.67:0,51:58.27:11755678:4.67:0,51:58.35:10859579:4.67:0,51:58.2:11917500:5.6:10,41:57.89:15290446:4.7:3,40:57.81:12104227:4.7:0,40:57.96:15435865:5.28:28,32:43.06:1439900:5.28:0,32:134.52:2995004:5.28:0,32:57.78:10831822:5.28:0,32:0:0:5.28:0,[32:57.61:15677201:4.55:101
INTC_112919C53.5,24:56.34,24:56.6,53:56.53,53.0,53:57.61,53:57.55,0:57.6,0:58.05:16961165:4.39:0,0:58.27:11755678:4.39:0,0:58.35:10859579:4.39:0,0:58.2:11917500:4.39:0,0:57.89:15290446:4.39:0,0:57.81:12104227:4.39:0,0:57.96:15435865:4.39:0,0:43.06:1439900:4.39:0,0:134.52:2995004:4.39:0,0:57.78:10831822:4.39:0,0:0:0:4.75:8,[8:57.61:15677201:4.75:0
INTC_112919C54,234:56.34,202:56.6,201:56.53,191.0,195:57.61,192:57.55,191:57.6,219:58.05:16961165:4.5:36,201:58.27:11755678:4.5:0,201:58.35:10859579:4.58:4,197:58.2:11917500:4.58:0,197:57.89:15290446:3.82:1,196:57.81:12104227:3.82:0,196:57.96:15435865:4.31:9,192:43.06:1439900:4.31:0,U:134.52:2995004:U:U:134.52:2995004:U:U,192:57.78:10831822:4.31:0,U:0:0:U:U,[219:57.61:15677201:3.85:225
INTC_112919C54.5,1:56.34,1:56.6,1:56.53,1.0,3:57.61,5:57.55,9:57.6,9:58.05:16961165:3.68:0,9:58.27:11755678:3.74:2,8:58.35:10859579:3.74:0,8:58.2:11917500:3.74:0,8:57.89:15290446:3.74:0,8:57.81:12104227:3.74:0,8:57.96:15435865:3.74:0,U:43.06:1439900::,6:134.52:2995004:3.7:2,8:57.78:10831822:3.7:0,8:0:0:3.7:0,[8:57.61:15677201:3.7:0
INTC_112919C55,1222:56.34,1275:56.6,1297:56.53,1297.0,1299:57.61,1299:57.55,1220:57.6,1215:58.05:16961165:3.65:32,1220:58.27:11755678:3.4:1,1221:58.35:10859579:3.6:2,1220:58.2:11917500:3.91:1,1219:57.89:15290446:3.1:7,1216:57.81:12104227:3.0:1,1217:57.96:15435865:3.07:9,U:43.06:1439900::,1214:134.52:2995004:3.37:15,1216:57.78:10831822:3.37:0,1216:0:0:3.35:21,[1213:57.61:15677201:2.64:96
INTC_112919C55.5,3:56.34,6:56.6,7:56.53,11.0,12:57.61,18:57.55,18:57.6,18:58.05:16961165:2.7:0,18:58.27:11755678:2.7:0,18:58.35:10859579:2.7:0,18:58.2:11917500:2.55:1,18:57.89:15290446:2.27:2,19:57.81:12104227:2.27:0,19:57.96:15435865:2.27:0,U:43.06:1439900::,20:134.52:2995004:2.53:5,25:57.78:10831822:2.53:0,25:0:0:2.61:1,[26:57.61:15677201:2.12:17
INTC_112919C56,505:56.34,506:56.6,505:56.53,508.0,542:57.61,544:57.55,512:57.6,496:58.05:16961165:2.48:83,510:58.27:11755678:2.51:43,530:58.35:10859579:2.75:23,530:58.2:11917500:2.82:165,462:57.89:15290446:2.3:108,487:57.81:12104227:2.18:9,495:57.96:15435865:2.18:0,495:43.06:1439900:2.18:3,495:134.52:2995004:2.0:9,503:57.78:10831822:1.94:158,636:0:0:2.3:595,[1038:57.61:15677201:1.67:231
INTC_112919C56.5,212:56.34,214:56.6,215:56.53,215.0,318:57.61,217:57.55,220:57.6,219:58.05:16961165:2.27:7,216:58.27:11755678:2.01:36,244:58.35:10859579:2.27:1,244:58.2:11917500:2.27:0,244:57.89:15290446:1.87:5,245:57.81:12104227:1.87:0,245:57.96:15435865:1.8:3,U:43.06:1439900::,254:134.52:2995004:1.93:0,254:57.78:10831822:1.39:4,257:0:0:1.89:4,[253:57.61:15677201:1.37:260
INTC_112919C57,299:56.34,312:56.6,304:56.53,306.0,306:57.61,321:57.55,245:57.6,247:58.05:16961165:1.85:12,241:58.27:11755678:1.78:15,238:58.35:10859579:1.89:61,287:58.2:11917500:1.75:51,313:57.89:15290446:1.29:36,315:57.81:12104227:1.39:7,310:57.96:15435865:1.24:41,U:43.06:1439900::,324:134.52:2995004:1.56:149,406:57.78:10831822:1.24:116,461:0:0:1.52:200,[557:57.61:15677201:0.87:203
INTC_112919C57.5,112:56.34,112:56.6,112:56.53,116.0,127:57.61,154:57.55,173:57.6,168:58.05:16961165:1.7:17,167:58.27:11755678:1.7:0,167:58.35:10859579:1.51:24,169:58.2:11917500:1.4:23,155:57.89:15290446:1.18:56,195:57.81:12104227:1.16:6,195:57.96:15435865:1.09:19,193:43.06:1439900:1.19:17,202:134.52:2995004:1.24:117,231:57.78:10831822:0.93:125,244:0:0:1.1:124,[276:57.61:15677201:0.58:376
