Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
INTC_112219P51.5,0:56.34,0:56.6,0:56.53,21.0,21:57.61,21:57.55,21:57.6,21:58.05:16961165:0.16:0,21:58.27:11755678:0.16:0,21:58.35:10859579:0.16:0,21:58.2:11917500:0.02:1,22:57.89:15290446:0.02:0,22:57.81:12104227:0.02:0,22:57.96:15435865:0.02:0,22:43.06:1439900:0.02:0,22:134.52:2995004:0.02:0,U:57.79:10833450:U:U,U:0:0:U:U,22:57.61:15677203:0.02:0
INTC_112219P52,187:56.34,190:56.6,186:56.53,200.0,203:57.61,203:57.55,203:57.6,203:58.05:16961165:0.06:1,204:58.27:11755678:0.04:3,204:58.35:10859579:0.04:0,204:58.2:11917500:0.02:9,203:57.89:15290446:0.02:0,203:57.81:12104227:0.02:0,203:57.96:15435865:0.01:1,202:43.06:1439900:0.01:2,201:134.52:2995004:0.01:0,U:57.79:10833450:.0:U,U:0:0:U:U,202:57.61:15677203:0.01:0
INTC_112219P52.5,14:56.34,15:56.6,30:56.53,59.0,60:57.61,60:57.55,70:57.6,70:58.05:16961165:0.06:21,89:58.27:11755678:0.04:10,94:58.35:10859579:0.04:0,94:58.2:11917500:0.04:0,94:57.89:15290446:0.04:0,94:57.81:12104227:0.04:0,94:57.96:15435865:0.02:20,114:43.06:1439900:0.02:0,114:134.52:2995004:0.02:0,114:57.79:10833450:0.02:0,U:0:0:U:U,114:57.61:15677203:0.02:0
INTC_112219P53,28:56.34,31:56.6,67:56.53,124.0,150:57.61,758:57.55,758:57.6,758:58.05:16961165:0.07:609,467:58.27:11755678:0.06:1,466:58.35:10859579:0.06:0,466:58.2:11917500:0.06:0,466:57.89:15290446:0.04:1,466:57.81:12104227:0.02:1,466:57.96:15435865:0.01:1,466:43.06:1439900:0.01:0,466:134.52:2995004:0.01:0,466:57.79:10833450:0.01:0,466:0:0:0.01:0,[466:57.61:15677203:0.01:0
INTC_112219P53.5,34:56.34,104:56.6,166:56.53,182.0,201:57.61,201:57.55,208:57.6,199:58.05:16961165:0.06:1,199:58.27:11755678:0.11:5,199:58.35:10859579:0.04:18,195:58.2:11917500:0.05:5,191:57.89:15290446:0.05:0,191:57.81:12104227:0.05:0,191:57.96:15435865:0.05:0,191:43.06:1439900:0.05:0,191:134.52:2995004:0.01:18,189:57.79:10833450:0.01:0,189:0:0:0.01:0,[189:57.61:15677203:0.01:0
INTC_112219P54,50:56.34,59:56.6,104:56.53,106.0,110:57.61,108:57.55,109:57.6,110:58.05:16961165:0.08:21,121:58.27:11755678:0.07:50,136:58.35:10859579:0.07:0,136:58.2:11917500:0.05:5,134:57.89:15290446:0.05:3,133:57.81:12104227:0.05:0,133:57.96:15435865:0.03:42,170:43.06:1439900:0.01:20,181:134.52:2995004:0.01:0,181:57.79:10833450:0.01:0,181:0:0:0.01:102,[249:57.61:15677203:0.01:7
INTC_112219P54.5,42:56.34,58:56.6,109:56.53,109.0,115:57.61,111:57.55,111:57.6,111:58.05:16961165:0.11:414,465:58.27:11755678:0.09:31,460:58.35:10859579:0.07:432,262:58.2:11917500:0.07:0,262:57.89:15290446:0.07:0,262:57.81:12104227:0.07:0,262:57.96:15435865:0.04:3,262:43.06:1439900:0.03:7,262:134.52:2995004:0.01:10,256:57.79:10833450:0.02:30,256:0:0:0.01:14,[260:57.61:15677203:0.01:0
INTC_112219P55,51:56.34,635:56.6,685:56.53,752.0,745:57.61,829:57.55,828:57.6,835:58.05:16961165:0.15:44,836:58.27:11755678:0.14:25,842:58.35:10859579:0.11:17,842:58.2:11917500:0.1:50,853:57.89:15290446:0.09:110,926:57.81:12104227:0.09:14,931:57.96:15435865:0.06:18,937:43.06:1439900:0.01:93,891:134.52:2995004:0.02:38,891:57.79:10833450:0.02:44,U:0:0:U:U,[898:57.61:15677203:0.01:4
INTC_112219P55.5,327:56.34,327:56.6,329:56.53,331.0,331:57.61,345:57.55,345:57.6,361:58.05:16961165:0.19:14,365:58.27:11755678:0.2:25,390:58.35:10859579:0.16:81,470:58.2:11917500:0.13:22,470:57.89:15290446:0.19:296,715:57.81:12104227:0.13:501,899:57.96:15435865:0.1:127,923:43.06:1439900:0.06:53,:134.52:2995004:U:U,988:57.79:10833450:0.04:29,991:0:0:0.01:9,[986:57.61:15677203:0.01:77
INTC_112219P56,55:56.34,69:56.6,67:56.53,68.0,69:57.61,100:57.55,121:57.6,112:58.05:16961165:0.35:171,146:58.27:11755678:0.24:156,211:58.35:10859579:0.17:33,229:58.2:11917500:0.18:45,234:57.89:15290446:0.2:434,526:57.81:12104227:0.18:323,734:57.96:15435865:0.12:354,962:43.06:1439900:0.05:249,1105:134.52:2995004:0.05:84,1110:57.79:10833450:0.06:99,1108:0:0:0.01:144,[1013:57.61:15677203:0.01:21
INTC_112219P56.5,11:56.34,26:56.6,26:56.53,24.0,26:57.61,34:57.55,63:57.6,101:58.05:16961165:0.46:45,119:58.27:11755678:0.39:10,122:58.35:10859579:0.26:235,350:58.2:11917500:0.28:91,431:57.89:15290446:0.34:341,622:57.81:12104227:0.32:24,624:57.96:15435865:0.21:509,809:43.06:1439900:0.09:165,U:134.52:2995004:U:U:134.52:2995004:U:U,1000:57.79:10833450:0.09:123,991:0:0:0.03:38,[1009:57.61:15677203:0.01:44
INTC_112219P57,2:56.34,9:56.6,13:56.53,35.0,54:57.61,132:57.55,161:57.6,214:58.05:16961165:0.54:232,254:58.27:11755678:0.45:138,327:58.35:10859579:0.36:53,351:58.2:11917500:0.36:43,374:57.89:15290446:0.4:1564,1548:57.81:12104227:0.38:182,1704:57.96:15435865:0.3:569,1740:43.06:1439900:0.14:1566,2387:134.52:2995004:0.1:417,2594:57.79:10833450:0.17:2174,1702:0:0:0.04:335,[1609:57.61:15677203:0.01:329
INTC_112219P57.5,7:56.34,8:56.6,12:56.53,12.0,13:57.61,34:57.55,40:57.6,53:58.05:16961165:0.72:125,122:58.27:11755678:0.59:38,141:58.35:10859579:0.47:68,168:58.2:11917500:0.54:322,286:57.89:15290446:0.59:673,730:57.81:12104227:0.57:382,603:57.96:15435865:0.46:490,662:43.06:1439900:0.21:542,:134.52:2995004:U:U,1709:57.79:10833450:0.28:3547,2100:0:0:0.07:4005,[3854:57.61:15677203:0.01:3167
INTC_112219P58,9:56.34,18:56.6,16:56.53,16.0,21:57.61,23:57.55,63:57.6,63:58.05:16961165:0.97:94,126:58.27:11755678:0.81:241,349:58.35:10859579:0.67:462,743:58.2:11917500:0.7:1274,1218:57.89:15290446:0.82:711,1123:57.81:12104227:0.75:85,1103:57.96:15435865:0.68:1605,1322:43.06:1439900:0.42:1478,2085:134.52:2995004:0.3:1839,2443:57.79:10833450:0.5:2183,2597:0:0:0.19:2081,[3260:57.61:15677203:0.46:3081
