Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
INTU_112219C235,0:258.49,0:260.29,0:257.5,0.0,0:254.06,0:253.16,0:253.42,0:259.35:1401409:0.0:0,0:256.85:1345412:22.9:5,0:258.03:856443:22.9:0,0:259.98:1123716:22.9:0,0:261.75:1241182:22.9:0,0:264.78:967732:22.9:0,0:266.05:1389758:22.9:0,U:268.42:1944991::,0:134.52:2995004:22.9:0,0:57.79:10833450:22.9:0,0:271.15:1221222:22.9:0,[0:259.81:4071089:22.9:0
INTU_112219C237.5,0:258.49,0:260.29,0:257.5,0.0,0:254.06,0:253.16,0:253.42,0:259.35:1401409:0.0:0,0:256.85:1345412:0.0:0,0:258.03:856443:0.0:0,0:259.98:1123716:0.0:0,0:261.75:1241182:0.0:0,0:264.78:967732:0.0:0,0:266.05:1389758:0.0:0,0:268.42:1944991:0.0:0,:134.52:2995004:U:U,U:57.79:10833450:U:U,0:271.15:1221222:0.0:0,[0:259.81:4071089:0.0:0
INTU_112219C240,0:258.49,0:260.29,0:257.5,0.0,0:254.06,0:253.16,0:253.42,0:259.35:1401409:0.0:0,0:256.85:1345412:0.0:0,0:258.03:856443:0.0:0,0:259.98:1123716:0.0:0,0:261.75:1241182:0.0:0,0:264.78:967732:0.0:0,0:266.05:1389758:0.0:0,0:268.42:1944991:0.0:0,0:134.52:2995004:0.0:0,U:57.79:10833450:U:U,0:271.15:1221222:0.0:0,[0:259.81:4071089:0.0:0
INTU_112219C242.5,0:258.49,0:260.29,0:257.5,0.0,0:254.06,0:253.16,0:253.42,0:259.35:1401409:0.0:0,0:256.85:1345412:0.0:0,9:258.03:856443:0.0:0,9:259.98:1123716:0.0:0,9:261.75:1241182:0.0:0,9:264.78:967732:0.0:0,9:266.05:1389758:0.0:0,U:268.42:1944991::,9:134.52:2995004:0.0:0,9:57.79:10833450:0.0:0,9:271.15:1221222:0.0:0,[9:259.81:4071089:0.0:0
INTU_112219C245,0:258.49,0:260.29,0:257.5,0.0,0:254.06,0:253.16,0:253.42,0:259.35:1401409:0.0:0,0:256.85:1345412:0.0:0,0:258.03:856443:13.89:1,1:259.98:1123716:13.89:0,1:261.75:1241182:13.89:0,1:264.78:967732:13.89:0,1:266.05:1389758:13.89:0,1:268.42:1944991:13.89:0,:134.52:2995004:U:U,1:57.79:10833450:13.89:0,1:271.15:1221222:13.89:0,[1:259.81:4071089:13.89:0
INTU_112219C247.5,0:258.49,0:260.29,0:257.5,0.0,0:254.06,0:253.16,0:253.42,0:259.35:1401409:0.0:0,0:256.85:1345412:0.0:0,0:258.03:856443:0.0:0,0:259.98:1123716:0.0:0,0:261.75:1241182:0.0:0,0:264.78:967732:0.0:0,0:266.05:1389758:0.0:0,0:268.42:1944991:0.0:0,0:134.52:2995004:0.0:0,0:57.79:10833450:0.0:0,0:271.15:1221222:0.0:0,[0:259.81:4071089:0.0:0
INTU_112219C250,0:258.49,0:260.29,0:257.5,0.0,0:254.06,0:253.16,0:253.42,2:259.35:1401409:14.8:0,2:256.85:1345412:14.8:0,2:258.03:856443:10.22:1,3:259.98:1123716:13.56:3,4:261.75:1241182:14.2:7,11:264.78:967732:14.7:2,15:266.05:1389758:15.78:4,17:268.42:1944991:15.78:0,17:134.52:2995004:15.78:0,17:57.79:10833450:24.0:1,18:271.15:1221222:21.22:3,[15:259.81:4071089:8.4:2
INTU_112219C252.5,0:258.49,0:260.29,0:257.5,0.0,0:254.06,10:253.16,13:253.42,13:259.35:1401409:7.1:0,13:256.85:1345412:7.1:0,13:258.03:856443:9.9:4,16:259.98:1123716:9.9:0,16:261.75:1241182:9.9:0,16:264.78:967732:9.9:0,16:266.05:1389758:9.9:0,16:268.42:1944991:9.9:0,:134.52:2995004:U:U,16:57.79:10833450:9.9:0,16:271.15:1221222:19.23:10,[16:259.81:4071089:19.23:0
INTU_112219C255,0:258.49,0:260.29,0:257.5,2.0,2:254.06,8:253.16,9:253.42,12:259.35:1401409:10.2:6,11:256.85:1345412:7.77:4,15:258.03:856443:8.85:4,16:259.98:1123716:9.5:16,19:261.75:1241182:10.0:3,20:264.78:967732:10.0:0,20:266.05:1389758:12.3:25,38:268.42:1944991:14.9:17,53:134.52:2995004:18.0:7,58:57.79:10833450:19.0:3,71:271.15:1221222:16.57:4,[67:259.81:4071089:3.4:56
INTU_112219C257.5,1:258.49,1:260.29,1:257.5,11.0,12:254.06,12:253.16,12:253.42,13:259.35:1401409:6.4:1,12:256.85:1345412:6.41:3,12:258.03:856443:6.85:14,22:259.98:1123716:9.1:31,43:261.75:1241182:9.1:0,43:264.78:967732:10.0:6,47:266.05:1389758:10.59:1,47:268.42:1944991:11.0:1,U:134.52:2995004:U:U:134.52:2995004:U:U,U:57.79:10833450:U:U,47:271.15:1221222:14.01:41,[28:259.81:4071089:2.51:406
