Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
INTU_112219P235,0:258.49,0:260.29,10:257.5,10.0,10:254.06,12:253.16,12:253.42,12:259.35:1401409:0.95:10,12:256.85:1345412:1.1:10,22:258.03:856443:0.75:5,27:259.98:1123716:0.63:1,28:261.75:1241182:0.63:0,28:264.78:967732:0.63:0,28:266.05:1389758:0.63:0,U:268.42:1944991::,33:272.26:1334137:0.01:10,33:273.0:891144:0.01:0,33:271.15:1221223:0.07:144,[167:259.81:4071089:0.07:0
INTU_112219P237.5,0:258.49,0:260.29,0:257.5,0.0,0:254.06,0:253.16,6:253.42,9:259.35:1401409:1.1:1,10:256.85:1345412:1.1:0,10:258.03:856443:0.98:3,13:259.98:1123716:0.98:0,13:261.75:1241182:0.98:0,13:264.78:967732:0.55:3,10:266.05:1389758:0.55:0,U:268.42:1944991::,11:272.26:1334137:0.08:3,12:273.0:891144:0.08:0,12:271.15:1221223:0.1:184,[181:259.81:4071089:0.05:77
INTU_112219P240,9:258.49,9:260.29,9:257.5,9.0,9:254.06,132:253.16,132:253.42,132:259.35:1401409:1.5:15,137:256.85:1345412:1.5:0,137:258.03:856443:1.19:4,137:259.98:1123716:0.88:1,138:261.75:1241182:0.9:1,139:264.78:967732:0.9:0,139:266.05:1389758:0.5:5,U:268.42:1944991::,134:272.26:1334137:0.1:1,135:273.0:891144:0.2:45,188:271.15:1221223:0.12:495,[484:259.81:4071089:0.03:17
INTU_112219P242.5,0:258.49,0:260.29,0:257.5,1.0,1:254.06,15:253.16,15:253.42,15:259.35:1401409:1.8:5,20:256.85:1345412:1.8:0,20:258.03:856443:1.8:0,20:259.98:1123716:1.48:2,18:261.75:1241182:1.48:0,18:264.78:967732:0.92:1,19:266.05:1389758:0.6:15,34:268.42:1944991:0.51:2,35:272.26:1334137:0.23:4,U:273.0:891144:U:U,39:271.15:1221223:0.16:114,[136:259.81:4071089:0.05:1
INTU_112219P245,24:258.49,24:260.29,24:257.5,25.0,25:254.06,34:253.16,34:253.42,37:259.35:1401409:2.2:5,37:256.85:1345412:2.99:10,37:258.03:856443:2.15:2,38:259.98:1123716:2.15:0,38:261.75:1241182:2.15:0,38:264.78:967732:1.4:1,39:266.05:1389758:0.77:6,40:268.42:1944991:0.58:16,55:272.26:1334137:0.22:8,57:273.0:891144:0.18:21,77:271.15:1221223:0.2:142,[186:259.81:4071089:0.05:9
INTU_112219P247.5,19:258.49,19:260.29,29:257.5,29.0,44:254.06,49:253.16,50:253.42,52:259.35:1401409:4.52:0,52:256.85:1345412:3.35:2,52:258.03:856443:2.65:2,51:259.98:1123716:1.98:2,52:261.75:1241182:1.98:0,52:264.78:967732:1.31:2,52:266.05:1389758:1.04:23,48:268.42:1944991:0.65:19,61:272.26:1334137:0.26:47,81:273.0:891144:0.3:6,84:271.15:1221223:0.25:97,[150:259.81:4071089:0.02:43
INTU_112219P250,72:258.49,70:260.29,71:257.5,72.0,80:254.06,80:253.16,80:253.42,81:259.35:1401409:3.2:10,85:256.85:1345412:4.4:2,86:258.03:856443:3.5:48,115:259.98:1123716:2.6:27,138:261.75:1241182:2.2:3,138:264.78:967732:1.71:22,155:266.05:1389758:1.3:35,U:268.42:1944991::,195:272.26:1334137:0.4:12,199:273.0:891144:0.3:113,248:271.15:1221223:0.35:612,[549:259.81:4071089:0.01:605
INTU_112219P252.5,58:258.49,56:260.29,56:257.5,56.0,69:254.06,69:253.16,69:253.42,69:259.35:1401409:4.3:8,71:256.85:1345412:5.1:18,88:258.03:856443:5.1:0,88:259.98:1123716:3.4:7,85:261.75:1241182:2.9:8,85:264.78:967732:2.14:5,84:266.05:1389758:1.71:16,84:268.42:1944991:1.15:41,114:272.26:1334137:0.55:202,187:273.0:891144:0.4:45,224:271.15:1221223:0.4:370,[405:259.81:4071089:0.03:433
INTU_112219P255,51:258.49,51:260.29,51:257.5,51.0,66:254.06,120:253.16,120:253.42,123:259.35:1401409:4.8:2,124:256.85:1345412:6.38:8,131:258.03:856443:5.09:4,134:259.98:1123716:4.2:9,137:261.75:1241182:3.5:8,140:264.78:967732:2.65:11,145:266.05:1389758:2.35:6,147:268.42:1944991:1.55:40,172:272.26:1334137:0.75:110,138:273.0:891144:0.66:35,198:271.15:1221223:0.58:553,[499:259.81:4071089:0.05:1267
INTU_112219P257.5,43:258.49,43:260.29,43:257.5,43.0,45:254.06,45:253.16,44:253.42,46:259.35:1401409:6.1:7,52:256.85:1345412:6.67:1,53:258.03:856443:5.8:1,54:259.98:1123716:4.71:4,56:261.75:1241182:4.4:6,62:264.78:967732:3.4:10,70:266.05:1389758:2.9:17,81:268.42:1944991:2.48:4,81:272.26:1334137:1.0:208,195:273.0:891144:0.95:40,214:271.15:1221223:0.78:756,[643:259.81:4071089:0.17:2150
