Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
IRBT_112219C43,0:49.32:924324:0.0:0,0:49.24:771657:0.0:0,0:47.68:1372582:0.0:0,0:44.91:2058638:0.0:0,0:44.93:1354224:2.65:10,10:45.13:929609:3.05:11,10:46.68:1218471:2.75:10,10:46.41:775660:2.75:0,10:273.0:891144:2.85:1,U:46.02:705222:U:U,[10:46.51:683008:2.85:0
IRBT_112219C43.5,0:49.32:924324:0.0:0,0:49.24:771657:0.0:0,0:47.68:1372582:0.0:0,0:44.91:2058638:0.0:0,0:44.93:1354224:0.0:0,0:45.13:929609:0.0:0,0:46.68:1218471:0.0:0,0:46.41:775660:2.8:13,8:273.0:891144:2.8:0,8:46.02:705222:2.8:0,[8:46.51:683008:2.8:0
IRBT_112219C44,1:49.32:924324:6.9:0,1:49.24:771657:6.9:0,1:47.68:1372582:6.9:0,1:44.91:2058638:2.25:2,1:44.93:1354224:1.65:19,20:45.13:929609:1.94:25,8:46.68:1218471:1.94:0,8:46.41:775660:1.94:0,U:273.0:891144:U:U,8:46.02:705222:1.8:10,[5:46.51:683008:2.05:4
IRBT_112219C45,170:49.32:924324:4.8:0,170:49.24:771657:4.8:0,170:47.68:1372582:4.8:0,170:44.91:2058638:1.56:19,186:44.93:1354224:1.4:63,205:45.13:929609:1.24:12,215:46.68:1218471:2.05:53,208:46.41:775660:1.65:22,220:273.0:891144:0.86:31,240:46.02:705222:1.15:45,[235:46.51:683008:1.18:157
IRBT_112219C46,100:49.32:924324:4.0:4,100:49.24:771657:4.0:0,100:47.68:1372582:4.0:0,100:44.91:2058638:1.0:80,159:44.93:1354224:1.0:61,187:45.13:929609:0.85:46,208:46.68:1218471:1.35:142,191:46.41:775660:1.16:21,U:273.0:891144:U:U,207:46.02:705222:0.77:16,[214:46.51:683008:0.55:134
IRBT_112219C46.5,1:49.32:924324:3.1:0,1:49.24:771657:3.1:0,1:47.68:1372582:2.95:1,0:44.91:2058638:0.9:74,74:44.93:1354224:1.15:8,78:45.13:929609:0.9:9,77:46.68:1218471:1.3:56,60:46.41:775660:0.59:11,60:273.0:891144:0.4:11,71:46.02:705222:0.5:66,[102:46.51:683008:0.08:48
IRBT_112219C47,23:49.32:924324:5.3:0,23:49.24:771657:5.3:0,23:47.68:1372582:1.85:4,26:44.91:2058638:0.7:28,39:44.93:1354224:0.75:418,130:45.13:929609:0.6:17,142:46.68:1218471:0.95:273,274:46.41:775660:0.7:33,294:273.0:891144:0.25:4,295:46.02:705222:0.23:89,[315:46.51:683008:0.08:110
IRBT_112219C48,11:49.32:924324:2.65:1,12:49.24:771657:2.65:0,12:47.68:1372582:1.45:45,52:44.91:2058638:0.45:15,58:44.93:1354224:0.55:5,58:45.13:929609:0.43:62,115:46.68:1218471:0.56:382,436:46.41:775660:0.4:96,424:273.0:891144:0.2:97,U:46.02:705222:U:U,[438:46.51:683008:0.1:8
IRBT_112219C48.5,59:49.32:924324:1.93:0,59:49.24:771657:1.9:2,60:47.68:1372582:1.15:8,68:44.91:2058638:0.4:23,81:44.93:1354224:0.41:11,87:45.13:929609:0.37:46,123:46.68:1218471:0.5:63,105:46.41:775660:0.35:10,102:273.0:891144:0.3:12,U:46.02:705222:U:U,[126:46.51:683008:0.1:61
IRBT_112219C49,20:49.32:924324:1.9:2,22:49.24:771657:1.75:18,32:47.68:1372582:0.91:4,32:44.91:2058638:0.35:62,70:44.93:1354224:0.5:201,176:45.13:929609:0.3:32,201:46.68:1218471:0.4:144,244:46.41:775660:0.2:32,240:273.0:891144:0.1:3,239:46.02:705222:0.11:4,[239:46.51:683008:0.11:0
IRBT_112219C50,44:49.32:924324:1.4:324,323:49.24:771657:1.2:28,327:47.68:1372582:0.95:13,331:44.91:2058638:0.35:57,353:44.93:1354224:0.29:152,382:45.13:929609:0.33:348,232:46.68:1218471:0.3:95,290:46.41:775660:0.2:5,U:273.0:891144:U:U,284:46.02:705222:0.07:2,[282:46.51:683008:0.05:3
