Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
IRBT_112219P43,0:49.32:924324:0.25:116,116:49.24:771657:0.2:1,116:47.68:1372582:0.2:1,116:44.91:2058638:0.55:229,316:44.93:1354224:0.68:135,435:45.13:929609:0.3:113,328:46.68:1218471:0.15:1,329:46.41:775660:0.15:0,329:45.22:466953:0.05:1,329:46.02:705222:0.05:0,[329:46.51:683008:0.05:0
IRBT_112219P43.5,12:49.32:924324:0.3:2,12:49.24:771657:0.3:0,12:47.68:1372582:0.3:0,12:44.91:2058638:0.26:1,13:44.93:1354224:0.75:1,13:45.13:929609:0.48:10,U:46.68:1218471::,113:46.41:775660:0.1:0,113:45.22:466953:0.1:0,113:46.02:705222:0.05:1,[113:46.51:683008:0.05:0
IRBT_112219P44,4:49.32:924324:0.5:0,4:49.24:771657:0.5:0,4:47.68:1372582:0.3:7,11:44.91:2058638:0.99:273,228:44.93:1354224:0.95:83,229:45.13:929609:0.66:288,352:46.68:1218471:0.2:275,384:46.41:775660:0.28:35,382:45.22:466953:0.2:30,353:46.02:705222:0.03:42,[381:46.51:683008:0.05:4
IRBT_112219P45,240:49.32:924324:0.45:108,274:49.24:771657:0.35:20,284:47.68:1372582:0.5:20,287:44.91:2058638:1.36:3,289:44.93:1354224:1.45:27,300:45.13:929609:1.18:143,367:46.68:1218471:0.4:600,403:46.41:775660:0.5:125,294:45.22:466953:0.65:18,284:46.02:705222:0.17:14,[284:46.51:683008:0.04:18
IRBT_112219P46,7:49.32:924324:0.65:7,13:49.24:771657:0.7:14,26:47.68:1372582:0.7:0,26:44.91:2058638:1.2:3,28:44.93:1354224:1.95:2,30:45.13:929609:1.75:24,53:46.68:1218471:0.85:186,113:46.41:775660:0.6:67,159:45.22:466953:1.0:3,162:46.02:705222:0.56:25,[174:46.51:683008:0.05:54
IRBT_112219P46.5,52:49.32:924324:1.16:0,52:49.24:771657:1.16:0,52:47.68:1372582:1.16:0,52:44.91:2058638:1.4:1,53:44.93:1354224:1.4:0,53:45.13:929609:2.05:5,58:46.68:1218471:0.85:59,106:46.41:775660:0.88:66,117:45.22:466953:0.76:23,127:46.02:705222:0.99:7,[121:46.51:683008:0.6:51
IRBT_112219P47,12:49.32:924324:0.85:74,83:49.24:771657:0.8:6,89:47.68:1372582:1.27:32,93:44.91:2058638:2.0:19,92:44.93:1354224:2.0:0,92:45.13:929609:2.45:11,97:46.68:1218471:1.4:1,97:46.41:775660:1.64:5,97:45.22:466953:1.1:11,105:46.02:705222:1.4:2,[104:46.51:683008:0.45:23
IRBT_112219P48,43:49.32:924324:1.2:4,44:49.24:771657:1.3:61,76:47.68:1372582:1.58:1,76:44.91:2058638:1.28:2,78:44.93:1354224:3.86:1,79:45.13:929609:3.04:36,U:46.68:1218471::,114:46.41:775660:2.41:4,115:45.22:466953:2.95:2,113:46.02:705222:1.85:2,[112:46.51:683008:1.93:31
IRBT_112219P48.5,53:49.32:924324:1.4:11,63:49.24:771657:1.5:36,94:47.68:1372582:1.45:10,96:44.91:2058638:3.6:1,96:44.93:1354224:3.6:0,96:45.13:929609:3.28:2,U:46.68:1218471::,96:46.41:775660:2.46:15,111:45.22:466953:2.46:0,111:46.02:705222:2.4:12,[100:46.51:683008:2.2:53
IRBT_112219P49,8:49.32:924324:1.55:3,11:49.24:771657:1.55:0,11:47.68:1372582:1.55:0,11:44.91:2058638:2.6:1,12:44.93:1354224:2.6:0,12:45.13:929609:4.27:7,19:46.68:1218471:3.6:3,18:46.41:775660:3.2:1,17:45.22:466953:2.77:1,16:46.02:705222:3.18:6,[12:46.51:683008:2.95:8
