Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ITRI_122019C40,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,0:75.43:212417:0.0:0,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:79.25:360873:0.0:0,[0:79.66:284881:0.0:0
ITRI_122019C45,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,0:75.43:212417:0.0:0,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:79.25:360873:0.0:0,[0:79.66:284881:0.0:0
ITRI_122019C50,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,0:75.43:212417:0.0:0,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:79.25:360873:0.0:0,[0:79.66:284881:0.0:0
ITRI_122019C55,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,0:75.43:212417:0.0:0,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:79.25:360873:0.0:0,[0:79.66:284881:0.0:0
ITRI_122019C60,1:77.4,1:80.3,1:79.94,1:78.98:225590:17.9:0,1:78.57:172651:17.9:0,1:78.43:369055:17.9:0,1:77.0:292192:17.9:0,1:76.7:296587:17.9:0,1:76.16:179632:17.9:0,1:75.42:295599:17.9:0,1:75.43:212417:17.9:0,1:76.67:178379:17.9:0,1:78.2:196197:17.9:0,1:79.25:360873:17.9:0,[1:79.66:284881:17.9:0
ITRI_122019C65,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,0:75.43:212417:0.0:0,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:79.25:360873:0.0:0,[0:79.66:284881:0.0:0
ITRI_122019C70,0:77.4,2:80.3,2:79.94,2:78.98:225590:9.26:0,2:78.57:172651:9.1:1,3:78.43:369055:9.1:0,3:77.0:292192:7.61:2,1:76.7:296587:7.61:0,1:76.16:179632:7.61:0,1:75.42:295599:7.61:0,1:75.43:212417:7.61:0,1:76.67:178379:7.61:0,1:78.2:196197:7.61:0,1:79.25:360873:7.61:0,[1:79.66:284881:7.61:0
ITRI_122019C75,11:77.4,14:80.3,13:79.94,13:78.98:225590:4.93:0,13:78.57:172651:5.05:2,13:78.43:369055:5.05:0,13:77.0:292192:3.71:10,11:76.7:296587:3.71:0,11:76.16:179632:3.6:1,12:75.42:295599:3.6:0,12:75.43:212417:2.35:2,14:76.67:178379:3.55:2,14:78.2:196197:3.55:0,14:79.25:360873:3.55:0,[14:79.66:284881:5.5:3
ITRI_122019C80,14:77.4,16:80.3,27:79.94,27:78.98:225590:2.1:3,30:78.57:172651:2.15:3,31:78.43:369055:1.8:68,99:77.0:292192:1.8:0,99:76.7:296587:1.8:0,99:76.16:179632:1.0:74,166:75.42:295599:0.75:2,168:75.43:212417:0.75:0,168:76.67:178379:1.05:6,173:78.2:196197:1.6:8,171:79.25:360873:1.6:0,[171:79.66:284881:1.85:103
ITRI_122019C85,60:77.4,69:80.3,63:79.94,66:78.98:225590:1.05:0,66:78.57:172651:0.7:5,65:78.43:369055:0.7:0,65:77.0:292192:0.7:0,65:76.7:296587:0.7:0,65:76.16:179632:0.7:0,65:75.42:295599:0.7:0,65:75.43:212417:0.7:0,65:76.67:178379:0.7:0,65:78.2:196197:0.7:0,65:79.25:360873:0.5:2,[65:79.66:284881:0.5:0
ITRI_122019C90,5:77.4,5:80.3,5:79.94,5:78.98:225590:0.6:0,5:78.57:172651:0.6:0,5:78.43:369055:0.6:0,5:77.0:292192:0.6:0,5:76.7:296587:0.6:0,5:76.16:179632:0.6:0,5:75.42:295599:0.6:0,5:75.43:212417:0.6:0,5:76.67:178379:0.6:0,5:78.2:196197:0.6:0,5:79.25:360873:0.6:0,[5:79.66:284881:0.6:0
ITRI_122019C95,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,0:75.43:212417:0.0:0,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:79.25:360873:0.0:0,[0:79.66:284881:0.0:0
ITRI_122019C100,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,0:75.43:212417:0.0:0,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:79.25:360873:0.0:0,[0:79.66:284881:0.0:0
ITRI_122019C105,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,0:75.43:212417:0.0:0,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:79.25:360873:0.0:0,[0:79.66:284881:0.0:0
ITRI_122019C110,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,0:75.43:212417:0.0:0,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:79.25:360873:0.0:0,[0:79.66:284881:0.0:0
ITRI_011720C100,U,U,U,U,U,U,U,U,U,U,0:75.43:212417:0.0:0,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:79.25:360873:0.0:0,[0:79.66:284881:0.0:0
ITRI_011720C105,U,U,U,U,U,U,U,U,U,U,0:75.43:212417:0.0:0,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:79.25:360873:0.0:0,[0:79.66:284881:0.0:0
ITRI_011720C110,U,U,U,U,U,U,U,U,U,U,0:75.43:212417:0.0:0,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:79.25:360873:0.0:0,[0:79.66:284881:0.0:0
