Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ITRI_122019P40,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,U:75.43:212417:0.0:0:75.43:212417:.:,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:0:0:0.0:0,[0:79.66:284881:0.0:0
ITRI_122019P45,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,U:75.43:212417::,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:0.0:0
ITRI_122019P50,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,U:75.43:212417::,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:0.0:0
ITRI_122019P55,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,U:75.43:212417::,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:0:0:0.0:0,[0:79.66:284881:0.0:0
ITRI_122019P60,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,U:75.43:212417::,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:0.0:0
ITRI_122019P65,0:77.4,1:80.3,1:79.94,1:78.98:225590:0.7:0,1:78.57:172651:0.7:0,1:78.43:369055:0.7:0,1:77.0:292192:0.7:0,1:76.7:296587:0.7:0,1:76.16:179632:0.7:0,1:75.42:295599:0.7:0,U:75.43:212417::,1:76.67:178379:0.7:0,1:78.2:196197:0.7:0,U:79.25:360873:0.0:0:0:0:.:U,[1:79.66:284881:0.7:0
ITRI_122019P70,120:77.4,169:80.3,169:79.94,169:78.98:225590:1.4:0,169:78.57:172651:0.5:4,172:78.43:369055:0.5:0,172:77.0:292192:0.55:4,174:76.7:296587:0.55:0,174:76.16:179632:0.55:0,174:75.42:295599:0.7:29,U:75.43:212417::,182:76.67:178379:0.75:0,182:78.2:196197:0.75:0,U:0:0:U:U,[184:79.66:284881:0.3:0
ITRI_122019P75,125:77.4,137:80.3,137:79.94,137:78.98:225590:1.5:10,147:78.57:172651:1.45:2,146:78.43:369055:1.4:64,162:77.0:292192:1.4:0,162:76.7:296587:1.4:0,162:76.16:179632:1.8:94,162:75.42:295599:1.9:1,U:75.43:212417::,162:76.67:178379:1.9:0,162:78.2:196197:1.05:4,U:0:0:U:U,[165:79.66:284881:0.8:100
ITRI_122019P80,2:77.4,4:80.3,12:79.94,12:78.98:225590:2.0:0,12:78.57:172651:2.0:0,12:78.43:369055:2.0:0,12:77.0:292192:4.12:7,14:76.7:296587:4.62:2,12:76.16:179632:4.62:0,12:75.42:295599:4.62:0,U:75.43:212417::,12:76.67:178379:4.62:0,12:78.2:196197:4.62:0,12:0:0:2.87:4,[12:79.66:284881:2.87:0
ITRI_122019P85,0:77.4,2:80.3,2:79.94,2:78.98:225590:8.51:0,2:78.57:172651:8.51:0,2:78.43:369055:8.51:0,2:77.0:292192:8.51:0,2:76.7:296587:8.79:2,0:76.16:179632:8.79:0,0:75.42:295599:8.79:0,U:75.43:212417::,0:76.67:178379:8.79:0,0:78.2:196197:8.79:0,U:0:0:U:U,[0:79.66:284881:8.79:0
ITRI_122019P90,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,U:75.43:212417::,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:0:0:0.0:0,[0:79.66:284881:0.0:0
ITRI_122019P95,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,U:75.43:212417::,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:0.0:0
ITRI_122019P100,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,U:75.43:212417::,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:0.0:0
ITRI_122019P105,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,U:75.43:212417::,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:0.0:0
ITRI_122019P110,0:77.4,0:80.3,0:79.94,0:78.98:225590:0.0:0,0:78.57:172651:0.0:0,0:78.43:369055:0.0:0,0:77.0:292192:0.0:0,0:76.7:296587:0.0:0,0:76.16:179632:0.0:0,0:75.42:295599:0.0:0,U:75.43:212417::,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:0.0:0
ITRI_011720P60,U,U,U,U,U,U,U,U,U,U,U,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:0.0:0
ITRI_011720P115,U,U,U,U,U,U,U,U,U,U,U,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:0.0:0
ITRI_011720P40,U,U,U,U,U,U,U,U,U,U,U,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:0.0:0
ITRI_011720P80,U,U,U,U,U,U,U,U,U,U,U,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:0.0:0
ITRI_011720P75,U,U,U,U,U,U,U,U,U,U,U,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:1.76:3
ITRI_011720P85,U,U,U,U,U,U,U,U,U,U,U,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:0.0:0
ITRI_011720P100,U,U,U,U,U,U,U,U,U,U,U,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:0.0:0
ITRI_011720P65,U,U,U,U,U,U,U,U,U,U,U,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:0.0:0
ITRI_011720P110,U,U,U,U,U,U,U,U,U,U,U,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:0:0:0.0:0,[0:79.66:284881:0.0:0
ITRI_011720P55,U,U,U,U,U,U,U,U,U,U,U,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:0.0:0
ITRI_011720P70,U,U,U,U,U,U,U,U,U,U,U,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,0:0:0:0.0:0,[0:79.66:284881:0.76:3
ITRI_011720P95,U,U,U,U,U,U,U,U,U,U,U,0:76.67:178379:0.0:0,0:78.2:196197:0.0:0,U:0:0:U:U,[0:79.66:284881:0.0:0
