Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
JBL_112219C33.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,U:38.94:770105:U:U,0:38.76:1014804:0.0:0,0:38.64:777620:0.0:0
JBL_112219C34,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,U:38.94:770105:U:U,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112219C34.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112219C35,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112219C35.5,75:38.45,47:38.93,47:39.12,47:39.18:1975398:2.85:0,47:39.26:834553:2.85:0,47:39.59:870370:2.85:0,47:39.1:1020665:2.85:0,47:39.34:929455:2.85:0,0:38.69:1013846:2.85:0,0:39.02:1174741:2.85:0,0:75.43:212417:2.85:0,0:38.73:1214584:2.85:0,0:38.94:770105:2.85:0,0:38.76:1014804:2.85:0,[0:38.64:777620:2.85:0
JBL_112219C36,3:38.45,3:38.93,3:39.12,3:39.18:1975398:2.65:0,3:39.26:834553:2.65:0,3:39.59:870370:2.65:0,3:39.1:1020665:2.65:0,3:39.34:929455:2.65:0,1:38.69:1013846:2.65:0,1:39.02:1174741:2.65:0,U:75.43:212417::,1:38.73:1214584:2.65:0,1:38.94:770105:2.65:0,1:38.76:1014804:2.65:0,[1:38.64:777620:2.65:0
JBL_112219C36.5,37:38.45,37:38.93,37:39.12,37:39.18:1975398:2.3:0,37:39.26:834553:2.3:0,37:39.59:870370:2.3:0,37:39.1:1020665:2.3:0,37:39.34:929455:2.3:0,0:38.69:1013846:2.3:0,0:39.02:1174741:2.3:0,0:75.43:212417:2.3:0,0:38.73:1214584:2.3:0,0:38.94:770105:2.3:0,0:38.76:1014804:2.3:0,[0:38.64:777620:2.3:0
JBL_112219C37,57:38.45,57:38.93,58:39.12,58:39.18:1975398:2.2:0,58:39.26:834553:2.2:0,58:39.59:870370:2.51:1,59:39.1:1020665:2.51:0,59:39.34:929455:2.51:0,58:38.69:1013846:2.51:0,58:39.02:1174741:2.51:0,58:75.43:212417:2.51:0,58:38.73:1214584:2.51:0,58:38.94:770105:2.17:2,56:38.76:1014804:2.17:0,[56:38.64:777620:2.17:0
JBL_112219C37.5,3:38.45,3:38.93,3:39.12,3:39.18:1975398:1.93:1,3:39.26:834553:1.93:0,3:39.59:870370:1.93:0,3:39.1:1020665:1.93:0,3:39.34:929455:1.93:0,3:38.69:1013846:1.93:0,3:39.02:1174741:1.93:0,U:75.43:212417::,3:38.73:1214584:1.93:0,3:38.94:770105:1.93:0,3:38.76:1014804:1.3:2,[3:38.64:777620:1.17:1
JBL_112219C38,11:38.45,11:38.93,11:39.12,11:39.18:1975398:1.15:0,11:39.26:834553:1.15:0,11:39.59:870370:1.15:0,11:39.1:1020665:1.15:0,11:39.34:929455:1.15:0,11:38.69:1013846:1.07:4,7:39.02:1174741:1.07:0,U:75.43:212417::,7:38.73:1214584:0.67:4,3:38.94:770105:0.67:0,3:38.76:1014804:0.67:0,[3:38.64:777620:0.67:0
JBL_112219C38.5,36:38.45,43:38.93,43:39.12,43:39.18:1975398:1.23:1,43:39.26:834553:1.23:0,43:39.59:870370:1.23:0,43:39.1:1020665:1.23:0,43:39.34:929455:1.23:0,43:38.69:1013846:0.72:14,47:39.02:1174741:0.75:4,45:75.43:212417:0.75:0,45:38.73:1214584:0.45:22,53:38.94:770105:0.45:0,53:38.76:1014804:0.4:10,[53:38.64:777620:0.2:1
