Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
JBL_112219P33.5,2:38.45,2:38.93,2:39.12,2:39.18:1975398:0.05:0,2:39.26:834553:0.05:0,2:39.59:870370:0.05:0,2:39.1:1020665:0.05:0,2:39.34:929455:0.05:0,2:38.69:1013846:0.05:0,2:39.02:1174741:0.05:0,2:75.43:212417:0.05:0,:38.73:1214584:U:U,2:38.94:770105:0.05:0,2:38.76:1014804:0.05:0,2:38.64:777620:0.05:0
JBL_112219P34,15:38.45,15:38.93,15:39.12,15:39.18:1975398:0.13:0,15:39.26:834553:0.13:0,15:39.59:870370:0.13:0,15:39.1:1020665:0.13:0,15:39.34:929455:0.13:0,15:38.69:1013846:0.13:0,15:39.02:1174741:0.13:0,15:75.43:212417:0.13:0,15:38.73:1214584:0.13:0,15:38.94:770105:0.13:0,15:38.76:1014804:0.13:0,[15:38.64:777620:0.13:0
JBL_112219P34.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112219P35,49:38.45,49:38.93,49:39.12,49:39.18:1975398:0.26:0,49:39.26:834553:0.26:0,49:39.59:870370:0.26:0,49:39.1:1020665:0.26:0,49:39.34:929455:0.26:0,49:38.69:1013846:0.26:0,49:39.02:1174741:0.26:0,49:75.43:212417:0.26:0,49:38.73:1214584:0.26:0,49:38.94:770105:0.26:0,49:38.76:1014804:0.26:0,[49:38.64:777620:0.26:0
JBL_112219P35.5,1:38.45,1:38.93,1:39.12,1:39.18:1975398:0.45:0,1:39.26:834553:0.45:0,1:39.59:870370:0.45:0,1:39.1:1020665:0.45:0,1:39.34:929455:0.45:0,1:38.69:1013846:0.45:0,1:39.02:1174741:0.45:0,1:75.43:212417:0.45:0,1:38.73:1214584:0.45:0,1:38.94:770105:0.45:0,1:38.76:1014804:0.45:0,[1:38.64:777620:0.45:0
JBL_112219P36,3:38.45,3:38.93,3:39.12,3:39.18:1975398:0.55:0,3:39.26:834553:0.55:0,3:39.59:870370:0.55:0,3:39.1:1020665:0.55:0,3:39.34:929455:0.55:0,3:38.69:1013846:0.55:0,3:39.02:1174741:0.55:0,3:75.43:212417:0.55:0,3:38.73:1214584:0.55:0,3:38.94:770105:0.55:0,3:38.76:1014804:0.55:0,[3:38.64:777620:0.55:0
JBL_112219P36.5,3:38.45,3:38.93,3:39.12,3:39.18:1975398:1.41:0,3:39.26:834553:1.41:0,3:39.59:870370:1.41:0,3:39.1:1020665:1.41:0,3:39.34:929455:1.41:0,3:38.69:1013846:1.41:0,3:39.02:1174741:1.41:0,3:75.43:212417:1.41:0,3:38.73:1214584:1.41:0,3:38.94:770105:1.41:0,3:38.76:1014804:1.41:0,[3:38.64:777620:1.41:0
JBL_112219P37,3:38.45,3:38.93,4:39.12,4:39.18:1975398:0.22:1,4:39.26:834553:0.22:0,4:39.59:870370:0.22:0,4:39.1:1020665:0.22:0,4:39.34:929455:0.22:0,4:38.69:1013846:0.22:0,4:39.02:1174741:0.22:0,4:75.43:212417:0.22:0,4:38.73:1214584:0.22:0,U:38.94:770105:U:U,4:38.76:1014804:0.22:0,[4:38.64:777620:0.22:0
JBL_112219P37.5,0:38.45,1:38.93,2:39.12,2:39.18:1975398:0.33:0,2:39.26:834553:0.33:0,2:39.59:870370:0.33:0,2:39.1:1020665:0.33:0,2:39.34:929455:0.33:0,2:38.69:1013846:0.33:0,2:39.02:1174741:0.33:0,2:75.43:212417:0.13:3,5:38.73:1214584:0.13:0,5:38.94:770105:0.13:0,5:38.76:1014804:0.13:0,[5:38.64:777620:0.13:0
JBL_112219P38,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.15:2,2:75.43:212417:0.21:1,3:38.73:1214584:0.15:2,5:38.94:770105:0.15:0,5:38.76:1014804:0.04:1,[5:38.64:777620:0.05:2
JBL_112219P38.5,0:38.45,0:38.93,1:39.12,5:39.18:1975398:0.57:10,15:39.26:834553:0.57:0,15:39.59:870370:0.57:0,15:39.1:1020665:0.35:20,35:39.34:929455:0.3:8,43:38.69:1013846:0.3:0,43:39.02:1174741:0.3:0,43:75.43:212417:0.4:10,53:38.73:1214584:0.25:7,60:38.94:770105:0.2:1,61:38.76:1014804:0.12:10,[57:38.64:777620:0.05:1
JBL_112219P39,0:38.45,15:38.93,15:39.12,15:39.18:1975398:0.75:1,15:39.26:834553:0.85:5,20:39.59:870370:0.85:0,20:39.1:1020665:0.54:23,41:39.34:929455:0.54:0,41:38.69:1013846:0.8:20,41:39.02:1174741:0.7:10,48:75.43:212417:0.7:0,48:38.73:1214584:0.62:35,34:38.94:770105:0.3:30,57:38.76:1014804:0.3:0,[57:38.64:777620:0.45:18
JBL_112219P39.5,0:38.45,0:38.93,0:39.12,10:39.18:1975398:1.15:0,10:39.26:834553:1.15:0,10:39.59:870370:1.15:0,10:39.1:1020665:1.15:0,10:39.34:929455:1.15:0,10:38.69:1013846:1.15:0,10:39.02:1174741:1.15:0,10:75.43:212417:1.15:0,10:38.73:1214584:1.15:0,U:38.94:770105:U:U,10:38.76:1014804:1.15:0,[10:38.64:777620:1.15:0
JBL_112219P40,0:38.45,0:38.93,0:39.12,0:39.18:1975398:1.32:1,1:39.26:834553:1.32:0,1:39.59:870370:1.32:0,1:39.1:1020665:1.05:20,1:39.34:929455:1.05:0,1:38.69:1013846:1.41:1,1:39.02:1174741:1.41:0,1:75.43:212417:1.41:0,1:38.73:1214584:1.41:0,1:38.94:770105:1.41:0,1:38.76:1014804:1.41:0,[0:38.64:777620:1.41:0
