Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
KEYS_122019C70,0:104.3,0:104.12,0:103.38,0:103.72:673277:0.0:0,0:105.25:737008:0.0:0,0:105.62:820350:0.0:0,0:107.06:987720:0.0:0,0:106.65:991157:0.0:0,0:106.83:743776:0.0:0,0:109.08:1215346:0.0:0,0:107.37:1546481:0.0:0,0:108.13:769554:0.0:0,0:107.21:550606:0.0:0,0:105.75:1096732:0.0:0,[0:103.66:1857092:0.0:0
KEYS_122019C75,0:104.3,0:104.12,0:103.38,0:103.72:673277:0.0:0,0:105.25:737008:0.0:0,0:105.62:820350:0.0:0,0:107.06:987720:0.0:0,0:106.65:991157:0.0:0,0:106.83:743776:0.0:0,0:109.08:1215346:33.21:1,1:107.37:1546481:33.21:0,1:108.13:769554:33.21:0,1:107.21:550606:33.21:0,1:105.75:1096732:33.21:0,[1:103.66:1857092:33.21:0
KEYS_122019C80,1:104.3,1:104.12,1:103.38,1:103.72:673277:21.73:0,1:105.25:737008:21.73:0,1:105.62:820350:21.73:0,1:107.06:987720:21.73:0,1:106.65:991157:21.73:0,1:106.83:743776:21.73:0,1:109.08:1215346:21.73:0,1:107.37:1546481:21.73:0,1:108.13:769554:21.73:0,1:107.21:550606:21.73:0,1:105.75:1096732:21.73:0,[1:103.66:1857092:21.73:0
KEYS_122019C85,1:104.3,1:104.12,1:103.38,3:103.72:673277:20.2:2,3:105.25:737008:20.2:0,3:105.62:820350:20.2:0,3:107.06:987720:20.2:0,3:106.65:991157:20.2:0,3:106.83:743776:20.2:0,3:109.08:1215346:20.2:0,3:107.37:1546481:20.2:0,3:108.13:769554:20.2:0,3:107.21:550606:20.2:0,3:105.75:1096732:20.2:0,[3:103.66:1857092:20.2:0
KEYS_122019C90,1:104.3,1:104.12,1:103.38,1:103.72:673277:15.7:1,1:105.25:737008:15.7:0,1:105.62:820350:15.7:0,1:107.06:987720:15.7:0,1:106.65:991157:15.7:0,1:106.83:743776:15.7:0,1:109.08:1215346:15.7:0,1:107.37:1546481:15.7:0,1:108.13:769554:15.7:0,1:107.21:550606:15.7:0,1:105.75:1096732:15.7:0,[1:103.66:1857092:15.7:0
KEYS_122019C92.5,11:104.3,11:104.12,11:103.38,11:103.72:673277:13.6:0,11:105.25:737008:13.6:0,11:105.62:820350:13.6:0,11:107.06:987720:14.75:1,10:106.65:991157:14.75:0,10:106.83:743776:14.75:0,10:109.08:1215346:14.75:0,10:107.37:1546481:14.75:0,10:108.13:769554:14.75:0,10:107.21:550606:14.75:0,10:105.75:1096732:14.75:0,[10:103.66:1857092:14.75:0
KEYS_122019C95,15:104.3,15:104.12,15:103.38,15:103.72:673277:11.95:0,15:105.25:737008:12.1:5,18:105.62:820350:12.35:5,21:107.06:987720:13.6:1,20:106.65:991157:13.6:0,20:106.83:743776:13.6:0,20:109.08:1215346:13.6:0,20:107.37:1546481:13.6:0,20:108.13:769554:13.6:0,20:107.21:550606:13.6:0,20:105.75:1096732:13.6:0,[20:103.66:1857092:10.49:2
KEYS_122019C97.5,2:104.3,2:104.12,2:103.38,2:103.72:673277:9.95:0,2:105.25:737008:9.95:0,2:105.62:820350:10.3:1,2:107.06:987720:10.3:0,2:106.65:991157:10.3:0,2:106.83:743776:10.3:0,2:109.08:1215346:12.75:1,3:107.37:1546481:12.75:0,3:108.13:769554:12.75:0,3:107.21:550606:12.75:0,3:105.75:1096732:12.75:0,[3:103.66:1857092:9.0:203
KEYS_122019C100,71:104.3,65:104.12,65:103.38,65:103.72:673277:7.34:2,63:105.25:737008:8.5:3,63:105.62:820350:8.5:7,68:107.06:987720:9.8:1019,1074:106.65:991157:9.12:10,1064:106.83:743776:9.22:1,1064:109.08:1215346:11.2:15,1061:107.37:1546481:10.06:20,1055:108.13:769554:10.3:1,1054:107.21:550606:9.75:2,1054:105.75:1096732:8.9:1,[1053:103.66:1857092:7.0:18
KEYS_122019C105,222:104.3,243:104.12,257:103.38,302:103.72:673277:4.6:25,303:105.25:737008:5.5:29,310:105.62:820350:5.64:102,358:107.06:987720:6.4:195,488:106.65:991157:6.02:25,505:106.83:743776:6.1:29,513:109.08:1215346:7.7:86,521:107.37:1546481:7.9:10,521:108.13:769554:6.93:42,531:107.21:550606:6.9:10,521:105.75:1096732:5.8:19,[529:103.66:1857092:4.6:91
