Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
KEYS_122019P70,20:104.3,27:104.12,27:103.38,27:103.72:673277:0.05:0,27:105.25:737008:0.05:0,27:105.62:820350:0.05:0,27:107.06:987720:0.05:0,27:106.65:991157:0.05:0,27:106.83:743776:0.05:0,27:109.08:1215346:0.05:0,27:107.37:1546481:0.1:1,28:108.13:769554:0.1:0,28:107.21:550606:0.1:0,28:105.75:1096732:0.1:0,[28:103.66:1857092:0.1:0
KEYS_122019P75,2:104.3,2:104.12,2:103.38,2:103.72:673277:0.3:0,2:105.25:737008:0.3:0,2:105.62:820350:0.3:0,2:107.06:987720:0.3:0,2:106.65:991157:0.3:0,2:106.83:743776:0.3:0,2:109.08:1215346:0.3:0,2:107.37:1546481:0.15:11,12:108.13:769554:0.15:0,12:107.21:550606:0.15:0,12:105.75:1096732:0.15:0,[12:103.66:1857092:0.15:0
KEYS_122019P80,10:104.3,10:104.12,10:103.38,10:103.72:673277:0.55:0,10:105.25:737008:0.55:0,10:105.62:820350:0.55:0,10:107.06:987720:0.55:0,10:106.65:991157:0.18:320,270:106.83:743776:0.18:0,270:109.08:1215346:0.1:20,290:107.37:1546481:0.18:4,294:108.13:769554:0.05:20,314:107.21:550606:0.05:0,314:105.75:1096732:0.15:2,[316:103.66:1857092:0.15:0
KEYS_122019P85,1037:104.3,1037:104.12,1037:103.38,1037:103.72:673277:1.02:0,1037:105.25:737008:0.45:4,1036:105.62:820350:0.35:2,1036:107.06:987720:0.35:2,1038:106.65:991157:0.35:0,1038:106.83:743776:0.4:1,1039:109.08:1215346:0.32:100,1123:107.37:1546481:0.24:200,1323:108.13:769554:0.2:20,1343:107.21:550606:0.2:0,1363:105.75:1096732:0.25:0,[1363:103.66:1857092:0.4:20
KEYS_122019P90,48:104.3,48:104.12,47:103.38,47:103.72:673277:1.05:0,47:105.25:737008:0.88:2,46:105.62:820350:0.78:2,46:107.06:987720:0.6:10,54:106.65:991157:0.72:1,55:106.83:743776:0.72:0,55:109.08:1215346:0.62:3,52:107.37:1546481:0.5:10,52:108.13:769554:0.5:0,52:107.21:550606:0.5:0,52:105.75:1096732:0.7:0,[52:103.66:1857092:0.85:31
KEYS_122019P92.5,154:104.3,214:104.12,239:103.38,258:103.72:673277:1.31:8,266:105.25:737008:1.24:5,270:105.62:820350:1.0:20,266:107.06:987720:0.9:4,262:106.65:991157:1.1:3,259:106.83:743776:0.96:3,259:109.08:1215346:0.82:20,241:107.37:1546481:0.8:16,250:108.13:769554:0.82:5,245:107.21:550606:0.96:51,295:105.75:1096732:1.1:28,[267:103.66:1857092:1.17:2
KEYS_122019P95,40:104.3,52:104.12,62:103.38,63:103.72:673277:2.3:0,63:105.25:737008:1.7:3,63:105.62:820350:1.43:34,90:107.06:987720:1.23:8,96:106.65:991157:1.4:2,96:106.83:743776:1.34:61,151:109.08:1215346:1.07:125,213:107.37:1546481:1.12:34,214:108.13:769554:1.19:477,521:107.21:550606:1.13:7,519:105.75:1096732:1.5:15,[517:103.66:1857092:1.8:111
KEYS_122019P97.5,49:104.3,54:104.12,57:103.38,60:103.72:673277:2.47:1,60:105.25:737008:2.22:6,64:105.62:820350:1.95:53,117:107.06:987720:1.72:54,152:106.65:991157:1.95:19,171:106.83:743776:1.9:22,191:109.08:1215346:1.45:52,206:107.37:1546481:1.67:18,214:108.13:769554:1.5:8,211:107.21:550606:1.75:53,263:105.75:1096732:1.75:0,[263:103.66:1857092:2.5:27
KEYS_122019P100,130:104.3,233:104.12,266:103.38,326:103.72:673277:3.23:10,335:105.25:737008:3.02:49,383:105.62:820350:2.75:91,453:107.06:987720:2.39:134,521:106.65:991157:2.6:63,571:106.83:743776:2.6:26,597:109.08:1215346:2.06:38,599:107.37:1546481:2.11:94,667:108.13:769554:2.0:11,668:107.21:550606:2.4:24,668:105.75:1096732:2.8:61,[634:103.66:1857092:3.28:34
KEYS_122019P105,53:104.3,53:104.12,49:103.38,59:103.72:673277:5.7:0,59:105.25:737008:5.12:3,62:105.62:820350:4.61:14,76:107.06:987720:4.1:8,83:106.65:991157:4.56:5,83:106.83:743776:4.45:50,118:109.08:1215346:3.57:63,169:107.37:1546481:4.0:280,411:108.13:769554:3.7:25,424:107.21:550606:4.2:8,427:105.75:1096732:4.8:8,[433:103.66:1857092:5.4:35
KEYS_122019P110,1:104.3,1:104.12,1:103.38,1:103.72:673277:9.9:0,1:105.25:737008:9.9:0,1:105.62:820350:7.4:2,2:107.06:987720:7.4:0,2:106.65:991157:7.4:0,2:106.83:743776:7.0:1,2:109.08:1215346:5.8:8,10:107.37:1546481:6.0:22,20:108.13:769554:6.1:15,34:107.21:550606:6.27:19,50:105.75:1096732:7.5:6,[50:103.66:1857092:8.25:10
KEYS_122019P115,0:104.3,0:104.12,0:103.38,0:103.72:673277:0.0:0,0:105.25:737008:0.0:0,0:105.62:820350:0.0:0,0:107.06:987720:0.0:0,0:106.65:991157:0.0:0,0:106.83:743776:0.0:0,0:109.08:1215346:0.0:0,0:107.37:1546481:0.0:0,0:108.13:769554:0.0:0,0:107.21:550606:0.0:0,0:105.75:1096732:0.0:0,[0:103.66:1857092:0.0:0
KEYS_122019P120,0:104.3,0:104.12,0:103.38,0:103.72:673277:0.0:0,0:105.25:737008:0.0:0,0:105.62:820350:0.0:0,0:107.06:987720:0.0:0,0:106.65:991157:0.0:0,0:106.83:743776:0.0:0,0:109.08:1215346:0.0:0,0:107.37:1546481:0.0:0,0:108.13:769554:0.0:0,0:107.21:550606:0.0:0,0:105.75:1096732:0.0:0,[0:103.66:1857092:0.0:0
KEYS_122019P125,0:104.3,0:104.12,0:103.38,0:103.72:673277:0.0:0,0:105.25:737008:0.0:0,0:105.62:820350:0.0:0,0:107.06:987720:0.0:0,0:106.65:991157:0.0:0,0:106.83:743776:0.0:0,0:109.08:1215346:0.0:0,0:107.37:1546481:0.0:0,0:108.13:769554:0.0:0,0:107.21:550606:0.0:0,0:105.75:1096732:0.0:0,[0:103.66:1857092:0.0:0
KEYS_122019P130,0:104.3,0:104.12,0:103.38,0:103.72:673277:0.0:0,0:105.25:737008:0.0:0,0:105.62:820350:0.0:0,0:107.06:987720:0.0:0,0:106.65:991157:0.0:0,0:106.83:743776:0.0:0,0:109.08:1215346:0.0:0,0:107.37:1546481:0.0:0,0:108.13:769554:0.0:0,0:107.21:550606:0.0:0,0:105.75:1096732:0.0:0,[0:103.66:1857092:0.0:0
KEYS_011720P100,U,U,U,U,U,U,U,U,170:106.83:743776:3.1:0,170:109.08:1215346:2.72:6,170:107.37:1546481:2.72:0,170:108.13:769554:2.72:0,170:107.21:550606:2.82:5,170:105.75:1096732:3.5:1,[170:103.66:1857092:4.07:5
KEYS_011720P105,U,U,U,U,U,U,U,U,53:106.83:743776:5.2:2,54:109.08:1215346:4.2:4,56:107.37:1546481:4.1:3,54:108.13:769554:4.58:4,58:107.21:550606:4.58:0,58:105.75:1096732:5.45:30,[61:103.66:1857092:6.23:75
KEYS_011720P110,U,U,U,U,U,U,U,U,7:106.83:743776:8.02:0,7:109.08:1215346:8.02:0,7:107.37:1546481:6.7:2,9:108.13:769554:6.66:13,18:107.21:550606:6.66:0,18:105.75:1096732:6.66:0,[18:103.66:1857092:6.66:0
KEYS_011720P115,U,U,U,U,U,U,U,U,0:106.83:743776:0.0:0,0:109.08:1215346:0.0:0,0:107.37:1546481:0.0:0,0:108.13:769554:9.68:1,1:107.21:550606:9.68:0,1:105.75:1096732:9.68:0,[1:103.66:1857092:12.64:1
KEYS_011720P120,U,U,U,U,U,U,U,U,6:106.83:743776:26.5:0,6:109.08:1215346:26.5:0,6:107.37:1546481:26.5:0,6:108.13:769554:26.5:0,6:107.21:550606:26.5:0,6:105.75:1096732:26.5:0,[6:103.66:1857092:26.5:0
KEYS_011720P125,U,U,U,U,U,U,U,U,0:106.83:743776:0.0:0,0:109.08:1215346:0.0:0,0:107.37:1546481:0.0:0,0:108.13:769554:0.0:0,0:107.21:550606:0.0:0,0:105.75:1096732:0.0:0,[0:103.66:1857092:0.0:0
KEYS_011720P130,U,U,U,U,U,U,U,U,0:106.83:743776:0.0:0,0:109.08:1215346:0.0:0,0:107.37:1546481:0.0:0,0:108.13:769554:0.0:0,0:107.21:550606:0.0:0,0:105.75:1096732:0.0:0,[0:103.66:1857092:0.0:0
KEYS_011720P135,U,U,U,U,U,U,U,U,0:106.83:743776:0.0:0,0:109.08:1215346:0.0:0,0:107.37:1546481:0.0:0,0:108.13:769554:0.0:0,0:107.21:550606:0.0:0,0:105.75:1096732:0.0:0,[0:103.66:1857092:0.0:0
KEYS_011720P80,U,U,U,U,U,U,U,U,421:106.83:743776:0.4:0,421:109.08:1215346:0.4:0,421:107.37:1546481:0.3:1,421:108.13:769554:0.3:0,421:107.21:550606:0.3:0,421:105.75:1096732:0.3:0,[421:103.66:1857092:0.41:3
KEYS_011720P82.5,U,U,U,U,U,U,U,U,74:106.83:743776:1.0:0,74:109.08:1215346:1.0:0,74:107.37:1546481:1.0:0,74:108.13:769554:1.0:0,74:107.21:550606:1.0:0,74:105.75:1096732:1.0:0,[74:103.66:1857092:1.0:0
KEYS_011720P85,U,U,U,U,U,U,U,U,814:106.83:743776:0.75:0,814:109.08:1215346:0.75:0,814:107.37:1546481:0.48:4,814:108.13:769554:0.48:0,814:107.21:550606:0.5:1,814:105.75:1096732:0.46:1,[813:103.66:1857092:0.73:217
KEYS_011720P87.5,U,U,U,U,U,U,U,U,83:106.83:743776:1.13:0,83:109.08:1215346:0.75:2,85:107.37:1546481:0.71:2,87:108.13:769554:0.71:0,87:107.21:550606:0.8:2,86:105.75:1096732:0.8:0,[86:103.66:1857092:1.09:901
KEYS_011720P90,U,U,U,U,U,U,U,U,100:106.83:743776:1.14:1,101:109.08:1215346:1.14:0,101:107.37:1546481:0.95:9,105:108.13:769554:0.95:0,105:107.21:550606:0.95:1,105:105.75:1096732:0.95:0,[105:103.66:1857092:1.37:1
KEYS_011720P92.5,U,U,U,U,U,U,U,U,227:106.83:743776:1.44:0,227:109.08:1215346:1.15:9,223:107.37:1546481:1.35:4,226:108.13:769554:1.35:0,226:107.21:550606:1.3:1,227:105.75:1096732:1.6:5,[232:103.66:1857092:1.6:0
KEYS_011720P95,U,U,U,U,U,U,U,U,70:106.83:743776:1.9:11,76:109.08:1215346:1.9:0,76:107.37:1546481:1.55:12,88:108.13:769554:1.55:0,88:107.21:550606:1.55:0,88:105.75:1096732:1.8:7,[93:103.66:1857092:2.48:4
