Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
KO_112219C45,3:53.57,3:53.41,3:53.94,3:54.43,3.0,3:53.14,3:52.42,3:52.8,3:52.29:11725522:9.78:0,3:52.21:7120001:9.78:0,3:51.84:7664328:9.78:0,3:51.71:12629898:9.78:0,3:52.41:12217125:9.78:0,3:52.63:8639237:9.78:0,3:52.67:8952126:9.78:0,3:177.0:1064583:9.78:0,3:53.08:12679531:9.78:0,3:53.25:6456671:9.78:0,3:52.96:7839684:9.78:0,3:53.03:9113148:9.78:0
KO_112219C46,0:53.57,0:53.41,0:53.94,0:54.43,0.0,0:53.14,0:52.42,0:52.8,0:52.29:11725522:0.0:0,0:52.21:7120001:0.0:0,0:51.84:7664328:0.0:0,0:51.71:12629898:0.0:0,0:52.41:12217125:0.0:0,0:52.63:8639237:0.0:0,0:52.67:8952126:0.0:0,0:177.0:1064583:0.0:0,0:53.08:12679531:0.0:0,0:53.25:6456671:0.0:0,0:52.96:7839684:0.0:0,0:53.03:9113148:0.0:0
KO_112219C47,0:53.57,0:53.41,0:53.94,0:54.43,0.0,15:53.14,15:52.42,15:52.8,15:52.29:11725522:7.05:0,15:52.21:7120001:7.05:0,15:51.84:7664328:7.05:0,15:51.71:12629898:7.05:0,15:52.41:12217125:7.05:0,15:52.63:8639237:7.05:0,15:52.67:8952126:7.05:0,15:177.0:1064583:7.05:0,15:53.08:12679531:7.05:0,15:53.25:6456671:7.05:0,15:52.96:7839684:7.05:0,15:53.03:9113148:7.05:0
KO_112219C48,0:53.57,0:53.41,0:53.94,0:54.43,0.0,0:53.14,0:52.42,0:52.8,0:52.29:11725522:0.0:0,0:52.21:7120001:4.3:155,167:51.84:7664328:4.3:0,167:51.71:12629898:4.3:0,167:52.41:12217125:4.3:0,167:52.63:8639237:4.3:0,167:52.67:8952126:4.3:0,167:177.0:1064583:5.0:3528,3154:53.08:12679531:4.95:2000,2223:53.25:6456671:5.3:7,2222:52.96:7839684:4.86:10,2217:53.03:9113148:4.86:0
KO_112219C49,1:53.57,10:53.41,10:53.94,10:54.43,10.0,10:53.14,83:52.42,83:52.8,83:52.29:11725522:4.2:0,83:52.21:7120001:4.2:0,83:51.84:7664328:4.2:0,83:51.71:12629898:4.2:0,83:52.41:12217125:4.2:0,83:52.63:8639237:4.2:0,83:52.67:8952126:3.61:20,83:177.0:1064583:3.61:0,83:53.08:12679531:3.61:0,83:53.25:6456671:3.61:0,83:52.96:7839684:3.61:0,[83:53.03:9113148:3.86:9
KO_112219C50,10:53.57,26:53.41,26:53.94,26:54.43,26.0,31:53.14,31:52.42,31:52.8,33:52.29:11725522:2.27:112,146:52.21:7120001:2.27:0,151:51.84:7664328:1.96:20,171:51.71:12629898:1.84:7,173:52.41:12217125:2.2:75,197:52.63:8639237:2.2:0,225:52.67:8952126:2.56:2,227:177.0:1064583:2.98:142,220:53.08:12679531:2.99:50,210:53.25:6456671:3.3:15,200:52.96:7839684:3.02:1,[199:53.03:9113148:3.02:0
KO_112219C51,6:53.57,38:53.41,38:53.94,41:54.43,41.0,41:53.14,44:52.42,104:52.8,117:52.29:11725522:1.54:355,291:52.21:7120001:1.37:19,302:51.84:7664328:1.09:2,302:51.71:12629898:0.94:23,320:52.41:12217125:1.42:22,314:52.63:8639237:1.58:2,312:52.67:8952126:1.61:166,417:177.0:1064583:2.15:41,411:53.08:12679531:2.15:0,411:53.25:6456671:2.14:1,410:52.96:7839684:2.06:24,[396:53.03:9113148:2.1:74
KO_112219C52,18:53.57,36:53.41,69:53.94,68:54.43,58.0,58:53.14,63:52.42,635:52.8,740:52.29:11725522:0.78:77,758:52.21:7120001:0.62:156,743:51.84:7664328:0.44:539,908:51.71:12629898:0.34:355,1150:52.41:12217125:0.69:619,960:52.63:8639237:0.84:172,948:52.67:8952126:0.8:195,929:177.0:1064583:1.1:111,876:53.08:12679531:1.1:5,874:53.25:6456671:1.27:39,897:52.96:7839684:0.98:35,[888:53.03:9113148:1.1:254
KO_112219C53,89:53.57,101:53.41,103:53.94,94:54.43,101.0,104:53.14,189:52.42,532:52.8,497:52.29:11725522:0.32:350,652:52.21:7120001:0.24:1186,1503:51.84:7664328:0.15:708,2091:51.71:12629898:0.11:310,2228:52.41:12217125:0.21:1399,2626:52.63:8639237:0.26:643,2868:52.67:8952126:0.2:476,2873:177.0:1064583:0.34:3187,2423:53.08:12679531:0.32:399,2408:53.25:6456671:0.42:647,2328:52.96:7839684:0.14:234,[2324:53.03:9113148:0.04:730
KO_112219C54,376:53.57,519:53.41,526:53.94,513:54.43,533.0,541:53.14,897:52.42,1279:52.8,1256:52.29:11725522:0.12:448,1612:52.21:7120001:0.09:54,1618:51.84:7664328:0.06:375,1895:51.71:12629898:0.03:72,1867:52.41:12217125:0.05:129,1823:52.63:8639237:0.07:131,1827:52.67:8952126:0.04:92,1878:177.0:1064583:0.05:1035,2121:53.08:12679531:0.04:560,2366:53.25:6456671:0.04:865,2712:52.96:7839684:0.01:508,[2339:53.03:9113148:0.01:111
KO_112219C55,500:53.57,518:53.41,514:53.94,536:54.43,539.0,596:53.14,635:52.42,614:52.8,610:52.29:11725522:0.06:86,608:52.21:7120001:0.05:59,604:51.84:7664328:0.04:11,597:51.71:12629898:0.02:13,597:52.41:12217125:0.02:45,590:52.63:8639237:0.03:14,581:52.67:8952126:0.01:49,571:177.0:1064583:0.02:94,575:53.08:12679531:0.01:33,544:53.25:6456671:0.01:0,543:52.96:7839684:0.01:1,[543:53.03:9113148:0.01:11
KO_112219C56,1163:53.57,1531:53.41,1576:53.94,1593:54.43,1597.0,1594:53.14,1740:52.42,1754:52.8,1753:52.29:11725522:0.03:55,1779:52.21:7120001:0.03:17,1796:51.84:7664328:0.02:26,1812:51.71:12629898:0.02:0,1812:52.41:12217125:0.02:30,1805:52.63:8639237:0.02:0,1805:52.67:8952126:0.02:5,1808:177.0:1064583:0.01:3,1811:53.08:12679531:0.01:692,1811:53.25:6456671:0.01:0,1811:52.96:7839684:0.01:2,[1811:53.03:9113148:0.01:3
KO_112219C57,768:53.57,768:53.41,768:53.94,773:54.43,779.0,781:53.14,781:52.42,781:52.8,781:52.29:11725522:0.02:11,774:52.21:7120001:0.02:1,774:51.84:7664328:0.01:5,771:51.71:12629898:0.01:0,771:52.41:12217125:0.01:0,771:52.63:8639237:0.01:0,771:52.67:8952126:0.01:6,767:177.0:1064583:0.01:0,767:53.08:12679531:0.01:0,767:53.25:6456671:0.01:0,767:52.96:7839684:0.01:0,[767:53.03:9113148:0.01:10
KO_112219C58,31:53.57,31:53.41,31:53.94,31:54.43,32.0,31:53.14,31:52.42,30:52.8,371:52.29:11725522:0.02:51,418:52.21:7120001:0.02:0,418:51.84:7664328:0.02:0,418:51.71:12629898:0.02:0,418:52.41:12217125:0.02:0,418:52.63:8639237:0.02:0,418:52.67:8952126:0.02:0,418:177.0:1064583:0.02:0,418:53.08:12679531:0.02:0,418:53.25:6456671:0.02:0,418:52.96:7839684:0.02:0,[418:53.03:9113148:0.02:0
KO_112219C59,46:53.57,46:53.41,46:53.94,46:54.43,46.0,46:53.14,46:52.42,46:52.8,45:52.29:11725522:0.02:0,45:52.21:7120001:0.02:0,45:51.84:7664328:0.02:0,45:51.71:12629898:0.02:0,45:52.41:12217125:0.02:0,45:52.63:8639237:0.02:0,45:52.67:8952126:0.02:0,45:177.0:1064583:0.02:0,45:53.08:12679531:0.02:0,45:53.25:6456671:0.02:0,45:52.96:7839684:0.02:0,45:53.03:9113148:0.02:0
KO_112219C60,30:53.57,30:53.41,30:53.94,30:54.43,30.0,30:53.14,30:52.42,33:52.8,33:52.29:11725522:0.02:0,33:52.21:7120001:0.02:0,33:51.84:7664328:0.02:0,33:51.71:12629898:0.02:0,33:52.41:12217125:0.02:0,33:52.63:8639237:0.02:0,33:52.67:8952126:0.02:0,33:177.0:1064583:0.02:0,33:53.08:12679531:0.02:0,33:53.25:6456671:0.02:0,33:52.96:7839684:0.02:0,33:53.03:9113148:0.02:0
KO_112219C61,0:53.57,0:53.41,0:53.94,0:54.43,0.0,0:53.14,0:52.42,0:52.8,0:52.29:11725522:0.0:0,0:52.21:7120001:0.0:0,0:51.84:7664328:0.0:0,0:51.71:12629898:0.0:0,0:52.41:12217125:0.0:0,0:52.63:8639237:0.01:1,1:52.67:8952126:0.01:0,1:177.0:1064583:0.01:0,1:53.08:12679531:0.01:0,1:53.25:6456671:0.01:0,1:52.96:7839684:0.01:0,1:53.03:9113148:0.01:0
KO_112919C45,13:53.57,14:53.41,14:53.94,14:54.43,14.0,14:53.14,14:52.42,14:52.8,14:52.29:11725522:9.1:0,14:52.21:7120001:9.1:0,14:51.84:7664328:9.1:0,14:51.71:12629898:9.1:0,14:52.41:12217125:9.1:0,14:52.63:8639237:9.1:0,14:52.67:8952126:9.1:0,14:177.0:1064583:9.1:0,14:53.08:12679531:7.9:1,15:53.25:6456671:7.9:0,15:52.96:7839684:7.9:0,15:53.03:9113148:7.9:0
KO_112919C47,0:53.57,0:53.41,0:53.94,0:54.43,0.0,0:53.14,0:52.42,0:52.8,0:52.29:11725522:0.0:0,0:52.21:7120001:0.0:0,0:51.84:7664328:0.0:0,0:51.71:12629898:0.0:0,0:52.41:12217125:0.0:0,0:52.63:8639237:0.0:0,0:52.67:8952126:0.0:0,0:177.0:1064583:0.0:0,0:53.08:12679531:0.0:0,0:53.25:6456671:0.0:0,0:52.96:7839684:0.0:0,0:53.03:9113148:0.0:0
KO_112919C48,0:53.57,0:53.41,0:53.94,0:54.43,0.0,0:53.14,0:52.42,0:52.8,0:52.29:11725522:0.0:0,0:52.21:7120001:0.0:0,0:51.84:7664328:0.0:0,0:51.71:12629898:0.0:0,0:52.41:12217125:0.0:0,0:52.63:8639237:4.7:54,53:52.67:8952126:4.55:1,54:177.0:1064583:5.05:2,54:53.08:12679531:5.05:0,54:53.25:6456671:5.05:0,54:52.96:7839684:4.85:1,54:53.03:9113148:4.85:0
KO_112919C49,0:53.57,5:53.41,5:53.94,5:54.43,5.0,5:53.14,5:52.42,5:52.8,5:52.29:11725522:5.21:0,6:52.21:7120001:5.21:0,6:51.84:7664328:5.21:0,6:51.71:12629898:5.21:0,6:52.41:12217125:3.2:1,7:52.63:8639237:3.2:0,7:52.67:8952126:3.5:1,7:177.0:1064583:4.25:1,6:53.08:12679531:4.25:0,6:53.25:6456671:4.25:0,6:52.96:7839684:4.25:0,[6:53.03:9113148:4.25:0
KO_112919C50,5:53.57,9:53.41,9:53.94,9:54.43,5.0,5:53.14,7:52.42,7:52.8,7:52.29:11725522:2.45:2,9:52.21:7120001:2.45:0,9:51.84:7664328:2.03:82,57:51.71:12629898:1.91:11,68:52.41:12217125:2.24:7,64:52.63:8639237:2.24:0,64:52.67:8952126:2.6:31,92:177.0:1064583:3.06:64,85:53.08:12679531:3.1:3,84:53.25:6456671:3.25:5,86:52.96:7839684:3.25:0,[86:53.03:9113148:2.84:3
