Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
KO_112219P45,0:53.57,0:53.41,0:53.94,0:54.43,0.0,0:53.14,0:52.42,0:52.8,4:52.29:11725522:0.02:0,4:52.21:7120001:0.02:0,4:51.84:7664328:0.02:0,4:51.71:12629898:0.02:0,4:52.41:12217125:0.02:0,4:52.63:8639237:0.02:0,4:52.67:8952126:0.02:0,4:177.0:1064583:0.02:0,4:53.08:12679531:0.02:0,4:53.24:6458034:0.02:0,4:52.96:7839684:0.02:0,4:53.03:9113148:0.02:0
KO_112219P46,0:53.57,0:53.41,0:53.94,0:54.43,0.0,0:53.14,0:52.42,0:52.8,0:52.29:11725522:0.0:0,0:52.21:7120001:0.0:0,0:51.84:7664328:0.0:0,0:51.71:12629898:0.0:0,0:52.41:12217125:0.0:0,0:52.63:8639237:0.0:0,0:52.67:8952126:0.0:0,0:177.0:1064583:0.0:0,0:53.08:12679531:0.0:0,0:53.24:6458034:0.0:0,0:52.96:7839684:0.0:0,0:53.03:9113148:0.0:0
KO_112219P47,1:53.57,1:53.41,1:53.94,1:54.43,1.0,1:53.14,1:52.42,1:52.8,1:52.29:11725522:0.12:0,1:52.21:7120001:0.12:0,1:51.84:7664328:0.12:0,1:51.71:12629898:0.12:0,1:52.41:12217125:0.12:0,1:52.63:8639237:0.12:0,1:52.67:8952126:0.12:0,1:177.0:1064583:0.12:0,1:53.08:12679531:0.12:0,1:53.24:6458034:0.12:0,1:52.96:7839684:0.12:0,1:53.03:9113148:0.12:0
KO_112219P48,13:53.57,13:53.41,13:53.94,13:54.43,13.0,13:53.14,13:52.42,23:52.8,23:52.29:11725522:0.04:10,32:52.21:7120001:0.04:0,32:51.84:7664328:0.04:0,32:51.71:12629898:0.04:0,32:52.41:12217125:0.04:0,32:52.63:8639237:0.04:0,32:52.67:8952126:0.04:0,32:177.0:1064583:0.01:30,31:53.08:12679531:0.01:0,31:53.24:6458034:0.01:0,31:52.96:7839684:0.01:0,31:53.03:9113148:0.01:0
KO_112219P49,8:53.57,16:53.41,16:53.94,16:54.43,16.0,9:53.14,10:52.42,31:52.8,32:52.29:11725522:0.05:8,33:52.21:7120001:0.04:10,43:51.84:7664328:0.04:30,71:51.71:12629898:0.02:4,73:52.41:12217125:0.01:2,73:52.63:8639237:0.01:0,73:52.67:8952126:0.01:0,73:177.0:1064583:0.01:0,73:53.08:12679531:0.01:0,73:53.24:6458034:0.01:0,73:52.96:7839684:0.01:0,[73:53.03:9113148:0.01:0
KO_112219P50,46:53.57,47:53.41,47:53.94,47:54.43,56.0,57:53.14,64:52.42,62:52.8,66:52.29:11725522:0.11:35,71:52.21:7120001:0.08:4,75:51.84:7664328:0.08:40,93:51.71:12629898:0.06:7,96:52.41:12217125:0.04:17,96:52.63:8639237:0.03:2,97:52.67:8952126:0.01:8,95:177.0:1064583:0.02:2,95:53.08:12679531:0.02:0,95:53.24:6458034:0.02:0,95:52.96:7839684:0.02:0,[95:53.03:9113148:0.02:0
KO_112219P51,51:53.57,74:53.41,77:53.94,87:54.43,72.0,72:53.14,113:52.42,133:52.8,175:52.29:11725522:0.21:19,167:52.21:7120001:0.17:21,184:51.84:7664328:0.2:39,220:51.71:12629898:0.2:45,233:52.41:12217125:0.09:39,248:52.63:8639237:0.06:167,368:52.67:8952126:0.03:22,368:177.0:1064583:0.03:21,371:53.08:12679531:0.03:0,371:53.24:6458034:0.03:0,371:52.96:7839684:0.03:3,[370:53.03:9113148:0.03:0
KO_112219P52,107:53.57,124:53.41,139:53.94,158:54.43,163.0,158:53.14,228:52.42,293:52.8,343:52.29:11725522:0.45:119,411:52.21:7120001:0.46:255,490:51.84:7664328:0.55:238,506:51.71:12629898:0.59:53,513:52.41:12217125:0.27:745,937:52.63:8639237:0.18:87,937:52.67:8952126:0.13:87,968:177.0:1064583:0.05:124,973:53.08:12679531:0.03:144,1044:53.24:6458034:0.03:115,1072:52.96:7839684:0.02:36,[1062:53.03:9113148:0.01:26
KO_112219P53,188:53.57,227:53.41,249:53.94,253:54.43,232.0,235:53.14,268:52.42,291:52.8,290:52.29:11725522:1.01:72,308:52.21:7120001:1.07:66,323:51.84:7664328:1.26:8,321:51.71:12629898:1.33:18,317:52.41:12217125:0.92:1,317:52.63:8639237:0.6:109,420:52.67:8952126:0.59:146,533:177.0:1064583:0.32:809,732:53.08:12679531:0.23:325,812:53.24:6458034:0.14:249,853:52.96:7839684:0.2:245,[837:53.03:9113148:0.02:459
KO_112219P54,199:53.57,284:53.41,314:53.94,287:54.43,298.0,289:53.14,292:52.42,291:52.8,293:52.29:11725522:1.89:371,638:52.21:7120001:1.95:4,637:51.84:7664328:2.22:52,587:51.71:12629898:2.29:89,506:52.41:12217125:1.67:3,503:52.63:8639237:1.57:2,501:52.67:8952126:1.43:24,513:177.0:1064583:1.02:380,442:53.08:12679531:0.96:43,448:53.24:6458034:0.76:22,406:52.96:7839684:1.02:21,[403:53.03:9113148:0.82:23
