Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
KRNT_122019C17.5,0:34.35:205334:0.0:0,0:34.15:303643:0.0:0,0:34.23:119467:0.0:0,0:34.06:108584:0.0:0,0:34.19:261219:0.0:0,0:34.22:272150:0.0:0,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_122019C20,0:34.35:205334:0.0:0,0:34.15:303643:0.0:0,0:34.23:119467:0.0:0,0:34.06:108584:0.0:0,0:34.19:261219:0.0:0,0:34.22:272150:0.0:0,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_122019C22.5,0:34.35:205334:0.0:0,0:34.15:303643:0.0:0,0:34.23:119467:0.0:0,0:34.06:108584:0.0:0,0:34.19:261219:0.0:0,0:34.22:272150:0.0:0,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_122019C25,0:34.35:205334:0.0:0,0:34.15:303643:0.0:0,0:34.23:119467:0.0:0,0:34.06:108584:0.0:0,0:34.19:261219:0.0:0,0:34.22:272150:0.0:0,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_122019C30,0:34.35:205334:0.0:0,0:34.15:303643:0.0:0,0:34.23:119467:0.0:0,0:34.06:108584:0.0:0,0:34.19:261219:0.0:0,0:34.22:272150:5.0:41,41:33.13:574666:3.7:13,54:32.48:818557:3.06:2,56:30.905:290186:2.61:3,59:31.36:267867:1.68:10,[64:32.2:193560:2.0:1
KRNT_122019C35,30:34.35:205334:2.65:0,30:34.15:303643:2.65:0,30:34.23:119467:2.65:0,30:34.06:108584:1.51:1,30:34.19:261219:1.45:6,31:34.22:272150:1.72:179,200:33.13:574666:0.9:372,536:32.48:818557:0.45:56,503:30.905:290186:0.2:16,506:31.36:267867:0.25:6,[508:32.2:193560:0.15:2
KRNT_122019C40,0:34.35:205334:0.0:0,0:34.15:303643:0.0:0,0:34.23:119467:0.0:0,0:34.06:108584:0.4:14,14:34.19:261219:0.33:4,16:34.22:272150:0.37:14,23:33.13:574666:0.17:86,97:32.48:818557:0.05:3,95:30.905:290186:0.05:2,95:31.36:267867:0.05:0,[95:32.2:193560:0.05:0
KRNT_122019C45,0:34.35:205334:0.0:0,0:34.15:303643:0.0:0,0:34.23:119467:0.0:0,0:34.06:108584:0.0:0,0:34.19:261219:0.0:0,0:34.22:272150:0.0:0,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_011720C17.5,U,U,U,U,U,U,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_011720C20,U,U,U,U,U,U,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_011720C22.5,U,U,U,U,U,U,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_011720C25,U,U,U,U,U,U,0:33.13:574666:8.2:1,1:32.48:818557:8.2:0,1:30.905:290186:6.2:2,3:31.36:267867:6.2:0,[3:32.2:193560:6.2:0
KRNT_011720C30,U,U,U,U,U,U,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_011720C35,U,U,U,U,U,U,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.45:1,1:31.36:267867:0.35:25,[26:32.2:193560:0.35:0
KRNT_011720C40,U,U,U,U,U,U,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_011720C45,U,U,U,U,U,U,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_011720C50,U,U,U,U,U,U,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
