Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
KRNT_122019P17.5,0:34.35:205334:0.0:0,0:34.15:303643:0.0:0,0:34.23:119467:0.0:0,0:34.06:108584:0.0:0,0:34.19:261219:0.0:0,0:34.22:272150:0.05:28,28:33.13:574666:0.05:8,36:32.48:818557:0.05:0,36:30.905:290186:0.05:0,36:31.36:267867:0.05:0,[36:32.2:193560:0.05:0
KRNT_122019P20,0:34.35:205334:0.0:0,0:34.15:303643:0.0:0,0:34.23:119467:0.0:0,0:34.06:108584:0.0:0,0:34.19:261219:0.0:0,0:34.22:272150:0.0:0,0:33.13:574666:0.05:8,8:32.48:818557:0.05:0,8:30.905:290186:0.05:0,8:31.36:267867:0.05:0,[8:32.2:193560:0.05:0
KRNT_122019P22.5,0:34.35:205334:0.0:0,0:34.15:303643:0.0:0,0:34.23:119467:0.0:0,0:34.06:108584:0.0:0,0:34.19:261219:0.0:0,0:34.22:272150:0.0:0,0:33.13:574666:0.1:2,2:32.48:818557:0.1:0,2:30.905:290186:0.1:0,2:31.36:267867:0.1:0,[2:32.2:193560:0.1:0
KRNT_122019P25,0:34.35:205334:0.0:0,0:34.15:303643:0.0:0,0:34.23:119467:0.0:0,0:34.06:108584:0.19:10,10:34.19:261219:0.19:0,10:34.22:272150:0.19:0,10:33.13:574666:0.08:447,396:32.48:818557:0.06:10,396:30.905:290186:0.05:1,396:31.36:267867:0.05:5,[396:32.2:193560:0.05:0
KRNT_122019P30,0:34.35:205334:0.0:0,0:34.15:303643:0.7:13,13:34.23:119467:0.7:0,13:34.06:108584:0.67:10,23:34.19:261219:0.67:0,23:34.22:272150:0.55:51,74:33.13:574666:0.63:936,919:32.48:818557:0.3:92,891:30.905:290186:0.7:50,930:31.36:267867:0.6:49,[959:32.2:193560:0.6:0
KRNT_122019P35,168:34.35:205334:3.33:0,168:34.15:303643:3.33:0,168:34.23:119467:3.33:0,168:34.06:108584:2.46:1,169:34.19:261219:2.46:0,169:34.22:272150:2.1:169,170:33.13:574666:3.0:27,184:32.48:818557:2.3:43,205:30.905:290186:3.21:31,199:31.36:267867:3.21:0,[199:32.2:193560:3.21:0
KRNT_122019P40,1:34.35:205334:5.5:0,1:34.15:303643:5.5:0,1:34.23:119467:5.5:0,1:34.06:108584:5.5:0,1:34.19:261219:5.5:0,1:34.22:272150:5.5:0,1:33.13:574666:7.2:5,5:32.48:818557:8.0:5,1:30.905:290186:8.0:0,0:31.36:267867:8.0:0,[0:32.2:193560:8.0:0
KRNT_122019P45,0:34.35:205334:0.0:0,0:34.15:303643:0.0:0,0:34.23:119467:0.0:0,0:34.06:108584:0.0:0,0:34.19:261219:0.0:0,0:34.22:272150:0.0:0,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_011720P17.5,U,U,U,U,U,U,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_011720P20,U,U,U,U,U,U,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_011720P22.5,U,U,U,U,U,U,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_011720P25,U,U,U,U,U,U,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_011720P30,U,U,U,U,U,U,0:33.13:574666:0.8:502,502:32.48:818557:0.5:2,504:30.905:290186:0.5:0,504:31.36:267867:0.5:0,[504:32.2:193560:0.5:0
KRNT_011720P35,U,U,U,U,U,U,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_011720P40,U,U,U,U,U,U,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_011720P45,U,U,U,U,U,U,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
KRNT_011720P50,U,U,U,U,U,U,0:33.13:574666:0.0:0,0:32.48:818557:0.0:0,0:30.905:290186:0.0:0,0:31.36:267867:0.0:0,[0:32.2:193560:0.0:0
