Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
LEG_122019C22.5,0:54.32:1128529:0.0:0,0:54.3:1182783:0.0:0,0:53.62:1416648:0.0:0,0:53.21:1313724:0.0:0,0:53.37:1053358:0.0:0,0:53.57:886168:0.0:0,0:52.71:947143:0.0:0,0:52.38:582634:0.0:0,0:52.02:1038835:0.0:0,[0:52.33:687150:0.0:0
LEG_122019C25,0:54.32:1128529:0.0:0,0:54.3:1182783:0.0:0,0:53.62:1416648:0.0:0,0:53.21:1313724:0.0:0,0:53.37:1053358:0.0:0,0:53.57:886168:0.0:0,0:52.71:947143:0.0:0,0:52.38:582634:0.0:0,0:52.02:1038835:0.0:0,[0:52.33:687150:0.0:0
LEG_122019C30,0:54.32:1128529:12.9:0,0:54.3:1182783:12.9:0,0:53.62:1416648:12.9:0,0:53.21:1313724:12.9:0,0:53.37:1053358:12.9:0,0:53.57:886168:12.9:0,0:52.71:947143:12.9:0,0:52.38:582634:12.9:0,0:52.02:1038835:12.9:0,[0:52.33:687150:12.9:0
LEG_122019C35,3:54.32:1128529:6.0:0,3:54.3:1182783:6.0:0,3:53.62:1416648:6.0:0,3:53.21:1313724:6.0:0,3:53.37:1053358:6.0:0,3:53.57:886168:6.0:0,3:52.71:947143:6.0:0,3:52.38:582634:6.0:0,3:52.02:1038835:6.0:0,[3:52.33:687150:6.0:0
LEG_122019C40,489:54.32:1128529:15.13:2,491:54.3:1182783:13.95:4,487:53.62:1416648:13.77:1,486:53.21:1313724:13.77:0,486:53.37:1053358:13.77:0,486:53.57:886168:13.77:0,486:52.71:947143:13.77:0,486:52.38:582634:13.77:0,486:52.02:1038835:13.77:0,[486:52.33:687150:13.77:0
LEG_122019C45,1786:54.32:1128529:10.16:0,1786:54.3:1182783:10.16:0,1786:53.62:1416648:8.58:1,1785:53.21:1313724:8.58:0,1785:53.37:1053358:8.58:0,1785:53.57:886168:8.58:0,1785:52.71:947143:8.58:0,1785:52.38:582634:8.58:0,1785:52.02:1038835:8.58:0,[1785:52.33:687150:7.5:1
LEG_122019C50,87:54.32:1128529:4.96:3,88:54.3:1182783:4.4:4,88:53.62:1416648:3.98:5,93:53.21:1313724:3.98:0,93:53.37:1053358:3.98:0,93:53.57:886168:4.0:8,92:52.71:947143:3.12:8,96:52.38:582634:3.07:8,101:52.02:1038835:2.5:3,[98:52.33:687150:2.64:1
LEG_122019C55,277:54.32:1128529:1.4:44,281:54.3:1182783:1.1:202,410:53.62:1416648:0.95:46,445:53.21:1313724:0.88:2,446:53.37:1053358:0.75:138,517:53.57:886168:0.7:46,554:52.71:947143:0.54:11,558:52.38:582634:0.4:5,558:52.02:1038835:0.3:8,[552:52.33:687150:0.2:1
LEG_122019C60,5:54.32:1128529:0.2:1,6:54.3:1182783:0.2:0,6:53.62:1416648:0.2:0,6:53.21:1313724:0.2:0,6:53.37:1053358:0.2:0,6:53.57:886168:0.36:3,9:52.71:947143:0.36:0,9:52.38:582634:0.05:6,10:52.02:1038835:0.05:0,[10:52.33:687150:0.05:0
LEG_122019C65,0:54.32:1128529:0.0:0,0:54.3:1182783:0.0:0,0:53.62:1416648:0.0:0,0:53.21:1313724:0.0:0,0:53.37:1053358:0.0:0,0:53.57:886168:0.0:0,0:52.71:947143:0.0:0,0:52.38:582634:0.0:0,0:52.02:1038835:0.0:0,[0:52.33:687150:0.0:0
